song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
6ewMpZ67VVndT6RiQfhjPp	Rompe	0	False	1	0	185364	['1qoJTYkRvsRJMTOxnUnpNW', '2Jb9jVnCpWkXtoGznFJ6bF']	['Papichamp', 'ECKO']	2	Collaboration	2018-03-26	2.0	0.0	4.0	0.0976	0.72	0.749	6.56e-05	0.0985	-7.564	0.0899	0.764	180.077	906121
5xDTGKq1rybDGx1YcswzNR	Que Ya No Me Llame	0	False	1	0	194281	['1wkImvL5XLLhrNcmX7sVt4']	['Rodrigo Tapari']	1	Solo	2019-12-20	4.0	0.0	4.0	0.218	0.645	0.73	0.0	0.5	-3.659	0.0421	0.643	96.065	33118
2vrpcQNg6itmgVZWsNjWe0	Un Año	75	False	3	184	163813	['07YUOmWljBTXwIseAUd9TW', '0vR2qb8m9WHeZ5ByCbimq2']	['Sebastian Yatra', 'Reik']	2	Collaboration	2019-04-12	1.0	0.0	4.0	0.14	0.773	0.378	0.0	0.133	-7.062	0.0531	0.513	94.946	20904323
70lnL3QaSOIIyMa2X9aVRL	Perro Fiel (feat. Nicky Jam)	73	False	6	184	195213	['0EmeFodog0BfCgMzAIvKQp', '1SupJlEpv7RS2tPNRaHViT']	['Shakira', 'Nicky Jam']	2	Collaboration	2017-05-26	1.0	1.0	4.0	0.187	0.75	0.76	0.0	0.0548	-4.836	0.198	0.893	183.817	25199
4ziiAuFyXiY1HNSLGM1xv8	DOLLAR	59	False	1	184	203486	['4obzFoKoKRHIphyHzJ35G3', '7iK8PXO48WeuP03g8YR51W']	['Becky G', 'Myke Towers']	2	Collaboration	2019-07-10	2.0	1.0	4.0	0.232	0.862	0.5	0.0	0.657	-6.875	0.276	0.697	76.992	4554004
6b2RcmUt1g9N9mQ3CbjX2Y	How Do You Sleep?	74	False	1	184	202204	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2019-07-19	1.0	0.0	5.0	0.153	0.477	0.682	0.0	0.0763	-4.931	0.0925	0.345	110.567	2414033
5JiH89mHrv9oWHlD0T326z	To Be So Lonely	74	False	7	184	192080	['6KImCVD70vtIoJWnq6nGn3']	['Harry Styles']	1	Solo	2019-12-13	0.0	1.0	4.0	0.618	0.758	0.436	1.61e-05	0.335	-7.269	0.0418	0.605	104.959	44868
0m9LriWYZaNi5PesRbFqsb	Frijo: Bzrp Music Sessions, Vol. 10	0	True	1	0	130912	['716NhGYqD1jl2wI1Qkgq36', '4D2d63igYEdzhzFnxrSow7', '1fXCGECRsxOUDi7tj3hifF']	['Bizarrap', 'Frijo', 'Hot Plug Beats']	3	Collaboration	2019-07-21	8.0	1.0	4.0	0.258	0.851	0.599	0.0	0.179	-5.347	0.0985	0.668	99.981	12327603
7q7XFO9av9VpNJSXKJwJxD	Personalmente	66	False	7	184	250357	['1Qv4E1VgZOGnOYd99Kp5Bs']	['Las Pelotas']	1	Solo	2010-11-09	11.0	1.0	4.0	0.333	0.559	0.711	0.00219	0.394	-7.186	0.0269	0.769	155.934	7575040
63USmok1OioBzKuWGW9wAg	Nunca Es Suficiente	70	False	2	1	266213	['0ZCO8oVkMj897cKgFH7fRW', '1hcdI2N1023RvSwLzTtdsp']	['Los Ángeles Azules', 'Natalia Lafourcade']	2	Collaboration	2018-06-08	2.0	0.0	4.0	0.398	0.789	0.518	0.0	0.0891	-5.417	0.0406	0.78	94.001	38400
