song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
1eueCON2ZSUYAf0AlpFtut	Bars Best	0	False	1	184	120372	['1SD2D11Px4E4AvtQKidvMU']	['Swinging Dudes']	1	Solo	2018-08-23	10.0	0.0	4.0	0.12	0.807	0.309	0.86	0.11	-15.461	0.0852	0.615	124.988	7577
3a1lNhkSLSkpJE4MSHpDu9	Congratulations	85	True	12	184	220293	['246dkjvS1zLTtiykXe5h60', '0VRj0yCOv2FXJNP47XQnx5']	['Post Malone', 'Quavo']	2	Collaboration	2016-12-09	6.0	1.0	4.0	0.215	0.63	0.804	0.0	0.253	-4.183	0.0363	0.492	123.146	429654
3nwG4L1J4a8MXq4R01Hilb	Inshallah (feat. Capital Bra)	0	True	9	0	173299	['3c96G4d2lUOxhomM2mby5S', '4WZGDpNwrC0vNQyl9QzF7d']	['Bushido', 'Capital Bra']	2	Collaboration	2018-09-28	9.0	0.0	4.0	0.101	0.54	0.759	0.0	0.125	-4.874	0.309	0.272	159.228	775431
6yr8GiTHWvFfi4o6Q5ebdT	'Till I Collapse	0	True	18	0	297893	['7dGJo4pcD2V6oG8kP0tJRR', '1Oa0bMld0A3u5OTYfMzp5h']	['Eminem', 'Nate Dogg']	2	Collaboration	2002-05-26	1.0	1.0	4.0	0.0748	0.551	0.851	0.0	0.0784	-3.277	0.197	0.1	171.411	434314
7daBwTiPNOVgoMUG4SICgh	Pet Cheetah	60	False	12	184	198360	['3YQKmKGau1PzlVlkL1iodx']	['Twenty One Pilots']	1	Solo	2018-10-05	7.0	0.0	4.0	0.0615	0.653	0.684	0.000387	0.27	-7.052	0.199	0.355	110.049	4604
0eloQCFf07NaJ6ZMcALuxm	Nicht einschlafen	0	False	14	0	99130	['6h3cTiy3fjPf9moXgQIWeX']	['Slovak National Symphony Orchestra']	1	Solo	2010-12-17	9.0	0.0	4.0	0.971	0.0639	0.077	0.899	0.167	-21.821	0.0395	0.0375	61.379	7578
42nNygdbD7M8WYwR6cWu3t	Close My Eyes	37	False	1	179	206250	['1w67D3PakcxjYGt6xPnnke', '4XcWGQLABhobEjxJJWvu4h', '0wJDbxpqtwjA2FxfU6KI0E']	['Darius & Finlay', 'Last Night', 'Max Landry']	3	Collaboration	2018-03-30	3.0	1.0	4.0	0.029	0.525	0.926	6.11e-06	0.117	-3.521	0.0538	0.465	127.868	2806
5al97HZnNQz1JNmYlHqiAa	40K	0	True	1	0	216842	['5pVRwX5ZQR7hfJ18w8ZYkl']	['Ufo361']	1	Solo	2018-08-10	7.0	0.0	4.0	0.106	0.746	0.587	2.99e-05	0.187	-8.172	0.17	0.203	134.992	100930
1AjebVX4K3KLY8Shz2gQ5A	Hello Dolly	25	False	1	184	222000	['5Sjj30aHCmKcM9SdVX7PBK', '4VuARVJiWGsH2msKTdsKdQ']	['GRiNGO', 'Veysel']	2	Collaboration	2018-12-14	1.0	1.0	4.0	0.0148	0.797	0.689	0.0	0.106	-4.798	0.0769	0.445	150.039	46379
4ZkM6R7P3vGJ3O4ezCGnpy	BlaBla	0	True	1	0	216717	['477D3WI5iTnEmCOe7QFU5G', '3ZuBEj9ppJe8GSdKaMTfMN']	['Azzi Memo', 'Nimo']	2	Collaboration	2018-09-07	6.0	1.0	4.0	0.0366	0.852	0.788	3.41e-06	0.0938	-6.369	0.248	0.524	111.975	195877
5I8oEqbk2ZBmQfXCrZbUFb	Fallin' All In You	0	False	6	0	235746	['7n2wHs1TKAczGzO7Dd2rGr']	['Shawn Mendes']	1	Solo	2018-05-25	8.0	1.0	4.0	0.401	0.853	0.477	0.0	0.111	-6.697	0.0362	0.8	92.03	29645
36oP6yNLfH89X1Lxzl1evG	VVS Outro	0	True	17	0	222255	['5pVRwX5ZQR7hfJ18w8ZYkl']	['Ufo361']	1	Solo	2018-08-17	4.0	0.0	4.0	0.168	0.833	0.373	0.000896	0.0895	-7.564	0.0759	0.101	129.975	3923
575NJxNUVDqwJGdzBrlLbv	Lost In Japan - Remix	63	False	1	184	201253	['7n2wHs1TKAczGzO7Dd2rGr', '2qxJFvFYMEDqd7ui6kSAcq']	['Shawn Mendes', 'Zedd']	2	Collaboration	2018-09-27	10.0	1.0	4.0	0.0911	0.706	0.855	0.0	0.347	-5.377	0.215	0.293	107.184	18046
4LmAnpjlhWTahvRkYR8xJa	X (with 2 Chainz & Saudi)	67	True	3	179	267426	['5IcR3N7QB1j6KBL8eImZ8m', '17lzZA2AlOHwCwFALHttmp', '37Qsf5KCKljH7mL134xp4k']	['ScHoolboy Q', '2 Chainz', 'Saudi']	3	Collaboration	2018-02-09	2.0	1.0	4.0	0.0201	0.768	0.471	0.0	0.268	-8.406	0.259	0.405	131.023	48325
1O1JnuQFkhxSzTcQpu3PuU	HME	0	True	2	0	226106	['2JwyRtuXf2l6sTnSnGVIa1', '0MtvTMKUpY7AMNTJJcCCsf', '61fZH5SxVJDnFnocMMPwCF']	['Farid Bang', 'Musiye', 'Play69']	3	Collaboration	2018-11-23	1.0	1.0	4.0	0.251	0.684	0.566	0.0	0.602	-7.364	0.379	0.474	143.192	4350
4I2mfHmpV5NP8IGH6k6sfK	Legenden	0	False	1	0	223373	['224CDJhbm230iSo9ZomTWe']	['Max Giesinger']	1	Solo	2018-05-11	11.0	1.0	4.0	0.00983	0.593	0.831	1.46e-05	0.617	-6.838	0.0607	0.538	120.043	17348
5SBFZEipvLrddLiaDrZp2c	Rock Me Amadeus	41	False	1	184	189200	['3TqfPVt0HX8GCzNOOjDcum', '0hLd40hVpRDGENe4KGZLnW']	['Sun Diego', 'Falco']	2	Collaboration	2018-04-27	9.0	0.0	4.0	0.0641	0.594	0.637	0.0	0.0856	-5.634	0.0826	0.268	88.818	146999
5MdUWdiVkBNUVjxY0rccO5	Makiaveli	36	True	11	184	232186	['6gto7HVNhu4ARE3P3g8Y5Y']	['Kollegah']	1	Solo	2018-12-07	10.0	0.0	5.0	0.147	0.45	0.828	0.0	0.168	-5.263	0.357	0.391	98.575	5465
6vnfObZ4Ys70SBAtti1xZ9	COFFEE BEAN	72	True	17	184	209115	['0Y5tJX1MQlPlqiwlOH1tJY']	['Travis Scott']	1	Solo	2018-08-03	5.0	0.0	4.0	0.0862	0.81	0.582	0.00681	0.207	-5.098	0.125	0.503	95.004	11773
3hdudpgzKUKxep3FSFNyKz	Refugees	0	True	3	0	216640	['6SGVQ8bD0Hab6BItkqWVuJ', '3TqfPVt0HX8GCzNOOjDcum']	['JURI', 'Sun Diego']	2	Collaboration	2018-06-29	10.0	0.0	4.0	0.312	0.685	0.761	0.0	0.0887	-4.948	0.323	0.435	117.886	4156
6DwnAl6l63e83dDgIzY8P4	Santa Baby	24	False	7	3	231626	['1GxkXlMwML1oSg5eLPiAz3']	['Michael Bublé']	1	Solo	2011-10-14	9.0	0.0	4.0	0.835	0.641	0.0964	2.95e-05	0.11	-12.995	0.0399	0.357	76.273	6800
0gwhDYmUMFwCAHhG2Neqr7	Aloe Vera	21	False	9	3	295403	['2ErWLckuGFl84nGmg5fwyG']	['Bilderbuch']	1	Solo	2018-12-04	7.0	0.0	4.0	0.912	0.592	0.324	0.336	0.0859	-10.466	0.0571	0.0381	81.979	11332
6Ep6BzIOB9tz3P4sWqiiAB	Radioactive	0	False	1	0	186813	['53XhwfbYqKCa1cC15pYq2q']	['Imagine Dragons']	1	Solo	2012-09-04	9.0	1.0	4.0	0.119	0.473	0.777	7.87e-05	0.671	-3.698	0.059	0.21	136.249	2458
6mw02h3qbWmuq2bJCRjRAe	Millionär	66	True	3	181	159211	['2j2rh3oQh4QEUnNTDKYSJD', '1aS5tqEs9ci5P9KD9tZWa6', '5eioJDe26lOqkAMbuhzZYs']	['187 Strassenbande', 'Bonez MC', 'Gzuz']	3	Collaboration	2017-07-18	1.0	1.0	4.0	0.176	0.72	0.789	6.4e-06	0.138	-5.255	0.339	0.226	93.001	742334
7K7MUBCnzgBAvMVW2RTWNs	Body (feat. brando)	0	False	1	0	163216	['6t1gpxYbY8OlLA7D2RiikQ', '5uEeqYFuIChoWKy34jp8xE']	['Loud Luxury', 'Brando']	2	Collaboration	2017-10-27	1.0	1.0	4.0	0.0476	0.752	0.764	9.44e-05	0.0543	-4.399	0.038	0.582	121.958	1957681
3xfttij552H4ENy4HI4Z8L	Kid	42	True	5	58	150545	['2gIGkRqCo4NK2PUCI8u4aQ']	['Ferdinand fka Left Boy']	1	Solo	2018-04-06	7.0	1.0	4.0	0.609	0.657	0.5	0.0	0.361	-6.742	0.0395	0.604	84.982	94705
2Pvr8rYuh5J8V7QglJhH6W	Want You Back	0	True	1	0	173073	['5Rl15oVamLq7FbSb0NNBNy']	['5 Seconds of Summer']	1	Solo	2018-02-22	0.0	1.0	4.0	0.00748	0.608	0.873	0.0	0.196	-4.928	0.0424	0.589	98.009	19991
08qQs8yYzFk6XbI9QqW8Re	Die Strasse lebt	23	True	1	184	182093	['0UTkv1GEUZSPIVZwMFGtf3']	['GENT']	1	Solo	2018-07-13	2.0	1.0	4.0	0.0178	0.591	0.74	0.0	0.118	-4.605	0.33	0.203	86.181	3158
6vQkI9C45TiTe1ZcVBzC6H	Please Don't Lie	0	False	2	0	212112	['27eEve8Mu7Zv8DGDIz4peE']	['Hugo Helmig']	1	Solo	2018-03-09	4.0	1.0	4.0	0.131	0.707	0.594	1.11e-05	0.176	-5.753	0.0505	0.591	93.963	110703
11kDth1aKUEUMq9r1pqyds	5% TINT	82	True	9	184	196138	['0Y5tJX1MQlPlqiwlOH1tJY']	['Travis Scott']	1	Solo	2018-08-03	4.0	0.0	4.0	0.173	0.712	0.481	0.0	0.241	-5.415	0.0487	0.062	140.0	26834
0mjbIwkdLPK5g2nGzhacjU	Risiko	0	True	1	0	223381	['1aS5tqEs9ci5P9KD9tZWa6', '0Dvx6p8JDyzeOPGmaCIH1L']	['Bonez MC', 'RAF Camora']	2	Collaboration	2018-08-24	5.0	1.0	4.0	0.155	0.773	0.74	0.514	0.159	-7.21	0.0895	0.226	117.023	680058
0CZ8lquoTX2Dkg7Ak2inwA	1950	73	True	1	184	225133	['6beUvFUlKliUYJdLOXNj9C']	['King Princess']	1	Solo	2018-02-23	4.0	1.0	4.0	0.648	0.6	0.535	4.7e-06	0.162	-7.043	0.107	0.269	71.912	640875
71X80albbEiN4C6DkJyBkY	Deutsche Nationalhymne - A cappella Version	5	False	1	184	75488	['656RXuyw7CE0dtjdPgjJV6', '3Eqkxp6l685g3yBc0s1jHn']	['Joseph Haydn', 'Ricardo Marinello']	2	Collaboration	2014-07-13	6.0	1.0	4.0	0.979	0.351	0.313	0.0	0.395	-9.347	0.038	0.28	88.222	7589
72TyiiduRmczEbDIEtKQdR	Wasted Times	0	True	3	0	220293	['1Xyo4u8uXC1ZmMpatF05PJ']	['The Weeknd']	1	Solo	2018-03-30	10.0	0.0	4.0	0.622	0.562	0.674	2.04e-05	0.111	-6.049	0.0851	0.293	122.699	85845
5ODK0R10oNrzGrZxRzwHvR	Überlebt	1	True	13	0	207840	['39KEQQAG9JhIt71g9NEVhh']	['Azet']	1	Solo	2018-03-30	3.0	0.0	4.0	0.255	0.546	0.695	1.68e-06	0.109	-4.353	0.092	0.224	83.571	694053
3eR23VReFzcdmS7TYCrhCe	It Ain't Me (with Selena Gomez)	80	False	1	183	220780	['23fqKkggKUBHNkbKtXEls4', '0C8ZW7ezQVs4URX5aX7Kqx']	['Kygo', 'Selena Gomez']	2	Collaboration	2017-02-16	0.0	1.0	4.0	0.119	0.64	0.533	0.0	0.0864	-6.596	0.0706	0.515	99.968	129354
3Qkf7X9xbQMXKi9xjMSVzc	Bella Ciao	0	True	7	0	188773	['6SGVQ8bD0Hab6BItkqWVuJ', '3TqfPVt0HX8GCzNOOjDcum', '6zuB9C5kSTT9InMFFSibOI']	['JURI', 'Sun Diego', 'Scenzah']	3	Collaboration	2018-06-29	9.0	0.0	4.0	0.163	0.783	0.554	0.0	0.0835	-4.273	0.0773	0.155	120.023	45452
2cF3UcqH1qpIKGq9t5kexU	Need for Speed	0	True	1	0	199266	['18ISxWwWjV6rPLoVCXf1dz']	['RIN']	1	Solo	2018-06-01	9.0	0.0	4.0	0.0889	0.769	0.738	0.000585	0.0935	-6.019	0.208	0.298	149.979	65964
4kWO6O1BUXcZmaxitpVUwp	Jackie Chan	74	True	1	184	215759	['2o5jDhtHVPhrJdv3cEQ99Z', '5vQfv3s2Z2SRdPZKr82ABw', '0bdJZl7TDeiymDYzMJnVh2', '246dkjvS1zLTtiykXe5h60']	['Tiësto', 'Dzeko', 'Preme', 'Post Malone']	4	Collaboration	2018-05-18	3.0	0.0	4.0	0.374	0.747	0.834	0.0	0.0586	-2.867	0.045	0.687	128.005	1804369
7fANLSagbEnaaE9zvW8hBS	Running	0	False	1	184	169988	['38pvodYmrm7y9PaLdJ32rz']	['Saiths']	1	Solo	2018-09-04	7.0	0.0	4.0	0.424	0.718	0.658	0.151	0.244	-8.309	0.0304	0.21	112.975	3771
7BrsBU0BAytRDvROM4yCbn	Thunder	0	False	10	0	187146	['53XhwfbYqKCa1cC15pYq2q']	['Imagine Dragons']	1	Solo	2017-06-23	0.0	1.0	4.0	0.00763	0.601	0.809	0.0757	0.145	-4.814	0.0441	0.249	167.96	81785
