song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
3VRk65lHSwqd90TAkQqhvB	Swish Swish	0	True	1	0	242173	['6jJ0s89eD6GaHleKKya26X', '0hCNtLu0JehylgoiP8L4Gh']	['Katy Perry', 'Nicki Minaj']	2	Collaboration	2017-05-18	5.0	0.0	4.0	0.0182	0.835	0.719	1.9e-05	0.127	-5.167	0.0559	0.532	119.946	2068
4GEQd6D1NeNjpf0pbOgJSO	Mama	0	False	1	0	181614	['1HBjj22wzbscIZ9sEb5dyf', '5exS0bytCYdixgv02DaCm3']	['Jonas Blue', 'William Singe']	2	Collaboration	2017-07-14	11.0	0.0	4.0	0.105	0.742	0.791	0.0	0.0533	-4.277	0.0479	0.534	104.059	6263
5EnYT6F7wEcdege6mDHEfO	Signs	0	False	1	0	234373	['3TVXtAsR1Inumwj472S9r4']	['Drake']	1	Solo	2017-06-23	0.0	1.0	4.0	0.0864	0.801	0.727	0.00406	0.112	-4.687	0.0606	0.218	107.371	17588
3eR23VReFzcdmS7TYCrhCe	It Ain't Me (with Selena Gomez)	80	False	1	183	220780	['23fqKkggKUBHNkbKtXEls4', '0C8ZW7ezQVs4URX5aX7Kqx']	['Kygo', 'Selena Gomez']	2	Collaboration	2017-02-16	0.0	1.0	4.0	0.119	0.64	0.533	0.0	0.0864	-6.596	0.0706	0.515	99.968	180355
15dnkAHcHC0vrIUlbiPiqU	I Don’t Know Why	0	False	1	0	190120	['53XhwfbYqKCa1cC15pYq2q']	['Imagine Dragons']	1	Solo	2017-06-23	2.0	1.0	4.0	0.0058	0.475	0.657	8.81e-06	0.181	-7.381	0.0708	0.0707	132.071	1453
5bcTCxgc7xVfSaMV3RuVke	Feels (feat. Pharrell Williams, Katy Perry & Big Sean)	80	True	8	177	223413	['7CajNmpbOovFoOoasH2HaY', '2RdwBSPQiwcmiDo9kixcl8', '6jJ0s89eD6GaHleKKya26X', '0c173mlxpT3dSFRgMO8XPh', '4A0TivfinfALCAMJqqjZIk']	['Calvin Harris', 'Pharrell Williams', 'Katy Perry', 'Big Sean', 'Funk Wav']	5	Collaboration	2017-06-30	11.0	0.0	4.0	0.0642	0.893	0.745	0.0	0.0943	-3.105	0.0571	0.872	101.018	63186
0SGkqnVQo9KPytSri1H6cF	Bounce Back	72	True	3	179	222360	['0c173mlxpT3dSFRgMO8XPh']	['Big Sean']	1	Solo	2017-02-03	1.0	0.0	4.0	0.106	0.78	0.575	0.0	0.129	-5.628	0.139	0.273	81.502	1003
4IWAyPf1KMq7JCyGeCjTeH	Whatever It Takes	0	False	2	0	201240	['53XhwfbYqKCa1cC15pYq2q']	['Imagine Dragons']	1	Solo	2017-06-23	1.0	1.0	4.0	0.0429	0.675	0.649	0.0	0.128	-4.953	0.0315	0.537	134.955	3364
2bjwRfXMk4uRgOD9IBYl9h	Portland	74	True	11	184	236614	['3TVXtAsR1Inumwj472S9r4', '0VRj0yCOv2FXJNP47XQnx5', '0Y5tJX1MQlPlqiwlOH1tJY']	['Drake', 'Quavo', 'Travis Scott']	3	Collaboration	2017-03-18	1.0	1.0	4.0	0.0172	0.925	0.443	0.0	0.276	-8.216	0.264	0.35	136.078	11379
3B54sVLJ402zGa6Xm4YGNe	Unforgettable	86	True	2	172	233901	['6vXTefBL93Dj5IqAWq6OTv', '1zNqQNIdeOUZHb8zbZRFMX']	['French Montana', 'Swae Lee']	2	Collaboration	2017-07-14	6.0	1.0	4.0	0.0293	0.726	0.769	0.0101	0.104	-5.043	0.123	0.733	97.985	97038
6n8TMVyFKoUmDc4apxceRD	Breaking the Habit	69	False	9	184	196906	['6XyY86QOPPrYVGvF9ch6wz']	['Linkin Park']	1	Solo	2003-03-24	4.0	0.0	4.0	0.108	0.579	0.849	0.0	0.0909	-5.218	0.0303	0.581	100.021	1330
3A7qX2QjDlPnazUsRk5y0M	2U (feat. Justin Bieber)	69	False	1	181	194896	['1Cs0zKBU1kc0i8ypK3B9ai', '1uNFoZAHBGtllmzznpCI3s']	['David Guetta', 'Justin Bieber']	2	Collaboration	2017-06-09	8.0	0.0	4.0	0.219	0.548	0.65	0.0	0.225	-5.827	0.0591	0.557	144.937	124257
7JGtJqhhjYCD4hqY8thjkL	Not Mine	23	False	1	184	162909	['7licaqhcEBQUzz9FownRaJ']	['Miquela']	1	Solo	2017-08-10	8.0	1.0	4.0	0.698	0.734	0.439	4.34e-05	0.125	-8.285	0.0646	0.454	82.469	3774
6QgjcU0zLnzq5OrUoSZ3OK	Feel It Still	82	False	4	184	163253	['4kI8Ie27vjvonwaB2ePh8T']	['Portugal. The Man']	1	Solo	2017-06-16	1.0	0.0	4.0	0.0417	0.801	0.795	0.000113	0.0717	-5.115	0.0504	0.754	79.028	1088
0y9uTzK9cNKSAEHnpeRG8C	DUCKWORTH.	75	True	14	184	248613	['2YZyLoL8N0Wb9xBt1NhZWg']	['Kendrick Lamar']	1	Solo	2017-04-14	7.0	1.0	4.0	0.0536	0.552	0.731	0.0	0.258	-6.873	0.615	0.632	174.516	1364
5YCqzqb6yN6TsMOHb4FSVw	Beautiful Mess	52	False	1	184	180952	['1JjIKP5IOuEDXQVZsbUiB2']	['Kristian Kostov']	1	Solo	2017-03-13	0.0	0.0	4.0	0.419	0.408	0.506	0.0	0.108	-8.24	0.0355	0.213	125.576	13288
2dfqS3MRtbLZSZA1IL8xY5	Skepta Interlude	60	True	10	184	143213	['3TVXtAsR1Inumwj472S9r4']	['Drake']	1	Solo	2017-03-18	7.0	1.0	5.0	0.0103	0.745	0.822	4.2e-06	0.155	-6.354	0.252	0.415	86.733	3581
6XOYVSmNDjKUNMXooU4s4z	No Vacancy	0	False	1	0	223189	['5Pwc4xIPtQLFEnJriah9YJ']	['OneRepublic']	1	Solo	2017-04-28	5.0	1.0	4.0	0.0571	0.71	0.73	0.0	0.139	-4.001	0.0607	0.48	99.986	69015
4Yf5bqU3NK4kNOypcrLYwU	Faint	82	False	7	184	162600	['6XyY86QOPPrYVGvF9ch6wz']	['Linkin Park']	1	Solo	2003-03-24	4.0	1.0	4.0	0.111	0.554	0.978	0.0	0.0731	-3.554	0.131	0.594	135.095	1341
