song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
0k4d5YPDr1r7FX77VdqWez	You Right	84	True	8	184	186173	['5cj0lLjcoR7YOSnhnX0Po5', '1Xyo4u8uXC1ZmMpatF05PJ']	['Doja Cat', 'The Weeknd']	2	Collaboration	2021-06-25	8.0	1.0	4.0	0.0164	0.828	0.621	0.00233	0.0845	-6.414	0.0565	0.436	128.986	29474
1eP9DqggbRh8lD95kp3D9t	Quien No Lloro por Amor	0	False	4	0	220566	['33OAO4IlmFP9oaUUdm7TJ5']	['Grupo Sabor Sabor']	1	Solo	2020-05-22	3.0	0.0	3.0	0.556	0.674	0.652	0.0	0.541	-9.258	0.129	0.797	138.755	2129
4tvtsvgrIksr7iqzPeADXB	Desesperado (Voy A Tomar)	60	False	1	184	253173	['3ATyg4fGC9F8trfb0GRWmX', '5dbaLmK5SHLLg8Z4CcTJpX', '5DUlefCLzVRzNWaNURTFpK']	['Joey Montana', 'Greeicy', 'Cali Y El Dandee']	3	Collaboration	2020-10-09	8.0	1.0	4.0	0.0138	0.815	0.747	0.0	0.0207	-3.964	0.0674	0.734	93.992	169374
6VOb0Kkrd45Bp5RHYSla2J	Perfecta	73	False	1	184	174932	['0vR2qb8m9WHeZ5ByCbimq2', '1r4hJ1h58CWwUQe3MxPuau']	['Reik', 'Maluma']	2	Collaboration	2021-05-27	6.0	1.0	4.0	0.11	0.762	0.797	0.0	0.412	-2.641	0.107	0.787	81.994	929141
2vrpcQNg6itmgVZWsNjWe0	Un Año	75	False	3	184	163813	['07YUOmWljBTXwIseAUd9TW', '0vR2qb8m9WHeZ5ByCbimq2']	['Sebastian Yatra', 'Reik']	2	Collaboration	2019-04-12	1.0	0.0	4.0	0.14	0.773	0.378	0.0	0.133	-7.062	0.0531	0.513	94.946	288156
4cHKd6qPMR1TMx55KHlida	Notion	1	False	3	0	195120	['1QfpRUtH14JLoY6F6AYmwt']	['The Rare Occasions']	1	Solo	2016-08-05	9.0	1.0	4.0	0.0678	0.307	0.884	0.00103	0.0849	-3.825	0.0813	0.314	159.579	35495
4gC0IUJBZ6HQBy4SezYNgq	No Hay Más Que Hablar	67	False	1	184	211935	['5C4PDR4LnhZTbVnKWXuDKD']	['Morat']	1	Solo	2021-03-11	6.0	1.0	4.0	0.0685	0.676	0.866	0.0	0.0501	-3.441	0.0487	0.847	92.975	56415
4OwhwvKESFtuu06dTgct7i	Tiroteo - Remix	83	False	1	184	321555	['5FQ8tBUtIamA2hRtatrYUF', '1mcTU81TzQhprhouKaTkpq', '1aMt4A5jrQHxDYyC7rXgV0']	['Marc Seguí', 'Rauw Alejandro', 'Pol Granch']	3	Collaboration	2021-04-01	9.0	1.0	4.0	0.282	0.75	0.522	0.0	0.0743	-7.018	0.0293	0.601	110.427	1929761
4tWOrZqaelCejCT3Th8Phq	Billetes De 100	50	False	5	184	164106	['1vyhD5VmyZ7KMfW5gqLgo5', '7iK8PXO48WeuP03g8YR51W']	['J Balvin', 'Myke Towers']	2	Collaboration	2021-09-10	10.0	0.0	4.0	0.111	0.716	0.638	0.0	0.0899	-5.051	0.303	0.426	176.022	3020
63USmok1OioBzKuWGW9wAg	Nunca Es Suficiente	70	False	2	1	266213	['0ZCO8oVkMj897cKgFH7fRW', '1hcdI2N1023RvSwLzTtdsp']	['Los Ángeles Azules', 'Natalia Lafourcade']	2	Collaboration	2018-06-08	2.0	0.0	4.0	0.398	0.789	0.518	0.0	0.0891	-5.417	0.0406	0.78	94.001	330927
