song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
3gxNkvcP8scSzL6mGznTn3	Awake	66	False	9	183	226160	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2016-10-10	3.0	1.0	4.0	0.023	0.35	0.498	1.99e-06	0.269	-6.589	0.0332	0.34	142.803	216540
1wZ59VKgYD5Rho6YYvrjPB	Vou falar que não quero	63	False	1	184	186831	['3TJGVUkSJzk5ZPixMFczZX']	['Vitor Fernandes']	1	Solo	2021-02-04	4.0	1.0	4.0	0.592	0.665	0.705	3.91e-05	0.164	-5.458	0.0317	0.597	155.994	863663
5SMJjVvZMNn1XkFhxOTsh2	Zap	0	False	1	0	155281	['6TYimByryGphZCtwYopH0y']	['Lauana Prado']	1	Solo	2021-09-30	5.0	0.0	4.0	0.478	0.452	0.913	0.0	0.187	-3.369	0.0498	0.674	74.687	109988
5VTqW8raQYnj2avZ27nO2a	penhasco.	65	False	11	184	186121	['4PzYKhC14sTJNEr0dzoo0d']	['Luísa Sonza']	1	Solo	2021-07-18	8.0	0.0	4.0	0.775	0.43	0.467	0.0	0.0933	-8.56	0.051	0.382	77.249	1000241
35COLcFjvONwVv6jkG23gI	Boys Don't Cry	63	False	1	183	136011	['7FNnA9vBm6EKceENgCGRMb']	['Anitta']	1	Solo	2022-01-27	5.0	1.0	4.0	0.00178	0.589	0.842	0.0	0.113	-4.86	0.0372	0.657	164.163	23405190
78APwJSo30uWBB5PWROMNw	Para de Me Chamar Pra Trair	58	False	6	182	207251	['1yR65psqiazQpeM79CcGh8', '59jlthNnbmim5l9tmNA7se']	['Marília Mendonça', 'Maiara & Maraisa']	2	Collaboration	2021-10-14	0.0	1.0	4.0	0.561	0.548	0.506	0.0	0.076	-5.093	0.0292	0.525	79.053	1059013
0hcsxVehBlwctRQPLzE2LC	Pique, Piquezin X Cintura Ignorante	0	False	1	0	203546	['2MUXvv3lFulPYMUCtNrEBu', '2lJQn1DHF1ipwxytJBMljq', '5OjUzfzhGFTQDWfKiPcxAE']	['DJ Patrick Muniz', 'Pet & Bobii', 'MC Buraga']	3	Collaboration	2021-09-10	2.0	0.0	4.0	0.272	0.927	0.974	0.0	0.149	-0.916	0.202	0.778	130.132	1460542
6MQrN9fclpvR4nf0uJrG1x	Vou de Lala	61	True	1	184	300000	['6XFc29m1ptfUNmaa1UTuBT', '75i9GaW2MJUgt4BkdUnuUY', '6Ovxg5WDcnSQc8iQXv0IvI', '7Lmrb6KcIzfkmgbtokjsAL', '1etNnR2SdlelBQAICa2Q5m', '1S4ASTDQvMwm6jP95pIsYB', '5ncITNKBT3RMa1U2NsuE7V']	['MC Joãozinho VT', 'MC Ryan SP', 'DJ 900', 'Mc Don Juan', 'Mc Pedrinho', 'Mc Kelvinho', 'DJ BOY']	7	Collaboration	2021-06-23	9.0	0.0	4.0	0.328	0.862	0.631	0.0	0.0898	-1.066	0.177	0.5	159.974	5362780
3eSCPt6StovDAIps2XhZ2Z	Base Line	64	False	4	184	89769	['0b1sIQumIAsNbqAoIClSpy']	['j-hope']	1	Solo	2018-03-02	9.0	1.0	4.0	0.0376	0.909	0.644	0.0111	0.401	-5.32	0.203	0.228	94.982	337768
4DWKtQVURjepn8uzBgmwuv	Doutora 3	69	False	1	184	157088	['5pBMkZNIlbGTH3hrsQJqAa', '1Bp5RHQ2K9k986YoxNvACB']	['Mc Kevin', 'Perera DJ']	2	Collaboration	2021-03-31	7.0	1.0	4.0	0.11	0.882	0.419	0.0	0.215	-11.967	0.11	0.163	109.912	3793365
7cHfnWEkL5KqfLg03G7Gic	EU SOU O TREM	64	True	16	184	225600	['1WQBwwssN6r8DSjUlkyUGW', '0JjPiLQNgAFaEkwoy56B1C', '7gJN8W0589FisSYJS17K54', '4LAFtDzlQM89xov636hMVv']	['MC Cabelinho', 'L7NNON', 'Filipe Ret', 'Dallass']	4	Collaboration	2021-12-20	1.0	0.0	4.0	0.263	0.772	0.713	8e-06	0.0815	-5.693	0.0485	0.76	120.011	5513277
3hycwch1V1aCbKGlcfKg0I	Deu Meia Noite, Eu Sumi, Geral Soltando Fogos	1	True	1	0	129306	['3l4fsEzoeabsET7ddv0lZW', '5lomh7H0yuxEtZnvtSCHI1']	['Mc Delux', 'DJ MT7']	2	Collaboration	2021-11-05	5.0	0.0	4.0	0.832	0.794	0.702	0.0	0.101	1.257	0.0423	0.805	129.991	8270149
