song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
21lnmphofXWWeSSx0PEMjc	Un Ratito Mas	0	True	1	0	283001	['6w9ToX5slZ4uIdmD17hJ3c', '4q3ewBCX7sLwd24euuV69X']	['Bryant Myers', 'Bad Bunny']	2	Collaboration	2017-05-06	1.0	1.0	4.0	0.145	0.662	0.628	0.0	0.274	-3.889	0.0468	0.202	139.898	1142916
152U4ecGSiYeKm2gnFc4wA	Serenata cruel	0	False	7	0	272044	['3BBhJ4tssZm6vSQQ5xPDC1']	['Villa Cariño']	1	Solo	2013-01-01	7.0	1.0	4.0	0.166	0.553	0.789	0.0	0.0786	-4.426	0.0549	0.969	206.673	8247178
70lnL3QaSOIIyMa2X9aVRL	Perro Fiel (feat. Nicky Jam)	73	False	6	184	195213	['0EmeFodog0BfCgMzAIvKQp', '1SupJlEpv7RS2tPNRaHViT']	['Shakira', 'Nicky Jam']	2	Collaboration	2017-05-26	1.0	1.0	4.0	0.187	0.75	0.76	0.0	0.0548	-4.836	0.198	0.893	183.817	8907154
5UjhWsB5rddZEPlNUcGDLV	Condenado Para el Millon	0	False	1	0	224170	['3vQ0GE3mI0dAaxIMYe5g7z']	['Paulo Londra']	1	Solo	2017-12-04	4.0	0.0	4.0	0.00621	0.54	0.724	0.0	0.381	-5.276	0.28	0.184	149.793	447540
2rrJfOphzn4uQCK9X0x6R6	Solo	0	False	1	0	229485	['6kq4GHwUcUojGIu0ziSNXf', '1jSjfSgDjedJdi5MoyRu78']	['Amenazzy', 'Lary Over']	2	Collaboration	2017-09-19	11.0	0.0	4.0	0.245	0.805	0.48	0.00431	0.0955	-7.179	0.208	0.26	98.045	4972522
5N8nNuTmIzkZOfcxXlygUw	Ginza	0	False	13	0	171093	['1vyhD5VmyZ7KMfW5gqLgo5']	['J Balvin']	1	Solo	2016-06-24	5.0	0.0	4.0	0.187	0.763	0.812	0.000848	0.0752	-6.469	0.0792	0.828	101.95	17227
1xndOD8CreR5ctkOv5G1LN	Scooby Doo Pa Pa	0	False	1	0	145972	['431Pb5EV8KsCBGTw96ZTQ4']	['Dj Kass']	1	Solo	2017-09-12	10.0	0.0	4.0	0.0396	0.91	0.754	0.00154	0.122	-2.573	0.239	0.63	120.939	809026
5V83X8DPJ1CxO13xltF8cg	Espina	0	False	8	0	198303	['2R21vXR83lH98kGeO99Y66']	['Anuel AA']	1	Solo	2018-07-17	0.0	1.0	4.0	0.203	0.672	0.852	0.0	0.118	-3.998	0.0495	0.589	176.133	2516930
0UU6IOw7aZcUIu0iW7EfVW	No Te Vas - Remix	44	False	1	184	226946	['2ayNSoKPCRAfjp6hQ76hRu', '3E6xrwgnVfYCrCs0ePERDz', '3RtNN1VnooWEn3KQk03DUL']	['Nacho', 'Wisin', 'Noriel']	3	Collaboration	2018-04-03	8.0	1.0	4.0	0.0515	0.701	0.772	1.1e-06	0.0959	-5.458	0.184	0.801	187.971	698069
0smQWysb4n7WOVGv5YMLnF	En La Cama	1	True	3	0	157049	['1SupJlEpv7RS2tPNRaHViT', '4VMYDCV2IEDYJArk749S6m']	['Nicky Jam', 'Daddy Yankee']	2	Collaboration	2001-12-04	10.0	0.0	4.0	0.157	0.856	0.894	0.0	0.112	-4.994	0.116	0.916	104.042	17824
2Pvr8rYuh5J8V7QglJhH6W	Want You Back	0	True	1	0	173073	['5Rl15oVamLq7FbSb0NNBNy']	['5 Seconds of Summer']	1	Solo	2018-02-22	0.0	1.0	4.0	0.00748	0.608	0.873	0.0	0.196	-4.928	0.0424	0.589	98.009	23573
4GdURzJSfAFZUpa8yJWXw1	Suave (Remix)	0	False	1	0	305528	['2oQX8QiMXOyuqbcZEFsZfm']	['El Alfa']	1	Solo	2018-08-25	2.0	1.0	4.0	0.151	0.873	0.93	0.000779	0.0519	-1.859	0.0883	0.49	120.009	46384
4txQPJDlvU72lC6EMhT7m9	Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky)	57	False	1	184	212348	['2KxjMGXFgX1vt9grpbD3xI', '5W9RX9DoA3MSvQGnoIgs7X', '2wkoKEfS6dXwThbyTnZWFU']	['Dvicio', 'Jesús Reik', 'Mau y Ricky']	3	Collaboration	2018-05-04	2.0	1.0	4.0	0.0811	0.744	0.836	4.21e-06	0.166	-3.267	0.0592	0.524	91.984	25189
4COGASZEbAxmH6k5gYMo6G	0 Sentimientos (Remix) [feat. Noriel, Darkiel, Lyan, Messiah & Baby Rasta]	76	True	1	170	335736	['5bWUlnPx9OYKsLiUJrhCA1', '3RtNN1VnooWEn3KQk03DUL', '4z19QMyPVRwbd4Fs2LisBa', '2GzKA5uPf3Nef6JjkUNk4H', '0tR60pwxQ5WKjPxQcKoCQ7', '0GgyFUpOyzWDRDqx8FCTDN']	['Jon Z', 'Noriel', 'Darkiel', 'Lyan', 'Messiah', 'Baby Rasta']	6	Collaboration	2016-11-24	4.0	0.0	4.0	0.155	0.894	0.721	0.0	0.154	-5.829	0.258	0.392	107.963	1505227
0GmiGIxXDNrePrHBpijYDp	Sigue Bailandome	75	False	1	180	352441	['3rqKgkODmiyDdimpz5D3y1', '4z19QMyPVRwbd4Fs2LisBa', '5XJDexmWFLWOkjOEjOVX3e', '1GKIlPFdcewHtpDVCQ8zmJ', '7iK8PXO48WeuP03g8YR51W']	['Yannc', 'Darkiel', 'Eladio Carrion', 'Brray', 'Myke Towers']	5	Collaboration	2018-10-19	7.0	1.0	4.0	0.282	0.799	0.69	0.001	0.143	-7.252	0.1	0.682	106.034	3465790
72TyiiduRmczEbDIEtKQdR	Wasted Times	0	True	3	0	220293	['1Xyo4u8uXC1ZmMpatF05PJ']	['The Weeknd']	1	Solo	2018-03-30	10.0	0.0	4.0	0.622	0.562	0.674	2.04e-05	0.111	-6.049	0.0851	0.293	122.699	179052
6cujVaIoC0DpnAWDJfSMIo	Hipnosis	44	False	1	184	227120	['21451j1KhjAiaYKflxBjr1']	['Zion & Lennox']	1	Solo	2018-10-26	1.0	0.0	4.0	0.192	0.861	0.713	0.0	0.173	-5.205	0.116	0.565	112.024	229220
4kWO6O1BUXcZmaxitpVUwp	Jackie Chan	74	True	1	184	215759	['2o5jDhtHVPhrJdv3cEQ99Z', '5vQfv3s2Z2SRdPZKr82ABw', '0bdJZl7TDeiymDYzMJnVh2', '246dkjvS1zLTtiykXe5h60']	['Tiësto', 'Dzeko', 'Preme', 'Post Malone']	4	Collaboration	2018-05-18	3.0	0.0	4.0	0.374	0.747	0.834	0.0	0.0586	-2.867	0.045	0.687	128.005	741617
7BrsBU0BAytRDvROM4yCbn	Thunder	0	False	10	0	187146	['53XhwfbYqKCa1cC15pYq2q']	['Imagine Dragons']	1	Solo	2017-06-23	0.0	1.0	4.0	0.00763	0.601	0.809	0.0757	0.145	-4.814	0.0441	0.249	167.96	166110
1Bo5CD2Tg8di5QSJHEoHmZ	La Diabla	53	False	1	184	202693	['0OROVBEZCocg0FcgJpyBse', '1SupJlEpv7RS2tPNRaHViT']	['Alex Sensation', 'Nicky Jam']	2	Collaboration	2018-09-14	4.0	0.0	4.0	0.393	0.848	0.825	0.0	0.0498	-4.177	0.0897	0.803	102.047	2437935
