song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
7a53HqqArd4b9NF4XAmlbI	Kings & Queens	83	False	3	184	162398	['4npEfmQ6YuiwW1GpUmaq3F']	['Ava Max']	1	Solo	2020-09-18	1.0	0.0	4.0	0.00786	0.637	0.69	0.0	0.124	-4.057	0.0405	0.457	129.857	235241
3kfYN3kVPHlKYiVVvD1O21	Vyřeším cokoliv	40	True	3	184	150542	['4Vmja4orT3sZ2F3x3DanBZ']	['Hard Rico']	1	Solo	2021-12-21	2.0	1.0	4.0	0.114	0.786	0.631	0.0	0.111	-9.704	0.349	0.69	84.943	4909
65sTVVVMDnczku5Gt2PTmt	Rozdělený světy	63	True	8	184	211891	['4cG43cUBRJWWDsRh4SW48i']	['Viktor Sheen']	1	Solo	2020-10-17	9.0	0.0	4.0	0.331	0.712	0.66	5.66e-05	0.0904	-7.68	0.032	0.418	111.068	631723
1PqspSCUJPPmgRWYtp4LjI	NEXT UP	19	True	2	184	127058	['17kBe5hFUuyBKPV7sDgoxS']	['ARIAN730']	1	Solo	2022-03-03	1.0	1.0	4.0	0.0172	0.923	0.536	2.2e-05	0.0913	-7.448	0.298	0.179	136.013	5537
4mLkVgqRJMek4rFaDH2mr7	ROYAL	30	False	2	184	212513	['4RefYXMwgQ9ygWvQLmcphN', '6gvVFtkTV4OCyQSCzGgU1h']	['James Cole', 'Nik Tendo']	2	Collaboration	2022-01-20	1.0	0.0	4.0	0.589	0.764	0.605	0.0	0.141	-6.767	0.243	0.354	150.034	6570
3xakTmUd5yvAIg8IgDOqzi	Trezor	49	False	13	184	116573	['4zaslnpNr10iUFJGx0XqpM']	['Karel Gott']	1	Solo	2007-08-31	7.0	1.0	4.0	0.613	0.581	0.735	0.0	0.123	-6.989	0.059	0.888	88.259	4729
5op1X8TfWNUmJnwRzCQ3qL	Tsunami	57	False	2	184	198801	['2e3fdJ9ezTUu9Yj9f7XU08']	['DIVOKEJ BILL']	1	Solo	2018	2.0	0.0	4.0	0.0273	0.601	0.872	0.0	0.0652	-5.148	0.0868	0.719	92.007	520411
22b0wvkE2z9lFsOcWSsYoG	ztracenej v budoucnosti	29	True	38	184	95502	['721o1Z0J6jQupyzLt9RnEk', '1q8KEO90fysZqvIlqYcp5C']	['Yzomandias', 'NobodyListen']	2	Collaboration	2022-02-25	6.0	0.0	4.0	0.346	0.699	0.673	0.00286	0.269	-8.082	0.178	0.363	90.041	30906
0IuVhCflrQPMGRrOyoY5RW	she's all i wanna be	75	False	1	183	206772	['45dkTj5sMRSjrmBSBeiHym']	['Tate McRae']	1	Solo	2022-02-04	2.0	0.0	4.0	0.0134	0.614	0.644	7.07e-06	0.117	-5.372	0.0426	0.651	160.036	84476
5sAYqcQTEQbTbxdcqI4b8v	Jungle	4	False	8	0	202907	['1A96iePIMNFBjLrjXEl718']	['Emma Louise']	1	Solo	2013-03-22	7.0	0.0	4.0	0.463	0.698	0.642	0.176	0.101	-8.905	0.0288	0.703	125.994	49342
2AAyBZmMVZSZfgzXRYJOWQ	emo girl (feat. WILLOW)	1	True	1	0	159096	['6TIYQ3jFPwQSRmorSezPxX', '3rWZHrfrsPBxVy692yAIxF']	['Machine Gun Kelly', 'WILLOW']	2	Collaboration	2022-02-04	2.0	1.0	4.0	0.000406	0.41	0.881	4.26e-05	0.922	-3.502	0.087	0.357	165.006	58781
