song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
1RgFo6KCPcue2eftzmTn0f	Fade to Love	0	False	1	0	201226	['2O96kas7AXED9RLiOWvrpY']	['FOURS']	1	Solo	2017-01-27	1.0	0.0	4.0	0.113	0.661	0.731	0.0	0.326	-4.988	0.0935	0.756	94.857	35375
3up1uPuvL5vkfJ6aOeSRtD	Loin (feat. Dany Synthé & soFLY & Nius) - Pilule violette	59	False	16	184	188040	['0GOx72r5AAEKRGQFn3xqXK', '2zTuJejwDNORTLRCkQPbHy', '09M7zqUroSleD8V1Yifl4a']	['GIMS', 'Dany Synthé', 'SoFLY & Nius']	3	Collaboration	2016-08-26	7.0	0.0	4.0	0.0232	0.83	0.765	0.0159	0.0754	-4.205	0.101	0.367	102.028	22494313
2HvKuMtCu4onGhE1ONSvMb	On/Off Beziehung	0	True	13	0	245139	['75ctWsRuGXmxMxnFPkuEwA', '6pBDI6JuD02u2ZpynOYhRg']	['Fler', 'Jalil']	2	Collaboration	2017-06-30	2.0	0.0	4.0	0.306	0.864	0.432	0.0	0.133	-9.499	0.14	0.239	117.975	37726
6t2ubAB4iSYOuIpRAOGd4t	Cake - Challenge Version	58	False	5	184	157164	['0jnsk9HBra6NMjO2oANoPY', '3hPPNy5OBzCU1icQO7Nrok']	['Flo Rida', '99 Percent']	2	Collaboration	2016-12-16	2.0	1.0	4.0	0.0729	0.786	0.854	1.63e-06	0.179	-4.247	0.0523	0.687	105.078	7425687
3a1lNhkSLSkpJE4MSHpDu9	Congratulations	85	True	12	184	220293	['246dkjvS1zLTtiykXe5h60', '0VRj0yCOv2FXJNP47XQnx5']	['Post Malone', 'Quavo']	2	Collaboration	2016-12-09	6.0	1.0	4.0	0.215	0.63	0.804	0.0	0.253	-4.183	0.0363	0.492	123.146	18906540
2IDDQFHRf9iH35jeL89uNs	Please Tell Rosie	59	False	2	16	172640	['61ipISvUVa5LkJlKZnm3Oo', '67ghKnycRX6VM1xfqJSMlH']	['Alle Farben', 'YouNotUs']	2	Collaboration	2016-06-03	0.0	0.0	4.0	0.024	0.721	0.681	0.0109	0.157	-7.631	0.0488	0.768	121.978	625132
1pu1JvQGEgWefV3lxPET4L	This Christmas Day	0	False	1	0	218798	['1hJuGCUpefX24GFmss9bjH']	['Amy Macdonald']	1	Solo	2017-12-01	10.0	1.0	3.0	0.272	0.293	0.572	0.0	0.118	-6.827	0.0363	0.219	205.198	381707
6yr8GiTHWvFfi4o6Q5ebdT	'Till I Collapse	0	True	18	0	297893	['7dGJo4pcD2V6oG8kP0tJRR', '1Oa0bMld0A3u5OTYfMzp5h']	['Eminem', 'Nate Dogg']	2	Collaboration	2002-05-26	1.0	1.0	4.0	0.0748	0.551	0.851	0.0	0.0784	-3.277	0.197	0.1	171.411	9352939
1f2z9FHUZhYIVW8SQLE8L3	Wunderkerzenmenschen	6	False	1	184	217280	['5Yo5iU2nf4H41waPl4ZnS1']	['LEA']	1	Solo	2017-03-10	1.0	0.0	4.0	0.0202	0.51	0.713	6.99e-05	0.4	-5.376	0.0496	0.415	139.929	69273
7xHWNBFm6ObGEQPaUxHuKO	The Greatest (feat. Kendrick Lamar)	72	False	14	171	210226	['5WUlDfRSoLAfcVSX1WnrxN', '2YZyLoL8N0Wb9xBt1NhZWg']	['Sia', 'Kendrick Lamar']	2	Collaboration	2016-10-21	1.0	1.0	4.0	0.0102	0.668	0.725	0.000479	0.0561	-6.127	0.266	0.729	191.944	1995377
