song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
5QSYWruQQ7kBCHScI4xJ9g	Bajo El Agua	76	False	2	184	225838	['0i5iO6icb7kxg48thi9gBM']	['Manuel Medrano']	1	Solo	2015-10-30	4.0	1.0	4.0	0.767	0.616	0.454	3.48e-05	0.105	-8.504	0.0273	0.249	99.998	367202
7IpRYJ71dk98P0SmgnNLYh	Sígueme - Remix	63	False	5	184	201813	['2LRoIwlKmHjgvigdNGBHNo', '77ziqFxp5gaInVrF2lj4ht']	['Feid', 'Sech']	2	Collaboration	2019-05-17	1.0	0.0	4.0	0.62	0.685	0.515	6.44e-05	0.107	-5.662	0.241	0.664	86.492	329067
49npsHkkRrF42IxwU10Egt	YES	52	True	1	184	206186	['3ScY9CQxNLQei8Umvpx5g6', '4kYSro6naA4h99UJvo89HB', '2R21vXR83lH98kGeO99Y66', '2YKqI0pz6dY15GpzxT66HD']	['Fat Joe', 'Cardi B', 'Anuel AA', 'Dre']	4	Collaboration	2019-09-06	1.0	1.0	4.0	0.00247	0.772	0.726	0.0	0.239	-3.04	0.216	0.312	93.909	56960
2vrpcQNg6itmgVZWsNjWe0	Un Año	75	False	3	184	163813	['07YUOmWljBTXwIseAUd9TW', '0vR2qb8m9WHeZ5ByCbimq2']	['Sebastian Yatra', 'Reik']	2	Collaboration	2019-04-12	1.0	0.0	4.0	0.14	0.773	0.378	0.0	0.133	-7.062	0.0531	0.513	94.946	859628
4ziiAuFyXiY1HNSLGM1xv8	DOLLAR	59	False	1	184	203486	['4obzFoKoKRHIphyHzJ35G3', '7iK8PXO48WeuP03g8YR51W']	['Becky G', 'Myke Towers']	2	Collaboration	2019-07-10	2.0	1.0	4.0	0.232	0.862	0.5	0.0	0.657	-6.875	0.276	0.697	76.992	393801
2wgBKcBJbfxqk3Hssv2Da0	Quiereme Ahora - Remix	0	False	1	0	245916	['5rlinmh5Y0p4zfMY5qngpX', '6kq4GHwUcUojGIu0ziSNXf', '1Ts9of7VPZElwPQnqnDSfW']	['Diamond la Mafia', 'Amenazzy', 'Lyanno']	3	Collaboration	2019-05-24	1.0	1.0	4.0	0.39	0.664	0.517	0.000964	0.136	-8.292	0.0617	0.353	163.972	15655
7rFxvKtiIeCfjmn1uKxmI9	Fantasía	0	False	1	0	175186	['1i8SpTcr7yvPOmcqrbnVXY']	['Ozuna']	1	Solo	2019-11-28	2.0	1.0	4.0	0.208	0.692	0.727	0.000138	0.0995	-5.586	0.094	0.786	180.079	2427
6ycsFSUUgyOSZiz3P2o1pT	Cosita (feat. Sech)	42	False	1	183	238480	['4GAS1OgXh8D5pEA6s6eBNW', '0KPX4Ucy9dk82uj4GpKesn', '1pQWsZQehhS4wavwh7Fnxd', '77ziqFxp5gaInVrF2lj4ht']	['Valentino', 'Dalex', 'Lenny Tavárez', 'Sech']	4	Collaboration	2019-09-27	6.0	0.0	4.0	0.368	0.617	0.832	0.0	0.146	-4.508	0.228	0.739	169.8	53357
7fBZFe01vV229XUosvzbdV	Mientras Yo Este Aqui	47	False	5	184	209270	['6P6GTRTigHBp8ZesNtpCKH']	['Almighty']	1	Solo	2019-06-07	11.0	1.0	4.0	0.15	0.77	0.538	0.0	0.186	-9.254	0.286	0.599	134.996	1685
6b2RcmUt1g9N9mQ3CbjX2Y	How Do You Sleep?	74	False	1	184	202204	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2019-07-19	1.0	0.0	5.0	0.153	0.477	0.682	0.0	0.0763	-4.931	0.0925	0.345	110.567	395681
