song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
5QSYWruQQ7kBCHScI4xJ9g	Bajo El Agua	76	False	2	184	225838	['0i5iO6icb7kxg48thi9gBM']	['Manuel Medrano']	1	Solo	2015-10-30	4.0	1.0	4.0	0.767	0.616	0.454	3.48e-05	0.105	-8.504	0.0273	0.249	99.998	1246688
70lnL3QaSOIIyMa2X9aVRL	Perro Fiel (feat. Nicky Jam)	73	False	6	184	195213	['0EmeFodog0BfCgMzAIvKQp', '1SupJlEpv7RS2tPNRaHViT']	['Shakira', 'Nicky Jam']	2	Collaboration	2017-05-26	1.0	1.0	4.0	0.187	0.75	0.76	0.0	0.0548	-4.836	0.198	0.893	183.817	1126593
5UjhWsB5rddZEPlNUcGDLV	Condenado Para el Millon	0	False	1	0	224170	['3vQ0GE3mI0dAaxIMYe5g7z']	['Paulo Londra']	1	Solo	2017-12-04	4.0	0.0	4.0	0.00621	0.54	0.724	0.0	0.381	-5.276	0.28	0.184	149.793	141226
2rrJfOphzn4uQCK9X0x6R6	Solo	0	False	1	0	229485	['6kq4GHwUcUojGIu0ziSNXf', '1jSjfSgDjedJdi5MoyRu78']	['Amenazzy', 'Lary Over']	2	Collaboration	2017-09-19	11.0	0.0	4.0	0.245	0.805	0.48	0.00431	0.0955	-7.179	0.208	0.26	98.045	926308
1xndOD8CreR5ctkOv5G1LN	Scooby Doo Pa Pa	0	False	1	0	145972	['431Pb5EV8KsCBGTw96ZTQ4']	['Dj Kass']	1	Solo	2017-09-12	10.0	0.0	4.0	0.0396	0.91	0.754	0.00154	0.122	-2.573	0.239	0.63	120.939	256819
5V83X8DPJ1CxO13xltF8cg	Espina	0	False	8	0	198303	['2R21vXR83lH98kGeO99Y66']	['Anuel AA']	1	Solo	2018-07-17	0.0	1.0	4.0	0.203	0.672	0.852	0.0	0.118	-3.998	0.0495	0.589	176.133	5347
0UU6IOw7aZcUIu0iW7EfVW	No Te Vas - Remix	44	False	1	184	226946	['2ayNSoKPCRAfjp6hQ76hRu', '3E6xrwgnVfYCrCs0ePERDz', '3RtNN1VnooWEn3KQk03DUL']	['Nacho', 'Wisin', 'Noriel']	3	Collaboration	2018-04-03	8.0	1.0	4.0	0.0515	0.701	0.772	1.1e-06	0.0959	-5.458	0.184	0.801	187.971	105932
7K7MUBCnzgBAvMVW2RTWNs	Body (feat. brando)	0	False	1	0	163216	['6t1gpxYbY8OlLA7D2RiikQ', '5uEeqYFuIChoWKy34jp8xE']	['Loud Luxury', 'Brando']	2	Collaboration	2017-10-27	1.0	1.0	4.0	0.0476	0.752	0.764	9.44e-05	0.0543	-4.399	0.038	0.582	121.958	53578
4txQPJDlvU72lC6EMhT7m9	Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky)	57	False	1	184	212348	['2KxjMGXFgX1vt9grpbD3xI', '5W9RX9DoA3MSvQGnoIgs7X', '2wkoKEfS6dXwThbyTnZWFU']	['Dvicio', 'Jesús Reik', 'Mau y Ricky']	3	Collaboration	2018-05-04	2.0	1.0	4.0	0.0811	0.744	0.836	4.21e-06	0.166	-3.267	0.0592	0.524	91.984	650295
4DBnQKEkneEBbUXJVX5Kxs	Vivo Pensando En Ti (feat. Maluma)	64	False	1	184	232560	['6dexNK5MjEL8UvmA5MjSgg', '1r4hJ1h58CWwUQe3MxPuau']	['Felipe Peláez', 'Maluma']	2	Collaboration	2018-09-14	0.0	1.0	4.0	0.253	0.792	0.774	0.0	0.119	-5.339	0.0792	0.582	100.018	406749
