song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
3LGjJIBJVbPOeuYcYQUJBy	Wa7ed Wa7ed	43	False	5	0	245510	['4o6vIkdmHiEXZOesrJj3KO']	['Abyusif']	1	Solo	2018-07-15	1.0	0.0	4.0	0.575	0.722	0.563	0.00018	0.39	-8.888	0.0403	0.282	98.011	197078
7xKBeBLW0YrN1yOJbI4x4D	مهرجان غرقو السفينة مع السلامة للى عايز يمشى	0	False	1	0	248692	['054D7n62qxjhkfcBZhdRSI', '2KjiHtx0h8tyJXbg8aYRgu', '1AxlE5JCJrJzVYa0ywJQqV']	['Hamo Bika', 'Essam Sasa', 'Omar Kamal']	3	Collaboration	2020-08-31	1.0	1.0	4.0	0.485	0.753	0.785	0.0	0.216	-3.414	0.0479	0.654	89.979	4467
2C0hTkdEoikhKzDCJl32QZ	Crowded Room (feat. 6LACK)	57	False	9	179	186459	['0C8ZW7ezQVs4URX5aX7Kqx', '4IVAbR2w4JJNJDDRFP3E83']	['Selena Gomez', '6LACK']	2	Collaboration	2020-01-10	7.0	0.0	4.0	0.764	0.724	0.415	2.51e-06	0.103	-8.408	0.0518	0.328	89.999	1002
2hhizKAVm9wNn0d2N05jkG	ON - Japanese ver.	47	False	10	184	247986	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2020-07-14	9.0	0.0	4.0	0.119	0.598	0.821	0.0	0.298	-5.653	0.114	0.428	105.991	1797
6QsZcNOWHJPgkyXN92SsA9	بالسلامة -لوري2 - Remix	0	False	1	0	193854	['57UiSuUcw9m0MV4bC2DukM', '4BKC2HOGEqtYz2Xbgp9N1q']	['Molotof', 'Wegz']	2	Collaboration	2020-10-06	2.0	0.0	4.0	0.744	0.717	0.633	0.000431	0.267	-7.53	0.264	0.44	140.093	571149
7ISfKtbXfEsiVKbWqHtUF0	Donia Gedida	40	False	1	184	206103	['1dYkjdBHkbyolcShgkh2Vp', '7MGFOSQK8O3im8YslR3DLB']	['Amir Eid', 'Mahmoud El Esseily']	2	Collaboration	2020-12-13	11.0	0.0	4.0	0.206	0.864	0.714	4.06e-06	0.0942	-5.663	0.0485	0.828	114.972	34384
0Jlcvv8IykzHaSmj49uNW8	the 1	82	True	1	184	210251	['06HL4z0CvFAxyc27GXpf02']	['Taylor Swift']	1	Solo	2020-07-24	0.0	1.0	4.0	0.757	0.777	0.357	7.28e-06	0.108	-6.942	0.0522	0.172	139.883	9408
6lCoHq4ZBVAVSk83G55nnp	Fe Hetta Tanya	51	False	1	184	257695	['7MGFOSQK8O3im8YslR3DLB']	['Mahmoud El Esseily']	1	Solo	2018-04-09	3.0	0.0	4.0	0.111	0.877	0.762	3.26e-05	0.337	-7.07	0.108	0.589	126.01	1029
0GzuHFG4Ql6DoyxFRnIk3F	Hawái - Remix	73	False	1	184	200481	['1r4hJ1h58CWwUQe3MxPuau', '1Xyo4u8uXC1ZmMpatF05PJ']	['Maluma', 'The Weeknd']	2	Collaboration	2020-11-05	6.0	0.0	4.0	0.105	0.766	0.788	5.81e-06	0.142	-3.128	0.312	0.609	179.984	51170
7iAgNZdotu40NwtoIWJHFe	Bet You Wanna (feat. Cardi B)	66	False	4	129	161167	['41MozSoPIsD1dJM0CLPjZF', '4kYSro6naA4h99UJvo89HB']	['BLACKPINK', 'Cardi B']	2	Collaboration	2020-10-02	7.0	1.0	4.0	0.00465	0.653	0.662	0.0	0.0626	-6.168	0.162	0.674	111.712	15403
6kG0pgi6lc00GzIB7OKX2j	إتنين بليل	0	False	1	0	201482	['6FJeuwLBCX8VSTf6hp1Vc9']	['Lege-Cy']	1	Solo	2019-04-28	11.0	0.0	4.0	0.841	0.542	0.408	2.29e-05	0.316	-12.383	0.218	0.228	98.048	90602
0pYacDCZuRhcrwGUA5nTBe	eight(Prod.&Feat. SUGA of BTS)	75	False	1	184	167573	['3HqSLMAZ3g3d5poNaI7GOU', '0ebNdVaOfp6N0oZ1guIxM8']	['IU', 'SUGA']	2	Collaboration	2020-05-06	1.0	1.0	4.0	0.115	0.676	0.869	0.0	0.132	-1.573	0.0423	0.594	120.029	4462
6OvHZA4I4Nl1F0Brs8nPkR	الكدابين	53	False	10	184	248659	['2Wk167T0fY1fABsHM5qFcI']	['Sherine']	1	Solo	2018-10-24	5.0	1.0	4.0	0.706	0.513	0.723	8.18e-06	0.178	-5.747	0.127	0.656	169.935	72952
07KegcFokV4bBD1GvO1j6L	Respect	0	False	17	0	237540	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2020-02-21	0.0	1.0	4.0	0.00485	0.661	0.84	0.0	0.287	-4.805	0.116	0.524	91.457	3861
5v4GgrXPMghOnBBLmveLac	Savage Remix (feat. Beyoncé)	70	True	1	184	242000	['181bsRPaVXVlUKXrxwZfHK', '6vWDO969PvNqNYHIOW5v0m']	['Megan Thee Stallion', 'Beyoncé']	2	Collaboration	2020-04-29	10.0	0.0	4.0	0.016	0.822	0.743	0.0	0.127	-4.772	0.28	0.636	84.459	33630
41L3O37CECZt3N7ziG2z7l	Yummy	69	False	1	182	210426	['1uNFoZAHBGtllmzznpCI3s']	['Justin Bieber']	1	Solo	2020-01-03	9.0	0.0	4.0	0.366	0.687	0.514	0.0	0.116	-6.612	0.0897	0.494	145.921	77766
5CcPj2miBzqHAxmxE0U4mR	Thinkin of You	0	False	1	0	182471	['4yqWKyP76kYC7K6RHKxjrQ']	['Chan Se Park']	1	Solo	2020-09-18	2.0	1.0	4.0	0.812	0.577	0.492	0.00133	0.134	-10.275	0.0353	0.402	119.929	2206
3xcgXaHFeoCs0xTRJvqDGm	Cap (feat. Offset)	43	True	2	183	191047	['1nzgtKYFckznkcVMR3Gg4z', '4DdkRBBYG6Yk9Ka8tdJ9BW']	['KSI', 'Offset']	2	Collaboration	2020-05-22	10.0	0.0	4.0	0.208	0.756	0.652	0.0	0.145	-7.617	0.113	0.787	135.126	11954
6kWxIqQDsKFYCJGbU4AjCX	Hardest To Love	70	True	3	184	211400	['1Xyo4u8uXC1ZmMpatF05PJ']	['The Weeknd']	1	Solo	2020-03-20	10.0	1.0	4.0	0.0909	0.467	0.608	8.83e-05	0.125	-7.847	0.0707	0.108	80.957	21364
0FLIBDpU2S5bb6TfMB4NuQ	Killer	59	True	13	184	195008	['7dGJo4pcD2V6oG8kP0tJRR']	['Eminem']	1	Solo	2020-12-18	11.0	1.0	4.0	0.0184	0.942	0.757	0.0	0.13	-6.089	0.256	0.769	99.04	5674
1K5KBOgreBi5fkEHvg5ap3	Life Is Good (feat. Drake)	76	True	17	184	237918	['1RyvyyTE3xzB2ZywiAwp0i', '3TVXtAsR1Inumwj472S9r4']	['Future', 'Drake']	2	Collaboration	2020-05-15	2.0	0.0	4.0	0.067	0.795	0.574	0.0	0.15	-6.903	0.487	0.537	142.053	158135
1oHXeD1gQQCQUYHeHp2HMU	Discombobulated	57	True	16	184	252578	['7dGJo4pcD2V6oG8kP0tJRR']	['Eminem']	1	Solo	2020-12-18	2.0	1.0	4.0	0.049	0.714	0.763	0.0	0.129	-3.275	0.259	0.527	84.873	2938
5GkQIP5mWPi4KZLLXeuFTT	motive (with Doja Cat)	78	True	3	184	167989	['66CXWjxzNUsdJxJ2JdwvnR', '5cj0lLjcoR7YOSnhnX0Po5']	['Ariana Grande', 'Doja Cat']	2	Collaboration	2020-10-30	10.0	0.0	4.0	0.0681	0.789	0.742	0.0	0.166	-5.664	0.0652	0.661	116.965	8168
2UTTXQbNc75QGUcRKc6Djp	اللقطة	0	False	1	0	261000	['4BKC2HOGEqtYz2Xbgp9N1q']	['Wegz']	1	Solo	2019-08-25	4.0	0.0	4.0	0.575	0.777	0.765	5.56e-06	0.135	-4.946	0.0961	0.476	99.993	164295
0msg9wp8uHaxvHsMAP21q1	73	0	False	1	0	198838	['2temuX6O0rZk6lw9anAYoM']	['Arsenik']	1	Solo	2020-10-17	4.0	0.0	4.0	0.121	0.829	0.83	0.0	0.174	-3.753	0.363	0.726	90.015	8578
2DOHTSuMPxsrgeHpeF5R0y	زمبليطه	0	False	1	0	217200	['7nMcSzdtvLtrKIXIuLnxmj', '4BKC2HOGEqtYz2Xbgp9N1q']	['Wezza Montaser', 'Wegz']	2	Collaboration	2020-07-19	1.0	1.0	4.0	0.23	0.774	0.813	0.0	0.0981	-1.14	0.0395	0.411	99.976	143181
2yg7MXp8nSPaf61HVkhEr3	The Void	59	True	13	184	325413	['0fA0VVWsXO9YnASrzqfmYu']	['Kid Cudi']	1	Solo	2020-12-11	7.0	0.0	4.0	0.365	0.464	0.459	0.28	0.117	-8.736	0.0314	0.0786	142.017	1233
0Nyw7us7cRI00OXKI3fd45	Hob Omry Kimo Kono	0	False	1	0	415764	['6ZgtIJDAZHRNfnkSZI1oJt']	['7l2olo']	1	Solo	2020-06-03	4.0	0.0	4.0	0.079	0.819	0.812	0.0	0.0305	-2.078	0.0484	0.674	111.994	3142
1p7bweR9luWPPwIkAZCBZk	El Gholaf X Ozoris	0	True	1	0	240500	['56chSp36PsMhpQvUn1kdR3']	['Marwan Pablo']	1	Solo	2017-12-27	9.0	0.0	3.0	0.123	0.456	0.72	6.69e-06	0.232	-6.001	0.154	0.445	94.947	316126
6JdS5rJvJaRA7B1tcm7kxZ	Dionysus	0	False	7	0	249215	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2019-04-12	7.0	1.0	4.0	0.04	0.502	0.91	0.0	0.319	-2.769	0.107	0.588	176.084	1359
3vAn0qZzdyuHamcrpkfiX3	How You Like That	0	False	1	0	181263	['41MozSoPIsD1dJM0CLPjZF']	['BLACKPINK']	1	Solo	2020-06-26	11.0	1.0	4.0	0.0694	0.828	0.782	3.41e-05	0.0544	-4.014	0.0918	0.351	130.013	173393
0sf12qNH5qcw8qpgymFOqD	Blinding Lights	21	False	1	1	201573	['1Xyo4u8uXC1ZmMpatF05PJ']	['The Weeknd']	1	Solo	2019-11-29	1.0	1.0	4.0	0.00147	0.513	0.796	0.000209	0.0938	-4.075	0.0629	0.345	171.017	167864
1zB4vmk8tFRmM9UULNzbLB	Thunder	88	False	10	184	187146	['53XhwfbYqKCa1cC15pYq2q']	['Imagine Dragons']	1	Solo	2017-06-23	0.0	1.0	4.0	0.00671	0.605	0.822	0.134	0.147	-4.833	0.0438	0.288	167.997	56601
7qq0EOPW4RRlqdvMBmdd73	Crazy Over You	71	False	6	129	163945	['41MozSoPIsD1dJM0CLPjZF']	['BLACKPINK']	1	Solo	2020-10-02	4.0	1.0	4.0	0.0371	0.804	0.633	0.000119	0.102	-6.186	0.0612	0.67	115.002	10326
3qRGs7H1bPfshHh19syRKQ	Fady Shewaya	57	False	5	184	231735	['2N72bJ8IYB4KZmKmxz5Xkk']	['Hamza Namira']	1	Solo	2020-12-16	1.0	1.0	4.0	0.795	0.479	0.488	0.0	0.116	-8.249	0.167	0.267	96.958	7795
1OU4E4HiVjdak0mL4blVWT	Minefields	69	False	1	184	190605	['5NhgsV7qPWHZqYEMKzbYvo', '5y2Xq6xcjJb2jVM54GHK3t']	['Faouzia', 'John Legend']	2	Collaboration	2020-11-05	1.0	0.0	4.0	0.183	0.476	0.686	0.0	0.0997	-5.019	0.11	0.243	152.617	45633
58HBbapKk3oKVnHaMJmFQE	Abu Mecca	0	False	1	0	204387	['56chSp36PsMhpQvUn1kdR3']	['Marwan Pablo']	1	Solo	2019-03-04	1.0	0.0	4.0	0.115	0.709	0.729	0.00169	0.131	-6.852	0.168	0.502	155.023	477706
04zis09KAgMvMod8Eohrp1	Bad Lil Vibe (feat. Jeremih)	43	True	5	183	137544	['1nzgtKYFckznkcVMR3Gg4z', '3KV3p5EY4AvKxOlhGHORLg']	['KSI', 'Jeremih']	2	Collaboration	2020-05-22	1.0	1.0	5.0	0.0391	0.571	0.669	2.39e-06	0.363	-4.513	0.0619	0.146	117.576	2669
3ko9jEHNt4O5fjKN65ULJp	shut up	61	True	1	184	157710	['66CXWjxzNUsdJxJ2JdwvnR']	['Ariana Grande']	1	Solo	2020-10-30	0.0	1.0	4.0	0.801	0.499	0.462	0.0	0.0946	-5.308	0.0312	0.599	127.698	1588
54DmTIv86D3sYdiawjULQ0	Dis-ease	1	False	6	0	239722	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2020-11-20	8.0	1.0	4.0	0.0132	0.731	0.845	0.0	0.0782	-5.352	0.132	0.484	101.085	35970
3Ys2PYl1wyPKQIwyqhP9cQ	Stay Gold	67	False	2	184	243266	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2020-07-14	1.0	1.0	4.0	0.0892	0.723	0.634	0.0	0.0787	-5.415	0.0542	0.582	129.017	6980
7pBr36brGBNxCk3JahhyHb	واحد وعشرين	0	False	1	0	231039	['4BKC2HOGEqtYz2Xbgp9N1q']	['Wegz']	1	Solo	2020-02-23	7.0	1.0	4.0	0.324	0.645	0.685	1.05e-05	0.0739	-6.045	0.0765	0.091	90.082	1143593
69IXFxTalr8qxNDdGZ8El9	3ayz Fin	0	True	1	0	212432	['56chSp36PsMhpQvUn1kdR3']	['Marwan Pablo']	1	Solo	2018-04-25	10.0	0.0	4.0	0.0253	0.625	0.634	0.694	0.151	-7.892	0.147	0.276	147.963	397192
3SqtLj2lyYNEO4w79jAQzt	ذهاب وعودة	42	False	1	184	184000	['2BBnFUgIaLHqoRYPfshoPb']	['Marwan Moussa']	1	Solo	2020-03-13	1.0	0.0	4.0	0.655	0.599	0.669	2.89e-06	0.177	-7.485	0.335	0.485	81.606	355011
7o0v7fQ8SJKQjjA1kzSabX	Howeh El Hob	0	False	1	0	243298	['2eQ5uR5wKDEQ5zKPQyLHC1']	['Adham Nabulsi']	1	Solo	2018-11-20	2.0	1.0	4.0	0.271	0.487	0.47	0.0	0.203	-8.23	0.0736	0.213	156.182	188495
11dQTEghmS3uFipXhk1Tbl	Amnesia	59	False	3	184	178920	['6iVo62B0bdTknRcrktCmak']	['KAI']	1	Solo	2020-11-30	2.0	1.0	4.0	0.303	0.521	0.661	0.0	0.185	-4.85	0.0409	0.355	141.957	1063
7kt9e9LFSpN1zQtYEl19o1	this is me trying	79	False	9	184	195097	['06HL4z0CvFAxyc27GXpf02']	['Taylor Swift']	1	Solo	2020-07-24	9.0	1.0	4.0	0.314	0.515	0.476	4.74e-05	0.171	-9.843	0.0328	0.412	135.886	2128
6nwosrtgAwdJghlDpqeKtM	كدا كدا	0	False	1	0	255397	['4BKC2HOGEqtYz2Xbgp9N1q']	['Wegz']	1	Solo	2019-07-12	6.0	0.0	4.0	0.143	0.61	0.78	0.0	0.129	-6.255	0.0747	0.458	144.939	620480
5xOMOyJdSc66QGzSMlVBhl	Ma3lesh Asly Medalla3ha	34	False	1	184	238775	['5rCq30EbJ3DfZPKybGZj8F']	['Tamer Ashour']	1	Solo	2020-09-25	5.0	1.0	4.0	0.401	0.788	0.775	0.0113	0.0869	-9.644	0.0418	0.738	124.028	17581
2MaVjzNUXijqQM9ULZMRzq	Han AlAn	0	False	1	0	220724	['2eQ5uR5wKDEQ5zKPQyLHC1']	['Adham Nabulsi']	1	Solo	2020-11-20	0.0	0.0	4.0	0.382	0.659	0.87	0.0	0.725	-6.138	0.094	0.619	99.981	95219
6o3QUC5oAE4g6WxRIFcZtb	Wishing Well	0	True	14	0	194621	['4MCBfE4596Uoi2O4DtmEMz']	['Juice WRLD']	1	Solo	2020-07-10	9.0	0.0	4.0	0.00336	0.65	0.613	0.0	0.267	-6.13	0.128	0.0804	149.972	40728
3ZP7tCwDSNs4wQbis1zV9n	74	0	False	1	0	281758	['2temuX6O0rZk6lw9anAYoM']	['Arsenik']	1	Solo	2020-10-19	1.0	1.0	4.0	0.191	0.648	0.685	0.0	0.04	-9.188	0.388	0.806	180.037	7213
7o3Mcis1uKcYDuuJD1W0Rm	King Of The Fall	64	True	1	184	301594	['1Xyo4u8uXC1ZmMpatF05PJ']	['The Weeknd']	1	Solo	2020-09-25	4.0	0.0	4.0	0.101	0.585	0.757	0.0	0.273	-4.752	0.0599	0.208	78.018	1209
4Q34FP1AT7GEl9oLgNtiWj	Mr. Right Now (feat. Drake)	76	True	4	184	193838	['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp', '3TVXtAsR1Inumwj472S9r4']	['21 Savage', 'Metro Boomin', 'Drake']	3	Collaboration	2020-10-02	5.0	1.0	4.0	0.231	0.647	0.667	0.0	0.133	-5.563	0.304	0.704	172.08	7248
2vSLxBSZoK0eha4AuhZlXV	Mahragan Bent El Geran	59	False	1	184	183027	['62IUrFqq28x2SbRdzm9sQt', '1AxlE5JCJrJzVYa0ywJQqV']	['Hassan Shakosh', 'Omar Kamal']	2	Collaboration	2020-01-27	8.0	0.0	4.0	0.142	0.87	0.86	0.0	0.327	-1.53	0.0966	0.688	104.961	954593
6jdmXmqrbCqLqwin2W0hmj	Mesa	33	True	1	0	170009	['4o6vIkdmHiEXZOesrJj3KO']	['Abyusif']	1	Solo	2020-10-29	6.0	0.0	4.0	0.665	0.752	0.378	2.54e-05	0.097	-11.732	0.188	0.428	79.999	187772
3VLykmyUx8XKraa9SWQgKO	Fokak	46	False	1	184	212065	['02T4vKIGje48LHpXmJoEwo', '4U7K3Xm1CXe5FpBGYUcHUZ']	['Double Zuksh', '3enba']	2	Collaboration	2020-12-07	2.0	1.0	4.0	0.228	0.783	0.919	1.44e-06	0.206	-2.053	0.103	0.717	95.041	130049
4wVOKKEHUJxHCFFNUWDn0B	Chicago Freestyle (feat. Giveon)	84	True	3	184	220487	['3TVXtAsR1Inumwj472S9r4', '4fxd5Ee7UefO4CUXgwJ7IP']	['Drake', 'Giveon']	2	Collaboration	2020-05-01	10.0	1.0	4.0	0.629	0.735	0.449	0.0	0.113	-7.507	0.347	0.0397	122.947	3470
24Yi9hE78yPEbZ4kxyoXAI	Roses - Imanbek Remix	82	True	1	162	176840	['0H39MdGGX6dbnnQPt6NQkZ', '5rGrDvrLOV2VV8SCFVGWlj']	['SAINt JHN', 'Imanbek']	2	Collaboration	2019-10-09	8.0	1.0	4.0	0.0167	0.77	0.724	0.0107	0.353	-5.484	0.0495	0.898	121.975	489022
5CpsIb7SMFHjmAG8RvIWfq	Leaving Heaven (feat. Skylar Grey)	61	True	9	179	265946	['7dGJo4pcD2V6oG8kP0tJRR', '4utLUGcTvOJFr6aqIJtYWV']	['Eminem', 'Skylar Grey']	2	Collaboration	2020-01-17	2.0	0.0	3.0	0.175	0.661	0.748	0.0	0.254	-4.809	0.206	0.509	171.983	25052
1H7KnK26kc1YyellpbINEn	The Woo (feat. 50 Cent & Roddy Ricch)	76	True	10	184	201600	['0eDvMgVFoNV3TpwtrVCoTj', '3q7HBObVc0L8jNeTe5Gofh', '757aE44tKEUQEqRuT6GnEB']	['Pop Smoke', '50 Cent', 'Roddy Ricch']	3	Collaboration	2020-07-03	1.0	1.0	4.0	0.0221	0.49	0.618	3.77e-06	0.259	-5.655	0.104	0.286	99.7	13706
