song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
3O3m3teyLgPOagq8ndAXG2	Ódiame	0	False	4	0	205289	['1dbp04JzZ81JXlMGupCnJ8']	['Antonio José']	1	Solo	2017-11-03	0.0	1.0	4.0	0.313	0.763	0.817	0.0	0.132	-4.069	0.104	0.677	93.993	187227
2v366mscVvcgnDUm7i1Mk0	Girasoles	35	False	1	184	220000	['5soMpG6E6oApEiCZgrWeVz']	['Rozalén']	1	Solo	2017-06-23	1.0	1.0	4.0	0.349	0.721	0.785	2.43e-06	0.0849	-4.06	0.148	0.942	90.181	106462
21lnmphofXWWeSSx0PEMjc	Un Ratito Mas	0	True	1	0	283001	['6w9ToX5slZ4uIdmD17hJ3c', '4q3ewBCX7sLwd24euuV69X']	['Bryant Myers', 'Bad Bunny']	2	Collaboration	2017-05-06	1.0	1.0	4.0	0.145	0.662	0.628	0.0	0.274	-3.889	0.0468	0.202	139.898	1408212
0bMRpUsk1IWi5O2NIkWsqR	Mayor Que Yo 3	42	False	3	2	309266	['5pZE9tgrhmIGWAsJZ7YxNK', '4VMYDCV2IEDYJArk749S6m', '33ScadVnbm2X8kkUqOkC6Z', '1wZtkThiXbVNtj6hee6dz9']	['Luny Tunes', 'Daddy Yankee', 'Don Omar', 'Wisin & Yandel']	4	Collaboration	2016-04-22	1.0	0.0	4.0	0.0918	0.756	0.957	0.0	0.212	-3.615	0.113	0.458	92.006	265364
6t2ubAB4iSYOuIpRAOGd4t	Cake - Challenge Version	58	False	5	184	157164	['0jnsk9HBra6NMjO2oANoPY', '3hPPNy5OBzCU1icQO7Nrok']	['Flo Rida', '99 Percent']	2	Collaboration	2016-12-16	2.0	1.0	4.0	0.0729	0.786	0.854	1.63e-06	0.179	-4.247	0.0523	0.687	105.078	253387
3a1lNhkSLSkpJE4MSHpDu9	Congratulations	85	True	12	184	220293	['246dkjvS1zLTtiykXe5h60', '0VRj0yCOv2FXJNP47XQnx5']	['Post Malone', 'Quavo']	2	Collaboration	2016-12-09	6.0	1.0	4.0	0.215	0.63	0.804	0.0	0.253	-4.183	0.0363	0.492	123.146	2504553
70lnL3QaSOIIyMa2X9aVRL	Perro Fiel (feat. Nicky Jam)	73	False	6	184	195213	['0EmeFodog0BfCgMzAIvKQp', '1SupJlEpv7RS2tPNRaHViT']	['Shakira', 'Nicky Jam']	2	Collaboration	2017-05-26	1.0	1.0	4.0	0.187	0.75	0.76	0.0	0.0548	-4.836	0.198	0.893	183.817	20139358
5PYPCxyWltRIyPkhSsnWIk	"Engagement Party - From ""La La Land"" Soundtrack"	0	False	11	0	87213	['2snm3HmsnDUDxbIChdl2Oj']	['Justin Hurwitz']	1	Solo	2016-12-09	3.0	1.0	4.0	0.992	0.414	0.0595	0.912	0.116	-23.003	0.0392	0.302	82.777	243238
63udHMyYjnnnojax4x26tO	"Yo Contigo, Tú Conmigo - The Gong Gong Song / El Tema De La Película ""Gru 3 Mi Villano Favorito"""	0	False	18	0	177946	['5C4PDR4LnhZTbVnKWXuDKD', '2urF8dgLVfDjunO0pcHUEe']	['Morat', 'Alvaro Soler']	2	Collaboration	2017-06-23	10.0	0.0	4.0	0.248	0.729	0.667	0.0	0.0657	-6.87	0.143	0.869	94.016	52375
5N8nNuTmIzkZOfcxXlygUw	Ginza	0	False	13	0	171093	['1vyhD5VmyZ7KMfW5gqLgo5']	['J Balvin']	1	Solo	2016-06-24	5.0	0.0	4.0	0.187	0.763	0.812	0.000848	0.0752	-6.469	0.0792	0.828	101.95	329933
7xHWNBFm6ObGEQPaUxHuKO	The Greatest (feat. Kendrick Lamar)	72	False	14	171	210226	['5WUlDfRSoLAfcVSX1WnrxN', '2YZyLoL8N0Wb9xBt1NhZWg']	['Sia', 'Kendrick Lamar']	2	Collaboration	2016-10-21	1.0	1.0	4.0	0.0102	0.668	0.725	0.000479	0.0561	-6.127	0.266	0.729	191.944	2355985
01uk7IzZyFNfQTDBXxx6NB	One Last Song	62	False	3	183	192922	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2017-11-03	1.0	1.0	3.0	0.367	0.672	0.53	0.0	0.321	-6.43	0.0284	0.485	103.326	54324
3VRk65lHSwqd90TAkQqhvB	Swish Swish	0	True	1	0	242173	['6jJ0s89eD6GaHleKKya26X', '0hCNtLu0JehylgoiP8L4Gh']	['Katy Perry', 'Nicki Minaj']	2	Collaboration	2017-05-18	5.0	0.0	4.0	0.0182	0.835	0.719	1.9e-05	0.127	-5.167	0.0559	0.532	119.946	395067
6e8VRfJBGDJzS6EDcfokIq	Diez Mil Porqués	0	False	8	0	210151	['0ZHPrnImGh4re3TbSNkoZl']	['Beret']	1	Solo	2016-08-12	7.0	0.0	4.0	0.319	0.718	0.611	0.0	0.132	-7.502	0.083	0.597	139.917	1043916
4GEQd6D1NeNjpf0pbOgJSO	Mama	0	False	1	0	181614	['1HBjj22wzbscIZ9sEb5dyf', '5exS0bytCYdixgv02DaCm3']	['Jonas Blue', 'William Singe']	2	Collaboration	2017-07-14	11.0	0.0	4.0	0.105	0.742	0.791	0.0	0.0533	-4.277	0.0479	0.534	104.059	366891
3Jm5V8NY6mTkc6BsHNHrue	Vuelve Conmigo	0	False	1	0	205729	['1ackd5XprZEkH3McKbQD51', '0HXAyVdQVNTCNHgbBAPxfA']	['Juan Magán', 'Rangel']	2	Collaboration	2017-09-29	8.0	0.0	4.0	0.0248	0.77	0.681	0.0	0.116	-5.084	0.0435	0.639	106.025	50071
3sfqLySUowgIGDwnzrpepZ	Espíritu Olímpico	38	False	10	184	256835	['0N1TIXCk9Q9JbEPXQDclEL', '0Wn7tfH4rhaWTn8aMqSgh6']	['Los Planetas', 'La Bien Querida']	2	Collaboration	2017-03-24	4.0	1.0	4.0	0.000314	0.375	0.865	0.0755	0.148	-7.945	0.0339	0.701	147.887	28725
6yf3MxEOScNBTYCHOAIiNQ	Instruction (feat. Demi Lovato & Stefflon Don)	55	True	1	182	165466	['4Q6nIcaBED8qUel8bBx6Cr', '6S2OmqARrzebs0tKUEyXyp', '2ExGrw6XpbtUAJHTLtUXUD']	['Jax Jones', 'Demi Lovato', 'Stefflon Don']	3	Collaboration	2017-06-16	9.0	0.0	4.0	0.102	0.767	0.929	0.0	0.0921	-3.08	0.185	0.923	121.087	25581
5EnYT6F7wEcdege6mDHEfO	Signs	0	False	1	0	234373	['3TVXtAsR1Inumwj472S9r4']	['Drake']	1	Solo	2017-06-23	0.0	1.0	4.0	0.0864	0.801	0.727	0.00406	0.112	-4.687	0.0606	0.218	107.371	2189485
3vgNmjuRDnGLxUFGCLkwpm	Light My Body Up (feat. Nicki Minaj & Lil Wayne)	48	False	1	181	225616	['1Cs0zKBU1kc0i8ypK3B9ai']	['David Guetta']	1	Solo	2017-03-23	6.0	0.0	4.0	0.00365	0.699	0.66	0.0	0.139	-7.013	0.0861	0.689	145.937	177456
2NVGEMT5nmKgJpRE8tUGAy	Chasing Pavements - Operación Triunfo 2017	0	False	1	0	139125	['7eLcDZDYHXZCebtQmVFL25']	['Aitana']	1	Solo	2017-12-19	4.0	1.0	4.0	0.675	0.582	0.639	0.0	0.136	-4.278	0.0347	0.387	79.944	210370
6cPyTS0Kk2sc4xQwC93kOg	Break Up Every Night	54	True	2	184	207520	['69GGBxA162lTqCwzJG5jLp']	['The Chainsmokers']	1	Solo	2017-04-07	1.0	1.0	4.0	0.00411	0.624	0.806	0.0	0.0872	-5.957	0.0437	0.528	149.999	109410
2EoOZnxNgtmZaD8uUmz2nD	Black Hole Sun	80	False	7	184	318586	['5xUf6j4upBrXZPg6AI4MRK']	['Soundgarden']	1	Solo	1994-03-09	6.0	1.0	4.0	0.000217	0.35	0.828	0.000161	0.0774	-5.373	0.041	0.147	105.435	23027
2YMyVYNLmFDD0KGtNkkgFa	Kissing Strangers	0	True	1	0	202480	['6T5tfhQCknKG4UnH90qGnz', '0hCNtLu0JehylgoiP8L4Gh']	['DNCE', 'Nicki Minaj']	2	Collaboration	2017-04-14	7.0	1.0	4.0	0.0506	0.776	0.741	0.0	0.0701	-5.804	0.041	0.854	120.079	178427
11Fo4dAH31K7UZHGqCkCmE	I Love You	0	True	1	0	191000	['2XnBwblw31dfGnspMIwgWz', '6KZDXtSj0SzGOV705nNeh3']	['Axwell /\\ Ingrosso', 'Kid Ink']	2	Collaboration	2017-02-10	0.0	1.0	4.0	0.336	0.654	0.859	0.0	0.0947	-4.321	0.166	0.704	114.87	89841
3eR23VReFzcdmS7TYCrhCe	It Ain't Me (with Selena Gomez)	80	False	1	183	220780	['23fqKkggKUBHNkbKtXEls4', '0C8ZW7ezQVs4URX5aX7Kqx']	['Kygo', 'Selena Gomez']	2	Collaboration	2017-02-16	0.0	1.0	4.0	0.119	0.64	0.533	0.0	0.0864	-6.596	0.0706	0.515	99.968	24404052
15dnkAHcHC0vrIUlbiPiqU	I Don’t Know Why	0	False	1	0	190120	['53XhwfbYqKCa1cC15pYq2q']	['Imagine Dragons']	1	Solo	2017-06-23	2.0	1.0	4.0	0.0058	0.475	0.657	8.81e-06	0.181	-7.381	0.0708	0.0707	132.071	110979
4K6kgwifpSo3xVVPztMILM	Me Haces Falta	0	False	1	0	208210	['1dbp04JzZ81JXlMGupCnJ8']	['Antonio José']	1	Solo	2017-10-27	7.0	1.0	4.0	0.501	0.565	0.867	0.0	0.0891	-2.745	0.282	0.52	197.731	220013
1UZOjK1BwmwWU14Erba9CZ	Malibu	79	False	2	184	231906	['5YGY8feqx7naU7z4HrwZM6']	['Miley Cyrus']	1	Solo	2017-09-29	8.0	1.0	4.0	0.0767	0.573	0.781	2.64e-05	0.0813	-6.406	0.0555	0.343	139.934	2192692
3E2Zh20GDCR9B1EYjfXWyv	Weak	0	False	3	0	201160	['6s22t5Y3prQHyaHWUN1R1C']	['AJR']	1	Solo	2017-06-09	5.0	1.0	4.0	0.137	0.673	0.637	0.0	0.184	-4.518	0.0429	0.678	123.98	1358237
28baA91bOjAcIlIF2il0aH	Hacia Belen va Una Burra	10	False	2	184	135573	['49iliMsEPTb3WSr1ZjQPdq']	['Villancicos']	1	Solo	2010-08-20	10.0	1.0	3.0	0.0761	0.619	0.715	0.0	0.0801	-4.939	0.0418	0.954	90.645	36680
3NaEzk0OFnezhFFGqZNyYz	Destino o Casualidad	0	False	2	184	258746	['1EXjXQpDx2pROygh8zvHs4']	['Melendi']	1	Solo	2016-11-11	2.0	1.0	4.0	0.249	0.596	0.532	0.0	0.0977	-8.355	0.17	0.365	77.011	621851
53e5O0USYgSCv4md0CXpMY	Brave For You	0	False	7	0	253093	['3iOvXCl6edW5Um0fXEBRXy']	['The xx']	1	Solo	2017-01-13	10.0	0.0	4.0	0.664	0.54	0.417	0.000425	0.106	-11.048	0.0307	0.281	134.762	16204
0wru6HfqrQGzzQj5XUScvS	Y, ¿Si Fuera Ella? - + Es +	31	False	1	181	250000	['5M9Bb4adKAgrOFOhc05Y50', '5gOJTI4TusSENizxhcG7jB', '1YVEF2N8QHkkQ84LM51Xyo', '1mX1TWKpNxDSAH16LgDfiR', '0UWZUmn7sybxMCqrw9tGa7', '3TLGNOdp1UWYMnV5XG9HkR', '5kSJMVPcTITrSZxTrHllVN', '6FOpWOxsjQxKEbLiJpU1xV', '1ADdpen72RPuafRcv0YRBf', '6UelqIK8qwhWFc2f6nSEh8', '2e4nwiX8ZCU09LGLOpeqTH', '6HTUcOExehqydqa7C3usAa', '5soMpG6E6oApEiCZgrWeVz', '0EmeFodog0BfCgMzAIvKQp', '264nbMzGPSkDZqTY8nXwCG', '7qAoXV4U0qDxQAUqhszjAA', '4uyqaioPEdClDxU6zvYlAZ']	['Pablo Alborán', 'David Bisbal', 'Antonio Carmona', 'Jesse & Joy', 'Juanes', 'Malú', 'Vanesa Martín', 'India Martinez', 'Antonio Orozco', 'Niña Pastori', 'Laura Pausini', 'Abel Pintos', 'Rozalén', 'Shakira', 'Tommy Torres', 'Manuel Carrasco', 'Pablo López']	17	Collaboration	2017-05-19	5.0	1.0	4.0	0.34	0.348	0.536	0.0	0.185	-5.76	0.0313	0.199	150.586	84574
