song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
0WLhJ2NBuZHuoHY8pLVHJ0	Contact (feat. Tyga)	55	True	1	184	155913	['137W8MRPWKqSmrBGDBFSop', '5LHRHt1k9lMyONurDHEdrp']	['Wiz Khalifa', 'Tyga']	2	Collaboration	2020-03-23	8.0	1.0	4.0	0.00181	0.84	0.692	0.0	0.344	-5.399	0.0356	0.145	100.046	28448
2tdPYrPGoA4im1KgIIfO3v	Santa's Sleigh Ride	0	False	2	0	153909	['5ciwlwIsf2Mqbp7ocXxB5O']	['Returning Visitors']	1	Solo	2016-11-10	4.0	1.0	3.0	0.104	0.195	0.748	9.47e-06	0.144	-5.467	0.0431	0.577	66.867	13306
4Y7XAxTANhu3lmnLAzhWJW	Fireball (feat. John Ryan)	78	False	3	184	236200	['0TnOYISbd1XYRBk9myaseg', '3s73tswJycj6HTBNNN393z']	['Pitbull', 'John Ryan']	2	Collaboration	2014-11-21	10.0	1.0	4.0	0.0908	0.761	0.933	8.53e-05	0.0607	-5.38	0.056	0.836	122.959	38739
7a53HqqArd4b9NF4XAmlbI	Kings & Queens	83	False	3	184	162398	['4npEfmQ6YuiwW1GpUmaq3F']	['Ava Max']	1	Solo	2020-09-18	1.0	0.0	4.0	0.00786	0.637	0.69	0.0	0.124	-4.057	0.0405	0.457	129.857	283873
4WaAqDS4JWsX5AyP2TrR9N	Parisängyn lakanat - Vain elämää kausi 11	34	False	1	184	195761	['69grVcN5UQeX34dKNyV1ut']	['Mariska']	1	Solo	2020-11-27	10.0	0.0	4.0	0.718	0.558	0.289	0.0	0.211	-7.941	0.0256	0.228	92.962	200038
5mu5gQNiIc2zSkKWyyscvw	Varovasti nyt	17	False	7	184	237933	['1RJkmcXtvDdyhfn2PbrZzQ']	['Egotrippi']	1	Solo	2020-10-09	2.0	1.0	4.0	0.646	0.464	0.372	0.0368	0.114	-10.731	0.0281	0.442	148.196	8736
1WZVMMs9SHT3A3wmkiD81A	Kiitos ja anteeks (feat. Juno)	5	False	1	184	217545	['5REEWLr2Pv2JBoXUkVbM9M', '5iFuIxdmHNEiGJaR49TLL9']	['Matara', 'Juno']	2	Collaboration	2020-09-30	3.0	1.0	4.0	0.121	0.633	0.788	8.31e-06	0.0977	-3.502	0.0876	0.412	169.943	7132
02uMHaAzIPAc1jkqL5OLFn	Let it Snow	3	False	1	184	176960	['4lOUnrEGOtfRt4HNPCBnjV']	['Blue Street Players']	1	Solo	2016-11-14	1.0	1.0	4.0	0.936	0.62	0.206	0.0	0.106	-9.611	0.0289	0.327	90.441	14489
7JnSaKDaIWYyMHj4Cai7JO	Don't Hurt Yourself	19	False	1	184	189059	['1p1Q1tRavrbMGCgJdf9G0H']	['Tomi Saario']	1	Solo	2020-04-24	2.0	1.0	4.0	0.267	0.77	0.65	0.0	0.119	-5.395	0.047	0.675	100.028	7476
4P6IttK2PRBjyr3fm0pP7t	Past Life (with Selena Gomez)	1	False	1	0	186480	['7uaIm6Pw7xplS8Dy06V6pT', '0C8ZW7ezQVs4URX5aX7Kqx']	['Trevor Daniel', 'Selena Gomez']	2	Collaboration	2020-06-26	3.0	1.0	4.0	0.104	0.612	0.539	0.0	0.18	-5.071	0.0488	0.294	79.948	42445
5lFMr8TTExnePVk3iitQb3	Bööna (feat. Jada Kingdom & VG+)	23	False	1	184	176800	['7jxDHM0eMYkiSXHc5tPqSr', '2FgooFaZzZy6PUyJImk0kG', '0pgj6baVfMHvEF8XpDcTp4']	['Särre', 'Jada Kingdom', 'VG+']	3	Collaboration	2020-11-20	8.0	0.0	4.0	0.269	0.689	0.853	2.91e-05	0.358	-5.65	0.0513	0.891	97.963	55182
3GyWUTxCgfJYGNMDBGnkUX	4:20	21	False	1	184	181360	['61ZSrIBRin3VT35hbvS5UE']	['Tuomas Kauhanen']	1	Solo	2020-08-28	11.0	0.0	4.0	0.0794	0.817	0.458	4.54e-05	0.361	-5.702	0.214	0.416	83.993	122688
