song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
0vUCn7o1ZK4CRtngYRZwPL	Vaillante	52	True	2	184	149722	['2k8fAJK9HbH1FhqVpZL98P']	['YL']	1	Solo	2020-04-16	7.0	1.0	4.0	0.174	0.807	0.669	0.00236	0.15	-7.181	0.217	0.57	100.043	9794458
3dGhQjzwvD5pdt4eRz15Ux	Embourgeoisé	34	True	6	184	247164	['5RaQ9nmVGoTye2SI76x3yw', '1ntQKIMIgESKpKoNXVBvQg']	['Kofs', 'Kaaris']	2	Collaboration	2020-02-20	7.0	0.0	4.0	0.243	0.711	0.856	0.0	0.119	-4.252	0.434	0.556	133.832	808346
7a53HqqArd4b9NF4XAmlbI	Kings & Queens	83	False	3	184	162398	['4npEfmQ6YuiwW1GpUmaq3F']	['Ava Max']	1	Solo	2020-09-18	1.0	0.0	4.0	0.00786	0.637	0.69	0.0	0.124	-4.057	0.0405	0.457	129.857	100827
0vb7p9eWVKyk3mPGc0DBBk	Pas maintenant	35	False	13	184	158066	['0xECfhlRzRRIIe2Co5HX6n']	['Squeezie']	1	Solo	2020-09-25	0.0	0.0	4.0	0.266	0.795	0.651	6.25e-05	0.235	-5.953	0.0943	0.692	125.0	53956
2AJ5AOcNn0NsvP9Jaw2FX8	Daishi	27	False	1	184	220160	['4eYnorQRhVHT2KBl2UyHHd']	['Vegedream']	1	Solo	2020-02-12	5.0	0.0	4.0	0.324	0.71	0.584	0.0	0.0842	-6.614	0.0369	0.806	101.995	48615
6akYl189fv2Yte1cN9Ptze	Comme un voyou	0	True	9	0	215986	['3IW7ScrzXmPvZhB27hmfgy', '5QuZ9HdvnXcX8kEG782Phv']	['Jul', 'Le Rat Luciano']	2	Collaboration	2020-12-18	0.0	1.0	4.0	0.24	0.833	0.915	0.000939	0.0862	-4.973	0.174	0.801	139.0	775062
06yMmDMamTHyLnLoCYLEVu	Combien	42	True	2	184	197933	['4MRRW42s9ymwa5zu4xTKJh']	['Kaza']	1	Solo	2020-03-06	4.0	0.0	4.0	0.0498	0.667	0.634	0.0	0.201	-6.977	0.0534	0.423	159.091	1196693
4pz5MuwzRj2COGZfTeZXNW	Sportback (feat. Hornet La Frappe)	35	True	1	184	181266	['2LUi4eKMEFKFM4awgurcSs', '1kwzW1IszUiq4Gs9BFesvW']	['4Keus', 'Hornet La Frappe']	2	Collaboration	2020-10-16	6.0	0.0	4.0	0.301	0.83	0.647	0.0	0.145	-6.224	0.102	0.708	130.029	361824
6kXjsO0sGgaiR2wKN5uSz7	TOUT GACHER	46	True	1	184	162306	['0zhMujl1yB8pkB023Qm4Y2', '58wXmynHaAWI5hwlPZP3qL']	['Green Montana', 'Booba']	2	Collaboration	2020-10-15	6.0	1.0	4.0	0.183	0.723	0.725	0.0003	0.0889	-5.782	0.0916	0.645	171.916	1274485
5RpMU2TY4rrNs4tJrshQir	Servis	33	True	1	184	200040	['0xECfhlRzRRIIe2Co5HX6n', '1lB3I3SI30v2ZOpR4XQqzJ']	['Squeezie', 'Gambi']	2	Collaboration	2020-09-04	3.0	0.0	4.0	0.124	0.724	0.633	0.00665	0.0885	-5.65	0.0458	0.633	116.963	625481
6cT5gdnhkKAXo7ZUfTFwUg	"Épisode III - ""Les mains libres"""	0	False	4	0	197500	['1cYA2rnKwpVYe9iVH3Djjm']	['Yuzmv']	1	Solo	2020-02-28	9.0	0.0	4.0	0.851	0.75	0.355	0.0	0.0985	-11.433	0.163	0.531	129.799	1370600
0ZgS1ThlLDBfoSLwLc8AfO	Mec de cité	42	True	10	184	199737	['09E5z6upwkmwTKX8LGQgMo', '6Te49r3A6f5BiIgBRxH7FH', '3DCWeG2J1fZeu0Oe6i5Q6m']	['Yaro', 'Ninho', 'PLK']	3	Collaboration	2020-02-13	0.0	1.0	4.0	0.455	0.805	0.705	2.69e-05	0.191	-6.492	0.221	0.451	117.992	10796033
5rRMqUvxsXV5XH7GuXT4ng	J'ai mal	0	False	12	0	194853	['7gU9VyFRN3JWPJ5oHOil60']	['Tayc']	1	Solo	2020-12-04	3.0	0.0	4.0	0.0466	0.768	0.673	5.66e-05	0.109	-4.695	0.16	0.824	102.972	146365
6d1nCbLfLPLl1mTqIzqwPc	But en or	52	True	6	184	179533	['6ytOHdKh4xt4YvF7tz8Zcv', '2UwqpfQtNuhBwviIC0f2ie']	['Kalash Criminel', 'Damso']	2	Collaboration	2020-11-20	2.0	1.0	3.0	0.186	0.635	0.579	0.000715	0.0992	-7.334	0.417	0.305	96.27	2823796
5mZpq33J8jsDVQ42TmjizK	Mr. Santa	16	False	6	184	180213	['4XFHYoa2KBjGAJCPgf0eZb']	['The Tesca Country Clan']	1	Solo	2010-11-23	7.0	0.0	4.0	0.768	0.824	0.506	1.73e-06	0.125	-11.338	0.0337	0.835	115.46	216618
1SVuEeerYIwjCRsF5MGzX3	Mayday (feat. Ninho)	64	True	3	184	209786	['2kXKa3aAFngGz2P4GjG5w2', '6Te49r3A6f5BiIgBRxH7FH']	['SCH', 'Ninho']	2	Collaboration	2019-11-29	9.0	0.0	4.0	0.605	0.614	0.596	5.3e-06	0.0945	-7.664	0.357	0.248	152.138	11120519
1lwQTwJhrUv3otG96hCb2B	4 litres 2 - Freestyle	0	True	16	0	185760	['5olcgTzelGdyP1rHRLyWgs']	['S.Pri Noir']	1	Solo	2020-04-17	8.0	1.0	4.0	0.0862	0.793	0.562	0.0	0.112	-8.645	0.128	0.137	128.098	44338
2dFHYty5ILeK7fOergMJuL	Atterrissage	0	False	1	0	214573	['4krMq8pXkLVTGplpYgHlnV']	['Ronisia']	1	Solo	2020-06-10	6.0	1.0	4.0	0.609	0.807	0.599	0.0	0.0684	-6.784	0.0859	0.771	83.966	232742
5NhOdJFms3DKXuitc9rSoL	PUFF PUFF PUFF	59	True	4	184	163386	['1lB3I3SI30v2ZOpR4XQqzJ']	['Gambi']	1	Solo	2020-07-10	0.0	0.0	4.0	0.00664	0.765	0.595	0.0	0.344	-6.442	0.084	0.737	136.963	12013706
7hrZQ1Z5Cyw9Y8LghrckoZ	Police	48	True	9	184	222173	['6L34dW6SKMSDaGIfYDU19j']	['Maes']	1	Solo	2020-01-16	5.0	1.0	4.0	0.114	0.819	0.601	0.0	0.0945	-8.141	0.044	0.271	140.02	6231093
4sPZ6euGsdJxOE37TeF4MD	The Dirt	0	False	1	0	152786	['7jEEE187pVG6InOxn03oA5']	['Benjamin Ingrosso']	1	Solo	2020-01-17	6.0	0.0	4.0	0.638	0.665	0.599	1.75e-06	0.105	-8.844	0.13	0.349	110.906	156139
5Nxk6X7Tl66buBS9b7fWW8	Calibré	31	True	7	184	214573	['4MRRW42s9ymwa5zu4xTKJh']	['Kaza']	1	Solo	2020-03-06	9.0	0.0	4.0	0.218	0.738	0.7	0.0	0.126	-6.855	0.0351	0.514	129.992	74755
1bxP4M9ICllcg7mel8kH89	Reine	69	False	6	184	199266	['4sbXXFzEWJY2zsZjelerjX']	['Dadju']	1	Solo	2017-11-24	2.0	1.0	4.0	0.76	0.399	0.395	0.0	0.0815	-10.782	0.0593	0.704	98.174	33731
0GzuHFG4Ql6DoyxFRnIk3F	Hawái - Remix	73	False	1	184	200481	['1r4hJ1h58CWwUQe3MxPuau', '1Xyo4u8uXC1ZmMpatF05PJ']	['Maluma', 'The Weeknd']	2	Collaboration	2020-11-05	6.0	0.0	4.0	0.105	0.766	0.788	5.81e-06	0.142	-3.128	0.312	0.609	179.984	248761
74gvfUeukgShMIZ2FH3PTc	6.3	51	True	1	184	212320	['6W5uA6CNMf3hd2j4a2XWCx', '6Te49r3A6f5BiIgBRxH7FH']	['Naps', 'Ninho']	2	Collaboration	2020-02-20	3.0	0.0	4.0	0.69	0.875	0.614	0.0	0.114	-7.238	0.212	0.753	119.963	3125009
