song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
4mHgYpuGHu99Mw69E83CP2	Taking A Walk	78	True	2	182	121680	['6Xgp2XMz1fhVYe7i6yNAax']	['Trippie Redd']	1	Solo	2018-08-10	0.0	0.0	4.0	0.68	0.767	0.538	0.0	0.192	-6.044	0.052	0.343	81.031	426120
10lgpgAGhQBv0WqcrzGM7D	Feel The Love	0	True	5	0	324674	['2hPgGN4uhvXAxiXQBIXOmE']	['KIDS SEE GHOSTS']	1	Solo	2018-06-08	0.0	1.0	4.0	0.339	0.585	0.597	0.0404	0.195	-7.499	0.037	0.227	100.051	54097
3a1lNhkSLSkpJE4MSHpDu9	Congratulations	85	True	12	184	220293	['246dkjvS1zLTtiykXe5h60', '0VRj0yCOv2FXJNP47XQnx5']	['Post Malone', 'Quavo']	2	Collaboration	2016-12-09	6.0	1.0	4.0	0.215	0.63	0.804	0.0	0.253	-4.183	0.0363	0.492	123.146	17726162
2D3QYCDI7WrbSMbcIRRBdm	American Boy	51	False	8	184	191893	['3e7awlrlDSwF3iM0WBjGMp']	['Little Mix']	1	Solo	2018-11-16	9.0	0.0	4.0	0.114	0.632	0.862	0.0	0.226	-4.218	0.0954	0.783	77.024	234180
6yr8GiTHWvFfi4o6Q5ebdT	'Till I Collapse	0	True	18	0	297893	['7dGJo4pcD2V6oG8kP0tJRR', '1Oa0bMld0A3u5OTYfMzp5h']	['Eminem', 'Nate Dogg']	2	Collaboration	2002-05-26	1.0	1.0	4.0	0.0748	0.551	0.851	0.0	0.0784	-3.277	0.197	0.1	171.411	819544
7daBwTiPNOVgoMUG4SICgh	Pet Cheetah	60	False	12	184	198360	['3YQKmKGau1PzlVlkL1iodx']	['Twenty One Pilots']	1	Solo	2018-10-05	7.0	0.0	4.0	0.0615	0.653	0.684	0.000387	0.27	-7.052	0.199	0.355	110.049	159037
7wZUrN8oemZfsEd1CGkbXE	Bleeding Love	78	False	1	183	262466	['5lKZWd6HiSCLfnDGrq9RAm']	['Leona Lewis']	1	Solo	2007	5.0	1.0	4.0	0.188	0.638	0.656	0.0	0.146	-5.886	0.0357	0.225	104.036	126091
01uk7IzZyFNfQTDBXxx6NB	One Last Song	62	False	3	183	192922	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2017-11-03	1.0	1.0	3.0	0.367	0.672	0.53	0.0	0.321	-6.43	0.0284	0.485	103.326	1802979
5wTM2Bm8phDwHAuOsfBwhU	2000 Miles - 2007 Remaster	46	False	10	184	220426	['0GByy3DcfbQwDvXGCWmzv9']	['Pretenders']	1	Solo	1984	7.0	1.0	4.0	0.00292	0.22	0.708	0.0267	0.102	-9.051	0.035	0.453	66.214	3858255
5I8oEqbk2ZBmQfXCrZbUFb	Fallin' All In You	0	False	6	0	235746	['7n2wHs1TKAczGzO7Dd2rGr']	['Shawn Mendes']	1	Solo	2018-05-25	8.0	1.0	4.0	0.401	0.853	0.477	0.0	0.111	-6.697	0.0362	0.8	92.03	470594
575NJxNUVDqwJGdzBrlLbv	Lost In Japan - Remix	63	False	1	184	201253	['7n2wHs1TKAczGzO7Dd2rGr', '2qxJFvFYMEDqd7ui6kSAcq']	['Shawn Mendes', 'Zedd']	2	Collaboration	2018-09-27	10.0	1.0	4.0	0.0911	0.706	0.855	0.0	0.347	-5.377	0.215	0.293	107.184	689647
4LmAnpjlhWTahvRkYR8xJa	X (with 2 Chainz & Saudi)	67	True	3	179	267426	['5IcR3N7QB1j6KBL8eImZ8m', '17lzZA2AlOHwCwFALHttmp', '37Qsf5KCKljH7mL134xp4k']	['ScHoolboy Q', '2 Chainz', 'Saudi']	3	Collaboration	2018-02-09	2.0	1.0	4.0	0.0201	0.768	0.471	0.0	0.268	-8.406	0.259	0.405	131.023	2217260
6oUckk2nvE5mR5NXh8xBXK	Heaven’s Gate	0	False	8	0	225693	['4UXqAaa6dQYAk18Lv7PEgX']	['Fall Out Boy']	1	Solo	2018-01-19	6.0	0.0	3.0	0.0202	0.373	0.598	0.0	0.321	-4.977	0.0362	0.192	176.145	48088
1pbyc2rbpwxZjCbKC2X7UV	Pressure	0	False	1	0	235600	['12Chz98pHFMPJEknJQMWvI']	['Muse']	1	Solo	2018-09-27	11.0	0.0	4.0	0.00342	0.622	0.842	0.00014	0.0575	-3.678	0.0609	0.724	136.041	61800
