song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
3a1lNhkSLSkpJE4MSHpDu9	Congratulations	85	True	12	184	220293	['246dkjvS1zLTtiykXe5h60', '0VRj0yCOv2FXJNP47XQnx5']	['Post Malone', 'Quavo']	2	Collaboration	2016-12-09	6.0	1.0	4.0	0.215	0.63	0.804	0.0	0.253	-4.183	0.0363	0.492	123.146	51828
75ls0gurX68lUmMjE7QcsE	all the kids are depressed	75	True	1	179	169973	['3gIRvgZssIb9aiirIg0nI3']	['Jeremy Zucker']	1	Solo	2018-05-04	9.0	1.0	4.0	0.836	0.773	0.437	2.42e-05	0.544	-8.281	0.0963	0.707	103.861	46795
5Ysf9UTIairb0bZFZcvtIa	勇悍‧17	28	False	1	184	286822	['6YlGm6QDrC3TOknYcHjt62']	['Juno Mak']	1	Solo	2018-08-08	6.0	1.0	4.0	0.735	0.582	0.423	0.0	0.107	-8.55	0.0325	0.501	135.889	532725
5I8oEqbk2ZBmQfXCrZbUFb	Fallin' All In You	0	False	6	0	235746	['7n2wHs1TKAczGzO7Dd2rGr']	['Shawn Mendes']	1	Solo	2018-05-25	8.0	1.0	4.0	0.401	0.853	0.477	0.0	0.111	-6.697	0.0362	0.8	92.03	59824
575NJxNUVDqwJGdzBrlLbv	Lost In Japan - Remix	63	False	1	184	201253	['7n2wHs1TKAczGzO7Dd2rGr', '2qxJFvFYMEDqd7ui6kSAcq']	['Shawn Mendes', 'Zedd']	2	Collaboration	2018-09-27	10.0	1.0	4.0	0.0911	0.706	0.855	0.0	0.347	-5.377	0.215	0.293	107.184	145072
1KlVJebZrrMSMxcEKOV5w5	給我一首歌的時間	61	False	2	183	251560	['2elBjNSdBE2Y3f0j1mjrql']	['Jay Chou']	1	Solo	2008-11-09	1.0	1.0	4.0	0.272	0.756	0.635	0.0	0.146	-5.369	0.0282	0.519	118.004	59213
4LmAnpjlhWTahvRkYR8xJa	X (with 2 Chainz & Saudi)	67	True	3	179	267426	['5IcR3N7QB1j6KBL8eImZ8m', '17lzZA2AlOHwCwFALHttmp', '37Qsf5KCKljH7mL134xp4k']	['ScHoolboy Q', '2 Chainz', 'Saudi']	3	Collaboration	2018-02-09	2.0	1.0	4.0	0.0201	0.768	0.471	0.0	0.268	-8.406	0.259	0.405	131.023	50011
5Zlo5ZYjrr6DwQw1kBi5bA	moonchild	0	False	3	0	205833	['2auC28zjQyVTsiZKNgPRGs']	['RM']	1	Solo	2018-10-22	9.0	0.0	4.0	0.0254	0.504	0.869	0.0	0.0659	-5.576	0.213	0.19	157.992	2822
7jctPW5gAlj07A69fzS8m1	Rumor	0	False	3	0	197076	['2eRjqXdTsssjpimRlz1i41']	['H.I.N.P (Hot Issue of Ntl. Producers)']	1	Solo	2018-08-18	9.0	0.0	4.0	0.123	0.741	0.862	1.45e-06	0.353	-3.02	0.0816	0.529	101.944	6793
5wliwpm3bkFQ7Z8l3lLTwf	退後	0	False	5	0	260200	['2elBjNSdBE2Y3f0j1mjrql']	['Jay Chou']	1	Solo	2006	0.0	1.0	4.0	0.406	0.661	0.572	0.0	0.111	-5.665	0.0246	0.186	131.954	2346
2pYSB4jUkWDmoZqfJUKV0g	野孩子	0	False	4	0	221706	['1rxk3vAYWeiBD2Q6FCezcl']	['Miriam Yeung']	1	Solo	2001-01-01	2.0	1.0	4.0	0.751	0.624	0.375	0.0	0.323	-8.522	0.0505	0.521	120.06	296820
2V91adZAuFboCiQLO3JnTq	吳哥窟	0	False	4	0	223013	['3B9ZmIcte26paTCaI1PFKE']	['Kary Ng']	1	Solo	2011-01-01	8.0	1.0	4.0	0.821	0.492	0.439	2.65e-06	0.118	-6.862	0.0267	0.388	147.92	13796
51PYzHOuwTngW2whaPoYFW	年輪說	58	False	1	182	266452	['0MEchSWR9pJvw1S5CV3Kuk']	['Rainie Yang']	1	Solo	2016-09-30	4.0	1.0	4.0	0.758	0.478	0.37	0.0	0.134	-9.806	0.0523	0.318	147.995	15240
1tfVpMI8G6EakZU4rEja4w	Sing Me to Sleep	68	False	9	184	187800	['7vk5e3vY1uw9plTHJAMwjN']	['Alan Walker']	1	Solo	2018-12-14	4.0	0.0	4.0	0.0129	0.474	0.622	3.82e-06	0.327	-6.381	0.061	0.158	176.062	5717
6cPyTS0Kk2sc4xQwC93kOg	Break Up Every Night	54	True	2	184	207520	['69GGBxA162lTqCwzJG5jLp']	['The Chainsmokers']	1	Solo	2017-04-07	1.0	1.0	4.0	0.00411	0.624	0.806	0.0	0.0872	-5.957	0.0437	0.528	149.999	2646
6Ep6BzIOB9tz3P4sWqiiAB	Radioactive	0	False	1	0	186813	['53XhwfbYqKCa1cC15pYq2q']	['Imagine Dragons']	1	Solo	2012-09-04	9.0	1.0	4.0	0.119	0.473	0.777	7.87e-05	0.671	-3.698	0.059	0.21	136.249	4640
6QT77kDLUqSWUTDyJlT9sX	大女人主義 (feat. 田蕊妮)	18	False	1	184	222267	['5vJp6mhsvKyUPZI1bU0c07']	['Kwan Gor']	1	Solo	2018-10-02	7.0	1.0	4.0	0.0373	0.665	0.601	0.0	0.0829	-6.812	0.0436	0.37	133.966	9569
