song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
7a53HqqArd4b9NF4XAmlbI	Kings & Queens	83	False	3	184	162398	['4npEfmQ6YuiwW1GpUmaq3F']	['Ava Max']	1	Solo	2020-09-18	1.0	0.0	4.0	0.00786	0.637	0.69	0.0	0.124	-4.057	0.0405	0.457	129.857	331299
5UbQELG0jlDX9nMrLk2Nx6	Menned kell	43	False	1	184	138486	['0HtJHszzuucFjA33hHBJrT', '3631P73c0HmNeHWmDlUoTM']	['ALEE', 'APU']	2	Collaboration	2021-11-21	5.0	0.0	4.0	0.127	0.756	0.758	7.58e-06	0.365	-3.68	0.0824	0.708	92.528	569042
7JIIY2oDPFkURYMCLJuzhe	"Elliot's Song - From ""Euphoria"" An HBO Original Series"	69	False	1	184	150320	['6USv9qhCn6zfxlBQIYJ9qs', '6sCbFbEjbYepqswM1vWjjs']	['Dominic Fike', 'Zendaya']	2	Collaboration	2022-03-04	4.0	1.0	4.0	0.849	0.394	0.327	0.0	0.125	-14.291	0.114	0.411	93.358	30520
1iPho9Yd1Mzn0zzne3LYiV	Gange	17	True	1	184	165286	['6j3NgXHowHRpL8NC7lAgbr']	['Figura']	1	Solo	2021-12-27	5.0	0.0	4.0	0.0206	0.808	0.535	0.0	0.0813	-9.392	0.0715	0.706	143.973	14543
1Hmqe1oW9VVr5TKCoA5Hyl	Mennyország Tourist	40	True	1	0	230933	['3QbmGjx9VYiu3fpG8NjIZI']	['Tankcsapda']	1	Solo	1999-11-15	0.0	1.0	4.0	0.02	0.576	0.899	0.0	0.113	-3.77	0.058	0.72	114.289	345171
5hBVnCeqCkxx8UbbmXaMf7	Polkka	38	False	1	184	193297	['1hwxSoe3ivkMKLFSyBCYWe', '41LTbHwvnDncBYGO13WHKI']	['DJ Parafa', 'Zelena']	2	Collaboration	2022-02-10	10.0	1.0	4.0	0.348	0.77	0.568	0.0	0.108	-12.237	0.0468	0.51	116.014	152690
7sjIbrxwmdSzz4Nuyd9eY6	Blue	37	False	1	184	207070	['1hwxSoe3ivkMKLFSyBCYWe', '6ePGpwzNJD0TVdWq6qXAVB', '41LTbHwvnDncBYGO13WHKI']	['DJ Parafa', 'Vida Marci', 'Zelena']	3	Collaboration	2021-07-23	1.0	0.0	4.0	0.1	0.723	0.784	0.0	0.122	-9.464	0.0383	0.787	127.989	7255
0IuVhCflrQPMGRrOyoY5RW	she's all i wanna be	75	False	1	183	206772	['45dkTj5sMRSjrmBSBeiHym']	['Tate McRae']	1	Solo	2022-02-04	2.0	0.0	4.0	0.0134	0.614	0.644	7.07e-06	0.117	-5.372	0.0426	0.651	160.036	124004
5sAYqcQTEQbTbxdcqI4b8v	Jungle	4	False	8	0	202907	['1A96iePIMNFBjLrjXEl718']	['Emma Louise']	1	Solo	2013-03-22	7.0	0.0	4.0	0.463	0.698	0.642	0.176	0.101	-8.905	0.0288	0.703	125.994	15843
2AAyBZmMVZSZfgzXRYJOWQ	emo girl (feat. WILLOW)	1	True	1	0	159096	['6TIYQ3jFPwQSRmorSezPxX', '3rWZHrfrsPBxVy692yAIxF']	['Machine Gun Kelly', 'WILLOW']	2	Collaboration	2022-02-04	2.0	1.0	4.0	0.000406	0.41	0.881	4.26e-05	0.922	-3.502	0.087	0.357	165.006	5507
