song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
3ymuBMTviroWLuf1jMsMVf	Sorai	72	False	1	184	278333	['20zafXaLhm5IcXnSU93rNn']	['Nadin Amizah']	1	Solo	2019-01-01	0.0	1.0	4.0	0.951	0.555	0.239	0.0029	0.16	-12.445	0.0303	0.164	143.585	5546500
4Xi0jBySALbHLMh9MnSvAb	Groove	51	False	4	184	208613	['3cjEqqelV9zb4BYE3qDQ4O']	['EXO']	1	Solo	2019-11-27	0.0	1.0	4.0	0.287	0.628	0.801	1.22e-06	0.0903	-4.744	0.0416	0.44	98.022	71411
5wRHApYIGrbuHBJDjgtwZ9	Bumi Dan Bulan	36	False	1	184	266400	['4ubEZ6sMsrrbQChueyouCC']	['Hivi!']	1	Solo	2019-10-30	5.0	0.0	4.0	0.426	0.475	0.546	1.77e-05	0.337	-6.275	0.0286	0.199	137.908	438991
6b2RcmUt1g9N9mQ3CbjX2Y	How Do You Sleep?	74	False	1	184	202204	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2019-07-19	1.0	0.0	5.0	0.153	0.477	0.682	0.0	0.0763	-4.931	0.0925	0.345	110.567	15698777
5L2ZjCkliMWp0sHDhEksye	Lagu Cinta	46	False	1	184	259440	['05CRzFTp7TouOXPuH6Tapu', '4cgBCGxtlfap2g6jveB7du', '04u3fc37nHFKN7GJTSIwI8']	['Isyana Sarasvati', 'Afgan', 'Rendy Pandugo']	3	Collaboration	2019-05-10	3.0	0.0	4.0	0.953	0.36	0.22	0.00155	0.0895	-12.222	0.0347	0.313	153.757	21747
6dMXNAMr1dlAAUo53QKfqs	Kamu dan Kenangan - Original Soundtrack Habibie & Ainun 3	68	False	1	184	266441	['17Wt0hzZb6fAEVfIHffQFB']	['Maudy Ayunda']	1	Solo	2019-06-21	0.0	0.0	4.0	0.867	0.257	0.271	0.000289	0.119	-8.968	0.0289	0.204	77.428	1799580
5hnbE5BF2e8BCk9OMR1UVC	Mikrokosmos	1	False	3	0	224225	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2019-04-12	8.0	1.0	3.0	0.125	0.58	0.858	0.0	0.0502	-5.212	0.114	0.475	174.039	3099552
31DB7WsYqarEOUSQUzMLt8	April	0	False	4	0	263746	['06QVnTCdjs4jPKO0487EGV']	['Fiersa Besari']	1	Solo	2014-05-15	2.0	1.0	4.0	0.587	0.364	0.466	0.0	0.192	-8.27	0.0268	0.575	79.939	10610843
51MMC5DogGZAnHil5HQAXg	Circles	0	False	6	0	215280	['246dkjvS1zLTtiykXe5h60']	['Post Malone']	1	Solo	2019-09-06	0.0	1.0	4.0	0.192	0.695	0.762	0.00244	0.0863	-3.497	0.0395	0.553	120.042	669351
4dV4G96hqT5qCU9v7JBCk2	The Sailor	47	True	1	184	220833	['2IDLDx25HU1nQMKde4n61a']	['Rich Brian']	1	Solo	2019-07-26	11.0	0.0	4.0	0.11	0.455	0.566	5.24e-05	0.696	-8.763	0.142	0.393	119.935	405706
0Z249BwDLHqBjed3GkVJos	Apapun Yang Terjadi	46	False	1	184	229000	['51kyrUsAVqUBcoDEMFkX12']	['Hindia']	1	Solo	2019-11-22	0.0	1.0	4.0	0.0419	0.785	0.481	0.000467	0.136	-7.54	0.0315	0.689	93.998	316291
2E532ozrMbRXwuZkpoegUP		0	False	1	0	0	['0LyfQWJT6nXafLPZqxe9Of']	['']	1	Solo	2019-07-05	3.0	1.0	4.0	0.537	0.736	0.432	0.0397	0.11	-11.636	0.0269	0.706	87.999	7100483
0nrWZWkJM62ftQJSI8fDc0	Diamond Heart	64	False	13	184	240333	['7vk5e3vY1uw9plTHJAMwjN', '5T8zbK3dic52T9bFu0aY8z']	['Alan Walker', 'Sophia Somajo']	2	Collaboration	2018-12-14	0.0	1.0	4.0	0.123	0.478	0.633	0.0	0.41	-6.19	0.0345	0.287	89.909	1718831
0y2tNViyMIGWO0vhNVQaj7	What are you up to	42	False	3	184	182773	['5vGoWnZO65NBgiZYBmi3iW']	['KANGDANIEL']	1	Solo	2019-07-25	0.0	1.0	4.0	0.336	0.726	0.668	0.0	0.0872	-3.436	0.389	0.873	159.952	128028
3znQ9i61vfe2E7URHlOiyc	I Love You 3000	73	False	1	184	209734	['0HS00NN7MAfF59aJnfcxSO']	['Stephanie Poetri']	1	Solo	2019-06-03	6.0	1.0	4.0	0.911	0.648	0.382	0.0	0.393	-7.85	0.0396	0.408	90.099	31912143
0tBbt8CrmxbjRP0pueQkyU	Wolves	82	False	1	184	197993	['0C8ZW7ezQVs4URX5aX7Kqx', '64KEffDW9EtZ1y2vBYgq8T']	['Selena Gomez', 'Marshmello']	2	Collaboration	2017-10-25	11.0	0.0	4.0	0.124	0.724	0.804	0.0	0.204	-4.614	0.0448	0.306	124.987	5218309
2zgiM0lbf4KpBPriKPqEMg	Bicara (feat. Monita Tahalea)	47	False	2	184	236394	['3t4MHnVggiFLOuSSh4odBk', '1xQXTnhREkLm14Wvrogo1g']	['TheOvertunes', 'Monita Tahalea']	2	Collaboration	2018-08-31	5.0	1.0	4.0	0.557	0.574	0.37	2.23e-05	0.0806	-9.487	0.027	0.372	76.863	4476181
2hrUO4drrO63i7FYbCLBl2	Rockabye (feat. Sean Paul & Anne-Marie)	75	False	4	184	251173	['6MDME20pz9RveH9rEXvrOM', '3Isy6kedDrgPYoTS1dazA9', '1zNqDE7qDGCsyzJwohVaoX']	['Clean Bandit', 'Sean Paul', 'Anne-Marie']	3	Collaboration	2018-11-30	9.0	0.0	4.0	0.383	0.717	0.73	0.0	0.398	-4.729	0.0568	0.792	102.002	582379
0vrmHPfoBadXVr2n0m1aqZ	Heaven	69	False	2	184	277261	['1vCWHaC5f2uS3yhpwWbIA6']	['Avicii']	1	Solo	2019-06-06	9.0	1.0	4.0	0.0715	0.592	0.873	0.00982	0.142	-5.65	0.0275	0.516	122.011	666237
6Aw5k0jkFceYayaJoRupLT	Pura Pura Lupa	62	False	1	184	246964	['5Ag6luL11YrL1Znq0xsVuh']	['Mahen']	1	Solo	2019-12-06	11.0	1.0	4.0	0.757	0.529	0.446	0.000764	0.146	-9.167	0.0294	0.14	111.903	1027297
1Dxb9nWV16f5PthsUsV1XZ	Bicara (feat. Monita Tahalea)	61	False	2	184	236394	['3t4MHnVggiFLOuSSh4odBk', '1xQXTnhREkLm14Wvrogo1g']	['TheOvertunes', 'Monita Tahalea']	2	Collaboration	2019-03-15	5.0	1.0	4.0	0.557	0.574	0.37	2.23e-05	0.0806	-9.487	0.027	0.372	76.863	22432725
6mQLN3zRtAp6ovjusyYKrV	Rewrite The Stars (with James Arthur & Anne-Marie)	79	False	1	184	218293	['4IWBUUAFIplrNtaOHcJPRM', '1zNqDE7qDGCsyzJwohVaoX']	['James Arthur', 'Anne-Marie']	2	Collaboration	2018-10-25	10.0	1.0	4.0	0.237	0.67	0.743	0.0	0.465	-4.993	0.0393	0.571	125.944	5734263
5Uw7Dut2lZfexn3Y09swpf	Find U Again (feat. Camila Cabello)	55	False	3	184	176416	['3hv9jJF3adDNsBSIQDqcjp', '4nDoRrQiYLoBzwC5BhVJzF']	['Mark Ronson', 'Camila Cabello']	2	Collaboration	2019-06-21	8.0	1.0	4.0	0.00548	0.605	0.664	3e-06	0.204	-7.162	0.0316	0.164	103.997	885795
40FLJc17FMZaPmCQEEZgB0	New Light	17	False	1	1	216026	['0hEurMDQu99nJRq8pTxO14']	['John Mayer']	1	Solo	2018-06-29	7.0	1.0	4.0	0.325	0.828	0.689	0.0384	0.0808	-7.878	0.0326	0.853	123.931	14218660
5ug4vqGZ3eisGhY1IsziNX	Best Part of Me (feat. YEBBA)	64	False	1	183	243266	['6eUKZXaKkcviH0Ku9w2n3V', '1ooV8YZC1KbpEcrmI8WH0F']	['Ed Sheeran', 'Yebba']	2	Collaboration	2019-07-05	2.0	1.0	4.0	0.762	0.565	0.242	9.3e-06	0.285	-8.367	0.0318	0.237	81.657	269020
6JdS5rJvJaRA7B1tcm7kxZ	Dionysus	0	False	7	0	249215	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2019-04-12	7.0	1.0	4.0	0.04	0.502	0.91	0.0	0.319	-2.769	0.107	0.588	176.084	1634988
