song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
4HEzmqZuqVk3qSwD6Dtk6K	My Block	64	False	1	184	221539	['4PULA4EFzYTrxYvOVlwpiQ']	['Sidhu Moose Wala']	1	Solo	2020-08-20	8.0	0.0	4.0	0.357	0.609	0.639	0.0	0.239	-4.662	0.0682	0.211	91.249	763031
7eua2ud1Wwhn3mefm6Y7Cn		0	False	1	0	0	['0LyfQWJT6nXafLPZqxe9Of']	['']	1	Solo	0000	2.0	1.0	4.0	0.637	0.275	0.411	0.0	0.129	-3.817	0.0285	0.259	80.202	1563918
57DhVYA7E1CyrE4OKuyLb7	Ik Tera	73	False	1	184	160768	['2sN4fSzAm2rAL0HIurPCEM']	['Maninder Buttar']	1	Solo	2019-08-22	11.0	0.0	4.0	0.095	0.826	0.712	0.0	0.105	-5.219	0.0727	0.49	93.029	13787028
2C0hTkdEoikhKzDCJl32QZ	Crowded Room (feat. 6LACK)	57	False	9	179	186459	['0C8ZW7ezQVs4URX5aX7Kqx', '4IVAbR2w4JJNJDDRFP3E83']	['Selena Gomez', '6LACK']	2	Collaboration	2020-01-10	7.0	0.0	4.0	0.764	0.724	0.415	2.51e-06	0.103	-8.408	0.0518	0.328	89.999	53567
4P6IttK2PRBjyr3fm0pP7t	Past Life (with Selena Gomez)	1	False	1	0	186480	['7uaIm6Pw7xplS8Dy06V6pT', '0C8ZW7ezQVs4URX5aX7Kqx']	['Trevor Daniel', 'Selena Gomez']	2	Collaboration	2020-06-26	3.0	1.0	4.0	0.104	0.612	0.539	0.0	0.18	-5.071	0.0488	0.294	79.948	3026344
4yurVSNjaPBKkOpbZWtuJO	Kalla Sohna Nai	66	False	1	184	156613	['6zZrFenNe3YPttxZsnQQs1']	['Akhil']	1	Solo	2019-12-21	9.0	1.0	4.0	0.454	0.802	0.499	0.0	0.143	-5.881	0.0345	0.763	92.055	8584547
5ZU1GwpkNJPaGbUwXX5rpQ	"Pachtaoge (From ""Jaani Ve"")"	58	False	3	184	226789	['4YRxDV8wJFPHPTeXepOstw']	['Arijit Singh']	1	Solo	2020-05-19	5.0	0.0	3.0	0.623	0.515	0.691	0.0	0.121	-4.028	0.0343	0.504	169.52	7327119
6b2RcmUt1g9N9mQ3CbjX2Y	How Do You Sleep?	74	False	1	184	202204	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2019-07-19	1.0	0.0	5.0	0.153	0.477	0.682	0.0	0.0763	-4.931	0.0925	0.345	110.567	343562
79XBui7ea1RGjlC57AH0w1	Gal Karke	64	False	1	184	173381	['2ZzyxohC32i649slMn9Kgk', '4yxICw7joYAxRI2sTRldLB']	['Inder Chahal', 'Rajat Nagpal']	2	Collaboration	2019-04-15	8.0	1.0	4.0	0.329	0.753	0.702	0.0	0.161	-4.609	0.134	0.446	163.93	1200596
0Jlcvv8IykzHaSmj49uNW8	the 1	82	True	1	184	210251	['06HL4z0CvFAxyc27GXpf02']	['Taylor Swift']	1	Solo	2020-07-24	0.0	1.0	4.0	0.757	0.777	0.357	7.28e-06	0.108	-6.942	0.0522	0.172	139.883	574090
0GzuHFG4Ql6DoyxFRnIk3F	Hawái - Remix	73	False	1	184	200481	['1r4hJ1h58CWwUQe3MxPuau', '1Xyo4u8uXC1ZmMpatF05PJ']	['Maluma', 'The Weeknd']	2	Collaboration	2020-11-05	6.0	0.0	4.0	0.105	0.766	0.788	5.81e-06	0.142	-3.128	0.312	0.609	179.984	699906
