song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
3KQYk6xCiUI6yKdxXlYA1C	Það er gott að elska	0	False	2	0	286348	['0MtTfq27LQu7CmE5t308Up']	['Bubbi Morthens']	1	Solo	1993-01-01	5.0	1.0	3.0	0.508	0.575	0.305	8.49e-06	0.122	-13.754	0.0272	0.346	150.426	26067
7Aem1fAapTdGcHwAYyQYU4	Love Me	0	True	1	0	117680	['4Ga1P7PMIsmqEZqhYZQgDo']	['Lil Tecca']	1	Solo	2019-07-15	11.0	0.0	4.0	0.67	0.715	0.435	0.0	0.106	-10.325	0.251	0.801	204.077	7466
6W55KqrKvyR3PoBlDaWR2T	MEINA VEL	0	False	10	0	161660	['0GgsByUesLksV7nP8Zlomi']	['Haki']	1	Solo	2019-06-06	9.0	1.0	4.0	0.0448	0.934	0.398	0.0	0.0625	-8.447	0.0494	0.618	97.973	9673
3TejGrHv33LgaN2iIWHQI3	Reyndu aftur	0	False	2	0	190868	['0Jvy0eApHg0E15ThMqDUqt']	['Mannakorn']	1	Solo	1977-01-01	2.0	1.0	4.0	0.225	0.48	0.438	0.0088	0.185	-13.142	0.0284	0.471	88.759	2241
4YhN72dRYL2Z3MsaKyT7rS	Stay (Don't Go Away) [feat. Raye]	59	False	1	184	185942	['1Cs0zKBU1kc0i8ypK3B9ai', '5KKpBU5eC2tJDzf0wmlRp2']	['David Guetta', 'RAYE']	2	Collaboration	2019-05-09	9.0	0.0	4.0	0.259	0.669	0.797	0.0	0.199	-5.68	0.0624	0.552	119.865	1344
4I6E6Tku36NOmDNL7LcIw9	Falskar ástir	35	True	6	184	197013	['3hvKmeo12OU7ai8Mpgraf7']	['Floni']	1	Solo	2019-01-31	2.0	1.0	4.0	0.67	0.703	0.439	2.43e-05	0.0771	-9.358	0.266	0.333	80.892	873203
6H7fWtwEUHVfTyZD7zeG4w	when the party's over - Recorded at Spotify Studios NYC	68	False	2	184	232837	['4GNC7GD6oZMSxPGyXy4MNB']	['Lewis Capaldi']	1	Solo	2019-06-12	10.0	1.0	3.0	0.946	0.509	0.183	0.0	0.0914	-10.27	0.0377	0.258	117.354	9082
6b2RcmUt1g9N9mQ3CbjX2Y	How Do You Sleep?	74	False	1	184	202204	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2019-07-19	1.0	0.0	5.0	0.153	0.477	0.682	0.0	0.0763	-4.931	0.0925	0.345	110.567	523895
6wdQPkgN4gSwfErcuhiY5n	Devil's Symphony	21	False	1	2	185000	['0HlxL5hisLf59ETEPM3cUA']	['Scooter']	1	Solo	2019-10-11	9.0	0.0	4.0	0.00511	0.283	0.943	5.51e-05	0.463	-3.633	0.193	0.31	76.471	2756
5JiH89mHrv9oWHlD0T326z	To Be So Lonely	74	False	7	184	192080	['6KImCVD70vtIoJWnq6nGn3']	['Harry Styles']	1	Solo	2019-12-13	0.0	1.0	4.0	0.618	0.758	0.436	1.61e-05	0.335	-7.269	0.0418	0.605	104.959	5838
575NJxNUVDqwJGdzBrlLbv	Lost In Japan - Remix	63	False	1	184	201253	['7n2wHs1TKAczGzO7Dd2rGr', '2qxJFvFYMEDqd7ui6kSAcq']	['Shawn Mendes', 'Zedd']	2	Collaboration	2018-09-27	10.0	1.0	4.0	0.0911	0.706	0.855	0.0	0.347	-5.377	0.215	0.293	107.184	1059
5hnbE5BF2e8BCk9OMR1UVC	Mikrokosmos	1	False	3	0	224225	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2019-04-12	8.0	1.0	3.0	0.125	0.58	0.858	0.0	0.0502	-5.212	0.114	0.475	174.039	1350
1R5DuPQ7GQ85xh562PB9Mo	Sjö (Sjöunda himni)	0	False	1	0	217161	['0hHSuSCpKFLU5twpJNTO3t']	['Friðrik Dór']	1	Solo	2019-07-19	5.0	1.0	4.0	0.301	0.621	0.832	1.85e-05	0.149	-5.781	0.0995	0.666	77.488	5045
54pm6nq2bup1wVMzHht0tQ	Ég sá mömmu kyssa jólasvein	10	False	13	184	203824	['32NO7A47yiL6am7Dc8Z8AK']	['Ruth Reginalds']	1	Solo	2006-01-01	9.0	1.0	4.0	0.275	0.681	0.706	0.214	0.316	-10.388	0.0364	0.816	143.55	105643
