song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
421YV4dHoOY8HaU6nHAuks	シンデレラグレイ	51	False	11	183	251120	['1snhtMLeb2DYoMOcVbb8iB']	['Kenshi Yonezu']	1	Solo	2015-10-07	7.0	0.0	4.0	0.0298	0.358	0.951	2.64e-05	0.0638	-3.939	0.0812	0.624	119.426	61656
6b2RcmUt1g9N9mQ3CbjX2Y	How Do You Sleep?	74	False	1	184	202204	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2019-07-19	1.0	0.0	5.0	0.153	0.477	0.682	0.0	0.0763	-4.931	0.0925	0.345	110.567	124877
23atyJacJVHvB9RHBNhr35	小さな恋のうた	67	False	3	80	222640	['2zUQjYvy0TevSi4d3PjqQO']	['MONGOL800']	1	Solo	2001-09-16	11.0	1.0	4.0	0.00203	0.403	0.778	0.0	0.227	-4.856	0.0395	0.628	115.581	15257363
2hhizKAVm9wNn0d2N05jkG	ON - Japanese ver.	47	False	10	184	247986	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2020-07-14	9.0	0.0	4.0	0.119	0.598	0.821	0.0	0.298	-5.653	0.114	0.428	105.991	45716
3D4gp9K2S2h6OpQkrKQS4N	Bye by me	0	False	1	0	242415	['2IUl3m1H1EQ7QfNbNWvgru']	['Vaundy']	1	Solo	2020-04-18	0.0	1.0	4.0	0.375	0.634	0.655	1.43e-05	0.109	-4.333	0.0229	0.691	96.009	79927
3P2aSkjcbUYbcYr13EFE8n	空も飛べるはず	68	False	8	184	271400	['5kjGRHClVacSyllOUqU1S0']	['SPITZ']	1	Solo	2006-03-25	0.0	1.0	4.0	0.0424	0.593	0.81	2.83e-06	0.119	-4.389	0.0278	0.67	114.936	110281
05fuWARtOqZgc1mzjf5l0C	恋と病熱	44	False	9	184	262533	['1snhtMLeb2DYoMOcVbb8iB']	['Kenshi Yonezu']	1	Solo	2012-05-16	2.0	1.0	4.0	0.0347	0.369	0.597	1.55e-06	0.246	-4.41	0.0357	0.772	179.877	62690
0Jlcvv8IykzHaSmj49uNW8	the 1	82	True	1	184	210251	['06HL4z0CvFAxyc27GXpf02']	['Taylor Swift']	1	Solo	2020-07-24	0.0	1.0	4.0	0.757	0.777	0.357	7.28e-06	0.108	-6.942	0.0522	0.172	139.883	19235
5vsHrZWigs6aoWKjFZx3AL	怪獣の花唄	0	False	4	0	224806	['2IUl3m1H1EQ7QfNbNWvgru']	['Vaundy']	1	Solo	2020-05-27	2.0	1.0	4.0	0.00361	0.425	0.939	0.0	0.331	-3.498	0.054	0.638	150.015	514639
0GzuHFG4Ql6DoyxFRnIk3F	Hawái - Remix	73	False	1	184	200481	['1r4hJ1h58CWwUQe3MxPuau', '1Xyo4u8uXC1ZmMpatF05PJ']	['Maluma', 'The Weeknd']	2	Collaboration	2020-11-05	6.0	0.0	4.0	0.105	0.766	0.788	5.81e-06	0.142	-3.128	0.312	0.609	179.984	269087
1Scf88IvIdGXOLHxw9H25a	サントラ	0	False	1	0	250566	['0pWR7TsFhvSCnbmHDjWgrE', '6n4SsAp5VjvIBg3s9QCcPX']	['Creepy Nuts', 'SUDA MASAKI']	2	Collaboration	2020-07-01	2.0	1.0	4.0	0.179	0.695	0.908	0.0	0.367	-2.475	0.305	0.84	127.073	218351
1sIIlVrnPhrvmTrHtzM7tV	点描の唄	76	False	2	184	307066	['4QvgGvpgzgyUOo8Yp8LDm9', '71hQB5jxdNiHk5gzZRhicQ']	['Mrs. GREEN APPLE', 'Sonoko Inoue']	2	Collaboration	2018-07-31	0.0	1.0	4.0	0.447	0.502	0.632	0.0	0.103	-4.612	0.0273	0.308	152.014	31931687
6nqfKM9JvQIiuAuzWZFvGW	ぎゅっと。	60	False	1	184	269746	['71KI7v1YqVU8cIFzBl47dh']	['もさを。']	1	Solo	2020-07-27	4.0	1.0	4.0	0.814	0.773	0.363	0.0	0.103	-7.304	0.0383	0.774	119.994	14354761
7ajqy7gdf4JzyZIJr21uUg	Joyful	48	False	2	183	210506	['3z8diLlUCkN1j9N9ZdnfBJ']	['NiziU']	1	Solo	2020-12-02	7.0	1.0	4.0	0.0693	0.622	0.916	1.65e-06	0.351	-3.922	0.121	0.551	179.963	223722
3FARQP8fA49bSsTWjNyWmY	Secret Story of the Swan	0	False	2	0	192333	['5r1tUTxVSgvBHnoDuDODPH']	['IZ*ONE']	1	Solo	2020-06-15	7.0	0.0	4.0	0.131	0.703	0.941	0.0	0.319	-0.995	0.0808	0.758	102.969	610317
1srR6pbN1YCtIulufVNeMZ	夜行	55	False	13	184	202720	['4UK2Lzi6fBfUi9rpDt6cik']	['ヨルシカ']	1	Solo	2020-07-29	1.0	1.0	4.0	0.379	0.579	0.467	0.000158	0.158	-6.576	0.0323	0.484	170.038	43541
7iAgNZdotu40NwtoIWJHFe	Bet You Wanna (feat. Cardi B)	66	False	4	129	161167	['41MozSoPIsD1dJM0CLPjZF', '4kYSro6naA4h99UJvo89HB']	['BLACKPINK', 'Cardi B']	2	Collaboration	2020-10-02	7.0	1.0	4.0	0.00465	0.653	0.662	0.0	0.0626	-6.168	0.162	0.674	111.712	1035270
7e2oFZqJWr1fbG6CLH4srC	眼福	45	False	10	184	264933	['1snhtMLeb2DYoMOcVbb8iB']	['Kenshi Yonezu']	1	Solo	2014-04-23	9.0	1.0	4.0	0.22	0.599	0.662	0.0	0.33	-4.296	0.0278	0.552	126.638	64288
0pYacDCZuRhcrwGUA5nTBe	eight(Prod.&Feat. SUGA of BTS)	75	False	1	184	167573	['3HqSLMAZ3g3d5poNaI7GOU', '0ebNdVaOfp6N0oZ1guIxM8']	['IU', 'SUGA']	2	Collaboration	2020-05-06	1.0	1.0	4.0	0.115	0.676	0.869	0.0	0.132	-1.573	0.0423	0.594	120.029	844124
69WpV0U7OMNFGyq8I63dcC	Given-Taken	73	False	2	184	183090	['5t5FqBwTcgKTaWmfEbwQY9']	['ENHYPEN']	1	Solo	2020-11-30	8.0	0.0	4.0	0.17	0.631	0.649	0.0	0.321	-4.939	0.0377	0.459	108.07	237050
1hEeUXyPCifIAlrSV8mT0E	セプテンバーさん	39	False	7	1	307493	['1EowJ1WwkMzkCkRomFhui7']	['RADWIMPS']	1	Solo	2017-02-24	2.0	1.0	4.0	0.594	0.713	0.8	0.0	0.0639	-5.917	0.0299	0.862	123.082	66453
1lZgpaHTGgMh6Nr0ABNyh0	Prince	46	False	1	1	249659	['16E27V4q0TPZXIriwMYTWV']	['SANARI']	1	Solo	2019-06-05	9.0	1.0	4.0	0.224	0.802	0.838	0.0	0.0852	-5.172	0.0512	0.675	99.989	3859946
07KegcFokV4bBD1GvO1j6L	Respect	0	False	17	0	237540	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2020-02-21	0.0	1.0	4.0	0.00485	0.661	0.84	0.0	0.287	-4.805	0.116	0.524	91.457	22870
5v4GgrXPMghOnBBLmveLac	Savage Remix (feat. Beyoncé)	70	True	1	184	242000	['181bsRPaVXVlUKXrxwZfHK', '6vWDO969PvNqNYHIOW5v0m']	['Megan Thee Stallion', 'Beyoncé']	2	Collaboration	2020-04-29	10.0	0.0	4.0	0.016	0.822	0.743	0.0	0.127	-4.772	0.28	0.636	84.459	928735
41L3O37CECZt3N7ziG2z7l	Yummy	69	False	1	182	210426	['1uNFoZAHBGtllmzznpCI3s']	['Justin Bieber']	1	Solo	2020-01-03	9.0	0.0	4.0	0.366	0.687	0.514	0.0	0.116	-6.612	0.0897	0.494	145.921	2105331
7jgqNMnqAT9FghC1uSYTFF	アイデア	58	False	11	1	280666	['1S2S00lgLYLGHWA44qGEUs']	['Gen Hoshino']	1	Solo	2018-12-19	10.0	1.0	4.0	0.00197	0.478	0.606	0.0	0.33	-4.158	0.217	0.638	174.208	6829341
1IX47gefluXmKX4PrTBCRM	What is Love	0	False	4	0	208240	['7n2Ycct7Beij7Dj7meI4X0']	['TWICE']	1	Solo	2018-07-09	8.0	1.0	4.0	0.0988	0.574	0.909	0.0	0.264	-1.572	0.0655	0.565	169.964	3061345
4UYhw6cZME1MhyP5h0Df1K	パプリカ	0	False	1	0	203032	['1snhtMLeb2DYoMOcVbb8iB']	['Kenshi Yonezu']	1	Solo	2020-02-07	7.0	1.0	4.0	0.288	0.759	0.548	0.0	0.0984	-7.145	0.0387	0.506	102.96	33673
5KaplUYIDvsFe69z7UArVt	光榮之橋	0	False	1	0	326600	['7lNFzeAXmSIKexINNgO6bu']	['YUZU']	1	Solo	2005-06-08	4.0	1.0	4.0	0.726	0.552	0.39	0.0	0.122	-6.914	0.0286	0.194	82.029	1923379
3kk5I0NtYAUesPqlzDFkKd	千両役者	58	False	1	184	180026	['6wxfx1yhyqjCPYwwxJktR2']	['King Gnu']	1	Solo	2020-12-02	11.0	0.0	3.0	0.0112	0.33	0.948	0.0	0.375	-4.492	0.335	0.564	100.15	2385274
1Alsp6EVIAHTDorSjPeRuY	3月9日	60	False	10	184	263626	['4Yz1LjHwgQ5DFWJrZL8bC8']	['Remioromen']	1	Solo	2005-03-09	5.0	1.0	4.0	0.0175	0.439	0.502	1.56e-06	0.116	-7.882	0.0253	0.371	152.942	1395545
06NBrp5cwrw4gSh0eWN4OC	Shiawase	15	False	11	183	325133	['6TDMbiQCWeMClsMr9ORLRK']	['aiko']	1	Solo	2008	0.0	0.0	4.0	0.0237	0.518	0.849	0.0	0.364	-6.377	0.0311	0.784	97.041	16408
5bt0mCCPCDblhAYrsaHiUs	I see...	0	False	6	0	239013	['08lN7bm4Etec8ETFxaTUmq']	['Nogizaka46']	1	Solo	2020-03-18	8.0	1.0	4.0	0.0827	0.66	0.945	0.0	0.343	-2.146	0.0904	0.699	124.963	241711
4eEEnO0kryfUiHEyUX1q17	ナンバーナイン	0	False	10	0	261986	['1snhtMLeb2DYoMOcVbb8iB']	['Kenshi Yonezu']	1	Solo	2017-11-01	2.0	1.0	4.0	0.00789	0.72	0.773	1.03e-06	0.0797	-6.155	0.0369	0.469	110.014	124503
5GkQIP5mWPi4KZLLXeuFTT	motive (with Doja Cat)	78	True	3	184	167989	['66CXWjxzNUsdJxJ2JdwvnR', '5cj0lLjcoR7YOSnhnX0Po5']	['Ariana Grande', 'Doja Cat']	2	Collaboration	2020-10-30	10.0	0.0	4.0	0.0681	0.789	0.742	0.0	0.166	-5.664	0.0652	0.661	116.965	44007
3F6hLslmlD9k5qRZdn5Gab	アボイドノート	41	False	1	184	233200	['4QvgGvpgzgyUOo8Yp8LDm9']	['Mrs. GREEN APPLE']	1	Solo	2020-05-27	2.0	1.0	4.0	0.00155	0.463	0.862	0.0	0.1	-3.372	0.0698	0.491	147.029	362136
2vYF5MHeCNtqCVastthDAo	IDOL - Japanese ver.	47	False	6	184	223213	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2020-07-14	6.0	0.0	4.0	0.000331	0.705	0.754	0.0	0.129	-5.453	0.0895	0.422	126.014	22534
1g1AXdio16Yh5SXgPBXcfq	CHILDAYS	0	False	4	0	190735	['3jpPlA4ASvE9TlObazOIee']	['BLOOM VASE']	1	Solo	2020-07-21	2.0	1.0	4.0	0.349	0.679	0.814	0.0	0.132	-2.459	0.0462	0.922	79.002	4838924
0PoAZ7SLFpqpYR9LSCYAo8	CRY FOR ME	60	False	1	1	204167	['7n2Ycct7Beij7Dj7meI4X0']	['TWICE']	1	Solo	2020-12-18	10.0	1.0	4.0	0.0542	0.702	0.692	0.0	0.0877	-5.405	0.0539	0.419	144.896	444125
