song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
0k4d5YPDr1r7FX77VdqWez	You Right	84	True	8	184	186173	['5cj0lLjcoR7YOSnhnX0Po5', '1Xyo4u8uXC1ZmMpatF05PJ']	['Doja Cat', 'The Weeknd']	2	Collaboration	2021-06-25	8.0	1.0	4.0	0.0164	0.828	0.621	0.00233	0.0845	-6.414	0.0565	0.436	128.986	83741
4RnLdvbfw7Uy90pc6DaXyJ	Rast Atsakymą	45	False	3	184	164000	['0CinAWYkte8opxVAPI3nMu']	['Jessica Shy']	1	Solo	2022-01-25	11.0	0.0	4.0	0.412	0.941	0.639	0.0686	0.0804	-5.563	0.0401	0.927	120.025	43951
0kYMwaQWABTkFff8AZjmYI	Hayloft II	77	False	16	184	215040	['0e86yPdC41PGRkLp2Q1Bph']	['Mother Mother']	1	Solo	2022-01-28	9.0	0.0	4.0	0.0044	0.326	0.866	7.37e-06	0.0912	-4.541	0.101	0.172	178.181	15917
3fo43dOoOAMvzLs1mu3rRV	A Lyga	41	False	13	184	173220	['1n6KR5r29Zj7X33Ey1pod0']	['Angelou']	1	Solo	2021-05-21	6.0	0.0	4.0	0.0774	0.687	0.485	0.000186	0.108	-8.652	0.0795	0.287	80.077	67105
7JIIY2oDPFkURYMCLJuzhe	"Elliot's Song - From ""Euphoria"" An HBO Original Series"	69	False	1	184	150320	['6USv9qhCn6zfxlBQIYJ9qs', '6sCbFbEjbYepqswM1vWjjs']	['Dominic Fike', 'Zendaya']	2	Collaboration	2022-03-04	4.0	1.0	4.0	0.849	0.394	0.327	0.0	0.125	-14.291	0.114	0.411	93.358	9080
29VdNzgJIxzlIDkIYjFQqS	Life Letters	66	False	1	184	148040	['0j5kVHxvTgUN4nBIPKCLRJ']	['Never Get Used To People']	1	Solo	2018-12-07	10.0	0.0	4.0	0.843	0.441	0.692	1.57e-06	0.0981	-4.945	0.12	0.417	92.304	4534
0IuVhCflrQPMGRrOyoY5RW	she's all i wanna be	75	False	1	183	206772	['45dkTj5sMRSjrmBSBeiHym']	['Tate McRae']	1	Solo	2022-02-04	2.0	0.0	4.0	0.0134	0.614	0.644	7.07e-06	0.117	-5.372	0.0426	0.651	160.036	45347
5sAYqcQTEQbTbxdcqI4b8v	Jungle	4	False	8	0	202907	['1A96iePIMNFBjLrjXEl718']	['Emma Louise']	1	Solo	2013-03-22	7.0	0.0	4.0	0.463	0.698	0.642	0.176	0.101	-8.905	0.0288	0.703	125.994	9428
0eu4C55hL6x29mmeAjytzC	Life Goes On	78	False	1	184	161803	['6TLwD7HPWuiOzvXEa3oCNe']	['Oliver Tree']	1	Solo	2021-05-28	0.0	1.0	4.0	0.186	0.7	0.49	0.0	0.117	-5.187	0.076	0.569	79.982	77248
5XbA7TAqsD0fj0dGBrbb0D	I Heard You’re Married (feat. Lil Wayne)	70	True	14	184	263641	['1Xyo4u8uXC1ZmMpatF05PJ', '55Aa2cqylxrFIXC767Z865']	['The Weeknd', 'Lil Wayne']	2	Collaboration	2022-01-06	9.0	0.0	4.0	0.103	0.736	0.848	0.0	0.299	-5.494	0.171	0.784	109.946	22173
