song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
7Aem1fAapTdGcHwAYyQYU4	Love Me	0	True	1	0	117680	['4Ga1P7PMIsmqEZqhYZQgDo']	['Lil Tecca']	1	Solo	2019-07-15	11.0	0.0	4.0	0.67	0.715	0.435	0.0	0.106	-10.325	0.251	0.801	204.077	9504
4YhN72dRYL2Z3MsaKyT7rS	Stay (Don't Go Away) [feat. Raye]	59	False	1	184	185942	['1Cs0zKBU1kc0i8ypK3B9ai', '5KKpBU5eC2tJDzf0wmlRp2']	['David Guetta', 'RAYE']	2	Collaboration	2019-05-09	9.0	0.0	4.0	0.259	0.669	0.797	0.0	0.199	-5.68	0.0624	0.552	119.865	1471
6H7fWtwEUHVfTyZD7zeG4w	when the party's over - Recorded at Spotify Studios NYC	68	False	2	184	232837	['4GNC7GD6oZMSxPGyXy4MNB']	['Lewis Capaldi']	1	Solo	2019-06-12	10.0	1.0	3.0	0.946	0.509	0.183	0.0	0.0914	-10.27	0.0377	0.258	117.354	2148
6b2RcmUt1g9N9mQ3CbjX2Y	How Do You Sleep?	74	False	1	184	202204	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2019-07-19	1.0	0.0	5.0	0.153	0.477	0.682	0.0	0.0763	-4.931	0.0925	0.345	110.567	408399
5JiH89mHrv9oWHlD0T326z	To Be So Lonely	74	False	7	184	192080	['6KImCVD70vtIoJWnq6nGn3']	['Harry Styles']	1	Solo	2019-12-13	0.0	1.0	4.0	0.618	0.758	0.436	1.61e-05	0.335	-7.269	0.0418	0.605	104.959	5371
6G1FDAXLxWoZxfFLjSzcy7	Apest Tevi	34	False	13	184	228266	['7aifttRblwr2CswzvfNfc5']	['Instrumenti']	1	Solo	2011-08-30	11.0	0.0	4.0	0.121	0.763	0.604	0.0	0.0895	-8.144	0.0941	0.654	100.956	4377
0lZ4OqgxHS9gwJjvwzOl6M	Somu Pirts	29	False	7	184	146360	['01pSsqt7FLdq2SC6UqjER3', '0ajr4chC3fqkNnKXuzLhUR']	['Raimonds Pauls', 'Ojārs Grīnbergs']	2	Collaboration	2002-01-01	7.0	1.0	4.0	0.389	0.641	0.533	0.0	0.103	-8.423	0.0432	0.822	131.53	1232
22DhM0FSN4tTf7SoIsyPV8	Kāpēc	18	True	2	184	144355	['7LT18zOJn9Z83KN4IwpfAr']	['Ziedu Vija']	1	Solo	2019-12-22	1.0	1.0	4.0	0.522	0.889	0.408	0.0	0.268	-5.811	0.553	0.162	130.116	1047
5hnbE5BF2e8BCk9OMR1UVC	Mikrokosmos	1	False	3	0	224225	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2019-04-12	8.0	1.0	3.0	0.125	0.58	0.858	0.0	0.0502	-5.212	0.114	0.475	174.039	7642
0hg0HFeRzt8CYaABgZTRld	Pirmais Līgā	0	True	1	0	193158	['0w0OJxtDe1dOnbbCRYdh3D']	['Prusax']	1	Solo	2019-01-04	5.0	1.0	4.0	0.0943	0.95	0.714	0.0	0.055	-4.211	0.0975	0.727	130.089	22250
