song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
3PsH5lRJuFskbE856YAze2	Sacrifice	20	False	1	184	193432	['7DBIKXxSh2BMPqSN7UB4rS']	['Madd']	1	Solo	2019-10-28	7.0	1.0	4.0	0.134	0.774	0.69	1.52e-06	0.106	-6.077	0.113	0.249	134.038	24643
1sSypXfVuC2Ex0whkbShf0	Valise	36	True	8	184	180880	['7CUFPNi1TU8RowpnFRSsZV']	['Niska']	1	Solo	2019-09-05	8.0	0.0	4.0	0.0732	0.834	0.846	0.0	0.0796	-3.835	0.236	0.755	159.882	1112
1lHFLVG6bKH5mA9tiDxN5M	Wouli Liya	0	False	21	0	241400	['4sbXXFzEWJY2zsZjelerjX', '0eRtInepLNyuZsho3EonUS', '0GgY7hjMoGDsX8ZDe2mwds', '2EAzv92ciNtTm5DkGSYXH2']	['Dadju', 'KALY', 'Soolking', 'Aymane Serhani']	4	Collaboration	2019-11-17	4.0	0.0	4.0	0.251	0.565	0.7	0.0	0.271	-5.748	0.051	0.546	94.972	81958
6b2RcmUt1g9N9mQ3CbjX2Y	How Do You Sleep?	74	False	1	184	202204	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2019-07-19	1.0	0.0	5.0	0.153	0.477	0.682	0.0	0.0763	-4.931	0.0925	0.345	110.567	136491
1SVuEeerYIwjCRsF5MGzX3	Mayday (feat. Ninho)	64	True	3	184	209786	['2kXKa3aAFngGz2P4GjG5w2', '6Te49r3A6f5BiIgBRxH7FH']	['SCH', 'Ninho']	2	Collaboration	2019-11-29	9.0	0.0	4.0	0.605	0.614	0.596	5.3e-06	0.0945	-7.664	0.357	0.248	152.138	38260
0R9TKsln5DOl9PsnJFbdMr	Haha	8	False	1	0	276000	['4cgw3nEf6uOQ2NqHwSXErR']	['Balti']	1	Solo	2019-11-16	5.0	0.0	4.0	0.686	0.778	0.486	0.0	0.128	-10.783	0.106	0.541	140.103	2042
0fea68AdmYNygeTGI4RC18	LA CANCIÓN	88	False	5	184	242573	['1vyhD5VmyZ7KMfW5gqLgo5', '4q3ewBCX7sLwd24euuV69X']	['J Balvin', 'Bad Bunny']	2	Collaboration	2019-06-28	7.0	1.0	4.0	0.152	0.754	0.646	1.85e-05	0.108	-5.795	0.317	0.429	176.089	1013
5KfIuNWN9LDYRK2fXEPgSK	Men -0	2	False	1	176	175687	['7naCkywRMOSMBnYhFbiM3G']	['Ali Ssamid']	1	Solo	2019-12-13	8.0	1.0	4.0	0.495	0.689	0.662	0.0	0.156	-8.214	0.733	0.506	89.466	1297
4uTWceUwMktcFfYACX4vK5	Halloween	8	False	1	0	289134	['0bmKQDkU4J3gUykZS8tb6v']	['LFERDA']	1	Solo	2018-05-12	5.0	0.0	4.0	0.574	0.734	0.499	3.77e-05	0.34	-9.553	0.0801	0.578	114.955	5783
51MMC5DogGZAnHil5HQAXg	Circles	0	False	6	0	215280	['246dkjvS1zLTtiykXe5h60']	['Post Malone']	1	Solo	2019-09-06	0.0	1.0	4.0	0.192	0.695	0.762	0.00244	0.0863	-3.497	0.0395	0.553	120.042	18731
7pVx2sqcuAYa27uYhk9beC	Dinero	19	False	4	184	180323	['7fmcLXdUj5tVr806b7Uzt3']	['7liwa']	1	Solo	2019-11-20	1.0	1.0	4.0	0.117	0.868	0.713	0.0	0.214	-5.173	0.0835	0.504	130.073	10095
7gNlaZaMIjRUfnAYd9Dvmt	Aristocrate	64	True	10	184	169733	['3YwqjMyrRfuixi2pbgTGCE']	"[""Heuss L'enfoiré""]"	1	Solo	2019-01-25	1.0	0.0	4.0	0.268	0.935	0.613	3.1e-06	0.0956	-6.241	0.0662	0.626	116.943	231309
3aqcJFJOenB82j6mfMAddN	A L'époque	6	True	8	0	224016	['0bmKQDkU4J3gUykZS8tb6v', '3977Z9BZCFbJQYwdIdVwgc']	['LFERDA', 'Tagne']	2	Collaboration	2019-11-09	5.0	1.0	4.0	0.333	0.741	0.57	0.0	0.0942	-6.811	0.228	0.788	150.03	19075
0F7FA14euOIX8KcbEturGH	Old Town Road	79	False	8	184	113000	['7jVv8c5Fj3E9VhNjxT4snq']	['Lil Nas X']	1	Solo	2019-06-21	1.0	1.0	4.0	0.0578	0.907	0.53	2.23e-06	0.101	-6.112	0.127	0.507	135.998	20075
0sf12qNH5qcw8qpgymFOqD	Blinding Lights	21	False	1	1	201573	['1Xyo4u8uXC1ZmMpatF05PJ']	['The Weeknd']	1	Solo	2019-11-29	1.0	1.0	4.0	0.00147	0.513	0.796	0.000209	0.0938	-4.075	0.0629	0.345	171.017	67814
0knYzfOHBTORfdmF5SjMGZ	Loukan Ja Galbak	41	False	1	184	191023	['2elOTj4JyFOFPiZOcn4RNG']	['Douzi']	1	Solo	2019-12-14	9.0	0.0	3.0	0.263	0.695	0.724	0.0	0.133	-6.606	0.0482	0.594	137.994	23384
3s4mrPrEFFPF0LmAfutW0n	The London (feat. J. Cole & Travis Scott)	70	True	19	184	200186	['50co4Is1HCEo8bhOyUWKpn', '6l3HvQ5sa6mXTsMTB19rO5', '0Y5tJX1MQlPlqiwlOH1tJY']	['Young Thug', 'J. Cole', 'Travis Scott']	3	Collaboration	2019-08-16	4.0	0.0	4.0	0.0249	0.784	0.517	1.44e-06	0.155	-8.981	0.209	0.206	97.991	47982
7x9nXsowok1JszkVztI5NI	Writing on the Wall (feat. Post Malone & Cardi B)	58	True	1	184	201270	['6vXTefBL93Dj5IqAWq6OTv', '1fctva4kpRbg2k3v7kwRuS', '246dkjvS1zLTtiykXe5h60', '4kYSro6naA4h99UJvo89HB']	['French Montana', 'Rvssian', 'Post Malone', 'Cardi B']	4	Collaboration	2019-09-27	9.0	0.0	4.0	0.283	0.773	0.836	2.1e-05	0.0828	-2.326	0.153	0.497	112.01	27965
6T13So1YVw0mWNTG1SI86N	Ennemis	21	True	1	170	232000	['0bmKQDkU4J3gUykZS8tb6v']	['LFERDA']	1	Solo	2017-08-18	4.0	0.0	4.0	0.205	0.635	0.58	0.0	0.15	-8.986	0.302	0.251	110.107	3592
70eFcWOvlMObDhURTqT4Fv	Beautiful People (feat. Khalid)	77	False	1	184	197866	['6eUKZXaKkcviH0Ku9w2n3V', '6LuN9FCkKOj5PcnpouEgny']	['Ed Sheeran', 'Khalid']	2	Collaboration	2019-07-12	5.0	0.0	4.0	0.124	0.64	0.647	0.0	0.0801	-8.114	0.186	0.546	92.979	212997
0ag0F7IOYi319bGmfK3Rvm	Machi Mouchkil	26	False	12	184	281249	['7fmcLXdUj5tVr806b7Uzt3']	['7liwa']	1	Solo	2019-11-20	2.0	0.0	4.0	0.137	0.848	0.47	4.51e-05	0.179	-8.696	0.104	0.26	129.995	26251
6Ot7Xac6tL8ZrzqB7YmpzG	Caballero	0	False	1	0	191112	['6eQdvOOIyiwu6kfzdbUnxU']	['Muslim']	1	Solo	2019-12-14	5.0	1.0	4.0	0.115	0.66	0.916	0.00133	0.0702	-3.368	0.0572	0.828	159.999	27263
39JRmdKFka1Oe09FoOCPI4	Selah	63	False	2	184	164619	['5K4W6rqBFWDnAN6FQUkS6x']	['Kanye West']	1	Solo	2019-10-25	9.0	0.0	3.0	0.647	0.482	0.618	0.000859	0.32	-5.673	0.197	0.146	90.076	3861
0WOy0qsl5SFav0JRTXEmYj	Interlude	56	True	8	184	272733	['2kXKa3aAFngGz2P4GjG5w2']	['SCH']	1	Solo	2019-11-29	7.0	1.0	4.0	0.354	0.717	0.749	3e-06	0.306	-5.86	0.109	0.453	89.016	1176
3Z3KCNqNNFeVtPsZNB8AVS	Ferrari	20	False	10	184	205690	['7fmcLXdUj5tVr806b7Uzt3']	['7liwa']	1	Solo	2019-11-20	4.0	0.0	4.0	0.418	0.77	0.557	0.0	0.104	-8.22	0.323	0.237	143.07	18197
0u2P5u6lvoDfwTYjAADbn4	lovely (with Khalid)	91	False	1	184	200185	['6qqNVTkY8uBg9cP3Jd7DAH', '6LuN9FCkKOj5PcnpouEgny']	['Billie Eilish', 'Khalid']	2	Collaboration	2018-04-19	4.0	0.0	4.0	0.934	0.351	0.296	0.0	0.095	-10.109	0.0333	0.12	115.284	5103
6Ozh9Ok6h4Oi1wUSLtBseN	BOP	78	True	3	179	159714	['4r63FhuTkUYltbVAg5TQnk']	['DaBaby']	1	Solo	2019-09-27	11.0	1.0	4.0	0.189	0.769	0.787	0.0	0.129	-3.909	0.367	0.836	126.77	26575
