song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
7KxhSJOYiqCDclXDBNlFSZ	Kill Em With Kindness	68	False	2	165	217906	['0C8ZW7ezQVs4URX5aX7Kqx']	['Selena Gomez']	1	Solo	2015-10-09	10.0	0.0	4.0	0.00795	0.757	0.884	5.87e-05	0.0973	-5.488	0.0404	0.398	120.012	97934
6t2ubAB4iSYOuIpRAOGd4t	Cake - Challenge Version	58	False	5	184	157164	['0jnsk9HBra6NMjO2oANoPY', '3hPPNy5OBzCU1icQO7Nrok']	['Flo Rida', '99 Percent']	2	Collaboration	2016-12-16	2.0	1.0	4.0	0.0729	0.786	0.854	1.63e-06	0.179	-4.247	0.0523	0.687	105.078	292730
3a1lNhkSLSkpJE4MSHpDu9	Congratulations	85	True	12	184	220293	['246dkjvS1zLTtiykXe5h60', '0VRj0yCOv2FXJNP47XQnx5']	['Post Malone', 'Quavo']	2	Collaboration	2016-12-09	6.0	1.0	4.0	0.215	0.63	0.804	0.0	0.253	-4.183	0.0363	0.492	123.146	2302162
0dPBlz8N0veeceejtuvpPz	ILYSB	0	False	7	0	211149	['49tQo2QULno7gxHutgccqF']	['LANY']	1	Solo	2017-06-30	5.0	1.0	4.0	0.492	0.629	0.623	0.0034	0.348	-6.954	0.0734	0.412	99.989	10960
7wZUrN8oemZfsEd1CGkbXE	Bleeding Love	78	False	1	183	262466	['5lKZWd6HiSCLfnDGrq9RAm']	['Leona Lewis']	1	Solo	2007	5.0	1.0	4.0	0.188	0.638	0.656	0.0	0.146	-5.886	0.0357	0.225	104.036	15698
7xHWNBFm6ObGEQPaUxHuKO	The Greatest (feat. Kendrick Lamar)	72	False	14	171	210226	['5WUlDfRSoLAfcVSX1WnrxN', '2YZyLoL8N0Wb9xBt1NhZWg']	['Sia', 'Kendrick Lamar']	2	Collaboration	2016-10-21	1.0	1.0	4.0	0.0102	0.668	0.725	0.000479	0.0561	-6.127	0.266	0.729	191.944	510748
01uk7IzZyFNfQTDBXxx6NB	One Last Song	62	False	3	183	192922	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2017-11-03	1.0	1.0	3.0	0.367	0.672	0.53	0.0	0.321	-6.43	0.0284	0.485	103.326	68360
3VRk65lHSwqd90TAkQqhvB	Swish Swish	0	True	1	0	242173	['6jJ0s89eD6GaHleKKya26X', '0hCNtLu0JehylgoiP8L4Gh']	['Katy Perry', 'Nicki Minaj']	2	Collaboration	2017-05-18	5.0	0.0	4.0	0.0182	0.835	0.719	1.9e-05	0.127	-5.167	0.0559	0.532	119.946	72455
1NDlddwpgBdYYDWRPyXVIc	Doa Di Hari Mulia	24	False	30	169	222400	['51yFVX4bDGD1me2jOFKTmw']	['Uji Rashid']	1	Solo	2014-08-01	7.0	0.0	4.0	0.788	0.246	0.447	0.0251	0.312	-7.58	0.0299	0.248	143.629	12564
4GEQd6D1NeNjpf0pbOgJSO	Mama	0	False	1	0	181614	['1HBjj22wzbscIZ9sEb5dyf', '5exS0bytCYdixgv02DaCm3']	['Jonas Blue', 'William Singe']	2	Collaboration	2017-07-14	11.0	0.0	4.0	0.105	0.742	0.791	0.0	0.0533	-4.277	0.0479	0.534	104.059	93174
57PMcOWtzORTxRj1MQWxpt	Esok Hari Raya	16	False	6	184	234920	['6qkHwRSKMQZny8lNxwodc5', '7HrsdCWObvipmXm9FRczRW']	['Dr Sam', 'Musafir']	2	Collaboration	2016-08-23	7.0	1.0	4.0	0.0178	0.664	0.81	0.00119	0.214	-5.722	0.0519	0.898	131.102	3805
