song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
7b8wtFTtx1iKPpm6aI27Kf	Bootje	54	False	1	184	125897	['5sBoNBXFMzoZjgHLbQueeG', '0Uev3WqwkRc17NqfsvVv4K']	['Antoon', 'Paul Sinha']	2	Collaboration	2021-07-16	0.0	0.0	4.0	0.221	0.854	0.665	4.11e-06	0.252	-5.659	0.0824	0.833	116.978	2261360
0OSL7r6DK20SuN2jisulPE	C'est La Vie	48	False	1	184	169142	['7bTUZU8QavxiW0GtvEVP0M', '46hfNL2Bni5Ux8hCDMAjIN']	['Kleine John', 'Chavanté']	2	Collaboration	2021-09-10	9.0	0.0	4.0	0.0534	0.715	0.669	0.0	0.202	-9.211	0.115	0.547	104.97	23133
2Xy1UIVfOlukyye6Fd0wrI	Follow Me	73	False	1	184	169672	['20gsENnposVs2I4rQ5kvrf', '5CCwRZC6euC8Odo6y9X8jr']	['Sam Feldt', 'Rita Ora']	2	Collaboration	2021-12-10	6.0	1.0	4.0	0.083	0.673	0.729	0.0	0.1	-4.879	0.0496	0.675	122.023	2401801
5iFQfP3AqVnHHS89LKQisL	Anyone For You (Tiger Lily)	13	False	1	0	187682	['2ysnwxxNtSgbb9t1m2Ur4j']	['George Ezra']	1	Solo	2022-01-28	10.0	1.0	4.0	0.293	0.662	0.807	3.55e-06	0.189	-3.285	0.0411	0.772	103.031	1436804
5UZA39t4lX42ApegVubl7f	Won’t Let You Go	57	False	1	184	217261	['60d24wfXkVzDSfLS6hyCjZ', '2QMCcKIPHnjQaPPgoEst88', '2auikkNYqigWStoHWK1Grq']	['Martin Garrix', 'Matisse & Sadko', 'John Martin']	3	Collaboration	2021-12-10	2.0	0.0	4.0	0.00623	0.46	0.843	0.0	0.16	-5.164	0.0616	0.276	125.982	968700
67Uas8KwdCQ7IQmtxTfgGp	Marbella	62	True	10	184	187071	['6OQggpm01CmAB717TKtDCr', '51MxI9mWmRMPLK9eNlyQ7o', '0Kwf0zcciIFGLCKiqNcO6Q']	['Dopebwoy', '3robi', 'SRNO']	3	Collaboration	2020-10-30	2.0	0.0	4.0	0.261	0.58	0.581	0.0	0.165	-6.679	0.0669	0.582	94.98	853956
5I8QeEYuAqhfoVXYvy57Dp	PRIX D'AMI	35	True	5	184	175441	['6zEaCvF0CqEHs7kFyBkLHi']	['Mula B']	1	Solo	2022-02-25	0.0	0.0	4.0	0.169	0.77	0.64	3.43e-06	0.135	-6.746	0.32	0.286	94.927	141648
3iTgDUuQCjScwvtKty8YgO	50 Bro's	2	True	1	0	202285	['29ntaqCLHlZZ4X6KiW7mLm']	['Bully']	1	Solo	2021-08-13	7.0	1.0	4.0	0.0668	0.724	0.43	0.0	0.104	-13.051	0.266	0.812	139.979	1367283
3QTsEZZ2qeahVOtliAvTHw	C’est que du bonheur	58	False	6	184	162226	['5j4HeCoUlzhfWtjAfM1acR']	['Stromae']	1	Solo	2022-03-03	7.0	1.0	4.0	0.317	0.867	0.616	8.35e-05	0.106	-7.964	0.172	0.638	98.037	408975
1QQQEsgRzhUirI0vdKDz66	Dansen Op Labanta	61	True	3	184	164900	['2gLZZdgHD8ZbSAB2qQkr3P', '50mdotNCJ2PcoZiAgsh8dY', '3GL6hDzc8ltMMIl6gOTWIT']	['GLOWINTHEDARK', 'SFB', 'Philly Moré']	3	Collaboration	2016-05-27	5.0	0.0	4.0	0.0631	0.718	0.945	8.21e-05	0.17	-3.203	0.0757	0.628	120.063	2372982
