song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
0k4d5YPDr1r7FX77VdqWez	You Right	84	True	8	184	186173	['5cj0lLjcoR7YOSnhnX0Po5', '1Xyo4u8uXC1ZmMpatF05PJ']	['Doja Cat', 'The Weeknd']	2	Collaboration	2021-06-25	8.0	1.0	4.0	0.0164	0.828	0.621	0.00233	0.0845	-6.414	0.0565	0.436	128.986	1979013
16GcTbBwbWsRSNEdaqMZlC	Boy King	0	False	3	0	322360	['3eAOH2az3fQIfX2UAw0FfC']	['L.A.B.']	1	Solo	2020-12-18	6.0	0.0	4.0	0.00254	0.888	0.783	0.49	0.111	-7.534	0.0543	0.806	126.075	55105
2sYRuFa5N6FJJcO7vE67XD	Timewarp (Dimension Remix)	44	False	1	184	226613	['0QaSiI5TLA4N7mcsdxShDO', '1QMgre3BHX161ZHtWMUu6S']	['Sub Focus', 'Dimension']	2	Collaboration	2021-07-02	0.0	1.0	4.0	0.000798	0.453	0.961	0.722	0.353	-2.687	0.0757	0.184	174.047	7003
4cHKd6qPMR1TMx55KHlida	Notion	1	False	3	0	195120	['1QfpRUtH14JLoY6F6AYmwt']	['The Rare Occasions']	1	Solo	2016-08-05	9.0	1.0	4.0	0.0678	0.307	0.884	0.00103	0.0849	-3.825	0.0813	0.314	159.579	38923
5QYnNhTKsN3kE7OaqILA1U	First Times	71	False	3	184	185853	['6eUKZXaKkcviH0Ku9w2n3V']	['Ed Sheeran']	1	Solo	2021-10-29	8.0	1.0	4.0	0.84	0.587	0.267	0.0	0.121	-9.206	0.0349	0.352	98.845	143355
4KDNRh9Oor80z3XIxdWlui	Bubbly (with Drake & Travis Scott)	72	True	12	184	165066	['50co4Is1HCEo8bhOyUWKpn', '3TVXtAsR1Inumwj472S9r4', '0Y5tJX1MQlPlqiwlOH1tJY']	['Young Thug', 'Drake', 'Travis Scott']	3	Collaboration	2021-10-15	11.0	0.0	4.0	0.0536	0.91	0.585	0.0	0.127	-7.572	0.257	0.599	129.011	56161
3fGW43fnu3OHEw6ohTC2Bw	Our Song	69	False	5	184	163733	['1zNqDE7qDGCsyzJwohVaoX', '1Hsdzj7Dlq2I7tHP7501T4']	['Anne-Marie', 'Niall Horan']	2	Collaboration	2021-07-23	2.0	1.0	4.0	0.127	0.572	0.759	0.0	0.224	-4.312	0.0506	0.519	80.95	255114
4S4QJfBGGrC8jRIjJHf1Ka	Pain	82	False	1	184	98544	['78rUTD7y6Cy67W1RVzYs7t']	['PinkPantheress']	1	Solo	2021-10-15	1.0	1.0	4.0	0.227	0.829	0.617	0.00306	0.0618	-8.497	0.14	0.81	125.605	11573
2X5m6irq8boS50Efx4oWew	BLESSED	63	True	13	184	57667	['4V8LLVI7PbaPR0K2TGSxFF']	['Tyler, The Creator']	1	Solo	2021-06-25	8.0	1.0	4.0	0.389	0.336	0.613	9.99e-05	0.765	-7.869	0.123	0.741	40.319	8819
6Hfu9sc7jvv6coyy2LlzBF	Hurricane	75	False	5	184	243187	['5K4W6rqBFWDnAN6FQUkS6x']	['Kanye West']	1	Solo	2021-08-29	0.0	1.0	4.0	0.0466	0.587	0.561	0.0	0.109	-6.569	0.146	0.351	80.009	423449
09xpQPfKWdio1wx6v17dGa	SAFARI	65	True	16	184	177742	['4V8LLVI7PbaPR0K2TGSxFF']	['Tyler, The Creator']	1	Solo	2021-06-25	1.0	0.0	4.0	0.0618	0.471	0.71	1.7e-06	0.338	-6.462	0.213	0.599	80.453	9259
5wTM2Bm8phDwHAuOsfBwhU	2000 Miles - 2007 Remaster	46	False	10	184	220426	['0GByy3DcfbQwDvXGCWmzv9']	['Pretenders']	1	Solo	1984	7.0	1.0	4.0	0.00292	0.22	0.708	0.0267	0.102	-9.051	0.035	0.453	66.214	103991
