song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
5QSYWruQQ7kBCHScI4xJ9g	Bajo El Agua	76	False	2	184	225838	['0i5iO6icb7kxg48thi9gBM']	['Manuel Medrano']	1	Solo	2015-10-30	4.0	1.0	4.0	0.767	0.616	0.454	3.48e-05	0.105	-8.504	0.0273	0.249	99.998	17356
21lnmphofXWWeSSx0PEMjc	Un Ratito Mas	0	True	1	0	283001	['6w9ToX5slZ4uIdmD17hJ3c', '4q3ewBCX7sLwd24euuV69X']	['Bryant Myers', 'Bad Bunny']	2	Collaboration	2017-05-06	1.0	1.0	4.0	0.145	0.662	0.628	0.0	0.274	-3.889	0.0468	0.202	139.898	371769
3a1lNhkSLSkpJE4MSHpDu9	Congratulations	85	True	12	184	220293	['246dkjvS1zLTtiykXe5h60', '0VRj0yCOv2FXJNP47XQnx5']	['Post Malone', 'Quavo']	2	Collaboration	2016-12-09	6.0	1.0	4.0	0.215	0.63	0.804	0.0	0.253	-4.183	0.0363	0.492	123.146	244699
70lnL3QaSOIIyMa2X9aVRL	Perro Fiel (feat. Nicky Jam)	73	False	6	184	195213	['0EmeFodog0BfCgMzAIvKQp', '1SupJlEpv7RS2tPNRaHViT']	['Shakira', 'Nicky Jam']	2	Collaboration	2017-05-26	1.0	1.0	4.0	0.187	0.75	0.76	0.0	0.0548	-4.836	0.198	0.893	183.817	660851
2rrJfOphzn4uQCK9X0x6R6	Solo	0	False	1	0	229485	['6kq4GHwUcUojGIu0ziSNXf', '1jSjfSgDjedJdi5MoyRu78']	['Amenazzy', 'Lary Over']	2	Collaboration	2017-09-19	11.0	0.0	4.0	0.245	0.805	0.48	0.00431	0.0955	-7.179	0.208	0.26	98.045	67315
5N8nNuTmIzkZOfcxXlygUw	Ginza	0	False	13	0	171093	['1vyhD5VmyZ7KMfW5gqLgo5']	['J Balvin']	1	Solo	2016-06-24	5.0	0.0	4.0	0.187	0.763	0.812	0.000848	0.0752	-6.469	0.0792	0.828	101.95	13667
7xHWNBFm6ObGEQPaUxHuKO	The Greatest (feat. Kendrick Lamar)	72	False	14	171	210226	['5WUlDfRSoLAfcVSX1WnrxN', '2YZyLoL8N0Wb9xBt1NhZWg']	['Sia', 'Kendrick Lamar']	2	Collaboration	2016-10-21	1.0	1.0	4.0	0.0102	0.668	0.725	0.000479	0.0561	-6.127	0.266	0.729	191.944	26119
3VRk65lHSwqd90TAkQqhvB	Swish Swish	0	True	1	0	242173	['6jJ0s89eD6GaHleKKya26X', '0hCNtLu0JehylgoiP8L4Gh']	['Katy Perry', 'Nicki Minaj']	2	Collaboration	2017-05-18	5.0	0.0	4.0	0.0182	0.835	0.719	1.9e-05	0.127	-5.167	0.0559	0.532	119.946	6944
4GEQd6D1NeNjpf0pbOgJSO	Mama	0	False	1	0	181614	['1HBjj22wzbscIZ9sEb5dyf', '5exS0bytCYdixgv02DaCm3']	['Jonas Blue', 'William Singe']	2	Collaboration	2017-07-14	11.0	0.0	4.0	0.105	0.742	0.791	0.0	0.0533	-4.277	0.0479	0.534	104.059	6832
5EnYT6F7wEcdege6mDHEfO	Signs	0	False	1	0	234373	['3TVXtAsR1Inumwj472S9r4']	['Drake']	1	Solo	2017-06-23	0.0	1.0	4.0	0.0864	0.801	0.727	0.00406	0.112	-4.687	0.0606	0.218	107.371	94737
6cPyTS0Kk2sc4xQwC93kOg	Break Up Every Night	54	True	2	184	207520	['69GGBxA162lTqCwzJG5jLp']	['The Chainsmokers']	1	Solo	2017-04-07	1.0	1.0	4.0	0.00411	0.624	0.806	0.0	0.0872	-5.957	0.0437	0.528	149.999	2545
2EoOZnxNgtmZaD8uUmz2nD	Black Hole Sun	80	False	7	184	318586	['5xUf6j4upBrXZPg6AI4MRK']	['Soundgarden']	1	Solo	1994-03-09	6.0	1.0	4.0	0.000217	0.35	0.828	0.000161	0.0774	-5.373	0.041	0.147	105.435	1043
4COGASZEbAxmH6k5gYMo6G	0 Sentimientos (Remix) [feat. Noriel, Darkiel, Lyan, Messiah & Baby Rasta]	76	True	1	170	335736	['5bWUlnPx9OYKsLiUJrhCA1', '3RtNN1VnooWEn3KQk03DUL', '4z19QMyPVRwbd4Fs2LisBa', '2GzKA5uPf3Nef6JjkUNk4H', '0tR60pwxQ5WKjPxQcKoCQ7', '0GgyFUpOyzWDRDqx8FCTDN']	['Jon Z', 'Noriel', 'Darkiel', 'Lyan', 'Messiah', 'Baby Rasta']	6	Collaboration	2016-11-24	4.0	0.0	4.0	0.155	0.894	0.721	0.0	0.154	-5.829	0.258	0.392	107.963	68126
3eR23VReFzcdmS7TYCrhCe	It Ain't Me (with Selena Gomez)	80	False	1	183	220780	['23fqKkggKUBHNkbKtXEls4', '0C8ZW7ezQVs4URX5aX7Kqx']	['Kygo', 'Selena Gomez']	2	Collaboration	2017-02-16	0.0	1.0	4.0	0.119	0.64	0.533	0.0	0.0864	-6.596	0.0706	0.515	99.968	757928
15dnkAHcHC0vrIUlbiPiqU	I Don’t Know Why	0	False	1	0	190120	['53XhwfbYqKCa1cC15pYq2q']	['Imagine Dragons']	1	Solo	2017-06-23	2.0	1.0	4.0	0.0058	0.475	0.657	8.81e-06	0.181	-7.381	0.0708	0.0707	132.071	1181
2tdq0CeAGSfhI2l4Gwkvgx	Best Of Me	0	False	3	0	227191	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2017-09-18	8.0	1.0	4.0	0.0298	0.651	0.756	0.0	0.396	-4.388	0.0762	0.473	121.96	1253
1UZOjK1BwmwWU14Erba9CZ	Malibu	79	False	2	184	231906	['5YGY8feqx7naU7z4HrwZM6']	['Miley Cyrus']	1	Solo	2017-09-29	8.0	1.0	4.0	0.0767	0.573	0.781	2.64e-05	0.0813	-6.406	0.0555	0.343	139.934	1074
66hayvUbTotekKU3H4ta1f	Where Are Ü Now (with Justin Bieber)	77	False	9	141	250285	['1HxJeLhIuegM3KgvPn8sTa', '5he5w2lnU9x7JFhnwcekXX', '5fMUXHkw8R8eOP2RNVYEZX', '1uNFoZAHBGtllmzznpCI3s']	['Jack Ü', 'Skrillex', 'Diplo', 'Justin Bieber']	4	Collaboration	2015-02-24	4.0	0.0	4.0	0.041	0.432	0.781	4.21e-06	0.0789	-4.038	0.0567	0.197	139.432	2414
4fy6HNnu1XXq2j1Y56EP2H	rockstar - Remix	53	True	1	182	245946	['246dkjvS1zLTtiykXe5h60', '1SupJlEpv7RS2tPNRaHViT', '1i8SpTcr7yvPOmcqrbnVXY']	['Post Malone', 'Nicky Jam', 'Ozuna']	3	Collaboration	2017-12-08	7.0	0.0	4.0	0.181	0.674	0.588	1.49e-06	0.131	-5.506	0.131	0.208	159.926	22643
3E2Zh20GDCR9B1EYjfXWyv	Weak	0	False	3	0	201160	['6s22t5Y3prQHyaHWUN1R1C']	['AJR']	1	Solo	2017-06-09	5.0	1.0	4.0	0.137	0.673	0.637	0.0	0.184	-4.518	0.0429	0.678	123.98	26468
3WHqVVRvPDWz033iPs04md	6 AM (Remix)	25	True	12	184	242273	['5RyWXf5wVWQa9UOnnsjpY2', '1vyhD5VmyZ7KMfW5gqLgo5', '329e4yvIujISKGKz1BZZbO']	['Enzo Ortiz', 'J Balvin', 'Farruko']	3	Collaboration	2017-05-19	5.0	0.0	4.0	0.294	0.736	0.638	0.0	0.26	-8.092	0.242	0.764	176.017	1157
5qII2n90lVdPDcgXEEVHNy	Sunday Morning	78	False	8	180	244880	['04gDigrS5kc9YWfZHwBETP']	['Maroon 5']	1	Solo	2002	0.0	1.0	4.0	0.0913	0.608	0.768	0.0	0.0629	-5.227	0.0475	0.809	88.059	2290
5bcTCxgc7xVfSaMV3RuVke	Feels (feat. Pharrell Williams, Katy Perry & Big Sean)	80	True	8	177	223413	['7CajNmpbOovFoOoasH2HaY', '2RdwBSPQiwcmiDo9kixcl8', '6jJ0s89eD6GaHleKKya26X', '0c173mlxpT3dSFRgMO8XPh', '4A0TivfinfALCAMJqqjZIk']	['Calvin Harris', 'Pharrell Williams', 'Katy Perry', 'Big Sean', 'Funk Wav']	5	Collaboration	2017-06-30	11.0	0.0	4.0	0.0642	0.893	0.745	0.0	0.0943	-3.105	0.0571	0.872	101.018	469462
6DUdDIRgLqCGq1DwkNWQTN	Borro Cassette	80	False	1	184	207306	['1r4hJ1h58CWwUQe3MxPuau']	['Maluma']	1	Solo	2015-10-30	5.0	0.0	4.0	0.132	0.73	0.701	0.0	0.151	-5.885	0.106	0.785	175.95	356685
0SGkqnVQo9KPytSri1H6cF	Bounce Back	72	True	3	179	222360	['0c173mlxpT3dSFRgMO8XPh']	['Big Sean']	1	Solo	2017-02-03	1.0	0.0	4.0	0.106	0.78	0.575	0.0	0.129	-5.628	0.139	0.273	81.502	3042
0tBbt8CrmxbjRP0pueQkyU	Wolves	82	False	1	184	197993	['0C8ZW7ezQVs4URX5aX7Kqx', '64KEffDW9EtZ1y2vBYgq8T']	['Selena Gomez', 'Marshmello']	2	Collaboration	2017-10-25	11.0	0.0	4.0	0.124	0.724	0.804	0.0	0.204	-4.614	0.0448	0.306	124.987	1190
0sXvAOmXgjR2QUqLK1MltU	La Bicicleta	62	False	10	184	227706	['4vhNDa5ycK0ST968ek7kRr', '0EmeFodog0BfCgMzAIvKQp']	['Carlos Vives', 'Shakira']	2	Collaboration	2017-05-26	0.0	1.0	4.0	0.198	0.736	0.964	2.32e-06	0.336	-2.147	0.129	0.953	179.935	568139
7JEugWadlK7uQ5xuqgXQSE	Rock Your Body	2	True	3	0	210040	['3wcj11K77LjEY1PkEazffa']	['Burna Boy']	1	Solo	2017-07-04	9.0	0.0	4.0	0.0354	0.861	0.617	0.133	0.113	-7.92	0.066	0.839	105.042	61042
4IWAyPf1KMq7JCyGeCjTeH	Whatever It Takes	0	False	2	0	201240	['53XhwfbYqKCa1cC15pYq2q']	['Imagine Dragons']	1	Solo	2017-06-23	1.0	1.0	4.0	0.0429	0.675	0.649	0.0	0.128	-4.953	0.0315	0.537	134.955	5617
0swhRlMVAFZUralMYJ7RAj	Punto G - Remix	0	False	1	0	446009	['00XhexlJEXQstHimpZN910', '1TtXnWcUs0FCkaZDPGYHdf', '4SsVbpTthjScTS7U2hmr1X', '12vb80Km0Ew53ABfJOepVz', '329e4yvIujISKGKz1BZZbO', '3EiLUeyEcA6fbRPSHkG5kb']	['Brytiago', 'Darell', 'Arcángel', 'Ñengo Flow', 'Farruko', 'De La Ghetto']	6	Collaboration	2017-02-03	9.0	0.0	4.0	0.211	0.78	0.586	0.0	0.104	-4.569	0.14	0.31	140.086	4207
3fXrG65L83Kue9p13PCL4a	Carmín (feat. Juan Luis Guerra)	22	False	5	184	208954	['5lwmRuXgjX8xIwlnauTZIP', '3nlpTZci9O5W8RsNoNH559']	['Romeo Santos', 'Juan Luis Guerra 4.40']	2	Collaboration	2017-07-21	11.0	1.0	4.0	0.664	0.73	0.683	0.0	0.16	-5.427	0.0394	0.743	120.956	1165
58tUwXG7xKE7gzNOp6Msca	Joga O Bum Bum Tam Tam	0	True	1	0	155454	['2W6kbe0nm96COrHzNmfLLd']	['MC Fioti']	1	Solo	2017-02-08	9.0	1.0	4.0	0.627	0.94	0.492	0.0211	0.143	-9.034	0.108	0.447	131.979	33136
4CTjql34LKCJy5WOSgEhvA	Ya No Me Duele Más (feat. Farruko) - Remix	50	False	14	184	219653	['3OcvS8PzSGYMBvLdzY6g3e', '329e4yvIujISKGKz1BZZbO']	['Silvestre Dangond', 'Farruko']	2	Collaboration	2017-02-03	5.0	1.0	4.0	0.175	0.739	0.881	0.0	0.121	-4.359	0.0484	0.839	98.062	125928
77J6wE54qpAb2iGegfCVFu	Blanca Navidad	36	False	4	184	212466	['2nszmSgqreHSdJA3zWPyrW']	['Luis Miguel']	1	Solo	2006-11-06	10.0	1.0	4.0	0.733	0.362	0.403	3.12e-05	0.069	-10.89	0.0296	0.176	90.123	2235
7MXVkk9YMctZqd1Srtv4MB	Starboy	94	True	1	184	230453	['1Xyo4u8uXC1ZmMpatF05PJ', '4tZwfgrHOc3mvqYlEYSvVi']	['The Weeknd', 'Daft Punk']	2	Collaboration	2016-11-25	7.0	1.0	4.0	0.141	0.679	0.587	6.35e-06	0.137	-7.015	0.276	0.486	186.003	1343
4lESS6vuruP6a79KWRaQou	Corazón	0	False	1	0	184066	['1r4hJ1h58CWwUQe3MxPuau', '1B0Rp4SWGnFgGCPU5Pju6E']	['Maluma', 'Nego do Borel']	2	Collaboration	2017-11-03	4.0	0.0	4.0	0.283	0.871	0.768	2.25e-05	0.162	-5.401	0.122	0.765	98.989	298373
6JV2JOEocMgcZxYSZelKcc	"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"	81	False	1	183	236001	['31TPClRtHm23RisEBtV3X7']	['Justin Timberlake']	1	Solo	2016-05-06	0.0	1.0	4.0	0.0123	0.666	0.83	0.0	0.191	-5.715	0.0751	0.702	113.03	104674
79IXzxnNe0tVXaxiEcbmBH	Prepago	0	True	1	0	231920	['1jSjfSgDjedJdi5MoyRu78', '2OHKEe204spO7G7NcbeO2o']	['Lary Over', 'Ñejo']	2	Collaboration	2017-09-08	1.0	1.0	4.0	0.302	0.628	0.72	0.0	0.0848	-5.562	0.0939	0.409	139.934	10684
2bjwRfXMk4uRgOD9IBYl9h	Portland	74	True	11	184	236614	['3TVXtAsR1Inumwj472S9r4', '0VRj0yCOv2FXJNP47XQnx5', '0Y5tJX1MQlPlqiwlOH1tJY']	['Drake', 'Quavo', 'Travis Scott']	3	Collaboration	2017-03-18	1.0	1.0	4.0	0.0172	0.925	0.443	0.0	0.276	-8.216	0.264	0.35	136.078	22970
1O1ivWmmBHUfDpIuNn2hCd	Miss Lonely	0	True	1	0	193227	['77ziqFxp5gaInVrF2lj4ht']	['Sech']	1	Solo	2017-12-04	0.0	1.0	4.0	0.28	0.641	0.688	0.0	0.101	-5.408	0.195	0.714	82.058	27147
47anM98r1VpZ3A2T38TfM5	Préndelo	0	False	1	0	212133	['6dbTlAJDUXi8tD7glffoNb', '7fzjOp0zWBmu7M5R7kZW60']	['Robinho', 'Mr. Saik']	2	Collaboration	2017-01-02	6.0	1.0	4.0	0.00214	0.721	0.871	2.2e-06	0.0313	-2.885	0.0998	0.845	94.807	72441
2Z8WuEywRWYTKe1NybPQEW	Ride	85	False	3	170	214506	['3YQKmKGau1PzlVlkL1iodx']	['Twenty One Pilots']	1	Solo	2015-05-15	6.0	1.0	4.0	0.00835	0.645	0.713	0.0	0.113	-5.355	0.0393	0.566	74.989	27488
13X0XdLMOdtbXVtAj2ox4h	Besándote	55	False	1	184	181048	['4bw2Am3p9ji3mYsXNXtQcd']	['Piso 21']	1	Solo	2017-04-21	7.0	1.0	4.0	0.0345	0.724	0.809	0.0	0.169	-4.96	0.056	0.496	95.037	730036
3pI6VigoXHkcL3VYLJfBhq	Vente Pa' Ca (feat. Maluma) - Urban Remix	48	False	1	184	235112	['7slfeZO9LsJbWgpkIoXBUJ', '1r4hJ1h58CWwUQe3MxPuau']	['Ricky Martin', 'Maluma']	2	Collaboration	2016-09-30	11.0	0.0	4.0	0.108	0.741	0.891	1e-06	0.6	-3.773	0.0446	0.612	100.022	2043
3B54sVLJ402zGa6Xm4YGNe	Unforgettable	86	True	2	172	233901	['6vXTefBL93Dj5IqAWq6OTv', '1zNqQNIdeOUZHb8zbZRFMX']	['French Montana', 'Swae Lee']	2	Collaboration	2017-07-14	6.0	1.0	4.0	0.0293	0.726	0.769	0.0101	0.104	-5.043	0.123	0.733	97.985	705294
5i50gKdLAjjIr7UxRT5IVy	Alguien Robo	0	False	1	0	223613	['07YUOmWljBTXwIseAUd9TW', '2ayNSoKPCRAfjp6hQ76hRu', '3E6xrwgnVfYCrCs0ePERDz']	['Sebastian Yatra', 'Nacho', 'Wisin']	3	Collaboration	2017-02-10	0.0	1.0	4.0	0.0897	0.745	0.921	0.0	0.178	-2.674	0.082	0.651	92.973	913243
1rXojdsUqqxGj2WCmJGWHP	Vacaciones	66	False	10	184	238813	['3E6xrwgnVfYCrCs0ePERDz']	['Wisin']	1	Solo	2017-12-01	6.0	0.0	4.0	0.246	0.777	0.911	0.0	0.257	-3.223	0.173	0.704	96.017	40120
6n8TMVyFKoUmDc4apxceRD	Breaking the Habit	69	False	9	184	196906	['6XyY86QOPPrYVGvF9ch6wz']	['Linkin Park']	1	Solo	2003-03-24	4.0	0.0	4.0	0.108	0.579	0.849	0.0	0.0909	-5.218	0.0303	0.581	100.021	1181
