song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
7KxhSJOYiqCDclXDBNlFSZ	Kill Em With Kindness	68	False	2	165	217906	['0C8ZW7ezQVs4URX5aX7Kqx']	['Selena Gomez']	1	Solo	2015-10-09	10.0	0.0	4.0	0.00795	0.757	0.884	5.87e-05	0.0973	-5.488	0.0404	0.398	120.012	552280
2kk3SLC5l5ZOIH8XX8OulY	Lights Of Home	0	False	2	0	256893	['51Blml2LZPmy7TTiAg47vQ']	['U2']	1	Solo	2017-12-01	2.0	0.0	4.0	0.0748	0.614	0.7	0.0	0.169	-7.119	0.0329	0.458	145.942	7210
1DjLBipaNw74WmZkvTyho9	Ready to Go	46	False	2	182	164413	['3w4VAlllkAWI6m0AV0Gn6a']	['Hurts']	1	Solo	2017-09-29	10.0	0.0	4.0	0.0741	0.628	0.924	1.33e-05	0.682	-3.619	0.0463	0.635	102.027	44758
6t2ubAB4iSYOuIpRAOGd4t	Cake - Challenge Version	58	False	5	184	157164	['0jnsk9HBra6NMjO2oANoPY', '3hPPNy5OBzCU1icQO7Nrok']	['Flo Rida', '99 Percent']	2	Collaboration	2016-12-16	2.0	1.0	4.0	0.0729	0.786	0.854	1.63e-06	0.179	-4.247	0.0523	0.687	105.078	638807
3a1lNhkSLSkpJE4MSHpDu9	Congratulations	85	True	12	184	220293	['246dkjvS1zLTtiykXe5h60', '0VRj0yCOv2FXJNP47XQnx5']	['Post Malone', 'Quavo']	2	Collaboration	2016-12-09	6.0	1.0	4.0	0.215	0.63	0.804	0.0	0.253	-4.183	0.0363	0.492	123.146	3229250
2IDDQFHRf9iH35jeL89uNs	Please Tell Rosie	59	False	2	16	172640	['61ipISvUVa5LkJlKZnm3Oo', '67ghKnycRX6VM1xfqJSMlH']	['Alle Farben', 'YouNotUs']	2	Collaboration	2016-06-03	0.0	0.0	4.0	0.024	0.721	0.681	0.0109	0.157	-7.631	0.0488	0.768	121.978	9652
5PYPCxyWltRIyPkhSsnWIk	"Engagement Party - From ""La La Land"" Soundtrack"	0	False	11	0	87213	['2snm3HmsnDUDxbIChdl2Oj']	['Justin Hurwitz']	1	Solo	2016-12-09	3.0	1.0	4.0	0.992	0.414	0.0595	0.912	0.116	-23.003	0.0392	0.302	82.777	147523
6yr8GiTHWvFfi4o6Q5ebdT	'Till I Collapse	0	True	18	0	297893	['7dGJo4pcD2V6oG8kP0tJRR', '1Oa0bMld0A3u5OTYfMzp5h']	['Eminem', 'Nate Dogg']	2	Collaboration	2002-05-26	1.0	1.0	4.0	0.0748	0.551	0.851	0.0	0.0784	-3.277	0.197	0.1	171.411	293163
2FBUoWkIuQXwayw2RNo5l6	Hotline Bling	0	False	20	0	267066	['3TVXtAsR1Inumwj472S9r4']	['Drake']	1	Solo	2016-05-06	2.0	1.0	4.0	0.00347	0.903	0.62	0.000119	0.0504	-8.094	0.0587	0.539	134.96	6679
0dPBlz8N0veeceejtuvpPz	ILYSB	0	False	7	0	211149	['49tQo2QULno7gxHutgccqF']	['LANY']	1	Solo	2017-06-30	5.0	1.0	4.0	0.492	0.629	0.623	0.0034	0.348	-6.954	0.0734	0.412	99.989	22783
6FVJuLWAm8O0JnO3O15rlM	Ankh	0	False	4	0	182427	['1fxbULcd6ryMNc1usHoP0R', '2ufQfSFDFXfMS7MEMzdGZE']	['Quebonafide', 'Białas']	2	Collaboration	2017-06-14	4.0	0.0	4.0	0.181	0.528	0.823	0.0	0.101	-4.306	0.516	0.434	173.011	37285
7xHWNBFm6ObGEQPaUxHuKO	The Greatest (feat. Kendrick Lamar)	72	False	14	171	210226	['5WUlDfRSoLAfcVSX1WnrxN', '2YZyLoL8N0Wb9xBt1NhZWg']	['Sia', 'Kendrick Lamar']	2	Collaboration	2016-10-21	1.0	1.0	4.0	0.0102	0.668	0.725	0.000479	0.0561	-6.127	0.266	0.729	191.944	610549
01uk7IzZyFNfQTDBXxx6NB	One Last Song	62	False	3	183	192922	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2017-11-03	1.0	1.0	3.0	0.367	0.672	0.53	0.0	0.321	-6.43	0.0284	0.485	103.326	72380
552BIJ9kKwwqiGf4YojYbL	Man of War	0	False	2	0	269093	['4Z8W4fKeB5YxbusRsdQVPb']	['Radiohead']	1	Solo	2017-06-23	9.0	0.0	4.0	0.0131	0.274	0.472	0.069	0.0802	-7.614	0.0263	0.14	148.996	8903
5wTM2Bm8phDwHAuOsfBwhU	2000 Miles - 2007 Remaster	46	False	10	184	220426	['0GByy3DcfbQwDvXGCWmzv9']	['Pretenders']	1	Solo	1984	7.0	1.0	4.0	0.00292	0.22	0.708	0.0267	0.102	-9.051	0.035	0.453	66.214	228679
3VRk65lHSwqd90TAkQqhvB	Swish Swish	0	True	1	0	242173	['6jJ0s89eD6GaHleKKya26X', '0hCNtLu0JehylgoiP8L4Gh']	['Katy Perry', 'Nicki Minaj']	2	Collaboration	2017-05-18	5.0	0.0	4.0	0.0182	0.835	0.719	1.9e-05	0.127	-5.167	0.0559	0.532	119.946	169316
4GEQd6D1NeNjpf0pbOgJSO	Mama	0	False	1	0	181614	['1HBjj22wzbscIZ9sEb5dyf', '5exS0bytCYdixgv02DaCm3']	['Jonas Blue', 'William Singe']	2	Collaboration	2017-07-14	11.0	0.0	4.0	0.105	0.742	0.791	0.0	0.0533	-4.277	0.0479	0.534	104.059	134750
3iA1QA8g45aSTOYQPhltKm	I Need A Good One	0	False	14	0	228160	['0e6qzpphJHtObTSwD75mi0', '3hBW7j4MAd33oB1Pe3eQ9g']	['The Avener', 'Mark Asari']	2	Collaboration	2017-02-10	0.0	0.0	4.0	0.472	0.729	0.788	0.0	0.142	-5.33	0.135	0.548	120.032	3895
0GyNfI3eKLWQJ5QwXo4WL6	Sunsets For Somebody Else	0	False	1	0	210480	['3GBPw9NK25X1Wt2OUvOwY3']	['Jack Johnson']	1	Solo	2017-08-04	7.0	1.0	4.0	0.838	0.709	0.228	2.2e-05	0.146	-7.975	0.0326	0.597	113.098	4748
4scpF6J5uMBvoh6sFB7EL1	No Type	75	True	10	182	200080	['7iZtZyCzp3LItcw1wtPI3D']	['Rae Sremmurd']	1	Solo	2015-01-06	6.0	1.0	4.0	0.0158	0.891	0.486	3.78e-06	0.0925	-7.803	0.159	0.239	125.01	103132
5EnYT6F7wEcdege6mDHEfO	Signs	0	False	1	0	234373	['3TVXtAsR1Inumwj472S9r4']	['Drake']	1	Solo	2017-06-23	0.0	1.0	4.0	0.0864	0.801	0.727	0.00406	0.112	-4.687	0.0606	0.218	107.371	460516
46jLy47W8rkf8rEX04gMKB	Wherever I Go	71	False	14	181	169773	['5Pwc4xIPtQLFEnJriah9YJ']	['OneRepublic']	1	Solo	2016-12-02	10.0	0.0	4.0	0.0915	0.552	0.689	0.0	0.27	-6.444	0.0425	0.349	99.961	100380
3vgNmjuRDnGLxUFGCLkwpm	Light My Body Up (feat. Nicki Minaj & Lil Wayne)	48	False	1	181	225616	['1Cs0zKBU1kc0i8ypK3B9ai']	['David Guetta']	1	Solo	2017-03-23	6.0	0.0	4.0	0.00365	0.699	0.66	0.0	0.139	-7.013	0.0861	0.689	145.937	37860
5jwCEcnS7IXWhD4KuunEDE	Happy Ever After (Zero Hour)	44	False	8	184	220973	['7jy3rLJdDQY21OgRLCZ9sD']	['Foo Fighters']	1	Solo	2017-09-15	11.0	0.0	4.0	0.806	0.429	0.259	0.0256	0.221	-16.875	0.0338	0.349	173.928	5248
6cPyTS0Kk2sc4xQwC93kOg	Break Up Every Night	54	True	2	184	207520	['69GGBxA162lTqCwzJG5jLp']	['The Chainsmokers']	1	Solo	2017-04-07	1.0	1.0	4.0	0.00411	0.624	0.806	0.0	0.0872	-5.957	0.0437	0.528	149.999	334950
6Ep6BzIOB9tz3P4sWqiiAB	Radioactive	0	False	1	0	186813	['53XhwfbYqKCa1cC15pYq2q']	['Imagine Dragons']	1	Solo	2012-09-04	9.0	1.0	4.0	0.119	0.473	0.777	7.87e-05	0.671	-3.698	0.059	0.21	136.249	2030228
0o7glLPfZgns8ZF14Wlpf7	Love So Soft	0	False	1	0	172598	['3BmGtnKgCSGYIUhmivXKWX']	['Kelly Clarkson']	1	Solo	2017-09-07	11.0	1.0	4.0	0.00755	0.811	0.596	1.15e-05	0.0588	-5.428	0.0621	0.673	130.03	6717
0Skpofj44N2m60sa74Aufz	Origo (Eurovision Version)	19	False	1	0	181133	['1xYRrfmh7NjIUY6XuJhvVm']	['Pápai Joci']	1	Solo	2017-03-02	9.0	0.0	4.0	0.581	0.546	0.729	0.0	0.477	-6.303	0.219	0.452	108.212	4811
2EoOZnxNgtmZaD8uUmz2nD	Black Hole Sun	80	False	7	184	318586	['5xUf6j4upBrXZPg6AI4MRK']	['Soundgarden']	1	Solo	1994-03-09	6.0	1.0	4.0	0.000217	0.35	0.828	0.000161	0.0774	-5.373	0.041	0.147	105.435	22863
5VJ1eVOnlAlaA2mQcwmKC8	HOLD ME TIGHT OR DON’T	0	False	1	0	210373	['4UXqAaa6dQYAk18Lv7PEgX']	['Fall Out Boy']	1	Solo	2017-11-15	6.0	0.0	4.0	0.00645	0.581	0.921	2.69e-06	0.109	-4.319	0.051	0.829	95.967	9170
2YMyVYNLmFDD0KGtNkkgFa	Kissing Strangers	0	True	1	0	202480	['6T5tfhQCknKG4UnH90qGnz', '0hCNtLu0JehylgoiP8L4Gh']	['DNCE', 'Nicki Minaj']	2	Collaboration	2017-04-14	7.0	1.0	4.0	0.0506	0.776	0.741	0.0	0.0701	-5.804	0.041	0.854	120.079	5455
7dpnZJj7ITXcnmbmLIdEqs	White Noise (R3hab Remix)	47	False	1	170	196433	['2zmrsXMHxagFz6vI2cD7r6', '6cEuCEZu7PAE9ZSzLLc2oQ']	['Ella Vos', 'R3HAB']	2	Collaboration	2017-02-03	3.0	1.0	4.0	0.0304	0.579	0.578	0.000229	0.1	-5.361	0.0283	0.356	78.582	4667
44PelqgstAM0lb8rHPKfHq	Let Me Out (feat. Mavis Staples & Pusha T)	53	False	14	184	175813	['3AA28KZvwAUcZuOKwyblJQ', '0cTSCsVx04SSht9V6cpKN0', '0ONHkAv9pCAFxb0zJwDNTy']	['Gorillaz', 'Mavis Staples', 'Pusha T']	3	Collaboration	2017-04-28	1.0	0.0	4.0	0.211	0.607	0.785	3.34e-06	0.915	-5.955	0.258	0.517	81.087	41510
11Fo4dAH31K7UZHGqCkCmE	I Love You	0	True	1	0	191000	['2XnBwblw31dfGnspMIwgWz', '6KZDXtSj0SzGOV705nNeh3']	['Axwell /\\ Ingrosso', 'Kid Ink']	2	Collaboration	2017-02-10	0.0	1.0	4.0	0.336	0.654	0.859	0.0	0.0947	-4.321	0.166	0.704	114.87	350001
3eR23VReFzcdmS7TYCrhCe	It Ain't Me (with Selena Gomez)	80	False	1	183	220780	['23fqKkggKUBHNkbKtXEls4', '0C8ZW7ezQVs4URX5aX7Kqx']	['Kygo', 'Selena Gomez']	2	Collaboration	2017-02-16	0.0	1.0	4.0	0.119	0.64	0.533	0.0	0.0864	-6.596	0.0706	0.515	99.968	6619758
15dnkAHcHC0vrIUlbiPiqU	I Don’t Know Why	0	False	1	0	190120	['53XhwfbYqKCa1cC15pYq2q']	['Imagine Dragons']	1	Solo	2017-06-23	2.0	1.0	4.0	0.0058	0.475	0.657	8.81e-06	0.181	-7.381	0.0708	0.0707	132.071	303930
33OVwHAdsrJELptAp74TqW	Make It Right	47	True	3	184	279253	['7jy3rLJdDQY21OgRLCZ9sD']	['Foo Fighters']	1	Solo	2017-09-15	2.0	1.0	4.0	0.000784	0.56	0.933	0.075	0.0594	-7.508	0.0561	0.451	141.937	11886
2tdq0CeAGSfhI2l4Gwkvgx	Best Of Me	0	False	3	0	227191	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2017-09-18	8.0	1.0	4.0	0.0298	0.651	0.756	0.0	0.396	-4.388	0.0762	0.473	121.96	58158
1UZOjK1BwmwWU14Erba9CZ	Malibu	79	False	2	184	231906	['5YGY8feqx7naU7z4HrwZM6']	['Miley Cyrus']	1	Solo	2017-09-29	8.0	1.0	4.0	0.0767	0.573	0.781	2.64e-05	0.0813	-6.406	0.0555	0.343	139.934	217116
