song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
6VOb0Kkrd45Bp5RHYSla2J	Perfecta	73	False	1	184	174932	['0vR2qb8m9WHeZ5ByCbimq2', '1r4hJ1h58CWwUQe3MxPuau']	['Reik', 'Maluma']	2	Collaboration	2021-05-27	6.0	1.0	4.0	0.11	0.762	0.797	0.0	0.412	-2.641	0.107	0.787	81.994	649045
3pm4XtcsRIFFtH2UErk62R	CANCIÓN CON YANDEL	75	True	4	184	209180	['0eHQ9o50hj6ZDNBt6Ys1sD', '4q3ewBCX7sLwd24euuV69X']	['Yandel', 'Bad Bunny']	2	Collaboration	2020-05-10	9.0	1.0	4.0	0.447	0.75	0.741	0.0	0.121	-4.43	0.402	0.495	79.968	1866343
6yLqoieklk9gwabLaUDJ4s	Perdóname	80	False	1	184	242390	['4VsbQvC84B8Z3IsBY1HLQy', '7gR53ad9JjCweCv4f9MWEX']	['La Factoria', 'Eddy Lover']	2	Collaboration	2006-12-04	9.0	0.0	4.0	0.251	0.67	0.821	0.0	0.199	-5.868	0.0334	0.384	94.983	130050
4gC0IUJBZ6HQBy4SezYNgq	No Hay Más Que Hablar	67	False	1	184	211935	['5C4PDR4LnhZTbVnKWXuDKD']	['Morat']	1	Solo	2021-03-11	6.0	1.0	4.0	0.0685	0.676	0.866	0.0	0.0501	-3.441	0.0487	0.847	92.975	4225
4OwhwvKESFtuu06dTgct7i	Tiroteo - Remix	83	False	1	184	321555	['5FQ8tBUtIamA2hRtatrYUF', '1mcTU81TzQhprhouKaTkpq', '1aMt4A5jrQHxDYyC7rXgV0']	['Marc Seguí', 'Rauw Alejandro', 'Pol Granch']	3	Collaboration	2021-04-01	9.0	1.0	4.0	0.282	0.75	0.522	0.0	0.0743	-7.018	0.0293	0.601	110.427	4028015
4YqeXl57vJDYuEdcOL1vRD	No Me Llama	47	False	1	184	191409	['21451j1KhjAiaYKflxBjr1', '7iK8PXO48WeuP03g8YR51W']	['Zion & Lennox', 'Myke Towers']	2	Collaboration	2020-12-03	0.0	1.0	4.0	0.106	0.684	0.748	3.22e-06	0.0767	-2.797	0.259	0.722	183.97	125745
63USmok1OioBzKuWGW9wAg	Nunca Es Suficiente	70	False	2	1	266213	['0ZCO8oVkMj897cKgFH7fRW', '1hcdI2N1023RvSwLzTtdsp']	['Los Ángeles Azules', 'Natalia Lafourcade']	2	Collaboration	2018-06-08	2.0	0.0	4.0	0.398	0.789	0.518	0.0	0.0891	-5.417	0.0406	0.78	94.001	169341
4wQUopWk9Ed7Ng5qpKN5qd	Volta Bebê, Volta Neném	61	False	1	184	172972	['1cNPXWhKfjI0fT5EMCnamR', '0RPzmE1iY76tx1eBBXFyYn']	['Dj Guuga', 'DJ Ivis']	2	Collaboration	2021-03-27	6.0	1.0	4.0	0.288	0.583	0.918	0.0	0.0701	-3.612	0.0518	0.836	164.081	3172791
0fea68AdmYNygeTGI4RC18	LA CANCIÓN	88	False	5	184	242573	['1vyhD5VmyZ7KMfW5gqLgo5', '4q3ewBCX7sLwd24euuV69X']	['J Balvin', 'Bad Bunny']	2	Collaboration	2019-06-28	7.0	1.0	4.0	0.152	0.754	0.646	1.85e-05	0.108	-5.795	0.317	0.429	176.089	2650921
1vucS7X4otbyQSZ9RXYXFI	ANTES QUE SALGA EL SOL	54	False	1	184	183926	['1GDbiv3spRmZ1XdM1jQbT7', '3MHaV05u0io8fQbZ2XPtlC']	['NATTI NATASHA', 'Prince Royce']	2	Collaboration	2021-01-14	8.0	1.0	4.0	0.0856	0.623	0.703	0.0	0.246	-5.296	0.202	0.585	170.059	193170
4b2V2ZuTYELubat4l5qZaE	Forever Alone	70	False	13	184	214310	['3vQ0GE3mI0dAaxIMYe5g7z']	['Paulo Londra']	1	Solo	2019-05-23	7.0	0.0	4.0	0.337	0.883	0.418	4.67e-05	0.164	-8.095	0.0735	0.526	129.965	3693
4TTYsYuhG7W8JpM1tBrwwI	Tierra Mala	64	False	1	32	288194	['34zJjO7ns1qmMYJxJPF1wP', '607isqlxhVW67C1guzVjCi']	['Los Chiches Vallenatos', 'Amin Martinez']	2	Collaboration	2015-03-31	6.0	1.0	4.0	0.451	0.727	0.574	0.0	0.119	-6.723	0.0332	0.915	141.581	478526
4f49sFQko7jHLEFd3tCf5p	Ojitos Chiquitos	80	False	3	97	229026	['33ScadVnbm2X8kkUqOkC6Z']	['Don Omar']	1	Solo	2006-01-01	1.0	0.0	4.0	0.0206	0.801	0.839	7.65e-05	0.0946	-3.267	0.24	0.792	170.011	1164936
0GzuHFG4Ql6DoyxFRnIk3F	Hawái - Remix	73	False	1	184	200481	['1r4hJ1h58CWwUQe3MxPuau', '1Xyo4u8uXC1ZmMpatF05PJ']	['Maluma', 'The Weeknd']	2	Collaboration	2020-11-05	6.0	0.0	4.0	0.105	0.766	0.788	5.81e-06	0.142	-3.128	0.312	0.609	179.984	66489
0wkr4KqObqC55h4U9wqwKn	No Se Da Cuenta	57	False	3	184	231733	['1i8SpTcr7yvPOmcqrbnVXY', '4VMYDCV2IEDYJArk749S6m']	['Ozuna', 'Daddy Yankee']	2	Collaboration	2020-09-04	1.0	0.0	4.0	0.138	0.811	0.753	0.0	0.253	-3.95	0.0403	0.519	91.98	87307
