song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
7Aem1fAapTdGcHwAYyQYU4	Love Me	0	True	1	0	117680	['4Ga1P7PMIsmqEZqhYZQgDo']	['Lil Tecca']	1	Solo	2019-07-15	11.0	0.0	4.0	0.67	0.715	0.435	0.0	0.106	-10.325	0.251	0.801	204.077	38404
3a1lNhkSLSkpJE4MSHpDu9	Congratulations	85	True	12	184	220293	['246dkjvS1zLTtiykXe5h60', '0VRj0yCOv2FXJNP47XQnx5']	['Post Malone', 'Quavo']	2	Collaboration	2016-12-09	6.0	1.0	4.0	0.215	0.63	0.804	0.0	0.253	-4.183	0.0363	0.492	123.146	135665
4YhN72dRYL2Z3MsaKyT7rS	Stay (Don't Go Away) [feat. Raye]	59	False	1	184	185942	['1Cs0zKBU1kc0i8ypK3B9ai', '5KKpBU5eC2tJDzf0wmlRp2']	['David Guetta', 'RAYE']	2	Collaboration	2019-05-09	9.0	0.0	4.0	0.259	0.669	0.797	0.0	0.199	-5.68	0.0624	0.552	119.865	3126
6H7fWtwEUHVfTyZD7zeG4w	when the party's over - Recorded at Spotify Studios NYC	68	False	2	184	232837	['4GNC7GD6oZMSxPGyXy4MNB']	['Lewis Capaldi']	1	Solo	2019-06-12	10.0	1.0	3.0	0.946	0.509	0.183	0.0	0.0914	-10.27	0.0377	0.258	117.354	11389
6b2RcmUt1g9N9mQ3CbjX2Y	How Do You Sleep?	74	False	1	184	202204	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2019-07-19	1.0	0.0	5.0	0.153	0.477	0.682	0.0	0.0763	-4.931	0.0925	0.345	110.567	739660
59xxPUpA2BhB4U1SpVZGVp	FS	21	True	5	184	260129	['3ZxemCGQmRuqoBPhQP5Gut', '1QexdJFYGyxdBlEpDSy0d4']	['Satra B.E.N.Z.', 'NANE']	2	Collaboration	2019-10-31	10.0	0.0	4.0	0.133	0.747	0.775	1.01e-06	0.093	-8.038	0.155	0.841	154.937	12109
66qCwW7irVylnYO9foq9Ft	Lucifer	33	False	1	184	140307	['20SBqzpuFoymhieHTNHUgl']	['Killa Fonic']	1	Solo	2019-10-25	2.0	1.0	4.0	0.128	0.914	0.871	1.56e-05	0.0806	-3.869	0.206	0.749	129.878	1598
7po7c8LzxTZ0ybU41qT5gD	Show & Tell	71	True	4	184	215972	['63yrD80RY3RNEM2YDpUpO8']	['Melanie Martinez']	1	Solo	2019-09-06	4.0	0.0	4.0	0.304	0.535	0.746	0.0	0.359	-5.644	0.275	0.648	109.994	23615
5JiH89mHrv9oWHlD0T326z	To Be So Lonely	74	False	7	184	192080	['6KImCVD70vtIoJWnq6nGn3']	['Harry Styles']	1	Solo	2019-12-13	0.0	1.0	4.0	0.618	0.758	0.436	1.61e-05	0.335	-7.269	0.0418	0.605	104.959	7450
575NJxNUVDqwJGdzBrlLbv	Lost In Japan - Remix	63	False	1	184	201253	['7n2wHs1TKAczGzO7Dd2rGr', '2qxJFvFYMEDqd7ui6kSAcq']	['Shawn Mendes', 'Zedd']	2	Collaboration	2018-09-27	10.0	1.0	4.0	0.0911	0.706	0.855	0.0	0.347	-5.377	0.215	0.293	107.184	2572
