song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
3rzmAXXnpqnPRCNk9exawQ	Тёмно-оранжевый закат	57	False	1	184	149040	['6St8JkGHB8v3qtD7Srg6PH']	['Папин Олимпос']	1	Solo	2019-03-22	1.0	1.0	4.0	0.325	0.696	0.583	0.423	0.0749	-8.184	0.0254	0.631	145.002	1593193
4tPB6H0QcK4bDib8iauE28	первое свидание	35	False	1	0	152033	['7m9RH1V73dYjGv8RgGP39c']	['алёна швец.']	1	Solo	2020-12-04	11.0	0.0	4.0	0.685	0.764	0.5	6.09e-05	0.159	-10.403	0.108	0.607	85.499	2787493
775lBcj1BssexHJn3SP4eR	My Life My Rules	45	True	3	184	220598	['5mzTr70OcAfZWMUF8BSjAm', '7dH8w9flSy9w81ilr0xXWe', '0BLwluvlJt4aAE95gomnbe']	['LAUD', 'Boulevard Depo', 'I61']	3	Collaboration	2018-11-23	1.0	1.0	4.0	0.047	0.856	0.711	7.04e-05	0.0585	-5.801	0.178	0.869	139.964	54932
1ghdJUMhmLEpUitNwyNMWH	Фотографирую закат	57	True	1	184	156000	['6PzEFDyksWekGikJc8M6Cr']	['fem.love']	1	Solo	2020-06-22	6.0	1.0	4.0	0.000214	0.413	0.902	2.49e-05	0.165	-3.488	0.0649	0.398	160.271	6197873
0kYMwaQWABTkFff8AZjmYI	Hayloft II	77	False	16	184	215040	['0e86yPdC41PGRkLp2Q1Bph']	['Mother Mother']	1	Solo	2022-01-28	9.0	0.0	4.0	0.0044	0.326	0.866	7.37e-06	0.0912	-4.541	0.101	0.172	178.181	38312
5JDtUGEFLwq2r26yhHM89E	в темноте	17	False	1	0	151983	['2rRyviUwWAHYmzyVzmXWpZ', '2cl1ge5wteXTbAr0S4HPAI']	['КОСМОНАВТОВ НЕТ', 'дипинс']	2	Collaboration	2022-02-10	3.0	1.0	4.0	0.199	0.502	0.863	0.000166	0.333	-6.203	0.094	0.432	150.077	1344039
6TymkOrjVLXAwB4vpqlm1I	Ты не моя пара	31	False	1	0	162600	['19rplJ3Uh67C1fNAwq7ohw', '52OqFsDacV87Zx7BfXuw2i']	['Dima Bilan', 'Mari Kraimbrery']	2	Collaboration	2021-09-24	11.0	0.0	4.0	0.139	0.733	0.72	0.0	0.0615	-5.119	0.138	0.642	149.921	196740
0aKXiOFEmprIpNXf8NhGXn	Аквариум	21	False	8	0	107100	['2IGZnq5Ot1NquCpks3zO4o']	['Sqwore']	1	Solo	2021-11-25	0.0	1.0	4.0	0.00582	0.514	0.792	7.19e-06	0.157	-2.232	0.0264	0.179	139.25	1070245
3VIzU0Yr7o9tKC7FEEZdnn	СИНИЙ ИНЕЙ	36	False	1	184	194867	['0xTdDjeCoM89b7n9fLcZvR']	['GAYAZOV$ BROTHER$']	1	Solo	2022-02-11	1.0	1.0	4.0	0.204	0.629	0.788	1.29e-05	0.465	-4.547	0.0364	0.543	113.09	24505
0zBQznV5QeLsqPz5sgU2hq	Мы все умрем	52	True	6	184	166160	['1gCOYbJNUa1LBVO5rlx0jB']	['Oxxxymiron']	1	Solo	2021-12-01	8.0	1.0	4.0	0.0319	0.706	0.526	0.0	0.0742	-5.326	0.179	0.507	188.095	583701
