song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
59JtQ8mThUAnRGValaExhc	I Believe in Us	56	False	2	184	202146	['4SqTiwOEdYrNayaGMkc7ia']	['LÉON']	1	Solo	2017-10-06	0.0	1.0	4.0	0.799	0.555	0.423	0.0	0.112	-6.232	0.044	0.257	137.044	21147
7z12nW7HCInc95gpoKZW0c	Du brukade kalla mig för baby (feat. Kaah)	9	False	1	183	195349	['0tOdy7SqogILIjzGU2hSr5', '6K6JhPFZbq6tq35IOH4WBg']	['Melissa Horn', 'Kaah']	2	Collaboration	2019-04-05	4.0	1.0	4.0	0.519	0.782	0.641	1.18e-05	0.103	-6.927	0.071	0.829	79.468	182747
3a1lNhkSLSkpJE4MSHpDu9	Congratulations	85	True	12	184	220293	['246dkjvS1zLTtiykXe5h60', '0VRj0yCOv2FXJNP47XQnx5']	['Post Malone', 'Quavo']	2	Collaboration	2016-12-09	6.0	1.0	4.0	0.215	0.63	0.804	0.0	0.253	-4.183	0.0363	0.492	123.146	20159
2deFH5zveEBEUuURpqTN3C	Quite Miss Home	65	False	6	184	243186	['4IWBUUAFIplrNtaOHcJPRM']	['James Arthur']	1	Solo	2019-10-18	10.0	1.0	4.0	0.608	0.58	0.428	2.56e-06	0.117	-6.398	0.0288	0.147	136.835	30941
4YhN72dRYL2Z3MsaKyT7rS	Stay (Don't Go Away) [feat. Raye]	59	False	1	184	185942	['1Cs0zKBU1kc0i8ypK3B9ai', '5KKpBU5eC2tJDzf0wmlRp2']	['David Guetta', 'RAYE']	2	Collaboration	2019-05-09	9.0	0.0	4.0	0.259	0.669	0.797	0.0	0.199	-5.68	0.0624	0.552	119.865	261755
6H7fWtwEUHVfTyZD7zeG4w	when the party's over - Recorded at Spotify Studios NYC	68	False	2	184	232837	['4GNC7GD6oZMSxPGyXy4MNB']	['Lewis Capaldi']	1	Solo	2019-06-12	10.0	1.0	3.0	0.946	0.509	0.183	0.0	0.0914	-10.27	0.0377	0.258	117.354	213746
2C7NYvpA2mUg5FfFvEtia7	Mörkret faller	45	False	1	184	173393	['0fyeRmbc7XdKio5Fm13LPB']	['Reyn']	1	Solo	2019-02-15	10.0	1.0	4.0	0.15	0.79	0.633	0.0	0.141	-7.905	0.0639	0.381	119.854	18710
5v3gBxtmgWSlTXGyytzphF	Min Diamant	0	False	1	0	183663	['1gm1katIowFM22Ldqcw6DK', '4LyMWxYfZfeNcAl6vbEmQ3']	['Ricky Rich', 'ARAM Mafia']	2	Collaboration	2018-04-30	7.0	1.0	4.0	0.164	0.654	0.68	0.0	0.0763	-7.778	0.197	0.678	114.921	3470392
2teYRTKrdMYON0Qf7bbMRv	All In	54	False	5	184	192680	['3fpHdW8mp95bOCzRLcauZm']	['Emil Assergård']	1	Solo	2019-04-05	11.0	1.0	4.0	0.301	0.72	0.709	0.0	0.357	-5.764	0.122	0.674	131.006	45900
6b2RcmUt1g9N9mQ3CbjX2Y	How Do You Sleep?	74	False	1	184	202204	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2019-07-19	1.0	0.0	5.0	0.153	0.477	0.682	0.0	0.0763	-4.931	0.0925	0.345	110.567	7400186
62gZY6joWPt97hbsbIdd4t	Att angöra en brygga	45	False	8	75	153826	['7mvvG63CNSY93JWAJ37rnD']	['Monica Zetterlund']	1	Solo	2001-01-01	7.0	0.0	4.0	0.934	0.318	0.265	0.567	0.189	-14.034	0.0355	0.416	123.046	44264
1Tdmmr4rF6IGtkbeE6uxxv	TWERK PÅ EN BENZ	0	True	3	0	163265	['3PtEOX0PJSh7ndOL4tP0NR']	['Z.E']	1	Solo	2019-07-03	11.0	0.0	4.0	0.242	0.899	0.473	0.00321	0.0946	-12.15	0.256	0.63	146.947	63935
5JiH89mHrv9oWHlD0T326z	To Be So Lonely	74	False	7	184	192080	['6KImCVD70vtIoJWnq6nGn3']	['Harry Styles']	1	Solo	2019-12-13	0.0	1.0	4.0	0.618	0.758	0.436	1.61e-05	0.335	-7.269	0.0418	0.605	104.959	30670
4WfSDuJ4MrpdSSCEOanwzD	Välkommen hem	31	False	3	184	208480	['76Dn4GvguIMU4Gbcx155dg']	['E.M.D.']	1	Solo	2010-11-12	5.0	1.0	3.0	0.769	0.261	0.232	1.81e-05	0.21	-9.304	0.0315	0.167	116.556	2042475
5bHg6JzbfhC11o9acMyQ1P	Don't Stop Believing	21	False	1	4	172777	['4Ag5mrJhXH238pExZYJcaM']	['Magnus Carlson']	1	Solo	2019-11-30	0.0	1.0	4.0	0.000408	0.336	0.793	0.0	0.204	-8.993	0.0601	0.642	201.736	108901
1AkNiwkyJAKMstARrmNRBt	GÅ	48	True	1	184	181597	['0fyeRmbc7XdKio5Fm13LPB']	['Reyn']	1	Solo	2019-05-17	8.0	1.0	4.0	0.152	0.755	0.469	1.21e-06	0.0919	-8.232	0.0906	0.593	134.04	137557
5hnbE5BF2e8BCk9OMR1UVC	Mikrokosmos	1	False	3	0	224225	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2019-04-12	8.0	1.0	3.0	0.125	0.58	0.858	0.0	0.0502	-5.212	0.114	0.475	174.039	71660
102vyskJwrkuJy9tlCLD25	Ma chérie	60	False	7	184	277026	['68dW5BU6sdVNf099EylxEt']	['Hov1']	1	Solo	2019-05-17	7.0	1.0	4.0	0.758	0.517	0.54	0.0	0.234	-5.634	0.0477	0.73	80.887	4542856
3RoI2gJa2arshAmjyys3SV	KUSH	35	True	1	184	161142	['26SfC2rUkcGiSpZfLtla29']	['P.J']	1	Solo	2019-10-11	1.0	0.0	4.0	0.18	0.925	0.466	0.0	0.0656	-11.221	0.338	0.347	105.003	265917
6DwnAl6l63e83dDgIzY8P4	Santa Baby	24	False	7	3	231626	['1GxkXlMwML1oSg5eLPiAz3']	['Michael Bublé']	1	Solo	2011-10-14	9.0	0.0	4.0	0.835	0.641	0.0964	2.95e-05	0.11	-12.995	0.0399	0.357	76.273	53252
7K7MUBCnzgBAvMVW2RTWNs	Body (feat. brando)	0	False	1	0	163216	['6t1gpxYbY8OlLA7D2RiikQ', '5uEeqYFuIChoWKy34jp8xE']	['Loud Luxury', 'Brando']	2	Collaboration	2017-10-27	1.0	1.0	4.0	0.0476	0.752	0.764	9.44e-05	0.0543	-4.399	0.038	0.582	121.958	1492814
5mQvFCSzGQijKJMYhQ5ig0	Merry Xmas Everybody (feat. Jamie Cullum)	24	False	2	184	213866	['2HcwFjNelS49kFbfvMxQYw', '3XxxEq6BREC57nCWXbQZ7o']	['Robbie Williams', 'Jamie Cullum']	2	Collaboration	2019-11-22	0.0	0.0	4.0	0.316	0.423	0.757	0.0	0.24	-6.755	0.0548	0.404	133.963	204498
7nBARurNPIRVcf81uOFz3i	Jag ger dig min morgon	55	False	1	184	226426	['66se5dgU4TBgWvHtXrYrz0']	['Fred Åkerström']	1	Solo	1972	7.0	1.0	4.0	0.867	0.542	0.23	0.0317	0.114	-13.722	0.0315	0.269	108.833	45972
05OgDa9K0SW6luDe4niea8	Penseldrag	51	False	1	184	189174	['4TdxMK2fOY7eOBvgtDwbVC']	['Mares']	1	Solo	2019-03-15	0.0	1.0	4.0	0.0254	0.629	0.762	4.51e-06	0.0777	-7.654	0.225	0.642	203.851	246385
