song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
0k4d5YPDr1r7FX77VdqWez	You Right	84	True	8	184	186173	['5cj0lLjcoR7YOSnhnX0Po5', '1Xyo4u8uXC1ZmMpatF05PJ']	['Doja Cat', 'The Weeknd']	2	Collaboration	2021-06-25	8.0	1.0	4.0	0.0164	0.828	0.621	0.00233	0.0845	-6.414	0.0565	0.436	128.986	30713
64ImcY4fJhY243wr20SR3e	Cuidando El Territorio	73	False	1	184	186833	['4jogXSSvlyMkODGSZ2wc2P', '4tm8CEdm4pkQsEh4jIr9Yp', '6kPf6aO5cAHU2RJUDN1UUy']	['Calibre 50', 'Santa Fe Klan', 'Beto Sierra']	3	Collaboration	2021-07-29	8.0	0.0	4.0	0.249	0.716	0.654	0.0	0.127	-6.702	0.279	0.958	180.11	231509
18buHOK6zcFhpMDOUO5MCw	Qué Bello	56	False	12	184	254986	['2wesOX1fzorPTtgcuZ0xv2', '2QTmeZpVjHmIoYSRwsoucA']	['sonoradinamita', 'Kika Edgar']	2	Collaboration	2016-10-21	7.0	1.0	4.0	0.346	0.831	0.659	1.48e-05	0.0725	-4.476	0.0295	0.75	99.962	2908
6VOb0Kkrd45Bp5RHYSla2J	Perfecta	73	False	1	184	174932	['0vR2qb8m9WHeZ5ByCbimq2', '1r4hJ1h58CWwUQe3MxPuau']	['Reik', 'Maluma']	2	Collaboration	2021-05-27	6.0	1.0	4.0	0.11	0.762	0.797	0.0	0.412	-2.641	0.107	0.787	81.994	129065
3pm4XtcsRIFFtH2UErk62R	CANCIÓN CON YANDEL	75	True	4	184	209180	['0eHQ9o50hj6ZDNBt6Ys1sD', '4q3ewBCX7sLwd24euuV69X']	['Yandel', 'Bad Bunny']	2	Collaboration	2020-05-10	9.0	1.0	4.0	0.447	0.75	0.741	0.0	0.121	-4.43	0.402	0.495	79.968	1215029
6yLqoieklk9gwabLaUDJ4s	Perdóname	80	False	1	184	242390	['4VsbQvC84B8Z3IsBY1HLQy', '7gR53ad9JjCweCv4f9MWEX']	['La Factoria', 'Eddy Lover']	2	Collaboration	2006-12-04	9.0	0.0	4.0	0.251	0.67	0.821	0.0	0.199	-5.868	0.0334	0.384	94.983	236724
4BtGdvVAqu7b9wfuPRtxkY	La Suavecita	43	False	2	32	234147	['13or1Wf6ipcvSIiurZATvw']	['La Sonora Dinamita']	1	Solo	1995-05-09	1.0	1.0	4.0	0.01	0.815	0.688	6.19e-06	0.133	-5.013	0.0594	0.68	96.648	2605
4gC0IUJBZ6HQBy4SezYNgq	No Hay Más Que Hablar	67	False	1	184	211935	['5C4PDR4LnhZTbVnKWXuDKD']	['Morat']	1	Solo	2021-03-11	6.0	1.0	4.0	0.0685	0.676	0.866	0.0	0.0501	-3.441	0.0487	0.847	92.975	5974
4OwhwvKESFtuu06dTgct7i	Tiroteo - Remix	83	False	1	184	321555	['5FQ8tBUtIamA2hRtatrYUF', '1mcTU81TzQhprhouKaTkpq', '1aMt4A5jrQHxDYyC7rXgV0']	['Marc Seguí', 'Rauw Alejandro', 'Pol Granch']	3	Collaboration	2021-04-01	9.0	1.0	4.0	0.282	0.75	0.522	0.0	0.0743	-7.018	0.0293	0.601	110.427	1308911
4tWOrZqaelCejCT3Th8Phq	Billetes De 100	50	False	5	184	164106	['1vyhD5VmyZ7KMfW5gqLgo5', '7iK8PXO48WeuP03g8YR51W']	['J Balvin', 'Myke Towers']	2	Collaboration	2021-09-10	10.0	0.0	4.0	0.111	0.716	0.638	0.0	0.0899	-5.051	0.303	0.426	176.022	7791
63USmok1OioBzKuWGW9wAg	Nunca Es Suficiente	70	False	2	1	266213	['0ZCO8oVkMj897cKgFH7fRW', '1hcdI2N1023RvSwLzTtdsp']	['Los Ángeles Azules', 'Natalia Lafourcade']	2	Collaboration	2018-06-08	2.0	0.0	4.0	0.398	0.789	0.518	0.0	0.0891	-5.417	0.0406	0.78	94.001	93045
