song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
1fMXWEkJpIH483OrKn1zFV	"SO HOT - THEBLACKLABEL REMIX BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA"""	66	False	10	183	144166	['41MozSoPIsD1dJM0CLPjZF']	['BLACKPINK']	1	Solo	2019-03-13	1.0	0.0	4.0	0.0588	0.783	0.809	1e-05	0.515	-10.0	0.221	0.814	140.025	15078
0k4d5YPDr1r7FX77VdqWez	You Right	84	True	8	184	186173	['5cj0lLjcoR7YOSnhnX0Po5', '1Xyo4u8uXC1ZmMpatF05PJ']	['Doja Cat', 'The Weeknd']	2	Collaboration	2021-06-25	8.0	1.0	4.0	0.0164	0.828	0.621	0.00233	0.0845	-6.414	0.0565	0.436	128.986	1403604
2mPdKlD117fYzBo4dgljPN	Follow	39	False	5	184	203370	['2iLCiSxdwUMDEfqyfkuLEw']	['atom chanakan']	1	Solo	2021-03-05	0.0	1.0	4.0	0.277	0.816	0.637	4.02e-06	0.111	-5.783	0.0502	0.708	106.061	1093643
7ip4DUtdpLH4TkHfKgFbpf	1001 (You're Lovely)	0	False	1	0	194842	['32qeMmjXorbPWS9JOi8O2p']	['SERIOUS BACON']	1	Solo	2021-02-27	11.0	1.0	4.0	0.713	0.678	0.569	0.0	0.25	-9.101	0.0319	0.4	94.995	7675235
5u6CQi2rgD1EyiztQnrrwY	I'm Fine	59	False	6	184	189066	['2CQZr2RPZmrcvDnaod1ldC']	['D.O.']	1	Solo	2021-07-26	11.0	0.0	4.0	0.531	0.412	0.417	0.0	0.0911	-5.401	0.0347	0.563	85.404	66439
1ccwCCS7YSclzYibpK0DS4	ฝนตกไหม	57	False	1	184	261250	['1qAOsY7jv9GFTv4HoVof5P']	['Three Man Down']	1	Solo	2019-11-13	4.0	1.0	4.0	0.132	0.457	0.856	0.0	0.188	-6.03	0.0365	0.714	164.032	2865692
0mt8i1U8mZsptqKxEc4ScO	เผลอหรือตั้งใจ	0	False	1	0	189500	['1Twi7NfmUzbXF7lEMaGCqF']	['Ink Waruntorn']	1	Solo	2021-04-12	5.0	1.0	4.0	0.311	0.69	0.634	0.0	0.119	-5.689	0.0376	0.451	89.959	2107700
3S8jK1mGzQi24ilFb45DAZ	Lonely (with benny blanco)	74	True	16	184	149189	['1uNFoZAHBGtllmzznpCI3s', '5CiGnKThu5ctn9pBxv7DGa']	['Justin Bieber', 'benny blanco']	2	Collaboration	2021-03-19	11.0	0.0	4.0	0.9	0.619	0.241	0.0	0.116	-7.102	0.046	0.0719	79.461	36106
2EDpsT55NCISpccODTIUiV	Si Fueras Mía	58	False	8	184	237106	['2CQZr2RPZmrcvDnaod1ldC']	['D.O.']	1	Solo	2021-07-26	4.0	0.0	4.0	0.687	0.386	0.408	0.0	0.182	-5.568	0.0285	0.398	149.675	44969
2qDEhEy3vSZYFVgWbRChzw	Love On The Floor	59	False	3	151	218280	['7f4ignuCJhLXfZ9giKT7rH']	['NCT 127']	1	Solo	2021-10-25	11.0	0.0	4.0	0.0799	0.889	0.679	1.37e-05	0.031	-4.106	0.11	0.641	116.998	34244
