song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
0BXFDHy4yGoZNw43stulzP	Adanmış Hayatların Umudu	0	False	1	0	205728	['1i1gA2GZoni9pz3DNmF0PS']	['Galatasaray Spor Kulübü']	1	Solo	2019-09-17	0.0	1.0	4.0	0.0599	0.507	0.718	9.2e-05	0.178	-7.26	0.0441	0.527	138.022	46314
2MAocwi9yaUm2Y18aDfqkT	Umut Var	32	True	1	175	177110	['7bchfd9ZihGesFniE7tM71']	['Velet']	1	Solo	2019-06-18	8.0	1.0	4.0	0.588	0.709	0.568	0.0	0.106	-10.136	0.12	0.169	139.917	906082
2noHL0PeH7WjRSLBjWxU4Q	Hiç Işık Yok	0	False	3	0	427249	['4fR3W8XFXsqHB8f8IqEr1y', '5IAxUWLiTMsvc1oWPrczNj']	['No.1', 'Melek Mosso']	2	Collaboration	2017-12-11	2.0	1.0	4.0	0.372	0.453	0.449	0.0187	0.103	-8.092	0.0322	0.117	76.0	1866152
6b2RcmUt1g9N9mQ3CbjX2Y	How Do You Sleep?	74	False	1	184	202204	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2019-07-19	1.0	0.0	5.0	0.153	0.477	0.682	0.0	0.0763	-4.931	0.0925	0.345	110.567	1084699
1ypIilwN9nLoSXo95PWHrk	Yaz Yağmurum	55	False	1	184	211278	['0FUsrstJwmg4WVHQMTYuUA', '2FgYmWG15ykfcyhUnG61Nw']	['Şehinşah', 'Onur Betin']	2	Collaboration	2019-06-11	0.0	0.0	4.0	0.186	0.875	0.457	1.04e-05	0.0935	-11.302	0.0545	0.885	99.981	99234
4kwVN0c9RT2CV6qg0EOoEo	212	39	False	1	184	238500	['5DtQ3MpxpzAyDvgMNFWN1r', '6sBSLIunx1Je0Y2T77wpkP', '51DevdOxIJin6DB1FXJpD1', '35vCEk68DtAxh7gDAzhoKK', '1lZD9S5G0SyzVM8QgDRv5Q']	['Tepki', 'Motive', 'UZI', 'Aksan', 'Emre Bakış']	5	Collaboration	2019-08-16	7.0	1.0	4.0	0.0182	0.61	0.815	0.0	0.207	-5.13	0.301	0.529	90.441	81014
3AiTM233NZG8yOO43u0Tyv	Yu-Gi-Oh!	0	True	5	0	176170	['1GyfNm3xj64IZR4rKnzNti']	['Şam']	1	Solo	2019-07-26	6.0	0.0	5.0	0.0836	0.717	0.711	0.0	0.427	-7.707	0.384	0.502	125.452	24026
5hnbE5BF2e8BCk9OMR1UVC	Mikrokosmos	1	False	3	0	224225	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2019-04-12	8.0	1.0	3.0	0.125	0.58	0.858	0.0	0.0502	-5.212	0.114	0.475	174.039	104098
6xkWddqiuBZ6NVKuP04Jgz	Ağlar O Deli	0	False	4	0	225375	['1U449OOb70EZlElNjLMwCM']	['Demet Akalın']	1	Solo	2019-04-23	8.0	0.0	4.0	0.78	0.384	0.555	3.53e-06	0.142	-5.962	0.0346	0.425	166.177	32881
2qpwx9xOkCqzOMVnOkZ2X8	Güzel Kızlar Patron Dinler	0	False	3	0	175960	['2r8iLFeSTuOiZualHmSXxS']	['Patron']	1	Solo	2018-11-15	8.0	1.0	4.0	0.186	0.53	0.723	0.0	0.1	-7.012	0.158	0.537	75.717	18315139
