song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
7KxhSJOYiqCDclXDBNlFSZ	Kill Em With Kindness	68	False	2	165	217906	['0C8ZW7ezQVs4URX5aX7Kqx']	['Selena Gomez']	1	Solo	2015-10-09	10.0	0.0	4.0	0.00795	0.757	0.884	5.87e-05	0.0973	-5.488	0.0404	0.398	120.012	2295
4JqJofEjChNytY6MMTJsi7	Shame	32	False	1	184	173646	['3wjsrpfO6odEphTZWx45RQ']	['Hearts & Colors']	1	Solo	2017-06-02	1.0	1.0	4.0	0.278	0.706	0.722	3.7e-05	0.104	-6.348	0.0348	0.553	95.97	2682
3OCFKMQUeXgZWgBWu6WX8q	寄居蟹	4	False	3	1	288927	['6VOX2zlsFiZDHICYEy3oRD']	['陳思函']	1	Solo	2012-07-12	0.0	1.0	4.0	0.905	0.376	0.282	0.0	0.312	-9.468	0.0334	0.239	134.644	2882
55cJnJl87zSj1ZDXVkEEPc	Change	0	False	1	0	189271	['03TjpiMEGAvMzsprcxBL6f']	['MinChen']	1	Solo	2017-04-13	11.0	0.0	4.0	0.05	0.668	0.761	0.00215	0.319	-5.97	0.0503	0.658	136.084	90466
2NyEJi3UWC8JVNhFzzwu0q	火燒的寂寞	39	False	5	184	277133	['5w6Yg2OtwEtizrNsLs6iFF']	['Shin']	1	Solo	2009-11-20	7.0	0.0	4.0	0.373	0.484	0.481	0.0	0.109	-5.136	0.0317	0.141	127.791	3416
6MkC7MVcu5qHTnpn4gghUc	徠卡味	0	False	2	0	229169	['6qMCbcnBinopCiiCrKQlF3']	['Diana Wang']	1	Solo	2017-11-30	5.0	1.0	4.0	0.17	0.813	0.365	0.0	0.0601	-6.67	0.0512	0.344	106.01	18285
6t2ubAB4iSYOuIpRAOGd4t	Cake - Challenge Version	58	False	5	184	157164	['0jnsk9HBra6NMjO2oANoPY', '3hPPNy5OBzCU1icQO7Nrok']	['Flo Rida', '99 Percent']	2	Collaboration	2016-12-16	2.0	1.0	4.0	0.0729	0.786	0.854	1.63e-06	0.179	-4.247	0.0523	0.687	105.078	294922
3a1lNhkSLSkpJE4MSHpDu9	Congratulations	85	True	12	184	220293	['246dkjvS1zLTtiykXe5h60', '0VRj0yCOv2FXJNP47XQnx5']	['Post Malone', 'Quavo']	2	Collaboration	2016-12-09	6.0	1.0	4.0	0.215	0.63	0.804	0.0	0.253	-4.183	0.0363	0.492	123.146	865490
0SE7gSflAhE1a5HEs5Hk9R	TROUBLE (feat. Absofacto) - Single Version	43	False	1	184	200000	['2x7EATekOPhFGRx3syMGEC', '7gAYvcQFmAruyvwGjxrSUr']	['The Knocks', 'Absofacto']	2	Collaboration	2017-01-13	1.0	0.0	4.0	0.385	0.591	0.666	0.000241	0.074	-6.789	0.14	0.669	116.936	18296
7C5Jk5c6Y1LWbXCcPS6ATS	Faking It (feat. Kehlani & Lil Yachty) - Radio Edit	45	False	1	184	227876	['7CajNmpbOovFoOoasH2HaY', '0cGUm45nv7Z6M6qdXYQGTX', '6icQOAFXDZKsumw3YXyusw']	['Calvin Harris', 'Kehlani', 'Lil Yachty']	3	Collaboration	2017-10-20	9.0	0.0	4.0	0.124	0.78	0.579	0.0	0.111	-4.709	0.0609	0.417	120.036	7201
6Ueak5DDCwth4IdeTmLpYC	敲 喜欢你(合唱版)	3	False	1	184	238400	['3Yh833st2njStbTUcB2VOM', '4vP40nusHM8o99QRhSrqE4']	['严艺丹', '叶青']	2	Collaboration	2017-03-07	7.0	1.0	4.0	0.663	0.613	0.356	0.0	0.0991	-7.505	0.0425	0.328	74.956	35404
5PYPCxyWltRIyPkhSsnWIk	"Engagement Party - From ""La La Land"" Soundtrack"	0	False	11	0	87213	['2snm3HmsnDUDxbIChdl2Oj']	['Justin Hurwitz']	1	Solo	2016-12-09	3.0	1.0	4.0	0.992	0.414	0.0595	0.912	0.116	-23.003	0.0392	0.302	82.777	87813
