song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
1sPiVQ1bYTfSp75gBJD3EX	Hokage	48	True	10	184	173978	['5NMwoStnfHT4LdETlJSwDT']	['Big Baby Tape']	1	Solo	2018-11-16	8.0	1.0	4.0	0.0246	0.798	0.635	0.0	0.431	-7.702	0.283	0.693	181.989	305546
2Kifr1SWarXsZrGw5Y2HIO	Fighting	0	False	1	0	164649	['5kTlPhAllLeDEzExTrUGFc']	['Miz Lina']	1	Solo	2020-10-10	10.0	0.0	4.0	0.0156	0.595	0.39	0.961	0.139	-18.379	0.0291	0.526	110.087	18268
2iOg8SUwMY65nKNJGFKSBL	Логан	44	True	1	184	95747	['2cYbwKKlCOv5VaoU9DZwGA']	['LIL KRYSTALLL']	1	Solo	2020-11-20	7.0	1.0	4.0	0.248	0.771	0.443	0.0	0.164	-8.435	0.0848	0.51	141.012	91475
1SccjD8RvJ6vegZLFdgy5a	27	3	True	1	0	147227	['3EsjO0y0DE1GC453Sgyr7Z']	['FEDUK']	1	Solo	2019-04-18	11.0	0.0	4.0	0.102	0.794	0.56	0.0	0.066	-11.505	0.403	0.392	120.045	333390
2hhizKAVm9wNn0d2N05jkG	ON - Japanese ver.	47	False	10	184	247986	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2020-07-14	9.0	0.0	4.0	0.119	0.598	0.821	0.0	0.298	-5.653	0.114	0.428	105.991	1372
7f6ALwMTMLAhXCfoHYLCsx	Горы по колено	57	False	7	184	239910	['5meD8C7oGK5yUEY2T7ZZ7W']	['Max Korzh']	1	Solo	2017-10-27	8.0	0.0	4.0	0.182	0.736	0.485	0.000186	0.0988	-6.763	0.195	0.603	141.964	128367
255rzqM1oUinrkYzTCnME9	Дерзко	31	True	1	184	260069	['4DCHl7YS8J9pe2THEUvarN', '0j4z7kUnuRChYom1rytlQY']	['Truwer', 'Kali']	2	Collaboration	2020-09-04	7.0	1.0	4.0	0.0206	0.867	0.742	0.0166	0.206	-7.376	0.206	0.766	126.979	9638
0LYYnnXoORfx9ldA3vBPzg	Девочка танцуй	56	False	4	184	261639	['4ywf1iH1ruKEcfpCgfJvyA']	['Artik & Asti']	1	Solo	2020-02-07	8.0	0.0	4.0	0.217	0.681	0.672	0.0	0.134	-4.458	0.0789	0.406	121.984	67976
50aOJq5NTf9w064i1ZyQVH	Leisure Time	0	False	1	0	93577	['4KLjSVKOuv50f1worbibu9']	['Billie Martin']	1	Solo	2020-07-18	8.0	1.0	4.0	0.000652	0.639	0.962	0.93	0.329	-5.0	0.0705	0.77	132.303	15894
5vsXtB67Zc2Hd5cTUXOLWq	Utopia	60	True	2	184	209280	['0hmUwzWBrPHpGWGrYH05c3']	['Miyagi & Andy Panda']	1	Solo	2020-07-17	7.0	0.0	4.0	0.443	0.547	0.794	1.71e-05	0.144	-7.332	0.322	0.404	150.005	235127
0DU84uohPreGMlnMfAWSG6	Money Rain	0	False	3	0	157058	['1iuGd0kNu2eqLwP9DFGCNY']	['VTORNIK']	1	Solo	2020-07-28	11.0	0.0	4.0	0.178	0.939	0.663	0.0	0.164	-5.573	0.286	0.465	101.95	233298
3UEnF6y5tyHVtMzldS3svp	Everything Black	75	False	1	184	228979	['4zjO8Jhi2pciJJzd8Q6rga', '30ejUciK31BCg0IVCbt1dW']	['Unlike Pluto', 'Mike Taylor']	2	Collaboration	2017-03-10	5.0	0.0	4.0	0.0323	0.62	0.864	0.0	0.117	-4.334	0.114	0.395	98.059	88148
0GzuHFG4Ql6DoyxFRnIk3F	Hawái - Remix	73	False	1	184	200481	['1r4hJ1h58CWwUQe3MxPuau', '1Xyo4u8uXC1ZmMpatF05PJ']	['Maluma', 'The Weeknd']	2	Collaboration	2020-11-05	6.0	0.0	4.0	0.105	0.766	0.788	5.81e-06	0.142	-3.128	0.312	0.609	179.984	41821
4USjYUO1lKtPYqV6DEL3UE	New Hope	0	False	1	0	168568	['7HJi1JyfjA7PVM56WM8kb2']	['Karl Michelson']	1	Solo	2020-10-09	4.0	1.0	4.0	0.985	0.533	0.181	0.898	0.0987	-24.808	0.0399	0.224	160.001	15853
6ezX8VMsXTxNi628n6O9Tj	Я тебя люблю	0	False	1	0	196773	['0r3Nr12KW6sMFbgdzbJtgj']	['Где Фантом?']	1	Solo	2019-08-26	4.0	1.0	4.0	0.657	0.518	0.659	0.415	0.11	-9.738	0.0271	0.622	185.032	83633
7iAgNZdotu40NwtoIWJHFe	Bet You Wanna (feat. Cardi B)	66	False	4	129	161167	['41MozSoPIsD1dJM0CLPjZF', '4kYSro6naA4h99UJvo89HB']	['BLACKPINK', 'Cardi B']	2	Collaboration	2020-10-02	7.0	1.0	4.0	0.00465	0.653	0.662	0.0	0.0626	-6.168	0.162	0.674	111.712	36356
4EAiPdDayHEaYo3YKgbV7q	El Problema - prod. SLAVA MARLOW	11	True	1	0	137177	['0XNKQFs2Ewb3y0VsFUFc5l', '3oLccEy7y6zTe1gCFHxuWr']	['MORGENSHTERN', 'Timati']	2	Collaboration	2020-09-18	3.0	0.0	4.0	0.0324	0.952	0.643	0.00352	0.183	-4.532	0.05	0.37	106.994	927938
4XEMZyWARVnMnyrBKYq4bz	A Huevo	17	False	1	180	174058	['3YkZxu7ClLCOqRJG7CxlK7']	['NK']	1	Solo	2020-09-04	9.0	0.0	4.0	0.0603	0.811	0.557	0.0114	0.096	-5.853	0.0837	0.447	104.983	35983
7iUh1Z9FGlCtg1rXTC10IV	БЕГИ feat. Poët	44	False	1	184	186467	['1fLIzbK5e8MGrLKj1dEMsg']	['DJ SMASH']	1	Solo	2020-08-05	6.0	0.0	4.0	0.0606	0.707	0.731	0.0	0.115	-5.136	0.165	0.653	110.01	467768
1FDoBGZ7fnhOO32Frs5gDh	Everything	3	False	1	176	187272	['5FQZHIbh09VT4ONBavVfwu']	['Jayden Valentine']	1	Solo	2019-11-15	3.0	0.0	4.0	0.0487	0.697	0.637	0.0	0.101	-5.633	0.0429	0.478	139.914	14249
5v4GgrXPMghOnBBLmveLac	Savage Remix (feat. Beyoncé)	70	True	1	184	242000	['181bsRPaVXVlUKXrxwZfHK', '6vWDO969PvNqNYHIOW5v0m']	['Megan Thee Stallion', 'Beyoncé']	2	Collaboration	2020-04-29	10.0	0.0	4.0	0.016	0.822	0.743	0.0	0.127	-4.772	0.28	0.636	84.459	6860
1MpMZZ4MFMafhHftCcFIwv	Вспоминай	0	True	15	0	206867	['4h8pGxEIOi7j4me1yhYxlD']	['LSP']	1	Solo	2020-09-18	1.0	1.0	4.0	0.307	0.756	0.667	0.0	0.0513	-5.779	0.0655	0.714	90.0	13341
336ASHsxDakSN80bubkfZV	ODIUM	0	True	1	0	166579	['4TS37lr3ZraUxBHS727sEp']	['LXST CXNTURY']	1	Solo	2019-09-23	11.0	0.0	4.0	0.163	0.708	0.781	0.885	0.392	-8.267	0.0639	0.345	74.997	381379
6eqth4FmYzrreFVlTlp53I	Не жалея	56	False	1	184	214500	['0hmUwzWBrPHpGWGrYH05c3']	['Miyagi & Andy Panda']	1	Solo	2020-11-27	4.0	0.0	4.0	0.367	0.611	0.487	0.0	0.157	-8.265	0.0288	0.231	99.989	159892
3kiD5yMRoRLIgFY63MJlgQ	Джинсы [prod. by Sqweezey]	41	True	14	184	196872	['3KtiWEUyKC5lgHedcN6y6C', '1H1zBr7TXFwTwsHU5kX9gW']	['MAYOT', 'OG Buda']	2	Collaboration	2020-09-04	11.0	0.0	4.0	0.411	0.762	0.473	0.0	0.204	-10.155	0.434	0.602	132.077	36640
72C89HxJey7d0oasJzGIjY	Last Dance	35	False	1	184	190988	['6DdeqvIfYu3sH02gdavOu2']	['Vremya i Steklo']	1	Solo	2020-07-10	11.0	0.0	4.0	0.116	0.802	0.759	6.39e-06	0.271	-5.668	0.187	0.669	104.987	214362
4YvMfwKz0DleCSv7xSer3R	New World	0	False	18	0	180218	['4KLjSVKOuv50f1worbibu9']	['Billie Martin']	1	Solo	2020-09-24	6.0	1.0	4.0	0.0863	0.671	0.467	0.854	0.0757	-18.962	0.0463	0.965	140.0	7261
6XX0UVqKCqyHQ3nTrhmzTH	Навсегда/Никогда	33	False	10	184	253333	['6DdeqvIfYu3sH02gdavOu2']	['Vremya i Steklo']	1	Solo	2019-07-05	2.0	1.0	4.0	0.22	0.577	0.768	0.0	0.354	-4.14	0.134	0.324	89.837	6186
