song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
0WLhJ2NBuZHuoHY8pLVHJ0	Contact (feat. Tyga)	55	True	1	184	155913	['137W8MRPWKqSmrBGDBFSop', '5LHRHt1k9lMyONurDHEdrp']	['Wiz Khalifa', 'Tyga']	2	Collaboration	2020-03-23	8.0	1.0	4.0	0.00181	0.84	0.692	0.0	0.344	-5.399	0.0356	0.145	100.046	554035
3pm4XtcsRIFFtH2UErk62R	CANCIÓN CON YANDEL	75	True	4	184	209180	['0eHQ9o50hj6ZDNBt6Ys1sD', '4q3ewBCX7sLwd24euuV69X']	['Yandel', 'Bad Bunny']	2	Collaboration	2020-05-10	9.0	1.0	4.0	0.447	0.75	0.741	0.0	0.121	-4.43	0.402	0.495	79.968	2297222
3a1lNhkSLSkpJE4MSHpDu9	Congratulations	85	True	12	184	220293	['246dkjvS1zLTtiykXe5h60', '0VRj0yCOv2FXJNP47XQnx5']	['Post Malone', 'Quavo']	2	Collaboration	2016-12-09	6.0	1.0	4.0	0.215	0.63	0.804	0.0	0.253	-4.183	0.0363	0.492	123.146	25926515
0fgsKar6uBO08vzHXkTjWi	P FKN R	66	True	18	184	258280	['4q3ewBCX7sLwd24euuV69X', '1WMwuNKzEFtU6pPkdtryYS', '4SsVbpTthjScTS7U2hmr1X']	['Bad Bunny', 'Kendo Kaponi', 'Arcángel']	3	Collaboration	2020-02-29	5.0	0.0	4.0	0.409	0.82	0.635	0.0	0.244	-5.749	0.0772	0.528	101.024	3423174
46Mk1NVIpCcRIAXY92mWAW	THE NEWS	11	False	3	0	267384	['2HPaUgqeutzr3jx5a9WyDV']	['PARTYNEXTDOOR']	1	Solo	2020-03-26	7.0	0.0	4.0	0.304	0.74	0.465	0.00404	0.101	-8.27	0.0411	0.276	116.74	372166
0uxSUdBrJy9Un0EYoBowng	20 Min	86	True	20	184	220586	['4O15NlyKLIASxsJ0PrXPfz']	['Lil Uzi Vert']	1	Solo	2017-11-17	8.0	0.0	4.0	0.109	0.773	0.75	0.0	0.174	-4.009	0.117	0.783	123.426	53543911
2C0hTkdEoikhKzDCJl32QZ	Crowded Room (feat. 6LACK)	57	False	9	179	186459	['0C8ZW7ezQVs4URX5aX7Kqx', '4IVAbR2w4JJNJDDRFP3E83']	['Selena Gomez', '6LACK']	2	Collaboration	2020-01-10	7.0	0.0	4.0	0.764	0.724	0.415	2.51e-06	0.103	-8.408	0.0518	0.328	89.999	2505218
1woVRb6gryP7hsMvBkiIzj	i feel bad	0	True	1	0	175066	['2cFrymmkijnjDg9SS92EPM']	['blackbear']	1	Solo	2020-07-17	9.0	0.0	4.0	0.0201	0.637	0.785	0.0	0.333	-3.382	0.0512	0.923	144.053	298137
4P6IttK2PRBjyr3fm0pP7t	Past Life (with Selena Gomez)	1	False	1	0	186480	['7uaIm6Pw7xplS8Dy06V6pT', '0C8ZW7ezQVs4URX5aX7Kqx']	['Trevor Daniel', 'Selena Gomez']	2	Collaboration	2020-06-26	3.0	1.0	4.0	0.104	0.612	0.539	0.0	0.18	-5.071	0.0488	0.294	79.948	4877534
2oPQVgCTYqA4FBknwAroWf	Saint Laurenttt	48	True	8	184	170536	['7rkW85dBwwrJtlHRDkJDAC']	['NAV']	1	Solo	2020-05-08	7.0	1.0	4.0	0.317	0.843	0.529	1.48e-05	0.284	-7.476	0.0515	0.289	97.971	1038799
1njRzdfGNUY2RZU0lVO787	Reply (feat. Lil Uzi Vert)	57	True	19	184	183588	['31W5EY0aAly4Qieq6OFu6I', '4O15NlyKLIASxsJ0PrXPfz']	['A Boogie Wit da Hoodie', 'Lil Uzi Vert']	2	Collaboration	2020-02-14	9.0	0.0	5.0	0.0187	0.512	0.623	0.0	0.13	-6.553	0.0808	0.219	112.15	636744
4Bu4aJ7xLdIeRnD69pFBXU	Long Violent History	57	False	9	184	190400	['13ZEDW6vyBF12HYcZRr4EV']	['Tyler Childers']	1	Solo	2020-09-18	7.0	1.0	3.0	0.791	0.446	0.365	0.0	0.106	-7.548	0.0271	0.268	141.72	223589
5wTM2Bm8phDwHAuOsfBwhU	2000 Miles - 2007 Remaster	46	False	10	184	220426	['0GByy3DcfbQwDvXGCWmzv9']	['Pretenders']	1	Solo	1984	7.0	1.0	4.0	0.00292	0.22	0.708	0.0267	0.102	-9.051	0.035	0.453	66.214	387847
6b2RcmUt1g9N9mQ3CbjX2Y	How Do You Sleep?	74	False	1	184	202204	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2019-07-19	1.0	0.0	5.0	0.153	0.477	0.682	0.0	0.0763	-4.931	0.0925	0.345	110.567	5348907
2IVsRhKrx8hlQBOWy4qebo	Mr. Loverman	80	False	8	184	216880	['0ZUvK7zGdXLd78mQr3t1Tw']	['Ricky Montgomery']	1	Solo	2016-04-08	0.0	1.0	3.0	0.245	0.639	0.526	2.43e-05	0.25	-6.697	0.0256	0.488	130.033	1104679
02iYJG3KLBJODa5JkQ4O6y	hooligan	58	True	1	184	156774	['5SXuuuRpukkTvsLuUknva1']	['Baby Keem']	1	Solo	2020-09-18	10.0	0.0	3.0	0.198	0.77	0.636	2.92e-06	0.115	-7.636	0.0901	0.414	93.032	749800
