total_streams,explicit
1001,False
1002,False
1002,True
1003,False
1003,False
1005,True
1005,False
1005,False
1005,False
1005,False
1006,True
1006,True
1007,False
1007,False
1008,True
1009,False
1009,False
1010,False
1012,False
1012,False
1013,False
1015,True
1015,False
1015,True
1016,True
1016,False
1016,False
1017,True
1017,False
1017,False
1017,False
1018,False
1019,True
1019,True
1020,False
1020,True
1020,False
1021,False
1022,False
1022,True
1022,False
1023,True
1025,False
1025,False
1025,False
1027,True
1029,True
1029,True
1032,True
1032,False
1032,False
1032,True
1032,False
1032,False
1033,False
1033,False
1033,False
1034,False
1034,False
1034,False
1035,False
1036,False
1038,False
1039,True
1043,False
1044,True
1045,True
1045,False
1048,True
1049,False
1049,True
1049,False
1049,False
1050,False
1052,True
1052,True
1052,True
1052,False
1055,True
1056,True
1056,True
1057,False
1060,False
1060,False
1062,False
1062,False
1065,True
1065,True
1067,False
1068,True
1069,True
1069,False
1070,True
1075,True
1075,True
1076,False
1079,False
1081,False
1083,False
1084,False
1086,True
1086,False
1087,True
1088,False
1090,False
1093,True
1093,False
1096,True
1096,True
1100,False
1100,False
1101,False
1101,True
1101,False
1102,False
1103,False
1103,False
1103,False
1104,False
1104,True
1105,False
1105,True
1105,True
1106,False
1106,False
1107,False
1115,False
1116,False
1117,True
1118,False
1121,True
1121,True
1121,True
1124,False
1125,False
1125,True
1125,False
1126,True
1127,False
1129,True
1129,False
1131,False
1132,True
1132,False
1133,False
1133,False
1134,False
1136,False
1137,False
1139,False
1140,False
1141,False
1142,True
1142,False
1145,False
1148,False
1149,True
1150,False
1151,True
1152,True
1152,False
1153,True
1154,True
1157,True
1159,False
1159,True
1159,False
1161,True
1162,True
1164,False
1166,False
1166,True
1167,False
1167,False
1168,False
1169,False
1169,True
1170,True
1170,False
1170,False
1171,True
1171,True
1172,False
1173,False
1177,False
1179,True
1180,False
1182,True
1182,False
1182,True
1184,True
1185,True
1185,False
1188,False
1189,False
1191,True
1191,False
1192,True
1193,True
1195,False
1198,True
1200,False
1200,False
1201,False
1202,True
1203,False
1205,False
1208,True
1210,True
1211,True
1213,False
1214,True
1215,False
1215,False
1216,False
1217,True
1217,False
1219,True
1219,True
1220,True
1220,False
1222,False
1224,True
1225,False
1225,False
1226,True
1227,True
1227,True
1231,True
1232,False
1233,False
1233,False
1234,False
1234,False
1235,False
1237,True
1237,False
1239,False
1241,True
1243,True
1247,False
1252,True
1254,False
1256,True
1257,True
1258,False
1260,True
1261,False
1265,False
1267,True
1268,True
1268,True
1269,False
1272,False
1278,False
1279,False
1282,False
1282,True
1283,True
1284,False
1284,True
1284,True
1285,False
1286,False
1286,False
1287,False
1288,True
1289,False
1289,False
1290,False
1292,False
1293,True
1295,False
1297,False
1299,True
1302,False
1304,False
1304,False
1304,True
1307,False
1308,False
1309,False
1309,True
1313,False
1314,True
1316,True
1318,True
1323,True
1324,True
1325,False
1328,False
1328,True
1330,False
1331,True
1331,True
1334,True
1337,True
1338,True
1339,False
1339,False
1340,False
1342,True
1344,False
1345,False
1346,True
1348,False
1349,False
1355,False
1357,True
1358,False
1358,True
1359,False
1365,False
1367,False
1367,True
1369,True
1370,True
1371,True
1375,True
1376,True
1376,True
1377,False
1377,False
1384,False
1389,False
1391,False
1392,True
1393,True
1394,False
1395,True
1399,True
1400,True
1402,True
1402,False
1410,False
1414,True
1415,False
1415,True
1416,False
1419,True
1421,True
1422,False
1427,False
1428,False
1435,True
1437,False
1443,False
1444,False
1445,True
1447,False
1449,False
1449,True
1450,True
1450,True
1451,True
1452,False
1456,False
1456,True
1458,True
1460,False
1461,False
1464,False
1466,True
1468,True
1468,True
1468,False
1469,True
1469,False
1470,False
1473,False
1475,True
1475,False
1475,False
1481,False
1481,False
1484,True
1485,False
1486,False
1487,True
1488,False
1490,True
1492,False
1498,True
1498,False
1501,False
1503,False
1503,True
1503,True
1505,False
1505,False
1508,False
1511,True
1514,False
1519,True
1520,False
1520,True
1526,True
1530,False
1530,False
1533,True
1534,False
1536,True
1541,False
1542,True
1548,True
1555,True
1557,False
1562,True
1564,True
1567,False
1567,True
1568,False
1571,False
1579,False
1581,True
1582,False
1584,False
1588,True
1591,False
1598,True
1599,False
1600,False
1606,True
1610,False
1614,False
1615,False
1622,True
1622,True
1627,False
1629,False
1629,True
1632,True
1635,True
1636,True
1637,False
1639,False
1640,False
1644,False
1656,False
1662,False
1662,False
1663,False
1663,False
1667,False
1667,True
1668,True
1681,False
1685,False
1685,False
1685,False
1687,True
1689,True
1690,False
1696,False
1701,True
1701,False
1701,True
1703,False
1705,True
1705,True
1707,True
1724,False
1739,True
1742,False
1746,True
1749,False
1749,True
1754,True
1756,True
1762,False
1766,False
1773,True
1774,False
1775,False
1777,True
1779,False
1784,False
1791,False
1797,False
1798,False
1810,True
1817,True
1819,False
1823,True
1827,False
1827,True
1829,False
1830,True
1839,False
1839,False
1841,True
1843,False
1843,True
1851,False
1854,True
1863,False
1865,False
1865,False
1869,False
1871,False
1873,False
1875,False
1882,False
1884,False
1887,False
1892,True
1900,False
1906,False
1908,True
1909,True
1920,False
1925,False
1926,True
1947,False
1970,False
1979,False
1984,False
1985,False
1996,True
2001,True
2010,True
2011,True
2017,False
2021,False
2044,True
2045,False
2046,False
2047,True
2054,False
2054,True
2055,False
2057,True
2058,True
2063,False
2063,False
2068,False
2069,True
2082,False
2083,True
2086,False
2086,False
2087,True
2087,True
2089,False
2090,False
2091,False
2091,True
2100,False
2107,False
2112,False
2113,True
2113,False
2114,False
2115,False
2119,False
2124,False
2127,False
2128,False
2128,False
2133,True
2135,False
2137,False
2141,False
2144,False
2157,False
2182,True
2194,False
2196,False
2198,False
2214,True
2214,False
2220,True
2230,True
2234,False
2234,False
2235,False
2237,False
2246,False
2251,True
2252,True
2254,True
2257,False
2272,False
2273,False
2300,False
2311,True
2318,True
2320,False
2323,False
2324,True
2330,True
2331,False
2332,False
2342,False
2350,True
2352,False
2356,True
2357,False
2366,False
2370,False
2375,True
2376,True
2381,False
2384,False
2386,True
2387,False
2388,False
2390,False
2396,True
2397,True
2410,False
2415,False
2416,True
2423,False
2424,True
2443,True
2450,False
2458,True
2459,False
2461,False
2464,False
2470,True
2474,False
2485,True
2487,True
2502,True
2513,False
2515,False
2516,False
2526,True
2527,False
2531,True
2533,True
2542,False
2550,True
2551,False
2554,False
2556,False
2558,True
2569,False
2573,False
2576,False
2579,True
2579,False
2584,False
2595,False
2597,True
2600,True
2603,False
2610,True
2612,True
2616,True
2621,True
2627,True
2635,True
2637,False
2643,True
2654,False
2655,True
2655,False
2661,False
2667,True
2667,False
2671,False
2677,False
2680,False
2703,False
2706,True
2720,False
2724,False
2732,False
2732,True
2734,False
2734,False
2736,False
2739,False
2744,True
2745,False
2747,True
2756,False
2758,False
2763,False
2767,False
2774,True
2776,False
2776,True
2781,False
2786,False
2790,True
2792,False
2806,False
2808,True
2809,True
2815,False
2817,True
2819,True
2821,False
2824,False
2827,False
2828,False
2831,False
2838,False
2846,False
2851,False
2863,True
2864,True
2870,False
2871,False
2872,False
2883,True
2888,True
2902,False
2905,False
2907,True
2916,False
2929,True
2931,False
2934,False
2935,True
2936,False
2938,False
2946,False
2951,False
2969,False
2979,False
2980,False
2981,False
2982,True
2982,False
2987,False
2988,True
