total_streams,explicit
1001,False
1001,False
1002,False
1004,False
1005,True
1006,False
1006,True
1006,False
1011,False
1011,False
1011,False
1011,False
1012,False
1012,False
1012,False
1014,False
1014,False
1014,False
1015,False
1016,False
1016,False
1017,False
1017,False
1017,False
1017,False
1019,True
1020,False
1020,False
1023,False
1023,True
1023,False
1023,False
1023,False
1024,True
1025,True
1025,False
1026,False
1027,False
1027,False
1027,False
1028,True
1028,False
1029,False
1029,False
1031,False
1032,False
1033,False
1034,False
1034,False
1034,False
1035,False
1035,False
1036,False
1037,False
1038,True
1038,False
1038,False
1039,False
1039,False
1040,False
1041,False
1042,False
1042,False
1046,False
1049,False
1049,False
1050,False
1051,False
1051,False
1051,True
1051,False
1057,False
1057,False
1058,False
1061,False
1061,False
1062,False
1062,False
1063,False
1065,False
1068,False
1069,True
1073,False
1075,False
1076,False
1077,False
1077,True
1080,False
1080,False
1081,False
1085,False
1086,False
1088,False
1092,False
1092,True
1094,False
1096,False
1097,False
1103,False
1104,False
1105,False
1105,False
1106,False
1110,False
1112,False
1113,False
1114,False
1115,True
1116,False
1117,False
1119,False
1120,False
1121,False
1122,False
1122,True
1124,False
1125,False
1129,False
1131,False
1133,True
1134,False
1135,False
1136,False
1138,False
1141,False
1150,False
1150,False
1153,False
1158,False
1159,False
1161,False
1162,False
1169,False
1169,False
1173,False
1175,False
1179,False
1179,False
1181,True
1187,False
1187,False
1189,False
1190,True
1195,False
1195,False
1196,True
1200,False
1201,False
1210,False
1214,True
1216,True
1217,False
1218,False
1219,False
1222,False
1225,True
1226,False
1226,False
1231,False
1243,False
1243,False
1244,False
1246,False
1246,False
1250,False
1251,False
1255,False
1258,False
1258,False
1259,False
1259,False
1260,False
1261,False
1265,False
1265,False
1266,False
1269,False
1271,False
1275,True
1282,True
1283,False
1284,False
1288,False
1288,False
1300,False
1301,False
1301,False
1304,False
1305,False
1306,False
1310,True
1310,True
1311,False
1315,True
1316,False
1316,False
1321,False
1324,True
1329,False
1335,False
1335,False
1335,False
1343,False
1346,False
1354,False
1357,False
1359,False
1359,False
1359,False
1360,False
1363,False
1386,False
1390,True
1398,False
1403,False
1407,False
1409,False
1410,False
1418,True
1418,False
1418,False
1424,False
1429,True
1433,False
1434,False
1437,True
1440,False
1441,False
1443,False
1444,False
1445,False
1445,False
1446,False
1451,False
1455,False
1461,False
1461,False
1464,False
1465,False
1468,False
1472,False
1474,False
1475,True
1487,True
1490,False
1492,False
1493,False
1495,False
1498,False
1498,False
1500,True
1503,True
1504,False
1510,True
1511,False
1511,False
1512,False
1541,False
1543,False
1545,False
1552,False
1556,False
1559,False
1561,False
1564,False
1565,False
1567,False
1573,True
1581,False
1583,True
1583,False
1587,False
1595,False
1600,False
1600,False
1601,False
1603,False
1603,False
1606,False
1610,False
1611,False
1624,False
1628,False
1644,False
1645,False
1650,False
1651,False
1666,False
1671,False
1676,False
1695,False
1696,False
1709,True
1710,True
1718,False
1727,False
1729,False
1731,False
1737,False
1741,False
1741,False
1746,False
1749,False
1753,False
1758,False
1759,False
1765,False
1767,False
1771,False
1772,True
1773,False
1775,False
1781,False
1784,False
1785,False
1788,True
1791,False
1797,False
1798,False
1802,True
1804,False
1818,False
1827,False
1828,False
1830,True
1832,False
1834,False
1844,False
1847,False
1859,False
1860,False
1875,False
1883,False
1884,False
1885,False
1887,False
1887,False
1890,False
1890,False
1891,False
1892,False
1893,False
1894,False
1897,False
1901,False
1902,False
1904,False
1906,False
1907,False
1909,False
1911,False
1913,False
1917,False
1924,False
1928,False
1933,True
1940,False
1946,False
1947,False
1961,False
1965,False
1965,False
1970,False
1972,False
1972,False
1975,False
1976,False
1977,False
1978,False
1978,False
1980,False
1980,False
1981,False
1981,False
1984,False
1989,False
1990,False
1994,False
1996,False
1997,False
2006,True
2013,False
2014,False
2014,False
2019,False
2031,False
2031,False
2031,False
2032,False
2033,False
2033,False
2035,False
2037,False
2039,False
2048,False
2051,False
2061,False
2061,False
2062,False
2063,False
2064,False
2066,False
2067,True
2068,False
2073,False
2073,False
2077,False
2078,False
2080,False
2085,False
2085,False
2086,False
2089,False
2089,True
2090,False
2090,False
2091,False
2091,False
2094,False
2098,False
2098,False
2100,False
2104,False
2109,False
2114,False
2116,False
2118,False
2118,False
2118,True
2120,True
2124,False
2125,False
2126,False
2126,False
2129,False
2130,False
2130,False
2133,False
2139,False
2140,False
2143,True
2143,False
2147,False
2148,False
2150,False
2150,False
2153,False
2154,False
2155,False
2156,False
2157,False
2158,False
2160,False
2160,False
2162,False
2163,False
2166,False
2170,False
2171,False
2171,True
2175,False
2175,False
2178,True
2179,False
2181,False
2183,False
2183,False
2184,False
2188,False
2189,True
2190,False
2192,False
2193,False
2199,False
2202,True
2202,False
2213,False
2214,True
2216,False
2216,True
2218,False
2219,False
2220,False
2222,False
2228,False
2229,True
2229,True
2229,False
2230,False
2234,False
2241,False
2242,False
2243,False
2250,False
2259,False
2261,False
2262,False
2266,False
2268,False
2270,False
2273,False
2273,False
2275,False
2290,True
2291,True
2291,False
2296,False
2296,False
2298,False
2298,True
2305,False
2307,False
2309,False
2315,False
2328,False
2328,False
2330,False
2331,False
2332,False
2333,True
2347,False
2349,False
2353,False
2358,False
2359,False
2360,False
2363,False
2370,False
2372,False
2382,False
2384,True
2390,False
2391,False
2391,False
2398,False
2399,False
2403,False
2405,False
2406,False
2408,False
2410,False
2412,False
2415,False
2417,False
2418,False
2429,False
2436,False
2437,False
2438,False
2441,False
2442,False
2453,False
2455,False
2455,False
2456,False
2457,False
2457,False
2467,False
