total_streams,explicit
26150,True
26496,False
26976,False
27361,False
27688,False
27937,False
28050,False
28459,False
28616,False
29967,False
30968,False
31379,False
31598,False
31600,False
31601,False
31721,False
31736,False
32374,False
32677,True
34284,False
34522,False
34576,False
34634,False
35338,True
35777,False
36197,False
36566,False
36570,True
36573,False
36861,False
37140,True
37363,False
37373,False
37593,False
37751,False
37873,False
38157,True
38222,False
38380,False
38495,False
38634,False
39046,False
39199,False
39579,False
39806,False
39847,False
39969,False
40195,True
40237,True
40377,False
41482,False
41746,False
41852,True
41995,False
42075,False
42080,True
42389,False
42706,True
42746,False
42750,True
42822,False
42896,False
42993,False
43021,False
43256,False
44006,False
44029,False
44035,True
44186,False
44422,False
44467,False
44739,False
44770,False
44796,False
44917,False
45032,False
45127,False
45583,True
45652,True
45816,True
45861,False
45911,False
46202,False
46462,False
46614,False
46706,False
47057,False
47335,False
47342,False
47464,False
47662,False
47701,False
47713,False
47731,False
47745,True
47760,False
47898,False
47904,True
47911,False
48250,False
48491,False
48612,False
48632,False
48650,False
48763,False
48795,False
48841,False
49090,False
49157,False
49158,False
49176,False
49539,False
49658,False
49699,False
49785,False
49821,False
49947,False
49955,False
49972,False
50085,False
50137,False
50177,False
50200,False
50229,False
50238,False
50320,False
50321,True
50342,False
50405,False
50526,False
50630,False
50633,False
50720,False
50926,False
50972,False
51081,False
51103,False
51110,False
51164,True
51183,True
51275,False
51460,False
51610,False
51712,False
51915,False
52034,False
52072,False
52158,False
52229,True
52514,True
52756,False
52886,False
53639,False
53669,True
53917,False
54152,False
54198,False
54222,False
54287,False
54312,False
54367,False
54551,False
54616,False
54643,False
54706,False
54971,True
55079,False
55451,True
55730,False
56017,False
56044,False
56097,True
56097,False
56102,False
56449,False
56560,False
56855,False
56879,False
56883,False
57007,True
57050,False
57194,False
57261,False
57381,False
57392,False
57392,False
57555,False
57788,False
57909,False
58146,False
58165,False
58721,False
58839,True
58848,False
58927,False
58927,True
58981,False
59119,False
59175,False
59182,False
59206,False
59211,False
59229,False
59397,False
59531,False
59550,False
59683,False
59683,False
59705,False
59910,True
60233,False
60264,True
60311,False
60321,False
60340,True
60378,False
60402,False
60536,False
60543,False
60631,False
60923,True
61057,False
61274,False
61375,False
61675,False
61720,False
62068,False
62070,False
62142,False
62211,False
62250,True
62470,False
62520,False
62571,False
62785,False
62803,False
62876,False
63000,False
63213,False
63423,False
63479,False
63650,False
63999,False
64155,False
64283,False
64284,False
64342,False
64413,True
64472,False
64480,False
64649,True
64781,False
65000,False
65046,False
65163,False
65199,False
65406,False
65422,False
65441,False
65503,False
65615,False
65756,False
65878,False
65935,False
66074,False
66138,False
66413,True
66463,False
66528,False
66932,False
67203,False
67244,False
67306,False
67328,False
67368,False
67667,False
67667,False
67709,False
67723,False
67793,True
67820,False
67915,False
67933,False
67974,False
68031,False
68193,False
68334,False
68443,False
68542,False
68591,True
68630,False
68709,False
68812,False
68986,False
69042,False
69191,False
69254,True
69282,True
69293,False
69318,False
69395,False
69538,True
69656,False
69693,False
69933,False
70052,False
70090,False
70099,False
70191,False
70331,False
70364,True
70406,True
70479,False
70502,False
70561,False
70568,False
70776,False
70895,False
70953,False
71089,False
71243,False
71247,True
71333,False
71344,False
71346,True
71425,False
71455,True
71665,False
71809,False
71927,False
71967,False
72211,False
72220,False
72257,False
72339,False
72393,False
72587,False
72648,False
72690,True
72700,False
72727,False
72765,False
72803,False
72938,True
72973,False
73041,False
73069,False
73108,False
73428,True
73528,False
73558,True
73623,False
73697,False
73731,False
73741,False
73932,False
74109,False
74247,False
74287,False
74304,False
74305,False
74322,False
74382,False
74429,True
74609,False
74662,False
74840,False
74949,False
75137,False
75234,False
75267,False
75296,True
75369,True
75503,False
75554,False
75617,False
76208,False
76258,False
76493,True
76754,False
76783,False
76812,False
76826,False
76868,True
76869,False
76942,False
77123,False
77464,False
77467,False
77485,False
77641,False
77687,False
77703,False
77751,False
77767,True
77872,False
77911,False
77933,False
77990,False
78040,False
78183,False
78222,False
78335,False
78467,False
78537,False
78542,False
78687,True
78728,False
78934,False
79049,False
79200,False
79208,False
79358,False
79442,False
79473,False
79512,False
79826,False
79839,False
80011,False
80136,False
80307,False
80319,True
80327,False
80456,False
80617,False
80649,True
80700,False
80736,False
80761,False
80888,True
80908,True
80941,False
80958,True
81039,False
81237,False
81288,False
81321,True
81345,True
81469,False
81576,False
81579,False
81638,False
81691,False
81955,True
81977,False
81992,False
82024,False
82045,True
82057,False
82111,False
82159,False
82334,False
82439,False
82490,False
82514,False
82622,True
82661,False
82756,False
82893,False
82937,False
83127,False
83252,False
83299,False
83362,False
83455,False
83522,False
83556,False
83563,False
83641,False
83684,False
83690,False
83867,True
83940,False
83989,False
84006,False
84014,False
84108,False
84261,False
84314,False
84400,False
84544,False
84616,False
84634,False
84868,False
84978,True
85042,False
85079,False
85134,True
85282,False
85521,False
85567,False
85657,False
85728,True
85788,False
85874,False
86047,False
86214,False
86318,False
86606,False
86618,False
86622,False
86847,False
86849,False
86872,False
87074,False
87238,False
87252,False
