total_streams,explicit
14027,True
16174,True
16185,True
16437,True
16514,True
16619,False
16730,False
16774,False
16787,False
16924,False
17038,False
17060,False
17455,False
17485,False
17513,False
17538,False
17585,True
17622,False
17623,True
17634,False
17674,True
17701,False
17734,True
17811,False
17818,True
17939,False
17947,False
17970,True
18083,False
18143,False
18251,True
18285,False
18337,True
18407,False
18509,True
18542,False
18562,False
18588,False
18645,False
18657,False
18667,True
18698,False
18716,False
18729,True
18772,False
18915,False
18920,False
18976,False
19001,False
19025,False
19097,True
19108,True
19165,True
19223,False
19245,True
19252,True
19257,False
19285,True
19296,False
19368,True
19373,False
19409,False
19478,False
19531,True
19534,False
19676,False
19766,True
19809,True
19874,True
19935,False
19947,True
19957,False
19986,False
20004,True
20072,False
20193,False
20290,True
20312,True
20314,False
20322,False
20339,True
20369,False
20434,False
20480,False
20547,True
20617,False
20700,False
20702,True
20730,False
20733,True
20942,False
21015,True
21105,False
21118,True
21138,True
21140,True
21142,True
21169,True
21202,False
21230,True
21234,False
21236,False
21268,True
21294,False
21328,False
21346,False
21375,True
21378,False
21393,True
21508,False
21515,True
21526,False
21539,True
21584,False
21729,True
21746,True
21749,False
21769,False
21776,True
21784,True
21789,True
21819,False
21854,False
21867,False
21874,True
21971,False
22111,False
22141,False
22141,False
22170,True
22187,True
22188,True
22209,False
22261,True
22267,False
22271,False
22286,True
22296,False
22320,True
22325,True
22330,False
22361,True
22488,True
22496,False
22505,False
22533,True
22568,True
22570,False
22605,True
22608,False
22620,True
22699,True
22710,False
22765,False
22816,False
22833,True
22855,True
22915,True
22943,False
22998,False
23012,False
23042,False
23096,False
23128,False
23134,False
23142,False
23173,False
23185,False
23204,False
23218,False
23274,True
23282,True
23360,False
23441,False
23465,True
23478,True
23490,True
23514,False
23524,False
23566,True
23570,False
23578,False
23608,True
23624,False
23649,False
23653,False
23759,True
23759,False
23768,True
23791,True
23797,False
23807,False
23809,False
23832,True
23843,True
23877,False
23977,False
23981,False
24017,True
24019,False
24038,True
24081,False
24120,True
24178,True
24276,False
24282,True
24346,False
24347,True
24358,False
24379,False
24455,True
24479,True
24479,True
24508,True
24560,True
24599,False
24611,True
24611,False
24658,True
24677,False
24725,False
24740,False
24773,True
24774,False
24789,True
24875,False
24915,False
25014,False
25023,False
25033,True
25051,False
25119,False
25232,False
25234,False
25240,True
25247,True
25267,True
25295,False
25311,False
25370,False
25379,True
25403,False
25458,True
25466,False
25468,True
25474,False
25479,False
25484,False
25492,True
25521,False
25544,True
25584,False
25622,False
25629,False
25645,False
25719,False
25729,False
25760,False
25880,False
25890,False
25899,False
25904,True
25978,False
26028,False
26029,False
26059,True
26069,False
26078,True
26110,False
26128,False
26146,True
26163,False
26296,False
26300,False
26307,True
26335,False
26356,False
26394,True
26428,True
26438,True
26443,False
26509,True
26518,True
26531,False
26536,False
26543,False
26567,False
26588,True
26622,False
26719,False
26739,False
26752,False
26784,True
26802,False
26818,True
26894,False
26896,True
26934,True
26987,True
27077,True
27091,False
27133,False
27151,True
27164,True
27164,False
27165,True
27189,False
27222,False
27228,False
27311,True
27311,True
27311,True
27356,False
27371,True
27403,False
27410,False
27424,True
27450,True
27493,True
27501,False
27526,True
27575,True
27579,True
27588,False
27602,False
27611,True
27635,True
27668,True
27673,True
27699,True
27720,False
27743,True
27775,True
27779,True
27782,False
27798,False
27799,False
27802,False
27817,False
27857,False
27864,True
27885,True
27899,False
27952,True
27952,False
27966,False
27972,True
27995,False
28056,False
28078,True
28078,True
28083,True
28086,False
28099,True
28108,False
28110,False
28118,False
28149,True
28151,False
28151,True
28160,False
28173,False
28190,True
28204,False
28213,True
28216,False
28285,True
28286,True
28297,False
28300,False
28302,False
28322,True
28336,False
28352,False
28363,False
28430,False
28475,True
28513,True
28518,True
28540,True
28547,True
28553,False
28599,False
28621,False
28625,False
28627,False
28633,True
28669,True
28673,True
28674,True
28688,False
28698,True
28783,True
28789,True
28804,True
28832,False
28839,True
28852,True
28861,False
28882,False
28903,True
28923,True
28973,False
28992,False
28996,False
29015,True
29016,False
29072,False
29073,True
29075,False
29102,False
29117,True
29124,True
29155,False
29164,True
29190,True
29190,False
29212,False
29230,False
29240,False
29264,False
29270,False
29288,False
29301,True
29302,True
29313,False
29322,False
29329,False
29341,True
29358,False
29392,False
29408,False
29413,True
29429,True
29430,False
29494,False
29513,False
29539,False
29547,False
29547,False
29553,True
29554,False
29555,False
29561,True
29607,False
29610,True
29612,False
29615,True
29637,False
29644,True
29659,True
29662,False
29678,False
29729,False
29749,False
29762,False
29814,False
29815,False
29825,True
29843,True
29852,True
29857,False
29863,False
29890,True
29896,False
29900,True
29905,False
29909,False
29912,True
29962,False
29976,False
29982,True
30010,True
30019,False
30021,False
30027,True
30088,False
30093,False
30096,False
30110,False
30121,False
30154,True
30158,False
30160,False
30175,False
30191,True
30199,False
30210,True
30211,True
30226,False
30228,False
30267,False
30280,False
30292,True
30310,False
30311,False
30311,False
30319,True
30320,False
30329,False
30336,False
30338,False
30364,False
30369,False
30369,False
30396,True
30416,False
30457,True
30474,False
30493,False
30494,False
30497,True
30503,False
30503,False
30512,False
30515,False
30531,False
30534,False
30543,False
30556,False
30558,False
30570,False
30572,True
30580,True
30587,True
30589,False
30596,True
30609,True
30609,False
30613,True
30679,False
30685,True
30690,True
30715,True
30733,False
30739,False
30744,False
30762,False
30773,False
