total_streams,explicit
1975,False
2004,True
2031,False
2060,True
2082,False
2119,False
2120,False
2123,False
2165,False
2196,False
2204,False
2236,False
2247,False
2257,True
2264,False
2309,False
2344,True
2356,False
2382,False
2405,False
2405,True
2407,True
2416,True
2431,False
2465,False
2466,False
2476,False
2488,False
2490,False
2493,False
2502,True
2507,False
2546,False
2549,False
2552,False
2569,False
2570,False
2595,False
2599,False
2605,False
2608,False
2614,True
2615,False
2617,True
2621,False
2624,False
2642,False
2656,False
2657,True
2659,False
2659,True
2673,True
2679,True
2695,False
2697,True
2698,False
2709,False
2718,True
2721,False
2728,False
2733,False
2758,False
2783,False
2788,False
2789,True
2790,False
2790,False
2795,False
2797,True
2797,True
2814,True
2815,True
2833,True
2838,False
2852,False
2855,True
2872,True
2879,False
2880,False
2880,True
2886,False
2889,True
2901,True
2905,False
2908,False
2913,False
2924,True
2925,False
2938,False
2949,True
2956,False
2963,False
2964,False
2964,False
2966,True
2968,True
2974,False
2983,False
2986,True
2997,True
3000,False
3004,False
3006,True
3010,True
3013,True
3023,False
3032,False
3039,False
3041,True
3042,True
3048,False
3051,False
3053,False
3056,True
3057,False
3057,False
3068,True
3081,True
3086,False
3087,False
3089,False
3094,False
3095,False
3097,False
3098,True
3108,True
3109,False
3116,True
3122,True
3126,False
3129,True
3134,False
3135,False
3135,False
3141,False
3143,False
3144,False
3154,True
3165,True
3174,True
3175,False
3177,True
3180,False
3182,True
3184,True
3188,True
3191,True
3192,True
3197,True
3203,False
3204,False
3205,True
3206,False
3207,True
3207,False
3209,False
3212,False
3213,False
3221,True
3227,True
3227,False
3237,False
3242,True
3255,True
3256,False
3256,False
3266,True
3268,False
3283,True
3291,False
3298,True
3302,True
3306,True
3319,False
3321,False
3327,True
3328,True
3330,False
3331,False
3339,False
3342,True
3343,False
3344,False
3346,True
3346,True
3348,False
3352,True
3358,False
3360,False
3360,True
3364,False
3365,True
3374,False
3381,False
3383,True
3389,False
3393,True
3396,False
3398,False
3400,True
3405,False
3408,True
3409,False
3411,False
3413,True
3413,True
3414,False
3414,True
3416,False
3416,False
3418,True
3418,False
3424,False
3425,True
3428,True
3431,True
3441,True
3442,False
3443,False
3448,True
3449,False
3461,True
3462,False
3475,False
3483,True
3486,True
3494,False
3501,False
3504,False
3505,True
3505,False
3506,True
3510,False
3514,False
3515,False
3518,False
3525,True
3526,True
3528,False
3529,False
3533,False
3537,True
3537,False
3537,False
3540,True
3546,False
3554,False
3557,True
3557,True
3563,False
3566,True
3577,True
3579,False
3582,False
3586,True
3592,False
3593,False
3596,True
3597,True
3608,False
3608,False
3610,False
3613,False
3620,True
3629,True
3633,True
3636,False
3644,False
3646,False
3656,True
3657,False
3658,True
3668,True
3673,False
3674,False
3675,True
3680,True
3682,False
3686,True
3691,False
3696,False
3697,True
3707,True
3707,True
3712,True
3718,False
3722,True
3724,False
3726,False
3726,False
3728,False
3732,False
3733,False
3738,False
3741,False
3755,True
3758,True
3758,True
3759,False
3759,False
3765,True
3772,True
3783,True
3791,False
3791,True
3795,False
3798,True
3818,False
3821,True
3821,True
3828,False
3832,False
3835,False
3836,False
3837,True
3839,False
3840,True
3840,True
3842,False
3853,True
3854,False
3858,False
3858,True
3860,True
3860,True
3861,False
3862,True
3863,False
3878,False
3878,False
3882,False
3893,False
3894,True
3897,False
3898,False
3898,True
3905,True
3906,False
3909,True
3909,True
3924,True
3933,True
3938,False
3943,False
3944,False
3945,True
3950,False
3952,False
3955,True
3955,True
3958,True
3958,True
3962,False
3964,False
3965,False
3965,True
3970,False
3971,True
3982,False
3986,True
3987,False
3991,True
3991,False
3991,True
3992,True
3994,True
3996,True
3997,True
3999,False
4000,True
4001,True
4001,False
4002,False
4009,True
4012,False
4016,False
4018,False
4021,True
4030,False
4030,False
4032,True
4032,True
4035,True
4035,False
4039,True
4045,True
4046,True
4049,True
4053,False
4055,True
4056,False
4057,True
4062,False
4063,True
4064,True
4070,True
4071,False
4073,True
4074,True
4075,False
4076,False
4079,True
4087,False
4089,True
4089,True
4089,True
4093,False
4103,False
4105,False
4106,False
4111,False
4111,True
4112,True
4113,False
4114,False
4115,False
4124,False
4127,True
4144,True
4146,False
4148,True
4150,True
4150,True
4151,False
4153,True
4157,True
4159,True
4162,False
4163,True
4165,False
4178,True
4181,False
4182,True
4182,False
4183,False
4183,False
4190,True
4193,False
4194,True
4195,True
4195,False
4197,False
4203,False
4205,False
4208,True
4208,False
4213,True
4222,False
4222,True
4224,True
4229,False
4231,False
4233,False
4236,True
4237,True
4242,True
4247,False
4257,False
4258,True
4260,True
4260,True
4261,False
4263,True
4270,True
4270,False
4271,True
4277,True
4283,True
4292,True
4292,False
4297,False
4305,True
4320,True
4321,False
4325,False
4327,True
4330,True
4337,False
4337,True
4342,True
4343,False
4344,True
4349,True
4352,False
4355,True
4361,False
4365,True
4365,False
4371,True
4372,True
4374,False
4375,True
4377,True
4379,False
4387,False
4389,False
4390,False
4391,True
4391,False
4391,True
4391,False
4393,False
4398,True
4399,True
4401,True
4402,True
4407,False
4407,True
4410,True
4417,False
4426,True
4429,False
4431,False
4433,False
4433,False
4433,False
4439,True
4440,False
4447,True
4449,False
4450,False
4451,True
4455,False
4462,False
4464,True
4465,True
4466,False
4469,False
4476,True
4478,True
4479,False
4482,False
4494,False
4498,False
4502,True
4503,True
4504,False
4506,False
4510,False
4512,True
4527,False
4529,False
4533,True
4534,True
4534,False
4536,False
4544,False
4548,False
4549,False
4559,True
4560,False
4561,True
4564,True
4566,False
4566,False
4569,False
4569,False
4575,True
4576,True
4578,True
4583,False
4585,False
4586,False
4592,True
4594,False
4597,True
4598,True
4604,False
4605,False
4607,False
4610,False
4610,True
4612,True
4614,True
4618,False
4624,True
4626,False
4626,False
4629,True
4630,True
4632,False
4635,False
4636,True
4642,False
4644,False
4647,True
4657,True
4674,False
4678,False
4699,True
4700,False
4710,False
4711,True
4713,True
4714,False
4718,True
4719,True
4719,True
4720,False
4721,False
4725,False
4725,True
4730,False
4732,False
4732,True
4735,False
4735,True
4735,False
4737,True
4739,False
4742,False
4744,False
4744,True
4749,False
4759,False
4760,False
4763,False
4768,False
4769,False
4769,True
4770,False
4770,False
4771,True
4772,True
4775,True
4779,False
4780,True
4787,False
4795,False
4798,True
4805,True
4814,False
4819,False
4823,True
4824,False
4825,False
4829,False
4831,False
4831,False
4832,False
4833,False
4837,False
4842,False
4846,True
4854,False
4857,False
4862,False
4863,True
4866,True
4868,True
4872,True
4876,False
4876,False
4876,False
4878,True
4884,False
4890,True
4895,False
4896,False
4914,True
4916,False
4919,True
4924,True
4928,False
4931,False
4932,True
4933,True
4935,False
4935,True
4938,False
4949,False
4950,False
4951,False
4955,False
4956,False
4958,True
4963,False
4963,True
4963,False
4964,False
4967,True
4976,True
4976,False
4981,True
4985,False
4986,False
4987,True
4988,True
4994,False
4995,False
4998,False
4998,False
5000,False
5002,True
5004,True
5005,False
5009,True
5014,True
5015,False
5017,False
5028,False
5032,False
5032,False
5033,True
5033,True
5034,False
5036,True
5038,False
5047,False
5055,True
5058,True
5063,True
5063,True
5067,False
5067,True
5067,False
5073,False
5074,True
5076,False
5077,False
5077,True
5084,True
5086,True
5089,True
5089,True
5096,False
5099,True
5101,True
5106,False
5106,True
5109,False
5110,False
5111,False
5113,False
5113,False
5116,False
5117,True
5120,True
5123,True
5126,False
5131,False
5132,False
5136,False
5144,False
5145,False
5146,True
5149,False
5151,False
5153,True
5153,False
5158,True
5163,False
5167,False
5169,True
5169,False
5173,False
5173,False
5177,True
5180,True
5188,True
5189,True
5190,False
5202,False
5202,True
5205,True
5205,False
5221,False
5224,False
5224,True
5227,True
5228,False
5230,True
5231,False
5234,True
5236,False
5236,False
5239,True
5239,True
5241,False
5241,False
5241,True
5241,True
5243,True
5243,True
5246,False
5247,False
5249,False
5250,False
5258,False
5262,True
5262,True
5262,False
5266,False
5266,False
5267,False
5268,False
5270,False
5271,False
5276,True
5278,True
5279,False
5280,False
5280,True
5282,False
5283,True
5287,True
5289,True
5290,True
5292,False
5295,True
5296,True
5300,False
5303,False
5305,True
5305,True
5309,False
5309,True
5311,True
5316,False
5320,True
5325,False
5328,False
5337,False
5339,False
5350,True
5354,True
5356,True
5356,False
5358,False
5358,False
5359,True
5360,False
5364,False
5367,False
5367,False
5370,False
5371,False
5372,True
5373,True
5375,True
5378,False
5380,True
5381,True
5386,True
5386,True
5388,True
5397,False
5398,True
5405,False
5423,True
5423,True
5424,False
5425,False
5429,False
5430,True
5435,True
5440,True
5441,False
5442,True
5442,False
5444,False
5449,False
5452,False
5454,True
5461,True
5462,True
5464,False
5465,True
5474,True
5476,False
5482,True
5496,True
5496,False
5501,True
5502,True
5513,True
5518,True
5519,False
5520,True
5521,True
5524,True
5524,False
5525,False
5528,False
5530,True
5531,False
5533,False
5536,False
5546,False
5551,True
5553,True
5558,True
5560,True
5571,True
5573,True
5575,False
5576,False
5579,True
5584,False
5585,True
5593,False
5593,False
5597,False
5600,False
5603,True
5603,True
5605,False
5606,False
5607,True
5616,True
5618,False
5629,False
5630,True
5631,True
5637,True
5638,False
5642,False
5645,False
5647,False
5649,False
5650,False
5654,False
5659,False
5660,True
5660,False
5661,False
5665,True
5669,True
5670,False
5671,False
5671,False
5675,True
5676,False
5682,True
5682,True
5685,True
5688,False
5691,True
5693,True
5699,True
5701,False
5701,True
5704,True
5705,True
5708,False
5709,True
5709,True
5710,False
5710,False
5713,False
5714,False
5717,True
5723,True
5723,True
5731,True
5731,True
5733,True
5739,True
5751,False
5752,True
5754,True
5755,False
5755,False
5768,True
5775,True
5776,False
5780,False
5787,True
5787,True
5789,True
5790,False
5791,True
5793,True
5793,False
5794,True
5797,True
5797,True
5801,True
5806,True
5810,True
5811,True
5814,True
5815,True
5815,True
5816,True
5820,False
5820,True
5821,True
5822,False
5823,True
5824,True
5827,True
5829,True
5832,True
5834,False
5836,True
5836,True
5837,False
5837,True
5838,False
5842,False
5846,False
5847,True
5849,True
5849,False
5850,True
5852,True
5859,False
5862,True
5863,False
5863,False
5864,False
5864,False
5868,True
5869,True
5871,True
5874,True
5875,True
5875,False
5875,True
5879,False
5882,True
5886,True
5890,False
5891,True
5893,False
5893,False
5900,True
5902,True
5904,True
5907,True
5908,True
5909,True
5911,False
5913,False
5916,False
5924,True
5925,True
5929,True
5930,False
5931,False
5933,True
5935,True
5936,False
5936,False
5938,False
