total_streams,explicit
1557,False
1617,False
1617,False
1623,False
1654,False
1670,False
1671,False
1673,False
1675,False
1680,False
1684,False
1712,False
1714,False
1760,False
1766,False
1776,False
1786,True
1794,False
1808,False
1824,False
1825,False
1828,False
1912,False
1914,False
1934,True
1950,False
1974,False
1983,False
1993,False
2026,False
2027,False
2030,False
2038,False
2042,False
2042,False
2049,False
2052,False
2059,False
2073,False
2077,False
2093,False
2102,False
2103,False
2106,False
2108,False
2135,False
2138,False
2139,False
2143,False
2146,False
2154,True
2154,False
2156,False
2156,False
2157,False
2158,False
2162,False
2163,True
2166,True
2177,False
2178,True
2189,False
2190,True
2191,False
2196,False
2200,False
2204,False
2205,False
2211,False
2216,False
2217,False
2219,False
2231,False
2241,False
2242,True
2242,False
2244,False
2250,True
2251,False
2253,False
2254,False
2254,False
2267,False
2268,False
2276,True
2281,False
2283,False
2283,False
2285,False
2289,False
2297,True
2297,True
2297,False
2298,False
2299,False
2299,True
2303,False
2306,False
2309,False
2310,False
2311,False
2314,False
2314,False
2323,False
2326,False
2328,False
2329,False
2344,False
2355,False
2356,False
2360,True
2362,False
2364,False
2365,False
2371,False
2375,False
2378,True
2378,True
2380,True
2381,False
2382,True
2383,False
2386,False
2388,True
2391,False
2393,False
2395,False
2399,False
2400,True
2406,False
2409,False
2410,False
2411,False
2428,False
2443,True
2445,False
2446,False
2450,False
2456,False
2463,False
2473,True
2473,False
2474,True
2480,False
2480,True
2482,False
2484,False
2485,False
2485,False
2491,False
2492,False
2501,False
2504,False
2504,False
2506,False
2509,False
2510,False
2514,False
2515,False
2521,False
2522,False
2524,False
2525,False
2526,False
2526,False
2539,False
2540,False
2549,True
2552,False
2553,True
2554,False
2557,False
2564,False
2571,False
2573,False
2575,False
2576,False
2579,False
2596,False
2597,False
2599,False
2603,False
2603,False
2605,False
2606,False
2606,False
2617,False
2622,True
2626,True
2632,False
2634,True
2640,False
2645,False
2650,False
2651,True
2653,False
2656,False
2658,True
2658,False
2661,True
2661,False
2663,False
2669,False
2674,True
2676,False
2678,True
2681,False
2683,True
2683,True
2690,False
2695,False
2696,False
2702,False
2705,False
2706,False
2712,False
2715,False
2720,False
2722,True
2726,False
2730,False
2731,False
2732,False
2734,False
2745,True
2752,False
2761,False
2764,True
2767,False
2772,False
2779,False
2780,False
2781,False
2782,False
2785,False
2791,False
2798,False
2808,True
2810,False
2813,True
2815,True
2824,False
2830,False
2834,False
2841,False
2842,False
2845,False
2849,False
2853,False
2857,False
2859,False
2860,False
2869,False
2873,True
2873,False
2874,False
2880,False
2886,False
2889,False
2891,False
2893,False
2896,False
2900,False
2900,False
2900,False
2906,False
2914,False
2917,False
2928,False
2928,False
2935,False
2936,False
2939,True
2940,True
2941,True
2943,False
2947,True
2949,False
2949,False
2952,True
2952,False
2954,False
2954,True
2955,True
2958,False
2959,False
2966,False
2972,False
2974,True
2978,False
2980,False
2981,False
2985,False
2986,False
2986,False
2986,True
2987,True
2987,False
2991,False
2995,False
2996,False
3004,True
3008,False
3014,False
3019,False
3021,False
3023,True
3026,False
3026,False
3028,False
3030,False
3031,False
3033,True
3036,True
3039,False
3040,True
3041,False
3041,True
3045,False
3045,True
3048,False
3048,False
3050,False
3060,False
3065,False
3069,False
3071,False
3073,False
3076,True
3082,True
3086,False
3087,True
3087,True
3088,False
3090,True
3091,False
3093,True
3094,False
3095,False
3100,False
3100,True
3103,False
3103,False
3104,False
3109,True
3115,False
3115,False
3116,False
3117,False
3120,True
3129,False
3132,True
3137,True
3139,False
3139,False
3139,False
3141,True
3143,False
3145,True
3147,False
3150,False
3152,False
3153,True
3154,False
3155,False
3155,False
3155,False
3156,False
3160,False
3161,False
3164,False
3164,False
3165,False
3165,False
3165,False
3166,False
3168,False
3172,False
3174,False
3175,False
3176,False
3181,False
3182,False
3183,True
3183,False
3183,False
3183,False
3185,False
3186,False
3188,False
3190,False
3191,False
3192,False
3194,False
3197,True
3197,False
3199,False
3202,False
3203,False
3206,False
3211,False
3212,True
3212,True
3212,False
3214,False
3215,False
3216,False
3222,True
3225,False
3230,True
3233,False
3234,False
3235,False
3236,False
3238,False
3240,False
3246,True
3252,False
3252,False
3255,True
3255,False
3259,True
3259,False
3262,False
3262,False
3267,True
3273,False
3276,False
3277,False
3280,False
3281,False
3282,False
3286,False
3289,True
3294,False
3294,True
3295,False
3297,False
3300,True
3301,False
3302,False
3304,False
3306,False
3307,False
3309,True
3310,False
3314,False
3316,False
3319,False
3321,False
3323,True
3324,False
3327,True
3329,False
3330,False
3331,True
3338,False
3339,False
3340,True
3345,False
3345,False
3346,False
3347,True
3349,False
3349,False
3353,False
3355,False
3356,True
3357,False
3359,True
3359,False
3359,False
3370,False
3370,False
3371,False
3384,False
3385,False
3387,False
3389,False
3392,False
3395,False
3398,False
3399,False
3400,False
3407,False
3409,False
3410,False
3411,False
3413,True
3417,False
3420,False
3421,True
3424,True
3425,False
3430,False
3430,True
3433,True
3434,False
3436,True
3437,True
3439,False
3440,False
3447,False
3449,False
3450,False
3453,False
3467,False
3467,False
3469,True
3472,False
3479,False
3480,True
3491,True
3493,True
3499,False
3500,False
3500,False
3501,False
3504,False
3504,False
3509,False
3510,True
3510,False
3511,False
3512,False
3516,False
3517,False
3520,True
3523,True
3523,False
3526,False
3529,False
3531,False
3534,False
3540,False
3540,False
3540,False
3540,False
3540,False
3540,True
3542,True
3550,False
3551,True
3551,False
3551,True
3553,True
3555,False
3556,False
3558,False
3559,False
3562,False
3562,False
3566,False
3567,True
3571,True
3575,True
3579,False
3584,False
3586,False
3587,True
3589,False
3594,False
3598,True
3607,True
3607,False
3615,False
3624,False
3624,False
3626,True
3627,False
3629,False
3629,True
3640,False
3641,False
3643,True
3645,False
3653,True
3655,False
3660,False
3663,False
3663,False
3668,True
3670,False
3671,False
3673,False
3677,False
3679,False
3680,True
3686,False
3686,False
3692,True
3699,False
3700,False
3700,False
3704,False
3710,True
3712,False
3715,False
3715,False
3717,False
3718,False
3718,True
3723,True
3726,True
3726,False
3727,False
3730,False
3731,False
3731,True
3732,False
3735,False
3735,True
3736,True
3742,True
3743,False
3745,False
3748,True
3748,False
3749,True
3762,True
3764,False
3767,False
3773,False
3777,False
3779,True
3782,False
3783,True
3785,False
3787,False
3788,False
3789,False
3791,False
3796,False
3798,True
3806,True
3806,True
3811,False
3812,True
3831,False
3831,False
3837,False
3838,True
3841,False
3844,False
3844,False
3846,False
3848,True
3849,True
3854,False
3854,False
3859,True
3867,True
3867,False
3868,False
3870,False
3873,True
3874,True
3877,True
3882,False
3886,False
3886,False
3888,True
3888,False
3888,True
3911,False
3914,False
3914,True
3916,False
3922,False
3923,False
3924,True
3926,False
3931,False
3939,False
3943,True
3943,True
3943,False
3950,False
3952,False
3952,False
3955,False
3956,False
3957,True
3958,False
3961,False
3962,False
3971,False
3973,False
3975,False
3977,False
3978,False
3980,False
3981,False
3985,False
3992,False
3996,True
3997,False
4000,False
4001,False
4003,False
4005,False
4006,False
4007,True
4011,True
4016,False
4026,False
4027,True
4029,False
4029,False
4030,False
4035,False
4037,False
4037,True
4045,False
4052,False
4053,True
4054,False
4060,False
4062,False
4066,True
4066,True
4067,False
4073,False
4074,False
4095,False
4096,False
4096,False
4096,True
4097,False
4098,True
4099,True
4103,False
4104,False
4104,False
4105,False
4107,False
4109,False
4117,False
4118,False
4127,False
4130,True
4131,False
4134,False
4134,True
4143,False
4145,False
4148,True
4154,False
4154,False
4157,False
4158,False
4160,False
4163,False
4166,False
4174,False
4177,False
4191,False
4194,False
4197,False
4198,False
4199,False
4200,True
4202,False
4209,False
4215,False
4215,False
4222,False
4222,False
4223,False
4225,False
4228,False
4231,False
4233,False
4234,False
4234,False
4236,False
4236,False
4251,False
4254,False
4255,False
4256,True
4256,False
4258,True
4258,False
4260,True
4266,False
4270,False
4272,True
4275,False
4276,False
4276,True
4295,False
4295,False
4295,False
4302,False
4305,True
4305,False
4307,False
4309,False
4311,False
4312,False
4312,True
4315,True
4320,False
4320,False
4321,False
4329,False
4340,False
4342,False
4347,False
4348,True
4350,False
4352,False
4354,False
4357,False
4358,False
4358,False
4359,False
4367,False
4369,False
4377,True
4377,True
4377,False
4382,False
4382,False
4383,False
4383,False
4385,False
4385,False
4391,False
4392,False
4396,True
4405,False
4410,True
4416,False
4421,False
4424,False
4426,False
4428,False
4429,True
4433,True
4434,False
4436,False
4438,False
4440,False
4441,False
4442,False
4444,True
4449,False
4450,True
4451,False
4459,False
4462,False
4467,True
4481,False
4488,False
4488,False
4494,True
4499,True
4500,False
4500,False
4502,False
4509,False
4510,True
4510,False
4511,True
4516,False
4523,False
4524,False
4525,False
4534,False
4554,False
4556,False
4558,False
4559,False
4565,False
4566,False
4571,False
4573,True
4578,False
4578,True
4582,True
4585,False
4587,False
4590,False
4590,False
4591,False
4591,False
4597,True
4600,False
4603,False
4609,False
4616,False
4619,False
4620,True
4623,False
4625,True
4625,False
4627,False
4630,True
4633,False
4634,False
4636,False
4638,False
4645,True
4656,True
4659,False
4661,False
4666,False
4666,False
4669,False
4673,False
4677,False
4679,False
4680,False
4684,True
4700,False
4701,False
4702,True
4704,False
4711,False
4711,False
4712,False
4726,False
4732,False
4732,False
4732,False
4736,False
4756,False
4765,False
4774,False
4774,False
4778,False
4792,False
4794,False
4794,False
4800,False
4801,False
4802,False
4808,False
4811,False
4812,True
4816,False
4817,False
4817,False
4823,False
4825,True
4833,False
4834,False
4835,False
4836,False
4841,False
4845,False
4861,False
4862,False
4873,False
4874,False
4882,False
4888,False
4888,False
4889,True
4901,True
4905,False
4918,False
4931,True
4933,False
4936,False
4937,False
4938,False
4944,False
4950,False
4961,False
4966,False
4969,False
4977,False
4991,False
5003,False
5004,False
5011,False
5015,True
5022,False
5027,False
5028,False
5037,False
5038,True
5042,True
5045,True
5051,True
5051,False
5053,False
5057,False
5058,False
5058,False
5070,False
5076,True
5094,False
5104,False
5114,False
5117,True
5120,False
5122,False
5123,False
5126,False
5152,False
5154,False
5157,False
5170,False
5195,False
5195,False
5211,False
5215,False
5218,True
5226,False
5231,False
5238,False
5246,False
5246,False
5247,False
5251,False
5264,True
5268,True
5269,True
5275,False
5276,False
5285,False
5285,False
5294,False
5294,True
5296,False
5298,False
5298,False
5313,True
5320,False
5333,False
5336,False
5339,False
5350,False
5351,False
5351,False
5373,False
5376,False
5381,False
5393,False
5397,False
5407,False
5415,True
5426,True
5435,False
5435,True
5439,False
5449,True
5467,False
5472,False
5472,False
5494,False
5498,False
5500,False
5504,False
5514,False
5517,False
5523,False
5532,False
5532,True
5536,False
5537,False
5547,True
5547,False
5550,False
5592,False
5599,False
5600,False
5601,True
5605,True
5605,False
5608,True
5612,False
5622,False
5629,False
5635,False
5637,False
5642,False
5649,False
5654,False
5656,False
5657,False
5670,True
5674,False
5674,True
5678,False
5680,False
5681,False
5684,False
5698,False
5705,False
5706,True
5723,True
5737,False
5767,False
5774,False
5791,False
5794,False
5798,False
5800,False
5803,False
5810,True
5814,False
5820,False
5822,False
5834,False
5849,True
5849,False
5858,False
5872,False
5878,True
5884,False
5898,True
5900,False
5901,True
5911,False
5913,False
5924,False
5944,False
5945,False
5961,False
5977,False
5989,False
6000,False
6001,True
6011,True
6013,True
6015,False
6026,False
6031,True
6045,False
6047,True
6068,False
6070,True
6073,False
6081,False
6081,False
6085,False
6087,False
6088,False
6099,False
6101,False
6116,False
6119,True
6128,False
6143,False
6154,False
6155,False
6156,False
6166,False
6168,False
6172,False
6179,True
6180,False
6185,True
6187,False
6189,True
6190,True
6193,False
6196,False
6202,True
6203,False
6204,False
6211,False
6212,False
6213,False
6214,False
6215,False
6231,False
6232,False
6232,False
6233,False
6244,True
6245,True
6245,False
6253,False
6267,False
6276,False
6299,False
6306,False
6309,True
6311,True
6317,False
6320,False
6333,False
6349,False
6350,False
6357,False
6358,True
6363,True
6369,False
6370,False
6373,False
6374,False
6386,True
6387,False
6404,True
6413,False
6427,False
6428,False
6433,False
6436,False
6443,True
6447,False
6447,False
6448,False
6458,True
6471,False
6475,False
6511,False
6516,False
6519,False
6522,True
6530,True
6537,False
6538,False
6551,False
6555,True
6563,True
6573,False
6573,False
6577,False
6579,False
6582,False
6586,False
6588,False
6598,False
6600,False
6615,False
6629,False
6638,False
6641,False
6644,False
6653,False
6664,True
6671,False
6675,False
6676,True
6677,False
6689,False
6702,False
6710,False
6717,False
6720,True
6728,False
6734,True
6739,False
6748,False
6750,False
6761,False
6768,False
6775,False
6789,False
6791,False
6792,False
6802,True
6819,False
6866,True
6867,False
6869,False
6872,True
6898,False
6916,False
6958,False
6990,False
7000,False
7003,False
7005,True
7007,True
7020,False
7020,True
7023,False
7029,False
7032,False
7034,True
7036,True
7040,False
7040,True
7052,False
7063,False
7069,False
7080,False
7082,False
7084,False
7086,False
7100,True
7113,False
7115,False
7125,False
7150,False
7153,True
7154,False
7154,False
7161,True
7166,False
7172,False
7180,False
7197,False
7206,False
7229,False
7232,False
7244,True
7247,False
7260,False
7260,True
7260,False
7262,False
7277,False
7281,False
7297,True
7312,False
7314,False
7334,False
7340,False
7345,False
7346,False
7347,False
7347,False
7362,True
7364,True
7376,True
7376,False
7382,False
7389,False
7391,True
7414,False
7416,False
7429,False
7437,False
7442,False
7449,False
7511,False
7511,False
7517,True
7533,True
7550,False
7564,False
7579,True
7583,True
7587,True
7597,False
7629,False
7630,False
7632,False
7633,True
7634,False
7640,False
7670,False
7689,False
7701,False
7702,False
7710,False
7720,True
7721,False
7727,True
7728,False
7736,False
7770,False
7773,False
7790,False
7791,True
7814,False
7816,False
7832,False
7850,True
7851,False
7877,False
7880,False
7889,True
7898,False
7914,False
7922,False
7925,False
7961,False
7984,False
7996,False
7996,False
7999,False
8021,False
8023,False
8037,False
8038,False
8044,False
8059,False
8067,False
8069,True
8070,True
8080,False
8091,False
8105,False
8115,True
8123,True
8136,False
8136,False
8143,False
8150,False
8164,False
8184,False
8191,False
8208,False
8269,False
8279,False
8293,False
8306,False
8347,False
8351,False
8357,False
8370,False
8378,True
8403,False
8405,False
8436,False
8444,False
8461,False
8469,False
8471,False
8472,False
8486,False
8511,False
8522,False
8575,False
8582,False
8596,False
8597,False
8601,True
8607,True
8611,False
8622,False
8627,False
8629,False
8634,False
8634,False
8657,True
8667,False
8669,False
8671,False
8690,False
8691,False
8726,True
8740,True
8745,False
8748,False
8752,False
8758,False
8774,False
8777,True
8817,False
8820,False
8835,False
8841,False
8846,False
8852,False
8881,False
8888,False
8893,False
8895,False
8898,False
8908,False
8922,False
8934,False
8937,True
8965,True
8969,False
8984,False
8988,True
9045,True
9056,True
9060,False
9060,False
9061,False
9068,False
9078,False
9088,False
9090,True
9098,True
9111,False
9128,False
9129,False
9138,True
9141,False
9166,False
9202,False
9208,False
9215,True
9222,False
9223,False
9228,True
9230,True
9237,True
9278,False
9281,False
9283,False
9300,False
9305,False
9309,False
9322,True
9349,True
9385,False
9389,False
9423,True
9445,False
9455,False
9458,False
9462,False
9467,False
9525,True
9534,False
9549,False
9550,False
9553,False
9553,False
9554,False
9574,True
9599,False
9615,True
9619,False
9637,False
9643,False
9649,True
9650,False
9654,False
9676,False
9685,False
9695,False
9729,True
9730,False
9732,False
9761,True
9764,False
9769,True
9793,False
9793,True
9798,False
9807,True
9812,True
9843,False
9862,True
9863,False
9866,True
9872,True
9872,True
9872,False
9874,False
9895,False
9898,True
9906,True
9927,False
9951,False
9958,True
9982,True
9998,False
10011,False
10024,False
10033,False
10035,False
10036,False
10054,False
10058,False
10064,True
10067,False
10082,False
10088,False
10089,False
10141,False
10144,True
10148,False
10155,True
10197,False
10199,False
10202,False
10214,False
10231,True
10253,False
10258,False
10260,False
10281,True
10290,False
10300,True
10337,False
10353,False
10362,False
10384,False
10394,False
10406,True
10413,False
10432,False
10434,True
10435,False
10459,False
10477,False
10479,False
10485,True
10504,False
10508,False
10518,False
10530,False
10547,False
10563,False
10565,False
10566,True
10589,False
10610,False
10620,False
10631,True
10631,False
10638,False
10642,False
10668,True
10673,False
10674,False
10700,False
10718,False
10736,False
10752,False
10773,False
10773,False
10779,False
10780,False
10799,False
10833,False
10837,False
10839,False
10845,True
10853,False
10872,True
10888,False
10927,True
10928,False
10930,True
10974,False
11009,False
11010,True
11021,True
11044,False
11057,False
11074,True
11081,False
11087,False
11103,False
11123,False
11151,False
11152,True
11176,False
11177,False
11185,False
11202,True
11236,True
11260,False
11271,False
11290,False
11306,True
11319,False
11325,False
11337,False
11362,False
11417,False
11446,False
11483,False
11505,True
11518,True
11547,False
11557,True
11563,False
11567,True
11570,True
11578,False
11611,False
11621,True
11645,False
11647,False
11652,False
11706,False
11710,True
11715,False
11716,False
11733,False
11753,False
11759,False
11780,False
11797,True
11802,False
11813,False
11839,False
11842,True
11842,False
11846,False
11878,True
11887,False
11891,False
11909,False
11916,False
11917,False
11928,False
11935,False
11951,False
12008,False
12015,False
12019,False
12033,False
12101,False
12114,False
12116,False
12123,True
12132,False
12137,False
12149,False
12161,False
12176,True
12204,False
12216,False
12224,False
12243,False
12270,True
12274,False
12310,False
12315,False
12331,False
12343,False
12348,False
12354,False
12363,False
12366,True
12368,False
12381,False
12410,False
12448,False
12483,False
12491,False
12502,True
12515,False
12517,False
12526,False
12545,False
12546,False
12557,False
12565,False
12603,False
12635,False
12690,False
12701,False
12717,False
12744,False
12758,False
12761,False
12762,True
12762,False
12776,True
12807,False
12818,False
12862,True
12882,True
12892,True
12894,False
12946,False
12970,False
12996,False
13004,True
13035,False
13051,True
13071,False
13090,True
13097,True
13153,True
13172,False
13194,False
13203,True
13239,True
13248,False
13254,False
13270,True
13289,False
13302,False
13346,False
13368,False
13368,False
13392,False
13412,True
13414,False
13421,False
13426,False
13441,False
13452,True
13493,True
13516,True
13523,False
13527,False
13540,False
13581,False
13582,True
13588,True
13645,False
13657,False
13667,False
13714,False
13722,True
13760,False
13815,False
13824,False
13825,False
13886,False
13907,True
13913,False
14034,True
14045,True
14118,True
14186,False
14187,False
14191,False
14197,False
14200,True
14207,False
14212,False
14233,False
14241,False
14243,False
14244,False
14273,False
14275,True
14286,False
14342,True
14369,True
14420,True
14445,True
14458,False
14511,False
14520,True
14524,False
14547,True
14564,False
14598,False
14654,False
14671,False
14681,False
14702,False
14742,False
14742,False
14742,False
14748,False
14796,False
14822,False
14822,False
14829,False
14843,False
14864,False
14867,False
14874,False
14946,False
14948,False
14960,True
14979,False
14994,True
15006,False
15007,False
15034,False
15038,False
15076,False
15084,False
15114,False
15127,False
15174,False
15181,False
15194,False
15195,False
15215,False
15247,True
15267,False
15278,True
15279,False
15300,False
15328,True
15338,False
15365,False
15382,False
15412,False
15413,False
15434,True
15434,False
15440,False
15446,False
15451,True
15456,False
15456,False
15526,False
15562,False
15564,False
15576,False
15580,True
15584,False
15586,False
15631,False
15642,False
15669,True
15695,False
15700,True
15706,False
15711,False
15754,False
15776,True
15792,True
15818,False
15872,False
15873,True
15882,False
15943,False
16038,False
16040,False
16054,False
16055,False
16082,False
16088,True
16187,True
16203,True
16208,False
16218,False
16222,False
16223,False
16226,False
16237,True
16247,False
16286,False
16303,False
16320,False
16338,True
16347,False
16368,False
16460,False
16490,False
16556,False
16560,False
16568,False
16586,False
16618,True
16634,True
16639,True
16666,False
16689,True
16697,True
16705,True
16736,False
16762,False
16777,False
16791,False
16924,True
16948,False
16981,False
16982,True
17025,False
17045,True
17049,False
17055,True
17070,True
17079,True
17110,False
17196,False
17212,False
17218,False
17222,False
17293,False
17294,False
17299,True
17304,False
17306,True
17309,True
17312,False
17320,False
17342,False
17346,False
17360,False
17376,False
17392,False
17417,False
17511,False
17521,False
17547,False
17572,False
17611,False
17628,False
17641,True
17647,False
17673,False
17685,True
17707,True
17707,False
17712,True
17715,False
17725,False
17746,False
17804,True
17870,False
17871,False
17883,False
17894,False
17903,False
17937,False
17938,True
17940,True
17941,False
17959,False
18016,False
18032,True
18043,False
18097,False
18137,False
18141,False
18155,False
18185,False
18197,False
18220,False
18268,False
18349,True
18357,False
18371,True
18388,False
18425,False
18458,False
18460,True
18506,False
18506,False
18534,False
18579,True
18609,False
18613,False
18614,False
18642,True
18645,False
18680,False
18717,False
18837,False
18842,True
18855,True
18889,False
18929,False
18933,False
18953,False
18990,False
19005,False
19023,True
19038,False
19039,False
19040,True
19049,True
19122,False
19254,False
19279,False
19310,True
19313,True
19415,False
19472,False
19497,True
19519,False
19555,False
19594,False
19614,True
19639,True
19657,False
19737,False
19739,False
19752,True
19756,False
19838,False
19847,False
19876,False
19882,False
19941,False
19967,False
20028,False
20056,True
20059,False
20059,False
20138,False
20143,True
20146,True
20180,False
20217,True
20223,False
20224,False
20239,True
20240,False
20252,False
20256,True
20261,False
20335,False
20374,False
20379,False
20400,False
20407,True
20432,True
20441,False
20464,True
20476,False
20523,False
20581,True
20591,False
20603,False
20608,False
20629,True
20648,False
20665,False
20671,False
20674,False
20695,True
20756,False
20807,False
20854,False
20859,True
20872,False
20903,True
20906,True
20909,False
21028,False
21037,False
21094,False
21108,False
21245,True
21280,True
21290,False
21301,False
21323,True
21391,False
21430,True
21452,False
21464,True
21515,False
21520,False
21537,False
21617,True
21657,False
21683,False
21696,True
21713,False
21736,False
21755,False
21761,True
21762,False
21800,True
21815,True
21829,False
21868,False
21887,False
21892,True
21892,False
21896,False
21964,False
22004,False
22031,False
22089,False
22092,False
22095,False
22148,False
22211,False
22221,False
22223,True
22253,True
22256,False
22268,False
22278,False
22291,False
22319,False
22340,True
22355,False
22388,False
22415,False
22452,False
22457,False
22458,False
22531,False
22543,False
22588,False
22604,True
22628,True
22644,False
22661,False
22665,True
22665,True
22721,False
22802,True
22836,False
22858,False
22887,True
22910,True
22932,True
22982,False
22993,False
23027,False
23050,False
23116,False
23126,False
23205,False
23246,True
23288,False
23315,False
23328,True
23443,False
23447,False
23525,False
23552,True
23571,False
23601,False
