total_streams,explicit
1002,False
1006,False
1006,True
1007,True
1008,True
1010,False
1012,False
1012,True
1013,False
1014,False
1025,False
1025,False
1033,True
1034,True
1034,False
1037,False
1043,True
1043,False
1044,True
1044,False
1049,False
1053,False
1054,False
1061,False
1061,False
1062,False
1063,False
1066,False
1067,False
1068,False
1068,False
1070,False
1074,False
1077,False
1077,True
1078,False
1079,True
1083,False
1090,False
1091,False
1092,False
1095,False
1099,False
1100,False
1101,False
1101,True
1102,False
1103,True
1106,False
1106,False
1108,False
1108,False
1111,True
1112,False
1114,False
1117,False
1118,False
1119,False
1121,False
1126,False
1130,False
1131,False
1131,False
1137,True
1144,False
1146,True
1147,False
1149,False
1151,True
1151,False
1153,False
1153,False
1158,False
1161,False
1163,False
1166,False
1169,True
1176,False
1176,False
1180,False
1183,False
1189,False
1193,True
1201,False
1202,True
1202,True
1205,False
1208,False
1212,False
1213,True
1215,False
1216,False
1216,False
1218,False
1220,False
1221,True
1223,False
1223,False
1225,True
1226,True
1228,False
1230,False
1232,True
1235,True
1237,False
1244,False
1249,False
1250,False
1251,False
1251,False
1254,False
1257,True
1259,True
1260,False
1260,False
1260,False
1263,True
1269,False
1271,False
1272,False
1276,False
1279,True
1279,True
1280,False
1283,False
1284,False
1288,False
1289,False
1289,False
1294,False
1294,False
1297,False
1297,False
1298,False
1301,False
1301,False
1301,False
1301,False
1309,True
1314,False
1315,False
1318,False
1319,False
1327,False
1331,False
1333,True
1333,False
1336,False
1339,False
1340,True
1345,False
1346,False
1346,False
1347,False
1348,False
1352,False
1356,False
1357,True
1358,True
1358,False
1361,False
1362,False
1362,False
1362,False
1365,True
1368,False
1369,False
1372,False
1376,False
1380,False
1387,False
1388,False
1391,True
1391,False
1392,False
1398,False
1398,False
1400,True
1400,False
1404,False
1406,True
1407,True
1409,False
1411,False
1411,False
1411,False
1418,False
1418,False
1418,False
1419,False
1420,False
1420,False
1422,False
1423,False
1423,True
1423,True
1424,False
1424,False
1426,False
1430,False
1430,False
1432,False
1434,True
1434,False
1435,False
1438,False
1438,False
1440,False
1441,False
1443,False
1455,False
1458,False
1459,True
1466,False
1471,False
1473,False
1473,False
1476,False
1476,True
1477,False
1478,False
1479,False
1479,False
1479,False
1482,False
1482,False
1483,False
1484,False
1486,False
1487,False
1488,True
1490,False
1496,False
1498,True
1499,False
1501,False
1502,False
1503,True
1504,False
1504,True
1505,False
1506,True
1506,False
1507,True
