total_streams,explicit
4354,True
4452,False
4495,False
4507,False
4520,False
4529,True
4546,False
4553,False
4598,False
4638,False
4655,False
4713,False
4736,True
4740,True
4746,False
4763,False
4765,False
4779,True
4805,False
4812,False
4831,False
4851,True
4865,False
4870,False
4874,True
4882,False
4891,False
4895,False
4916,False
4939,False
4943,False
4961,False
4983,False
4990,False
4990,False
5013,False
5064,True
5073,False
5110,False
5116,False
5120,False
5123,False
5123,True
5126,True
5133,False
5148,False
5148,False
5165,False
5178,False
5184,False
5197,False
5209,False
5210,False
5213,False
5222,False
5243,False
5248,False
5250,False
5259,True
5267,False
5270,False
5285,False
5285,False
5293,False
5297,False
5302,False
5313,False
5318,False
5320,False
5330,False
5331,False
5359,True
5364,False
5369,False
5373,False
5383,False
5387,False
5388,False
5406,False
5422,False
5426,True
5436,False
5452,True
5459,False
5475,False
5478,False
5479,False
5483,False
5484,True
5509,False
5534,True
5536,True
5537,False
5540,False
5541,True
5559,False
5563,False
5570,False
5570,False
5571,True
5584,True
5591,False
5599,True
5605,False
5609,False
5611,True
5613,True
5621,False
5628,True
5636,True
5641,False
5644,False
5647,True
5660,False
5661,False
5675,False
5676,False
5678,True
5679,False
5687,False
5695,False
5697,False
5697,True
5701,True
5709,False
5713,False
5726,False
5727,False
5736,False
5769,False
5770,True
5773,False
5775,False
5775,False
5785,True
5813,True
5816,False
5816,False
5842,False
5842,True
5844,True
5848,False
5850,False
5854,False
5855,True
5855,False
5858,True
5864,False
5869,False
5880,False
5885,False
5895,False
5899,True
5902,True
5909,True
5910,False
5912,False
5914,False
5929,True
5931,False
5945,False
5945,False
5946,False
5947,False
5947,False
5958,False
5968,False
5973,True
5977,False
5978,False
5979,False
5993,False
6010,True
6011,False
6030,False
6046,False
6048,True
6050,False
6056,False
6057,True
6057,True
6059,False
6066,False
6069,False
6075,False
6089,False
6091,False
6092,False
6094,False
6099,False
6101,False
6103,True
6104,False
6108,False
6108,True
6109,True
6110,False
6110,False
6117,False
6127,True
6129,False
6133,False
6137,False
6140,False
6142,False
6142,True
6154,False
6155,False
6158,False
6158,False
6159,True
6159,False
6160,False
6169,True
6174,True
6183,False
6185,True
6186,False
6189,False
6191,True
6193,False
6193,False
6193,False
6197,False
6197,False
6198,False
6201,True
6201,False
6205,True
6206,False
6210,False
6212,False
6214,False
6218,False
6219,True
6220,True
6226,False
6226,False
6233,True
6234,False
6238,False
6247,False
6268,False
6272,False
6276,True
6278,False
6280,False
6281,False
6283,False
6285,False
6287,False
6289,False
6291,False
6302,False
6306,False
6309,False
6323,False
6324,False
6334,False
6335,False
6337,False
6338,False
6340,True
6341,False
6342,False
6344,False
6353,False
6358,False
6369,False
6372,False
6375,False
6380,False
6381,False
6383,False
6387,False
6388,True
6391,False
6391,False
6395,False
6399,False
6400,False
6403,False
6404,False
6407,False
6408,False
6411,False
6412,False
6416,True
6416,True
6420,False
6421,True
6441,False
6443,False
6444,False
6450,False
6450,False
6451,True
6451,False
6456,False
6468,False
6468,False
6469,False
6470,False
6475,True
6476,False
6489,False
6492,True
6498,False
6506,False
6516,True
6517,False
6520,False
6520,False
6521,False
6522,False
6523,False
6523,False
6526,False
6534,False
6534,False
6547,False
6553,False
6557,False
6560,False
6564,False
6565,False
6565,False
6569,False
6573,True
6577,False
6580,False
6583,False
6583,False
6585,True
6586,False
6586,False
6592,False
6595,False
6598,False
6599,False
6600,False
6603,False
6613,True
6615,False
6616,False
6619,False
6620,False
6622,False
6623,False
6624,False
6624,False
6625,False
6627,False
6644,True
6646,True
6649,False
6649,False
6650,False
6651,False
6655,False
6659,False
6662,False
6662,False
6666,False
6678,False
6679,True
6680,True
6683,False
6683,False
6686,False
6687,False
6689,False
6689,False
6709,False
6709,False
6717,False
6719,False
6721,False
6727,False
6729,False
6731,False
6732,False
6732,False
6735,True
6741,True
6742,True
6744,True
6755,False
6755,True
6761,False
6761,False
6762,False
6762,False
6766,False
6770,False
6771,False
6775,False
6777,False
6779,False
6785,False
6788,False
6789,False
6792,False
6794,False
6795,False
6795,False
6795,False
6796,False
6796,False
6796,False
6797,False
6800,False
6800,False
6803,False
6811,True
6812,False
6813,False
6815,False
6817,False
6817,False
6819,True
6821,False
6823,False
6825,False
6826,False
6829,False
6832,False
6832,True
6833,False
6835,False
6842,False
6847,False
6851,False
6853,True
6856,True
6858,False
6860,False
