total_streams,explicit
26117,False
27841,False
27906,False
30923,False
31288,False
31387,False
31417,True
31554,False
31608,True
32628,False
32741,False
32759,False
32823,False
32861,False
32990,True
33325,True
33631,False
33637,False
33835,False
33913,False
33960,False
34243,False
34256,True
34303,False
34334,False
34423,False
34465,False
34493,True
34778,True
34852,False
34855,True
34875,False
34987,False
35040,False
35187,False
35262,True
35352,True
35491,False
35746,False
35783,False
35847,False
36198,False
36286,False
36316,False
36360,False
36650,False
36699,False
36703,False
36703,False
36752,False
36770,True
36780,False
36784,False
36789,False
36811,False
36884,False
36986,False
37004,False
37055,False
37073,False
37077,False
37087,True
37107,False
37164,False
37173,False
37182,False
37215,False
37300,True
37425,False
37433,False
37457,False
37486,False
37560,False
37579,False
37688,False
37744,False
37861,False
37870,True
37890,False
38015,False
38081,False
38178,False
38185,False
38210,False
38254,True
38257,False
38268,False
38275,False
38282,False
38290,False
38398,True
38417,False
38437,True
38463,False
38492,False
38525,False
38567,False
38608,False
38706,False
38743,False
38760,False
38785,False
38837,False
38843,False
38857,False
38878,True
38932,False
38955,False
39043,True
39048,False
39066,True
39097,False
39115,True
39177,False
39209,False
39273,False
39303,False
39466,False
39474,False
39502,False
39513,False
39532,False
39548,False
39566,False
39604,True
39660,False
39701,False
39718,False
39788,False
39793,False
39802,False
39823,False
39843,False
39864,False
39870,False
39872,False
39879,False
39889,False
39895,False
39902,False
39942,False
39953,False
39985,False
40030,False
40046,False
40071,True
40114,True
40145,False
40161,True
40174,True
40198,False
40245,False
40261,False
40305,False
40349,False
40350,False
40360,False
40363,False
40374,False
40381,False
40392,False
40397,False
40405,False
40405,False
40411,False
40418,False
40431,False
40459,False
40493,False
40493,False
40542,False
40604,True
40624,False
40646,False
40660,False
40675,True
40721,False
40728,False
40759,False
40774,False
40809,False
40848,False
40858,True
40873,False
40926,False
40927,True
40960,True
41021,False
41038,True
41060,False
41069,True
41096,False
41138,False
41168,False
41192,False
41208,False
41229,False
41287,True
41289,True
41306,False
41310,False
41342,False
41361,False
41364,False
41371,True
41384,False
41386,False
41387,True
41405,False
41423,False
41466,False
41481,False
41496,False
41510,False
41512,False
41536,False
41601,True
41609,False
41615,True
41676,False
41681,False
41731,False
41742,True
41749,False
41839,False
41921,True
41931,False
41948,False
41966,False
41998,False
42012,False
42042,False
42072,False
42083,False
42087,False
42113,False
42131,False
42131,False
42156,False
42208,False
42262,False
42283,False
42301,False
42336,True
42355,False
42426,True
42440,False
42447,False
42487,True
42517,False
42531,False
42583,False
42620,True
42634,True
42696,True
42711,False
42768,False
42770,False
42776,False
42790,True
42833,False
42838,True
42859,False
42866,False
42867,False
42919,False
42957,False
42959,False
42962,False
42963,False
42995,False
43017,True
43089,True
43095,False
43150,False
43163,False
43166,False
43180,False
43199,True
43210,False
43210,False
43211,True
43212,True
43234,False
43256,False
43321,False
43325,False
43360,False
43377,False
43388,False
43437,False
43440,False
43444,False
43519,True
43530,False
43559,False
43561,False
43561,False
43584,True
43587,False
43588,False
43589,True
43632,False
43676,False
43679,False
43680,False
43688,False
43713,False
43724,False
43724,False
43740,False
43776,False
43818,True
43824,False
43900,False
43912,False
43920,False
43948,False
43953,False
43958,False
43964,False
43985,False
44021,False
44048,False
44076,True
44082,False
44087,False
44157,False
44190,True
44211,False
44215,False
44242,True
44246,True
44266,False
44276,True
44290,False
44295,False
44329,False
44335,False
44383,False
44440,False
44457,False
44485,True
44504,False
44519,False
44525,False
44529,False
44582,False
44600,False
44602,True
44617,False
44618,False
44633,False
44661,False
44661,False
44668,True
44676,False
44686,False
44723,True
44748,True
44767,True
44768,False
44857,False
44862,False
44864,False
44881,True
44901,False
44913,False
44924,False
44938,False
44945,True
44946,False
44948,False
44985,False
45004,False
45005,False
45005,False
45024,False
45046,False
45047,True
45077,False
45079,False
45120,True
45155,True
45162,False
45164,True
45167,False
45215,False
45242,False
45245,False
45292,False
45297,False
45307,False
45312,True
45357,False
45364,False
45367,False
45368,False
45399,False
45439,True
45469,True
45469,True
45490,False
45493,True
45495,False
45499,False
45517,False
45522,True
45551,False
45566,False
45593,False
45602,True
45611,False
45612,True
45626,True
45658,False
45659,False
45794,False
45841,False
45872,False
45879,False
45888,False
45904,False
45907,False
45933,False
45944,False
45944,False
45949,False
45966,True
45967,True
45971,False
45996,True
46026,False
46028,True
46036,False
46065,False
46077,False
46088,True
46100,False
46104,True
46123,False
46141,False
46145,False
46154,False
46170,False
46197,True
46204,False
46206,False
46218,False
46236,False
46236,False
46241,False
46289,True
46294,False
46310,True
46355,False
46393,False
46405,False
46439,True
46475,False
46480,False
46491,False
46506,False
46507,False
46507,False
46508,False
46511,False
46515,False
46527,False
46562,False
46574,False
46575,True
46606,True
46659,True
46705,False
46708,False
46715,False
46720,False
46723,True
46756,False
46765,False
46770,True
46771,False
46779,False
46785,True
46832,True
46835,False
46836,True
46847,True
46852,False
46854,True
46881,False
46916,False
46931,False
46959,False
46980,False
46990,False
46991,True
46994,True
47027,False
47042,False
47069,False
47089,True
47091,True
47097,False
47099,False
47115,True
47130,True
47147,True
47157,False
47176,False
47177,False
47207,True
47254,False
47264,False
47277,False
47321,False
47353,False
47388,False
47412,False
47438,False
47499,True
47506,False
47518,False
47523,False
47529,False
47532,False
47564,True
47570,False
47584,False
47601,False
47667,False
47674,True
47705,False
47764,False
47794,False
47797,False
47804,False
47805,False
47837,False
47837,False
47844,True
47880,True
47911,False
47921,False
47940,False
47950,False
47967,False
47969,False
47972,False
47978,False
47978,False
47987,False
48001,False
48030,True
48048,False
48072,True
48074,False
48077,False
48078,True
48088,False
48097,False
48134,False
48177,True
48209,True
48212,False
48229,True
48233,False
48238,False
48243,False
48246,False
48255,False
48257,False
48270,False
48280,True
48286,True
48291,True
48357,False
48396,True
48411,False
48424,False
48431,True
48445,False
48450,False
48468,True
48477,False
48481,False
48506,False
48516,False
48516,False
48521,False
48522,False
48560,False
48574,False
48586,False
48595,False
48595,False
48602,True
48620,False
48621,True
48630,True
48664,False
48671,False
48681,True
48690,True
48712,False
48713,False
48714,False
48731,False
48779,True
48805,False
48824,False
48847,False
48859,False
48904,False
48917,True
48926,True
48936,False
48942,True
48957,False
48980,False
48990,False
48999,False
49014,False
49016,True
49018,False
49032,False
49040,False
49040,False
49047,False
49048,False
49058,False
49058,False
49074,True
49108,False
49112,False
49113,False
49119,False
49124,False
49126,False
49136,True
49150,False
49150,False
49153,False
49173,False
49174,True
49203,False
49204,False
49209,False
49236,False
49248,False
49252,False
49265,False
49273,True
49273,False
49278,True
49281,False
49284,True
49289,False
49291,False
49335,False
49341,False
49353,True
49371,False
49393,False
49393,True
49393,False
49406,False
49408,True
49427,False
49432,False
49450,True
49477,False
49489,False
49489,True
49498,False
49507,False
49549,False
49557,False
49577,False
49584,True
49594,False
49606,False
49607,False
49612,False
49632,False
49634,False
49639,False
49667,False
49675,False
49695,False
49707,True
49707,False
49709,False
49739,False
49747,True
49765,False
49782,True
49794,False
49797,False
49823,False
49840,False
49845,False
49850,False
49852,False
49879,False
49941,False
49961,False
49963,False
49965,True
49983,False
49984,False
50002,False
50015,False
50018,False
50025,False
50073,False
50093,True
50098,True
50116,False
50118,False
50128,False
50133,False
50186,True
50198,False
50202,False
50203,False
50205,False
50208,True
50213,False
50215,False
50227,True
50227,False
50231,False
50239,False
50243,False
50252,False
50263,False
50281,True
50297,True
50298,False
50304,False
50315,False
50330,False
50361,False
50364,False
50390,False
50395,True
50410,True
50450,False
50451,False
50454,False
50457,False
50483,False
50483,True
50495,False
50497,False
50499,False
50507,False
50518,False
50522,False
50526,False
50542,False
50557,False
50570,True
50576,False
50587,False
50604,False
50609,False
50636,True
50700,False
50724,True
50726,False
50726,False
50727,False
50733,False
50735,False
50738,False
50742,False
50746,False
50747,False
50769,True
50781,True
50785,False
50804,False
50806,False
50829,False
50842,False
50873,False
50875,False
50879,False
50883,False
50902,True
50910,False
50942,False
50943,False
50943,True
50950,False
50950,False
50986,False
50986,False
51006,False
51009,False
51014,True
51017,True
51029,False
51051,True
51053,False
51058,False
51073,False
51074,False
51079,False
51100,False
51110,True
51133,False
51135,True
51153,True
51228,True
51249,True
51250,False
51266,False
51289,False
51296,False
51304,False
51322,False
51345,True
51353,False
51363,False
51366,False
51366,False
51389,False
51389,False
51395,False
51397,False
51400,False
51418,False
51421,True
51431,False
51445,False
51449,False
51452,False
51452,False
51462,True
51463,True
51464,True
51474,False
51481,False
51499,False
51511,False
51526,False
51532,True
51583,False
51621,False
51624,False
51627,False
51629,False
51637,False
51655,True
51677,True
51687,False
51691,False
51735,False
51739,False
51742,False
51755,False
51759,False
51770,False
51779,True
51795,False
51805,False
51819,True
51846,False
51866,False
51866,False
51868,False
51872,False
51872,False
51894,False
51916,False
51934,False
51936,False
51939,True
51950,True
51957,False
51958,False
51969,False
51981,False
51982,False
51982,False
51983,False
52004,False
52049,False
52052,False
52088,False
52093,True
52103,False
52116,False
52125,True
52133,False
52141,False
52141,False
52160,False
52170,False
52213,False
52237,False
52244,False
52253,False
52268,False
52271,False
52286,False
52304,False
52325,False
52339,False
52346,False
52354,False
52366,False
52377,True
52381,True
52382,False
52397,False
52424,False
52431,False
52432,False
52450,False
52456,False
52457,False
52474,False
52484,False
52490,False
52496,False
52499,False
52512,False
52520,True
52524,False
52530,True
52530,False
52538,True
52558,False
52560,False
52562,True
52568,False
52568,True
52573,False
52588,False
52610,False
52612,False
52619,False
52619,False
52626,True
52655,False
52666,False
52668,False
52670,False
52710,False
52719,False
52728,True
52734,False
52739,False
52751,False
52764,False
52769,False
52771,True
52778,True
52799,True
52828,False
52838,False
52838,False
52838,False
52844,False
52845,False
52874,False
52874,False
52876,False
52884,True
52915,False
52929,False
52937,False
52968,False
52984,False
52989,False
52997,False
53006,False
53007,True
53015,False
53039,True
53041,True
53045,False
53047,True
53047,False
53082,False
53099,False
53109,False
53114,True
53123,False
53128,True
53131,False
53148,True
53154,False
53158,True
53159,True
53160,False
53176,False
53195,False
53226,False
53236,True
53237,True
53248,False
53267,False
53292,True
53300,False
53306,False
53332,False
53333,True
53359,False
53392,False
53437,False
53454,True
53462,False
53465,False
53466,True
53468,False
53474,False
53490,False
53494,False
53508,False
53542,True
53547,False
53552,False
53562,True
53568,False
53575,False
53580,False
53601,True
53632,True
53638,False
53640,False
53655,False
53705,False
53743,False
53745,False
53756,False
53758,True
53758,True
53770,False
53771,False
53773,False
53774,False
53776,False
53776,False
53787,False
53790,False
53804,True
53819,True
53825,False
53832,False
53837,False
53843,True
53860,True
53886,False
53898,False
53927,True
53975,True
53986,True
53992,False
53993,True
54020,True
54028,False
54035,False
54035,False
54049,False
54080,False
54092,True
54097,True
54102,True
54110,True
54112,False
54122,False
54127,True
54155,False
54162,True
54170,True
54183,True
54188,False
54189,False
54198,False
54199,False
54205,False
54214,False
54216,False
54222,True
54226,True
54238,False
54239,True
54254,False
54255,False
54269,False
54270,False
54282,False
54299,False
54301,False
54310,False
54318,True
54319,True
54330,False
54333,False
54340,False
54357,False
54358,False
54374,True
54374,True
54393,False
54393,False
54395,False
54438,False
54446,False
54494,True
54495,True
54518,True
54519,False
54522,False
54552,False
54555,False
54558,False
54563,False
54577,False
54588,False
54592,False
54597,True
54602,False
54610,False
54621,False
54635,False
54644,False
54645,False
54647,False
54651,False
54655,False
54660,True
54683,False
54687,False
54687,False
54715,True
54717,False
54732,False
54735,False
54749,False
54763,False
54769,False
54781,False
54786,True
54789,True
54793,True
54793,True
54798,False
54799,False
54815,False
54831,False
54837,False
54846,True
54867,True
54877,False
54889,False
54895,False
54897,True
54900,False
54912,True
54926,False
54929,True
54946,False
54947,True
54966,False
54972,True
54973,True
54973,False
54982,False
54986,True
54986,False
55008,True
55010,True
55010,True
55048,False
55053,True
55065,True
55080,True
55115,True
55128,False
55138,True
55189,False
55199,False
55199,False
55212,False
55216,True
55222,True
55237,False
55244,True
55247,False
55324,True
55332,False
55336,True
55339,True
55342,True
55349,False
55355,True
55362,False
55374,False
55385,False
55395,False
55407,True
55413,True
55421,False
55459,False
55484,False
55509,True
55511,False
55523,False
55526,True
55557,True
55561,False
55584,True
55599,False
55600,False
55614,False
55615,False
55618,True
55625,False
55635,False
55640,False
55650,False
55677,False
55680,False
55681,False
55695,False
55717,False
55718,False
55727,True
55732,False
55734,True
55750,False
55760,False
55764,False
55778,False
55782,False
55801,False
55815,False
55815,False
55816,False
55819,False
55837,False
55839,False
55857,False
55864,True
55872,True
55872,False
55874,True
55912,True
55915,False
55915,True
55917,True
55922,True
55923,True
55925,True
55926,True
55938,True
55957,False
55957,False
55968,False
55971,False
55996,False
55998,False
56007,False
56011,True
56015,False
56028,True
56043,True
56045,False
56074,True
56078,False
56084,False
56116,True
56126,True
56134,False
56135,True
56143,False
56144,True
56170,False
56172,False
56177,False
56178,False
56185,False
56185,False
56201,False
56215,True
56221,False
56227,False
56236,False
56250,False
56275,True
56286,False
56302,False
56308,True
56329,False
56341,True
56345,False
56348,True
56351,False
56361,True
56376,False
56380,False
56382,True
56390,False
56392,False
56403,True
56416,True
56421,False
56423,False
56430,False
56431,False
56435,False
56438,False
56447,True
56448,False
56451,True
56451,False
56460,False
56463,True
56532,False
56539,True
56561,False
56567,False
56568,True
56570,True
56570,False
56577,False
56584,False
56593,True
56601,False
56607,False
56612,True
56616,True
56620,False
56626,True
56640,True
56653,True
56653,True
56656,True
56682,False
56686,False
56710,False
56713,False
56725,False
56731,False
56737,False
56747,False
56756,True
56759,False
56763,False
56764,False
56776,False
56777,True
56785,True
56801,True
56809,True
56811,False
56823,False
56829,False
56837,False
56837,True
56838,False
56854,True
56870,True
56886,True
56886,False
56889,False
56896,False
56900,True
56908,False
56911,True
56928,False
56942,True
56971,False
56981,False
56989,False
56991,False
56995,False
56996,False
57003,True
57008,True
57010,False
57016,False
57028,False
57029,False
57030,True
57042,True
57064,False
57073,False
57074,False
57076,True
57091,False
57118,False
57125,False
57133,True
57135,True
57146,False
57148,False
57149,False
57152,False
57161,False
57168,True
57176,True
57204,True
57213,True
57213,True
57216,True
57218,False
57222,False
57223,False
57228,True
57231,False
57232,False
57237,False
57259,True
57266,True
57274,True
57298,True
57306,False
57312,False
57316,False
57317,False
57347,True
57355,False
57363,False
57364,False
57372,False
57379,False
57390,True
57398,False
57398,False
57401,False
57413,False
57418,False
57418,False
57427,True
57439,False
57443,False
57448,False
57456,False
57465,True
57468,False
57470,True
57485,False
57499,False
57509,False
57510,True
57518,True
57526,False
57529,False
57533,True
57543,False
57544,False
57555,True
57562,False
57563,False
57566,True
57569,False
57578,True
57588,False
57592,False
57607,True
57639,False
57641,False
57651,False
57652,False
57675,True
57676,True
57698,False
57701,False
57713,False
57734,False
57738,True
57742,True
57762,True
57772,False
57772,True
57789,False
57796,True
57802,False
57804,False
57807,True
57812,False
57816,False
57820,True
57826,False
57826,False
57851,False
57859,True
57860,False
57874,False
57880,True
57885,False
57908,False
57909,False
57915,False
57928,False
57931,True
57946,False
57947,False
57947,False
57953,False
57954,False
57955,True
57961,False
57976,False
57977,False
57991,False
57991,True
57999,False
58014,True
58015,False
58021,True
58069,True
58077,False
58084,False
58118,False
58118,False
58124,False
58129,False
58130,False
58137,False
58191,False
58204,False
58211,False
58216,False
58226,True
58226,False
58240,False
58249,True
58254,False
58270,False
58280,True
58288,False
58291,False
58310,False
58310,True
58345,False
58358,True
58400,False
58403,False
58405,False
58406,False
58424,True
58430,True
58431,True
58457,False
58461,False
58489,True
58498,False
58523,False
58528,True
58531,False
58547,True
58557,False
58558,False
58567,True
58571,False
58575,False
58579,False
58582,True
58593,True
58612,True
58613,False
58624,False
58628,True
58632,True
58642,False
58644,False
58646,True
58662,True
58684,True
58685,False
58688,False
58695,False
58702,False
58704,False
58709,True
58714,False
58741,False
58750,False
58751,True
58756,True
58764,False
58775,True
58778,False
58816,True
58819,False
58819,True
58824,False
