total_streams,explicit
1001,False
1001,True
1002,False
1002,False
1002,False
1002,False
1003,False
1003,False
1004,False
1004,False
1004,False
1005,False
1005,True
1005,True
1005,False
1006,True
1006,True
1006,False
1007,False
1007,False
1007,False
1007,True
1008,False
1008,False
1009,True
1010,True
1011,True
1012,False
1013,False
1013,False
1013,False
1015,True
1015,False
1015,False
1015,False
1016,False
1017,True
1018,False
1018,False
1018,True
1019,True
1019,False
1019,False
1020,True
1020,True
1020,True
1020,True
1021,False
1022,True
1022,False
1022,True
1022,False
1023,False
1023,False
1024,True
1026,False
1026,True
1026,True
1027,True
1028,False
1029,False
1029,False
1029,False
1030,True
1030,False
1031,True
1031,False
1031,False
1031,False
1032,True
1032,True
1032,False
1033,False
1034,True
1034,True
1035,True
1035,True
1035,False
1036,False
1036,False
1037,True
1038,True
1038,False
1039,True
1040,True
1041,False
1041,False
1042,True
1042,False
1043,True
1043,True
1044,False
1044,True
1045,False
1045,False
1045,False
1045,False
1046,True
1046,False
1047,True
1047,False
1048,False
1048,False
1049,True
1051,False
1051,False
1052,False
1053,False
1054,False
1054,False
1054,False
1055,True
1055,False
1056,True
1056,True
1057,True
1057,False
1057,False
1057,False
1058,True
1058,False
1059,False
1059,True
1060,False
1060,True
1060,False
1060,False
1061,False
1061,True
1062,False
1063,False
1063,False
1064,True
1064,False
1064,True
1064,True
1065,True
1065,False
1065,False
1065,True
1066,False
1067,False
1068,True
1069,False
1069,True
1069,True
1070,False
1070,True
1070,True
1071,False
1071,False
1072,True
1072,False
1073,True
1073,False
1073,False
1073,False
1074,False
1075,False
1075,False
1076,False
1076,False
1076,False
1077,False
1078,False
1078,False
1079,False
1079,False
1079,False
1079,False
1079,False
1080,False
1080,True
1081,True
1082,False
1083,False
1083,False
1083,False
1083,False
1084,False
1084,False
1084,False
1084,False
1084,False
1085,False
1085,False
1086,False
1086,False
1086,False
1086,False
1086,False
1087,True
1087,False
1087,False
1087,False
1087,False
1087,False
1088,False
1088,True
1090,False
1091,True
1092,False
1092,True
1092,True
1093,False
1093,False
1093,False
1093,False
1093,False
1094,True
1094,True
1094,False
1094,True
1094,True
1094,False
1098,False
1098,False
1100,False
1100,False
1101,False
1101,False
1101,True
1101,False
1102,False
1102,False
1106,True
1107,False
1107,False
1110,False
1110,True
1110,False
1110,True
1112,False
1112,True
1113,True
1113,False
1114,True
1118,False
1118,False
1119,False
1119,False
1119,False
1120,True
1121,False
1121,True
1121,False
1122,False
1122,True
1122,True
1124,False
1125,False
1125,False
1125,True
1126,True
1127,True
1127,False
1128,False
1129,False
1129,False
1129,True
1130,False
1130,True
1131,False
1131,False
1132,True
1132,False
1133,False
1133,False
1133,True
1134,False
1135,False
1136,True
1137,True
1137,False
1138,False
1138,False
1139,False
1139,False
1139,False
1140,False
1140,False
1141,False
1141,False
1141,False
1142,True
1143,False
1144,True
1144,False
1146,False
1146,True
1146,True
1146,False
1147,True
1148,False
1149,True
1149,False
1152,True
1153,False
1153,False
1154,True
1154,False
1155,True
1158,True
1158,True
1159,False
1159,False
1159,True
1160,True
1160,True
1161,False
1161,True
1161,False
1163,False
1166,False
1167,False
1168,False
1169,True
1169,True
1170,True
1170,True
1170,True
1170,False
1172,True
1172,False
1174,False
1174,False
1174,True
1175,False
1175,False
1176,False
1177,True
1178,False
1178,False
1179,False
1180,False
1180,False
1183,False
1183,False
1184,False
1185,False
1188,False
1189,True
1189,True
1191,False
1192,False
1192,True
1192,True
1194,False
1194,True
1195,True
1196,False
1196,True
1197,True
1198,False
1199,False
1200,True
1202,False
1202,True
1202,False
1204,True
1204,False
1204,False
1205,True
1205,True
1206,False
1207,False
1208,False
1208,False
1210,False
1211,True
1213,True
1215,False
1216,False
1216,False
1217,False
1217,True
1219,False
1221,True
1222,True
1223,False
1224,False
1225,True
1226,False
1227,False
1228,True
1230,False
1230,False
1235,True
1235,True
1236,True
1236,False
1236,False
1236,False
1237,False
1239,False
1240,True
1241,False
1243,False
1243,True
1247,False
1247,False
1249,False
1249,False
1251,True
1252,False
1252,False
1252,False
1253,False
1253,False
1253,False
1254,False
1254,False
1255,False
1255,False
1256,False
1257,False
1259,False
1260,False
1261,True
1261,False
1261,False
1263,False
1265,False
1267,True
1267,False
1269,False
1271,False
1272,False
1273,True
1275,True
1275,False
1277,False
1278,False
1281,False
1282,True
1285,True
1287,False
1287,False
1287,False
1287,True
1288,False
1288,False
1289,True
1291,False
1291,True
1292,False
1292,False
1293,False
1293,False
1293,True
1293,False
1294,False
1295,True
1295,False
1297,False
1297,True
1299,True
1299,True
1299,False
1300,False
1300,False
1301,False
1302,False
1302,True
1306,False
1309,True
1310,True
1310,False
1312,True
1312,False
1313,False
1314,False
1316,False
1317,True
1319,True
1320,False
1320,True
1321,True
1321,True
1324,False
1325,False
1327,True
1328,True
1330,True
1331,True
1334,False
1336,True
1338,True
1339,False
1340,False
1341,False
1342,True
1342,False
1342,False
1344,True
1345,False
1346,False
1348,False
1349,True
1350,False
1352,False
1352,False
1354,True
1354,True
1356,False
1360,False
1362,True
1363,False
1364,True
1366,True
1366,False
1366,False
1368,False
1370,False
1372,True
1374,False
1377,False
1378,False
1378,False
1380,False
1381,True
1382,False
1385,True
1386,False
1388,True
1389,True
1389,True
1391,False
1392,False
1394,False
1397,False
1401,False
1401,False
1403,True
1403,True
1403,False
1404,False
1404,True
1404,False
1405,False
1408,True
1409,False
1410,True
1411,True
1414,False
1415,False
1415,True
1418,False
1419,True
1419,False
1419,False
1420,False
1420,True
1421,False
1423,False
1424,False
1425,False
1426,True
1426,False
1427,False
1427,True
1430,False
1431,False
1431,False
1432,True
1433,False
1439,True
1442,True
1442,True
1449,True
1449,True
1450,True
1450,False
1452,False
1453,True
1454,False
1457,True
1458,True
1459,True
1460,False
1461,True
1461,False
1462,False
1462,True
1462,True
1462,True
1463,False
1465,False
1467,False
1468,True
1469,False
1470,True
1478,True
1481,False
1481,False
1481,False
1485,False
1485,True
1490,False
1490,False
1491,False
1492,True
1494,False
1495,True
1500,True
1501,True
1501,False
1503,False
1505,True
1508,True
1509,False
1517,True
1520,True
1528,True
1531,False
1532,False
1536,False
1539,False
1541,False
1543,False
1544,False
1555,False
1558,True
1559,False
1561,False
1561,True
1561,False
1567,True
1567,False
1568,False
1571,True
1580,True
1583,False
1585,False
1588,False
1590,False
1590,True
1592,False
1593,False
1593,False
