total_streams,explicit
1001,True
1001,True
1002,False
1002,False
1002,False
1003,False
1003,False
1003,False
1003,True
1004,False
1004,False
1004,False
1005,False
1005,True
1005,False
1005,False
1006,True
1006,False
1006,False
1006,False
1007,False
1007,False
1007,False
1008,False
1008,True
1008,False
1009,True
1009,False
1009,False
1009,False
1009,False
1009,False
1012,False
1014,True
1014,False
1014,True
1015,False
1015,True
1017,False
1017,False
1018,False
1018,False
1019,True
1020,False
1022,True
1022,True
1022,False
1023,True
1023,True
1023,False
1023,True
1024,False
1024,False
1024,False
1025,True
1025,False
1026,False
1027,False
1028,True
1028,False
1028,False
1028,False
1029,False
1030,True
1030,False
1031,False
1031,True
1031,False
1031,False
1034,True
1034,False
1035,False
1036,False
1037,False
1038,False
1038,True
1041,False
1042,False
1042,False
1043,False
1044,False
1044,False
1044,False
1045,False
1045,False
1046,False
1047,False
1048,False
1048,False
1049,False
1050,False
1052,False
1052,False
1052,True
1052,False
1053,False
1054,False
1055,False
1055,False
1056,True
1056,False
1057,False
1058,False
1060,False
1060,False
1060,False
1062,False
1063,False
1063,False
1065,True
1065,True
1067,False
1069,True
1071,False
1073,True
1075,False
1076,False
1076,False
1078,False
1080,False
1081,False
1081,True
1081,True
1082,True
1083,False
1083,True
1088,False
1088,False
1089,True
1089,False
1091,False
1094,False
1094,False
1097,True
1098,False
1098,False
1100,False
1100,True
1101,False
1101,False
1102,False
1103,False
1105,False
1107,False
1108,True
1110,False
1111,False
1112,False
1112,False
1113,False
1113,False
1115,False
1116,True
1116,False
1116,False
1120,False
1121,False
1121,True
1122,False
1122,False
1122,True
1124,False
1132,False
1132,False
1135,False
1137,False
1137,False
1139,False
1140,False
1140,False
1143,False
1143,False
1144,False
1145,True
1146,True
1146,True
1147,False
1149,False
1152,False
1152,False
1153,True
1153,False
1153,True
1155,True
1157,False
1159,True
1159,True
1160,False
1161,True
1162,False
1164,False
1167,False
1167,False
1167,False
1168,False
1171,False
1172,False
1172,False
1172,False
1172,True
1172,False
1177,False
1177,False
1178,False
1179,False
1181,False
1181,False
1182,True
1184,False
1184,False
1185,False
1185,False
1186,False
1186,False
1188,False
1189,False
1189,True
1189,False
1190,False
1191,False
1192,False
1195,False
1197,False
1198,True
1202,False
1202,False
1202,False
1205,False
1206,False
1206,False
1207,False
1208,False
1209,True
1211,False
1212,True
1212,False
1214,False
1214,False
1215,False
1217,False
1217,True
1218,True
1220,False
1221,False
1221,False
1221,True
1223,True
1224,False
1225,False
1226,False
1227,True
1229,False
1232,True
1232,False
1233,True
1234,True
1240,False
1241,False
1241,False
1242,False
1242,True
1244,True
1245,False
1248,False
1250,False
1253,True
1253,False
1254,False
1254,False
1254,False
1255,False
1260,True
1262,False
1263,True
1264,False
1265,False
1267,False
1267,False
1271,False
1271,False
1272,False
1273,True
1274,False
1275,False
1276,True
1278,True
1278,False
1279,False
1279,False
1279,False
1284,False
1286,False
1287,True
1287,False
1289,False
1293,False
1293,False
1294,False
1296,False
1297,False
1299,True
1302,False
1303,True
1303,False
1305,False
1307,False
1309,False
1310,False
1312,False
1320,False
1323,False
1324,False
1325,False
1325,True
1327,False
1327,True
1328,False
1329,False
1331,False
1332,True
1335,False
1335,False
1336,False
1338,False
1340,False
1341,False
1347,False
1349,True
1349,True
1352,False
1353,False
1355,False
1355,True
1365,False
1367,False
1367,False
1368,False
1369,True
1371,False
1373,False
1374,False
1375,False
1375,False
1376,False
1377,True
1380,False
1384,False
1384,False
1386,False
1388,False
1390,False
1390,False
1391,True
1391,False
1395,True
1396,False
1397,False
1407,True
1408,True
1410,False
1413,False
1416,False
1417,False
1420,True
1426,False
1426,False
1428,False
1433,False
1433,False
1435,False
1436,True
1438,False
1439,False
1442,False
1443,True
1443,False
1448,True
1450,False
1452,False
1453,False
1461,True
1463,False
1464,True
1464,False
1472,False
1473,True
1475,False
1476,False
1477,False
1479,True
1479,False
1480,True
1481,False
1484,False
1493,False
1494,True
1497,False
1498,False
1500,False
1502,False
1503,False
1504,False
1505,False
1506,True
1512,False
1518,False
1520,False
1520,False
1529,False
1532,False
1532,False
1537,False
1540,True
1542,False
1548,False
1548,True
1548,False
1551,False
1552,True
1556,False
1559,True
1561,True
1564,False
1565,False
1568,False
1568,False
1573,False
1575,False
1575,False
1585,False
1587,False
1591,False
1594,False
1594,False
1595,False
1595,False
1596,False
1596,False
1597,False
1598,True
1601,True
1608,False
1608,False
1608,False
1609,False
1611,False
1618,False
1621,False
1624,True
1626,True
1631,True
1633,False
1634,False
1636,False
1636,False
1637,True
1640,False
1642,False
1643,False
1645,True
1646,True
1650,False
1651,True
1652,True
1654,False
1655,False
1657,False
1660,False
1661,False
1662,False
1662,False
1667,False
1671,False
1672,False
1672,False
1675,True
1676,False
1677,True
1678,False
1678,True
1682,True
1685,True
1688,True
1688,False
1689,False
1690,False
1690,True
1690,False
1693,False
1702,False
1704,False
1704,True
1710,False
1712,False
1712,False
1716,True
1716,False
1719,False
1720,False
1724,True
1730,True
1731,False
1740,False
1748,False
1749,True
1751,False
1751,True
1752,False
1758,True
1763,False
1767,False
1767,False
1770,False
1774,True
1778,False
1780,False
1783,True
1783,False
1785,False
1787,True
1788,True
1789,False
1791,False
1793,False
1793,False
1800,False
1802,False
1804,True
1807,False
1814,True
1815,True
1816,False
1816,True
1818,False
1821,True
1827,True
1827,False
1829,False
1832,True
1833,False
1833,False
1833,False
1835,False
1841,False
1841,False
1845,False
1850,False
1853,False
1854,True
1854,False
1854,False
1855,True
1860,True
1864,False
1866,False
1867,False
1868,False
1870,False
1871,False
1872,False
1872,False
1876,False
1877,False
1877,False
1881,False
1883,False
1885,False
1887,False
1889,False
1890,False
1890,False
1891,False
1891,True
1891,False
1899,True
1900,True
1902,False
1903,True
1903,True
1905,True
1906,False
1906,False
1907,False
1908,False
1912,False
1913,False
1914,False
1918,False
1925,False
1926,False
1927,False
1927,True
1929,True
1929,False
1930,False
1930,False
1931,False
1933,True
1933,True
1934,False
1935,False
1935,False
1935,False
1940,True
1940,False
1940,False
1941,True
1942,True
1949,False
1949,False
1952,False
1959,False
1962,False
1963,False
1964,False
1971,False
1972,False
1979,True
1981,False
1990,False
1992,False
1992,False
1997,False
1998,True
2001,False
2001,True
2001,False
2004,False
2004,False
2004,False
2004,False
2008,False
2009,False
2016,False
2017,False
2017,True
2019,True
2021,False
2030,False
2033,True
2034,False
2034,True
2034,False
2037,True
2039,False
2041,False
2042,False
2043,False
2044,True
2044,False
2045,False
2047,False
2048,True
2051,False
2052,False
2055,True
2056,True
2057,False
2061,True
2065,True
2065,True
2066,True
2066,False
2067,True
2067,False
2068,True
2072,False
2073,True
2075,False
2087,False
2088,False
2090,False
2093,False
2093,False
2094,False
2098,False
2099,True
2100,False
2102,False
2103,False
2105,True
2110,False
2110,False
2112,True
2114,False
2115,False
2118,False
2119,False
2123,False
2127,False
2130,False
2133,False
2133,False
2133,True
2135,False
2138,False
2138,False
2140,False
2140,False
2141,False
2147,False
2147,False
2149,False
2149,False
2151,False
2153,False
2155,False
2157,False
2157,False
2161,False
2162,False
2162,False
