total_streams,explicit
1001,False
1002,False
1002,False
1003,False
1006,False
1008,False
1010,True
1011,False
1012,False
1012,False
1013,False
1013,True
1013,False
1014,True
1015,False
1018,True
1019,False
1022,False
1025,False
1028,False
1029,False
1030,False
1030,False
1030,False
1032,True
1034,False
1036,False
1039,False
1040,True
1041,True
1041,False
1041,False
1041,True
1042,True
1043,False
1044,False
1047,False
1048,False
1049,False
1050,False
1051,False
1051,False
1051,False
1052,False
1053,False
1054,False
1056,False
1057,False
1058,True
1061,False
1062,True
1062,False
1063,False
1063,False
1063,False
1064,False
1065,False
1065,True
1067,False
1069,True
1070,False
1072,False
1072,True
1073,False
1074,False
1076,False
1077,True
1078,False
1080,False
1083,False
1083,False
1086,False
1086,False
1089,False
1092,True
1092,False
1092,False
1093,True
1093,True
1094,False
1094,False
1095,False
1095,False
1095,True
1096,True
1098,False
1099,False
1099,True
1104,True
1104,False
1104,False
1108,False
1111,False
1112,False
1113,False
1114,False
1115,False
1116,False
1116,True
1120,True
1126,False
1127,False
1128,False
1129,False
1129,True
1131,False
1131,False
1132,False
1133,False
1136,True
1137,False
1137,False
1139,False
1139,False
1141,False
1141,True
1151,False
1157,False
1168,False
1174,True
1180,False
1181,True
1186,False
1189,False
1194,True
1194,False
1210,False
1215,True
1216,True
1220,False
1220,False
1222,False
1225,False
1236,False
1239,False
1241,False
1242,False
1243,True
1244,False
1245,True
1245,True
1246,True
1247,True
1248,False
1249,False
1254,True
1254,True
1256,False
1260,False
1263,False
1264,False
1266,True
1267,False
1272,False
1272,False
1272,False
1281,False
1287,False
1288,True
1289,False
1289,False
1292,False
1294,False
1296,False
1296,False
1303,False
1306,False
1306,False
1309,True
1312,True
1321,True
1322,False
1323,False
1325,False
1329,False
1331,False
1345,False
1347,False
1350,True
1353,False
1354,False
1358,False
1360,False
1362,True
1372,False
1390,True
1399,False
1401,False
1403,True
1411,False
1412,False
1414,True
1417,False
1420,False
1421,True
1422,False
1429,True
1433,False
1434,True
1439,False
1442,False
1447,True
1454,False
1457,True
1463,False
1465,False
1492,False
1494,False
1494,True
1497,False
1501,True
1502,False
1502,True
1503,False
1504,False
1512,False
1517,False
1518,False
1520,False
1531,False
1535,False
1541,False
1544,True
1546,True
1546,True
1549,True
1550,False
1550,False
1552,False
1555,False
1560,True
1566,False
1569,False
1571,True
1578,True
1582,True
1591,False
1597,True
1605,False
1611,False
1616,False
1617,False
1619,False
1630,False
1633,False
1636,True
1647,False
1651,False
1651,False
1654,False
1654,False
1658,False
1665,False
1666,False
1688,True
1688,False
1689,False
1697,False
1704,False
1706,False
1709,False
1716,False
1721,False
1723,False
1725,False
1725,True
1726,False
1727,True
1736,False
1736,True
1739,False
1742,False
1748,False
1751,True
1771,True
1772,False
1779,False
1786,False
1791,False
1795,False
1808,False
1818,True
1820,False
1822,False
1826,False
1831,True
1837,False
1840,False
1850,False
1855,False
1856,False
1857,True
1867,False
1867,False
1869,False
1870,True
1873,False
1879,False
1879,False
1884,False
1892,False
1897,True
1899,True
1903,True
1904,True
1910,True
1912,False
1921,False
1939,True
1939,False
1941,False
1948,False
1949,False
1954,False
1956,False
1959,False
1959,True
1964,False
1968,False
1975,True
1979,False
1981,False
1985,False
1992,False
1994,False
1995,False
2005,False
2007,False
2017,False
2019,False
2026,False
2027,False
2030,False
2034,False
2037,True
2040,True
2040,False
2047,False
2049,True
2055,False
2057,False
2067,True
2073,True
2073,False
2077,False
2084,False
2086,True
2088,False
2090,False
2090,True
2091,False
2091,True
2095,True
2096,False
2097,False
2102,False
2105,True
2107,True
2108,False
2111,True
2112,False
2112,False
2120,True
2123,False
2123,False
2124,False
2126,False
2126,False
2126,False
2127,True
2132,False
2138,False
2142,True
2143,False
2146,False
2149,False
2150,False
2151,True
2153,False
2155,False
2159,False
2160,False
2162,False
2162,False
2164,False
2164,True
2171,False
2176,False
2179,True
2183,False
2191,False
2192,False
2195,False
2196,False
2200,False
2205,True
2206,True
2210,False
2212,False
2219,False
2219,False
2219,False
2220,True
2220,True
2223,False
2224,False
2227,False
2229,False
2233,False
2234,False
2246,True
2254,False
2255,False
2259,False
2264,False
2271,True
2271,True
2274,False
2281,False
2286,False
2293,False
2297,False
2298,False
2299,False
2305,False
2307,False
2308,False
2314,False
2314,False
2314,False
2315,False
2317,False
2322,False
2324,False
2328,False
2329,True
2330,False
2330,False
2330,False
2334,True
2336,False
2347,True
2349,False
2361,True
2365,False
2367,False
2370,False
2370,False
2372,False
2378,False
2378,False
2380,False
2381,False
2388,True
2391,False
2392,False
2392,True
2401,False
2401,False
2403,False
2406,False
2406,False
2408,True
2409,True
2409,False
2417,True
2418,False
2418,False
2422,False
2424,False
2424,False
2424,False
2426,False
2429,False
2430,False
2434,False
2435,True
2437,False
2441,True
2447,False
2451,False
2457,True
2467,True
2467,False
2473,False
2474,False
2481,False
2484,True
2486,False
2488,False
2492,False
2498,False
2500,False
2502,False
2503,False
2505,True
2516,False
2517,False
2519,False
2525,False
2529,False
2529,False
2530,False
2531,False
2535,False
2541,False
2542,False
2545,False
2545,False
2545,False
2549,False
2549,False
2551,True
2552,False
2554,False
2556,False
2557,False
2559,False
2561,True
2561,False
2570,True
2573,False
2575,True
2583,True
2583,False
2588,False
2592,False
2595,False
2598,False
2602,True
2603,False
2605,False
2605,False
2606,False
2613,True
2617,False
2618,True
2621,False
2634,True
2639,False
2641,False
2644,False
2645,False
2651,False
2655,True
2657,True
2662,False
2664,False
2665,False
2672,False
2680,False
2680,False
2685,False
2686,False
2698,False
2701,True
2701,False
2706,True
2709,False
2712,True
2717,True
2730,False
2731,False
2732,True
2732,False
2735,False
2736,False
2737,False
2741,False
2744,False
2744,False
2746,False
2748,False
2751,True
2757,False
2765,False
2767,False
2768,False
2769,False
2770,False
2770,False
2771,False
2775,False
2778,True
2781,False
2783,False
2785,False
2785,False
2791,False
2794,False
2799,True
2801,False
2814,False
2814,False
2819,False
2822,False
2829,False
2832,False
2838,False
2843,False
2848,False
2853,False
2854,False
2856,True
2860,False
2868,False
2876,False
2876,False
2877,False
2881,False
2884,False
2885,True
2888,False
2897,False
2897,False
2898,False
2901,False
2909,False
2915,False
2916,True
2917,False
2921,False
2924,True
2948,False
2952,True
2972,False
2978,False
2978,False
2979,False
2984,False
2984,False
2986,False
2988,False
2993,False
2993,False
2997,False
2998,False
2999,False
3002,False
3003,False
3005,False
3006,False
3007,False
3007,False
3009,False
3009,False
3015,False
3027,False
3028,False
3034,False
3034,True
3044,False
3045,False
3045,True
3055,True
3056,False
3056,False
3065,False
3067,False
3070,False
3070,False
3070,False
3070,False
3071,False
3071,True
3072,False
3076,False
3081,False
3083,False
3087,True
3090,False
3092,True
3098,True
3098,True
3098,False
3104,False
3113,False
3115,False
3126,True
3127,False
3128,False
3133,True
3142,False
3149,False
3150,False
3151,True
3154,False
3154,True
3155,False
3155,False
3156,False
3156,False
3159,True
3164,True
3167,True
3168,True
3177,False
3188,True
3189,True
3190,False
3193,True
3201,False
3204,True
3207,False
3208,False
3210,False
3211,False
3213,False
3214,False
3219,False
3219,False
3222,True
3222,False
3222,True
3223,False
3224,True
3225,False
3227,False
3228,False
3234,False
3236,False
3237,False
3240,False
3241,False
3241,False
3246,False
3246,True
3246,False
3248,True
3248,False
3250,False
