total_streams,explicit
1001,True
1001,False
1001,True
1001,False
1001,False
1002,True
1002,False
1002,True
1002,False
1002,False
1002,False
1003,True
1003,False
1003,False
1003,False
1003,True
1003,True
1004,True
1004,False
1004,False
1004,False
1004,False
1004,True
1004,False
1004,True
1004,False
1004,False
1004,True
1005,True
1005,False
1005,True
1005,False
1005,False
1005,False
1005,False
1005,False
1005,False
1005,False
1005,True
1005,False
1005,True
1006,False
1006,False
1006,False
1006,False
1006,False
1006,False
1007,False
1007,False
1007,True
1007,True
1007,True
1007,True
1007,False
1007,True
1008,True
1008,False
1008,False
1008,False
1008,False
1008,False
1008,False
1009,False
1009,True
1009,False
1009,True
1009,True
1009,False
1010,False
1010,True
1010,False
1010,False
1010,True
1010,True
1011,False
1011,False
1011,True
1011,False
1011,False
1011,False
1011,True
1011,False
1011,False
1012,False
1012,False
1012,False
1012,False
1012,False
1012,True
1012,False
1012,True
1012,False
1012,True
1012,False
1013,True
1013,False
1013,False
1013,False
1013,True
1013,False
1013,False
1013,True
1013,False
1013,False
1013,False
1013,False
1014,False
1014,False
1014,False
1014,False
1015,False
1015,True
1015,False
1015,True
1016,False
1016,True
1016,False
1016,True
1016,False
1016,True
1017,False
1017,False
1017,False
1018,False
1018,False
1018,True
1018,True
1018,True
1018,False
1018,False
1019,False
1019,True
1019,False
1019,True
1020,True
1020,False
1020,False
1021,True
1021,False
1021,True
1021,True
1021,False
1021,False
1021,False
1022,True
1022,False
1022,True
1022,False
1022,False
1022,False
1022,False
1023,True
1023,False
1023,True
1023,False
1023,False
1024,False
1024,False
1024,False
1024,False
1024,True
1024,False
1024,False
1024,False
1024,False
1025,True
1025,False
1025,False
1025,False
1026,True
1026,False
1026,False
1027,True
1027,False
1027,True
1028,True
1028,True
1028,True
1029,False
1029,True
1029,False
1029,False
1029,False
1029,False
1029,True
1029,False
1030,False
1030,True
1030,True
1030,True
1031,True
1031,False
1031,False
1031,False
1031,False
1031,True
1031,True
1031,False
1032,False
1032,False
1032,True
1032,False
1032,True
1032,True
1032,True
1032,False
1033,False
1033,False
1033,True
1033,True
1033,True
1034,True
1034,True
1034,False
1034,True
1034,False
1034,False
1034,False
1034,False
1034,True
1034,False
1034,False
1035,False
1035,False
1036,False
1036,False
1036,True
1036,False
1036,False
1036,False
1036,False
1037,False
1037,False
1037,True
1037,True
1037,False
1038,False
1038,False
1038,False
1038,True
1038,True
1039,True
1039,False
1039,False
1039,False
1039,False
1040,False
1040,False
1040,False
1040,False
1040,False
1040,False
1041,True
1041,False
1041,False
1041,False
1041,False
1041,False
1041,False
1041,False
1041,False
1042,False
1042,False
1042,False
1042,False
1042,False
1042,False
1043,False
1043,False
1043,True
1043,False
