total_streams,explicit
1001,False
1001,False
1002,False
1002,False
1003,True
1003,False
1003,False
1003,False
1003,False
1003,False
1004,False
1004,False
1004,False
1004,True
1005,True
1005,False
1005,True
1005,False
1006,True
1006,True
1007,False
1007,False
1007,True
1007,False
1008,False
1008,False
1009,True
1009,False
1010,False
1011,True
1011,False
1011,True
1014,True
1014,False
1015,False
1015,True
1015,False
1016,False
1016,True
1018,True
1018,True
1019,False
1020,True
1020,True
1020,True
1020,True
1021,False
1021,True
1021,True
1021,False
1021,False
1021,True
1022,False
1022,True
1023,True
1023,False
1023,True
1024,True
1024,False
1024,False
1025,True
1026,False
1027,False
1028,True
1029,False
1029,True
1030,True
1030,True
1030,False
1030,True
1030,False
1031,False
1031,False
1032,False
1032,True
1032,False
1032,True
1033,False
1033,False
1033,True
1033,False
1033,False
1033,False
1034,False
1035,False
1035,True
1036,True
1037,True
1038,False
1038,True
1039,True
1039,False
1039,True
1040,False
1040,False
1040,True
1040,False
1040,False
1041,False
1041,False
1042,False
1042,False
1042,False
1042,True
1043,True
1043,False
1044,False
1044,True
1045,True
1045,True
1046,False
1046,False
1047,False
1047,True
1047,False
1049,False
1049,True
1049,True
1050,True
1050,True
1050,False
1050,True
1050,False
1050,True
1051,True
1052,False
1052,False
1052,False
1052,False
1054,False
1055,False
1055,False
1055,False
1056,False
1056,False
1056,False
1056,False
1057,False
1057,True
1057,False
1057,False
1057,False
1057,True
1057,True
1058,True
1058,False
1058,False
1058,False
1058,True
1059,True
1059,False
1060,True
1060,False
1060,False
1060,False
1061,False
1061,True
1061,False
1061,True
1061,False
1061,False
1062,False
1062,False
1062,True
1062,False
1062,False
1064,True
1065,True
1066,True
1068,False
1068,False
1068,False
1069,False
1069,False
1069,True
1070,True
1070,True
1070,False
1070,False
1071,False
1072,False
1072,False
1072,False
1073,False
1073,False
1074,False
1074,True
1074,True
1074,True
1075,False
1075,True
1076,False
1076,True
1077,False
1077,False
1077,False
1078,False
1078,False
1080,True
1080,True
1081,True
1082,True
1083,False
1083,False
1083,False
1083,True
1084,True
1084,True
1086,False
1086,False
1086,True
1087,True
1087,True
1089,False
1089,True
1089,True
1089,True
1090,True
1091,False
1092,True
1094,False
1095,True
1095,False
1095,False
1095,True
1096,False
1097,True
1097,True
1097,False
1097,True
1098,True
1098,False
1099,False
1099,True
1099,True
1099,True
1100,False
1100,False
1100,False
1100,True
1100,True
1101,False
1102,True
1103,False
1103,True
1105,False
1105,True
1105,False
1106,True
1106,False
1107,False
1107,False
1108,True
1108,False
1108,True
1109,True
1109,False
1109,True
1109,False
1111,False
1113,False
1113,False
1113,True
1114,True
1114,False
1114,False
1114,False
1115,False
1115,True
1117,True
1121,True
1121,False
1122,False
1122,False
1123,True
1123,True
1124,False
1125,False
1125,True
1125,True
1127,False
1128,False
1128,False
1129,False
1130,False
1130,True
1131,False
1131,False
1132,True
1132,False
1133,False
1133,True
1134,True
1135,False
1135,True
1135,True
1136,True
1137,True
1137,False
1138,False
1138,False
1139,False
1140,True
1140,False
1142,True
1142,False
1142,False
1143,False
1143,False
1143,False
1143,False
1144,True
1144,False
1144,False
1145,False
1145,False
1146,False
1146,False
1146,True
1146,False
1146,False
1149,False
1149,False
1150,False
1151,False
1152,True
1152,True
1153,False
1153,False
1155,False
1155,False
1156,False
1157,False
1158,False
1159,False
1159,True
1159,False
1160,True
1160,True
1161,False
1162,False
1163,False
1163,True
1163,False
1163,False
1164,False
1165,False
1166,True
1167,False
1167,False
1167,True
1167,True
1167,True
1168,False
1168,False
1169,False
1171,False
1172,False
1175,False
1176,False
1177,False
1177,False
1178,True
1178,False
1178,True
1179,False
1179,True
1179,True
1180,False
1181,False
1182,False
1183,False
1186,True
1186,False
1187,False
1188,True
1189,False
1189,False
1191,True
1192,False
1192,True
1192,False
1192,True
1193,True
1193,True
1193,True
1194,True
1194,False
1194,True
1194,False
1196,False
1196,False
1196,False
1196,True
1199,False
1200,True
1201,True
1202,True
1202,False
1202,False
1204,False
1205,False
1207,False
1207,True
1208,False
1208,False
1208,False
1209,True
1209,False
1210,True
1210,True
1210,True
1210,True
1210,True
1211,False
1211,False
1211,False
1212,False
1214,False
1215,False
1216,True
1217,True
1219,False
1219,False
1221,False
1221,True
1221,True
1221,True
1221,True
1221,True
1221,False
1224,False
1225,False
1225,False
1226,True
1227,False
1227,False
1227,True
1227,True
1229,False
1229,False
1229,False
1230,False
1230,False
1230,False
1230,False
1230,True
1231,True
1231,False
1234,False
1234,False
1234,True
1234,False
1235,False
1235,False
1236,True
1236,False
1236,True
1238,False
1240,False
1241,True
1241,False
1241,True
1242,True
1243,False
1244,False
1245,True
1245,False
1247,False
1247,False
1248,True
1248,False
1250,True
1250,True
1253,False
1253,True
1253,True
1254,False
1254,True
1259,False
1259,False
1259,False
1260,True
1262,True
1262,False
1262,False
1263,False
1263,False
1264,False
1264,True
1264,False
1265,True
1265,False
1267,False
1268,False
1269,True
1269,False
1270,False
1270,False
1271,True
1271,False
1271,False
1272,False
1272,False
1272,False
1274,True
1274,False
1275,False
1275,False
1276,False
1276,True
1277,False
1278,False
1279,False
1279,False
1279,False
1281,True
1281,False
1281,False
1281,True
1281,True
1282,True
1282,False
1283,False
1283,False
1283,False
1284,True
1284,False
1285,False
1285,False
1286,True
1287,False
1288,False
1291,True
1292,True
1293,False
1294,True
1294,False
1294,False
1295,False
1295,True
1296,False
1296,True
1296,False
1297,False
1300,True
1300,True
1301,False
1301,True
1303,False
1304,False
1304,False
1304,True
1305,True
1306,True
1306,False
1307,False
1309,True
