total_streams,explicit
1001,True
1001,True
1001,True
1003,True
1003,True
1004,True
1004,False
1004,False
1004,True
1004,True
1005,False
1006,False
1007,True
1008,False
1010,True
1011,False
1011,True
1012,True
1012,True
1013,False
1013,False
1015,False
1016,False
1017,False
1018,True
1019,False
1020,True
1021,False
1021,False
1022,False
1022,False
1023,True
1026,False
1026,False
1026,False
1026,False
1027,True
1028,False
1028,False
1028,False
1029,True
1030,True
1032,True
1033,False
1033,False
1033,False
1035,True
1035,True
1036,True
1036,False
1037,False
1037,True
1038,False
1044,False
1046,True
1047,False
1050,False
1051,True
1052,True
1052,True
1054,True
1055,True
1056,True
1056,True
1057,False
1057,True
1058,True
1064,False
1066,True
1066,False
1068,False
1069,True
1069,True
1070,False
1072,False
1072,True
1073,False
1078,False
1078,False
1079,False
1079,False
1080,True
1081,True
1081,False
1084,True
1085,True
1085,True
1085,True
1088,True
1088,True
1088,False
1089,False
1090,False
1090,False
1091,True
1092,True
1093,True
1093,True
1096,True
1098,False
1099,False
1102,False
1107,True
1109,False
1111,False
1112,True
1115,True
1117,True
1117,False
1119,False
1119,True
1120,True
1120,False
1124,False
1124,False
1125,True
1126,False
1126,True
1128,False
1134,True
1136,True
1137,True
1137,True
1138,True
1139,False
1142,True
1147,True
1157,False
1159,False
1159,True
1163,True
1164,True
1164,False
1166,True
1174,True
1175,False
1176,True
1176,True
1177,True
1179,True
1179,True
1180,True
1185,True
1188,True
1188,False
1190,False
1192,True
1199,False
1200,True
1201,True
1206,True
1207,False
1208,False
1211,True
1214,False
1216,False
1220,True
1221,False
1222,True
1228,True
1234,False
1235,False
1237,True
1237,True
1237,False
1242,True
1247,False
1247,True
1249,True
1251,True
1253,True
1254,True
1259,True
1260,False
1260,True
1261,True
1269,False
1270,True
1277,True
1288,True
1290,True
1291,True
1291,True
1297,False
1303,False
1304,True
1305,False
1311,False
1312,True
1314,True
1315,True
1319,True
1319,False
1325,True
1328,True
1334,True
1334,True
1336,False
1337,True
1339,True
1342,True
1343,False
1344,True
1349,True
1352,False
1352,True
1356,False
1357,False
1358,False
1361,True
1363,False
1364,True
1365,False
1368,False
1369,False
1372,True
1375,True
1375,False
1377,False
1377,False
1378,True
1380,True
1383,True
1384,False
1386,True
1389,False
1396,True
1399,False
1401,False
1407,True
1408,True
1415,True
1423,False
1425,True
1426,True
1426,False
1427,True
1430,False
1430,True
1442,True
1442,True
1444,False
1449,True
1449,True
1453,True
1455,False
1456,True
1458,True
1461,False
1462,True
1463,True
1464,True
1468,False
1469,True
1470,True
1473,True
1475,True
1475,False
1476,True
1482,False
1487,False
1489,True
1495,True
1497,True
1498,True
1498,True
1501,True
1501,True
1506,True
1510,True
1513,True
1516,False
1518,False
1523,True
1523,True
1524,False
1525,False
1536,True
1537,False
1540,False
1542,True
1549,False
1552,True
1562,False
1575,False
1577,False
1579,True
1579,True
1580,True
1582,False
1586,True
1597,False
1598,True
1599,True
1599,False
1615,True
1623,True
1625,False
1629,True
1634,True
1637,False
1638,False
1646,True
1646,True
1649,False
1649,False
1651,False
1653,False
1653,True
1654,False
1655,True
1656,True
1657,True
1658,False
1662,True
1668,False
1670,False
1677,True
1677,False
1680,True
1682,True
1686,True
1687,True
1702,True
1707,True
1719,True
1726,True
1730,True
1730,True
1738,False
1738,True
1740,True
1742,True
1745,True
1749,True
1749,True
1750,False
1751,True
1754,True
1757,False
1759,True
1759,False
1766,True
1768,False
1769,False
1769,True
1774,True
1782,False
1786,True
1787,True
1791,True
1795,True
1799,True
1800,True
1801,False
1802,True
1803,True
1805,True
1805,True
1806,True
1808,True
1809,True
1810,True
1810,False
1814,True
1815,False
1824,True
1827,True
1831,True
1831,True
1832,True
1832,False
1835,True
1837,False
1837,False
1838,False
1840,False
1841,True
1843,True
1844,True
1845,True
1847,True
1850,True
1850,True
1853,True
1853,True
1853,False
1854,False
1855,True
1855,True
1858,True
1859,True
1859,True
1860,False
1861,False
1867,False
1867,True
1869,True
1871,True
1872,True
1873,True
1885,True
1886,False
1887,True
1891,False
1892,False
1896,False
1896,False
1902,False
1903,True
1905,True
1908,True
1909,True
1909,True
1918,False
1920,True
1920,False
1922,True
1923,False
1924,False
1926,True
1929,False
1932,False
1933,True
1938,False
1940,False
1941,True
1941,True
1942,False
1943,True
1945,True
1952,False
1953,True
1954,True
1955,True
1955,False
1957,True
1960,False
1961,True
1962,False
1962,True
1965,True
1970,True
1970,True
1970,True
1974,True
1975,True
1976,False
1976,True
1980,False
1983,True
1983,True
1983,True
1991,True
1993,False
1997,True
2001,True
2001,False
2002,True
2003,True
2006,True
2007,False
2007,False
2008,True
2008,True
2015,False
2016,True
2028,True
2028,False
2029,True
2032,False
2032,False
2035,True
2036,True
2037,False
2038,False
2038,False
2042,False
2046,False
2047,False
2048,True
2049,True
2051,True
2055,True
2055,True
2060,False
2061,False
2067,False
2068,False
2070,True
2071,True
2072,False
2073,False
2073,False
2073,True
2076,False
2076,False
2077,False
2078,True
2080,False
2080,True
2080,True
2081,True
2083,True
2084,True
2085,False
2086,True
2091,False
2092,True
2094,True
2095,False
2097,True
2097,True
2098,False
2100,True
2100,False
2102,False
2103,True
2104,True
2107,True
2107,False
2113,False
2117,True
2117,False
2117,True
2123,True
2127,True
2131,True
2132,True
2132,True
2141,True
2142,True
2142,False
2150,True
2152,False
2153,False
2154,True
2156,True
2169,True
2169,True
2170,True
2171,False
2171,False
2173,True
2173,True
2174,True
2175,True
2175,True
2182,True
2183,True
2184,True
2199,True
2204,False
2211,True
2212,True
2214,True
2215,True
2225,False
2226,True
2228,False
2234,True
2235,True
2239,True
2240,True
2242,True
2243,False
2243,True
2252,False
2254,False
2257,True
2262,False
2262,True
2269,True
2271,True
2277,True
2280,False
2281,False
2282,False
2283,True
2284,False
2286,True
2287,False
2289,True
2289,True
2291,False
2294,True
2296,False
2300,False
2301,False
2302,True
2305,True
2308,False
2312,True
2314,True
2315,True
2315,False
2319,False
2320,True
2321,True
2321,True
2322,True
2324,False
2335,True
2336,True
2337,True
2339,True
2339,False
2339,False
2341,False
2342,False
2344,True
2344,False
2344,False
2346,False
2347,True
2347,True
2351,True
2354,True
2355,False
2355,True
2358,True
2359,True
2363,False
2367,True
2373,True
2374,True
2379,False
2380,True
2388,False
2390,False
2396,True
2398,True
2403,False
2405,False
2407,True
2408,False
2412,False
2412,False
2415,False
2419,True
2420,True
2422,True
2423,False
2427,True
2439,False
2441,False
2442,True
2444,False
2449,True
2458,True
2462,True
2463,True
2470,True
2472,False
2473,False
2476,False
2482,True
2484,True
2484,True
2488,False
2488,True
2494,True
2500,False
2503,False
2507,True
2511,True
2511,False
2517,False
2533,True
2534,False
2538,True
2540,False
2542,False
2544,True
2544,True
2545,False
2550,False
2554,True
2555,True
2558,True
2564,False
2567,False
2574,True
2581,False
2582,False
2592,False
2599,True
2601,False
2606,True
2610,True
2617,False
2623,True
2631,True
2632,False
2647,False
2651,False
2655,True
2664,False
2672,True
2673,True
2686,True
2692,True
2706,True
2714,False
2719,True
2720,True
2721,False
2732,True
2740,False
2759,False
2770,True
2772,True
