total_streams,explicit
24699,True
26644,False
26654,False
26780,False
29408,False
29433,False
29556,False
29915,False
30460,False
31563,False
32358,False
32658,False
32949,False
33050,False
33290,False
33687,False
34620,False
34952,False
34960,False
35023,False
35517,False
35578,False
35623,True
35637,False
35687,False
35764,False
35774,False
35871,False
36019,False
36396,False
36503,False
36641,False
36723,False
36855,False
36859,False
36985,False
37087,False
37195,False
37343,False
37475,False
37505,False
37717,True
38103,False
38172,False
38224,False
38287,False
38435,False
38668,False
38763,False
38944,False
39149,False
39256,False
39311,False
39355,False
39411,False
39443,False
39578,False
39617,False
39737,False
40000,False
40067,False
40129,False
40546,False
40648,False
40668,False
40671,False
40734,False
40748,False
40769,False
40792,False
40795,False
40889,False
40941,False
41035,False
41074,False
41174,False
41251,True
41302,False
41378,False
41610,False
41618,True
41781,True
41827,True
41842,False
41842,False
41892,False
41901,False
41925,False
41945,False
41951,False
41961,False
42035,False
42139,False
42139,False
42215,False
42352,False
42537,False
42742,False
42742,False
43002,True
43070,False
43180,False
43322,False
43441,False
43486,False
43588,False
43727,False
43758,False
43901,False
43907,True
44031,True
44125,False
44125,False
44187,False
44190,False
44194,False
44382,False
44422,False
44485,False
44674,False
44772,False
44850,False
44870,False
44873,True
44920,False
44972,False
45053,False
45079,False
45209,False
45255,False
45268,False
45286,False
45329,False
45383,False
45418,False
45743,False
45816,False
45938,True
46085,False
46098,False
46172,True
46211,False
46238,True
46274,False
46300,False
46302,False
46430,True
46449,False
46542,False
46548,False
46708,False
46762,False
46782,False
46808,False
46862,False
46870,False
46943,False
47000,False
47143,False
47166,True
47308,False
47312,False
47363,False
47398,False
47402,False
47466,False
47473,False
47508,False
47664,False
47690,False
47714,False
47784,False
47819,False
47846,False
47860,False
47918,False
47960,False
47979,False
47985,False
48011,False
48027,False
48045,False
48153,False
48171,False
48266,False
48311,True
48377,False
48382,False
48395,False
48412,False
48494,True
48522,False
48576,False
48593,False
48649,False
48727,False
48749,False
48797,True
48820,False
48841,False
48880,False
