total_streams,explicit
2266,False
2316,False
2377,False
2535,False
2603,False
2632,False
2955,False
3001,False
3042,False
3054,False
3056,False
3096,False
3132,True
3137,False
3163,False
3169,True
3193,False
3196,False
3204,False
3221,False
3224,False
3240,False
3301,False
3303,False
3315,False
3316,False
3325,False
3326,False
3353,True
3358,True
3360,False
3375,False
3380,False
3391,False
3394,False
3400,False
3403,False
3405,False
3410,False
3422,False
3423,False
3427,True
3429,True
3432,True
3444,False
3458,True
3483,False
3484,False
3494,False
3498,False
3499,True
3511,False
3525,False
3542,False
3554,False
3557,False
3584,False
3586,False
3590,False
3597,False
3608,False
3614,False
3615,False
3616,False
3617,False
3623,False
3626,False
3626,False
3630,False
3640,False
3640,False
3641,False
3653,False
3655,False
3663,False
3667,True
3676,False
3681,False
3683,False
3689,False
3691,False
3695,False
3703,False
3711,False
3720,False
3722,False
3722,False
3723,False
3725,False
3729,False
3733,False
3741,False
3747,True
3759,False
3764,False
3777,False
3779,False
3784,False
3791,False
3799,False
3805,False
3812,True
3819,True
3823,False
3826,True
3830,False
3835,False
3837,False
3838,False
3839,False
3845,False
3845,False
3849,True
3856,False
3860,False
3861,False
3863,True
3863,False
3864,False
3867,False
3880,False
3896,False
3896,False
3898,False
3906,False
3913,False
3920,False
3930,False
3964,False
3967,False
3985,True
3998,False
4000,True
4003,True
4006,False
4013,False
4015,True
4022,False
4028,False
4029,False
4035,False
4040,False
4053,False
4054,False
4066,True
4070,False
4075,False
4077,True
4083,False
4084,True
4093,False
4109,True
4110,False
4116,False
4119,False
4121,True
4125,True
4131,False
4133,False
4134,False
4136,False
4141,True
4144,True
4144,False
4155,True
4159,True
4179,False
4184,False
4184,False
4186,False
4187,False
4189,False
4191,False
4219,False
4225,True
4229,False
4232,False
4232,True
4235,False
4239,False
4247,False
4251,False
4266,False
4270,False
4288,False
4292,True
4297,False
4299,False
4302,False
4305,False
4308,False
4308,False
4312,False
4320,False
4325,False
4325,True
4328,True
4329,False
4329,False
4332,False
4332,False
4332,False
4337,False
4352,False
4353,False
4371,False
4376,False
4379,False
4380,False
4383,True
4384,True
4387,False
4396,False
4407,True
4413,True
4414,False
4417,False
4420,True
4425,False
4428,False
4431,False
4434,False
4438,False
4443,True
4462,False
4463,False
4466,False
4472,True
4478,False
4483,False
4483,False
4486,False
4487,False
4488,False
4491,False
4496,False
4514,False
4516,False
4518,False
4521,False
4527,False
4528,False
4532,True
4534,False
4542,False
4544,False
4548,True
4549,True
4553,False
4554,False
4565,True
4577,False
4581,False
4590,False
4591,False
4592,True
4593,False
4594,False
4601,False
4603,False
4605,False
4625,False
4630,False
4631,False
4631,False
4656,False
4660,False
4664,False
4666,True
4668,False
4671,False
4672,False
4672,False
4697,False
4703,True
4706,False
4706,False
4709,False
4712,False
4713,False
4719,False
4721,True
4724,False
4732,False
4736,False
4739,False
4745,False
4749,False
4756,False
4758,False
4762,True
4775,False
4777,False
4779,False
4789,False
4793,False
4811,False
4814,False
4818,True
4822,True
4827,False
4841,False
4844,False
4862,False
4863,False
4863,False
4864,False
4865,True
4873,False
4877,False
4878,False
4878,False
4880,False
4890,False
4896,False
4905,False
4920,False
4922,False
4923,False
4941,False
4942,True
4947,False
4951,False
4951,True
4951,False
4952,False
4955,True
4976,False
4982,False
4983,False
4990,True
4992,False
4995,False
4995,False
4998,False
5005,True
5009,False
5009,False
5011,False
5013,False
5013,False
5013,False
5014,False
5022,False
5030,True
5032,False
5054,False
5065,False
5071,False
5071,False
5072,False
5076,False
5081,False
5106,False
5107,False
5111,False
5119,False
5125,True
5129,False
5129,True
5133,False
5138,False
5156,False
5170,False
5176,False
5180,True
5181,False
5194,True
5194,False
5199,False
5209,True
5215,False
5221,False
5224,False
5228,False
5233,True
5235,True
5241,False
5244,False
5251,False
5257,False
5265,False
5269,False
5276,True
5281,False
5286,False
5287,True
5314,False
5318,False
5327,True
5328,False
5340,False
5351,False
5351,False
5368,True
5373,False
5373,False
5378,False
5381,False
5384,False
5389,False
5393,False
5394,False
5405,True
5408,False
5412,False
5413,False
5417,True
5419,False
5430,False
5430,False
5434,False
5434,False
5437,True
5444,False
5452,False
5477,False
5478,False
5484,False
5484,False
5496,False
5496,True
5500,False
5505,False
5506,False
5523,False
5524,False
5528,False
5529,False
5532,False
5551,False
5551,False
5552,False
5558,True
5560,False
5587,True
5593,False
5600,False
5609,False
5610,False
5614,False
5622,False
5622,False
5628,False
5637,False
5638,True
5643,True
5643,False
5644,True
5650,True
5662,False
5672,False
5673,False
5677,True
5679,False
5687,False
5699,False
5709,False
5711,True
5711,False
5725,False
5743,False
5745,False
5747,False
5752,False
5765,False
5779,False
5787,True
5795,False
5799,False
5802,False
5808,False
5821,False
5825,False
5829,False
5837,False
5840,True
5860,False
5864,True
5867,False
5873,False
5874,True
5882,False
5886,False
5890,False
5891,False
5893,False
5900,False
5905,False
5906,False
5911,False
5918,False
5924,False
5928,False
5929,False
5935,False
5948,False
5955,False
5960,True
5961,False
5963,False
5963,False
5965,False
5966,True
5966,False
5974,False
5979,True
5980,False
5992,False
5998,True
6009,False
6012,False
6017,True
6030,False
6034,False
6041,False
6042,False
6044,False
6047,False
6049,False
6054,False
6054,False
6054,False
6056,False
6063,False
6066,False
6073,True
6100,False
6116,False
6118,True
6119,False
6125,False
6134,False
6146,False
6151,False
6151,True
6152,False
6153,False
6156,True
6157,False
6159,False
6163,False
6169,False
6172,False
6175,False
6178,False
6185,True
6185,False
6185,True
6189,False
6198,False
6198,False
6201,False
6202,True
6206,False
6206,False
6207,False
6209,False
6214,False
6219,False
6220,False
6223,False
6224,False
6226,True
6226,False
6231,False
6234,False
6234,False
6235,False
6241,False
6244,False
6245,False
6252,False
6263,True
6271,False
6271,False
6279,False
6280,True
6281,False
6285,False
6307,False
6317,False
6320,False
6323,False
6330,True
6339,False
6362,False
6364,True
6365,True
6368,False
6371,True
6376,False
6377,False
6380,True
6383,False
6387,False
6393,False
6400,False
6401,True
6409,False
6411,False
6412,False
6412,False
6414,False
6417,False
6420,False
6425,False
6426,True
6435,False
6435,False
6439,False
6439,False
6443,False
6445,False
6445,True
6446,False
6451,True
6452,False
6454,False
6456,False
6459,False
6465,False
6466,True
6476,False
6484,True
6484,False
6485,False
6485,False
6487,False
6489,False
6498,False
6506,False
6506,False
6508,False
6508,False
6513,True
6514,False
6522,False
6524,False
6524,False
6525,False
6526,False
6536,False
6546,False
6547,False
6550,False
6552,True
6563,False
6564,False
6564,False
6573,True
6587,False
6593,False
6595,False
6598,False
6608,False
6612,False
6620,False
6620,False
6622,False
6622,False
6624,True
6630,False
6631,False
6631,False
6632,False
6635,False
6636,True
6638,False
6642,True
6645,False
6649,False
6654,False
6665,False
6666,False
6666,False
6667,False
6668,True
6677,False
6679,False
6685,False
6692,False
6693,True
6698,False
6701,True
6711,False
6715,False
6719,False
6720,False
6721,False
6724,True
6724,False
6725,True
6731,False
6737,False
6749,False
6766,False
6770,False
6781,False
6782,True
6788,True
6788,False
6803,False
6808,False
6809,False
6816,True
6818,False
6830,False
6831,False
6834,True
6837,False
6853,True
6854,False
6858,False
6867,False
6875,False
6882,False
6902,False
6906,False
6907,True
6918,False
6918,False
6921,True
6921,True
6928,False
6929,False
6929,False
6930,True
6937,False
6937,True
6948,True
6950,False
6953,False
6954,False
6958,False
6960,False
6963,True
6964,False
6968,False
6970,True
6974,False
6979,True
6989,False
6991,False
6996,False
7002,False
7014,False
7015,False
7016,False
7018,False
7027,False
7031,False
7033,False
7036,False
7039,False
7048,False
7052,True
7053,True
7054,False
7058,False
7061,False
7077,False
7082,False
7085,True
7095,False
7095,False
7102,False
7114,False
7120,False
7120,False
7125,True
7128,False
7129,False
7131,False
7136,False
7141,False
7144,False
7146,False
7150,False
7165,False
7165,False
7166,False
7171,False
7173,False
7178,True
7179,False
7180,False
7183,False
7186,False
7190,False
7191,False
7192,False
7193,False
7194,False
7195,False
7200,False
7202,False
7204,False
7212,False
7212,False
7218,False
7225,True
7231,False
7234,True
7247,False
7248,False
7284,False
7285,True
7293,False
7294,False
7298,False
7308,False
7314,False
7322,False
7322,False
7323,False
7326,False
7329,True
7339,False
7341,False
7346,True
7360,False
7363,True
7369,False
7373,False
7377,False
7384,False
7392,False
7393,False
7402,False
7402,False
7405,False
7407,False
7409,False
7412,False
7420,False
7423,False
7426,True
7426,False
7427,True
7428,False
7430,False
7433,False
7437,False
7437,False
7441,False
7449,False
7453,False
7470,False
7521,True
7529,False
7533,False
7541,False
7543,False
7552,False
7558,True
7561,False
7565,False
7572,False
7574,False
7578,False
7581,True
7591,False
7592,False
7593,False
7594,True
7595,False
7598,True
7600,False
7601,False
7622,False
7625,True
7630,False
7636,False
7636,False
7636,False
7636,True
7638,False
7649,False
7666,True
7668,False
7673,False
7682,False
7683,False
7686,False
7693,False
7701,False
7718,False
7728,False
7730,False
7730,False
7733,False
7754,False
7757,False
7776,False
7780,False
7781,False
7786,False
7787,False
7791,False
7793,True
7793,False
7798,False
7802,False
7805,False
7809,False
7814,False
7816,False
7862,False
7863,False
7865,False
7889,False
7902,False
7903,False
7914,False
7938,False
7942,False
7962,False
7962,False
7971,False
7974,False
7976,False
7990,False
7991,False
7995,False
7996,False
7998,False
8004,True
8010,False
8015,False
8027,False
8029,False
8034,False
8040,True
8045,False
8057,False
8057,False
8071,False
8073,False
8078,False
8079,True
8087,False
8088,False
8091,False
8095,True
8095,False
8114,False
8125,True
8127,False
8136,False
8143,False
8143,False
8147,False
8154,False
8171,False
8178,False
8180,False
8183,False
8200,False
8233,True
8243,False
8256,False
8259,False
8262,False
8269,True
8273,False
8296,False
8302,False
8302,False
8304,False
8304,False
8317,True
8344,False
8375,True
8378,False
8398,False
8403,False
8422,False
8427,False
8441,False
8458,False
8467,False
8473,False
8505,False
8511,False
8514,False
8521,False
8527,False
8543,False
8551,False
8575,True
8579,True
8596,False
8600,False
8618,False
8632,False
8633,False
8667,False
8674,False
8676,False
8743,False
8750,False
8757,False
8762,False
8769,False
8778,False
8786,False
8807,False
8827,True
8829,False
8840,False
8859,False
8865,False
8871,False
8884,False
8897,False
8912,True
8936,False
8992,False
8992,True
9011,False
9013,True
9015,False
9044,False
9046,False
9049,False
9052,False
9055,True
9067,False
9067,False
9097,True
9098,False
9099,False
9132,False
9134,False
9140,True
9164,False
9168,False
9185,False
9194,True
9211,False
9237,False
9239,True
9239,False
9241,False
9256,False
9258,False
9264,True
9266,False
9268,False
9282,False
9320,False
9330,True
9343,True
9349,False
9369,False
9372,True
9373,False
9376,False
9379,False
9381,False
9395,False
9431,False
9444,False
9450,True
9454,False
9500,False
9509,False
9510,False
9527,False
9551,False
9559,False
9560,True
9591,False
9604,False
9621,False
9645,False
9650,False
9663,False
9668,True
9683,False
9708,False
9718,False
9737,False
9814,False
9815,False
9823,False
9864,False
9873,False
9876,False
9878,True
9885,True
9917,False
9928,False
9964,False
9971,False
9999,False
10028,False
10061,False
10075,False
10076,False
10116,False
10181,False
10184,True
10186,False
10186,True
10205,False
10215,True
10222,False
10223,False
10250,False
10261,False
10264,False
10265,False
10279,False
10288,False
10297,False
10305,True
10322,False
10325,True
10333,False
10424,False
10448,False
10475,False
10479,False
10496,False
10507,False
10512,False
10512,False
10517,False
10569,False
10594,False
10609,True
10615,False
10615,True
10620,False
10623,False
10640,False
10641,True
10702,True
10734,False
10735,False
10738,False
10744,False
10764,True
10798,False
10801,False
10847,False
10856,False
10860,False
10877,False
10881,False
10885,False
10886,False
10902,False
10915,False
10919,False
10939,False
10947,False
10954,False
10960,False
10966,False
10973,False
10977,False
11014,False
11020,True
11041,False
11056,False
11089,False
11101,True
11134,False
11150,False
11167,False
11216,False
11225,False
11267,False
11280,False
11325,True
11338,True
11361,True
11368,False
11376,False
11376,True
11384,False
11393,True
11414,False
11435,False
11473,False
11477,False
11480,False
11496,False
11499,False
11502,False
11508,False
11509,False
11530,True
11531,False
11532,False
11537,True
11579,False
11585,False
11587,False
11600,False
11652,False
11670,False
11681,False
11697,False
11705,True
11709,False
11710,False
11736,True
11799,False
11803,False
11872,False
11894,True
11905,True
11910,False
11949,False
11975,False
12046,False
12104,True
12114,False
12124,False
12139,False
12146,False
12164,False
12171,True
12176,False
12183,False
12219,False
12219,False
12242,False
12265,True
12276,True
12277,False
12277,False
12313,False
12318,True
12319,True
12320,False
12335,False
12338,False
12350,True
12366,False
12384,True
12401,False
12406,True
12416,False
12430,False
12435,False
12442,False
12467,False
12491,False
12495,False
12502,False
12509,False
12530,False
12530,False
12540,False
12564,False
12573,False
12576,False
12581,True
12585,True
12592,False
12593,False
12596,True
12630,False
12648,True
12649,False
12657,False
12659,False
12664,False
12682,False
12699,False
12706,True
12706,False
12710,False
12717,True
12717,False
12792,False
12833,False
12834,False
12854,False
12855,False
12858,False
12865,False
12885,False
12901,True
12902,False
12930,False
12958,False
12970,True
12978,False
12986,False
12997,False
13004,False
13021,False
13072,False
13075,False
13087,False
13096,False
13103,False
13110,False
13116,False
13120,False
13136,False
13142,False
13160,False
13163,True
13169,False
13189,False
13194,False
13204,False
13210,False
13212,True
13213,False
13233,False
13233,False
13234,False
13272,False
13292,False
13302,False
13330,False
13334,False
13336,True
13373,False
13374,True
13387,False
13393,False
13406,False
13434,False
13449,False
13460,False
13466,True
13492,False
13515,False
13529,True
13534,False
13543,False
13551,False
13589,False
13605,True
13612,False
13642,False
13657,False
13684,False
13700,True
13712,True
13713,False
13719,False
13727,False
13728,False
13786,False
13801,False
13801,False
13814,False
