total_streams,explicit
1001,False
1001,False
1001,False
1002,False
1002,True
1005,True
1007,False
1007,False
1008,True
1008,True
1009,False
1009,True
1011,True
1011,False
1011,False
1012,False
1012,False
1013,True
1014,False
1014,False
1014,True
1014,False
1014,True
1015,True
1016,True
1018,True
1018,False
1022,True
1023,True
1023,False
1024,True
1024,False
1025,True
1025,False
1026,False
1026,True
1026,True
1027,True
1027,False
1028,False
1028,True
1029,False
1030,False
1030,True
1032,True
1032,False
1034,True
1035,False
1035,True
1036,False
1036,False
1037,True
1038,True
1038,False
1041,True
1041,True
1044,True
1044,False
1044,True
1045,True
1045,False
1045,False
1045,False
1047,True
1047,False
1047,False
1048,True
1050,False
1050,True
1051,False
1051,False
1053,False
1053,True
1054,False
1057,False
1058,True
1058,False
1058,False
1058,False
1059,True
1059,False
1060,True
1061,True
1061,True
1063,True
1064,False
1065,False
1065,True
1066,False
1066,True
1067,False
1068,False
1069,False
1069,True
1072,True
1075,False
1079,True
1079,False
1080,False
1081,False
1081,False
1082,True
1085,False
1087,True
1087,False
1088,False
1089,False
1090,False
1090,False
1090,True
1094,False
1094,False
1094,True
1095,False
1097,False
1097,True
1098,True
1100,False
1100,False
1100,False
1101,True
1101,True
1101,True
1103,True
1104,True
1107,False
1109,True
1113,False
1113,False
1113,False
1115,False
1115,True
1116,True
1117,False
1117,False
1119,False
1120,False
1121,False
1122,True
1122,False
1123,True
1125,True
1125,False
1127,True
1127,True
1127,False
1129,True
1130,True
1131,True
1131,False
1132,False
1133,False
1133,False
1133,False
1134,False
1134,False
1135,False
1136,True
1136,False
1137,False
1138,False
1139,True
1140,False
1140,False
1141,False
1141,False
1143,True
1144,False
1144,False
1144,True
1144,True
1145,False
1146,False
1147,False
1150,False
1150,True
1151,False
1151,False
1151,True
1151,False
1152,True
1153,True
1154,False
1155,False
1155,False
1158,True
1158,False
1158,False
1159,False
1159,False
1162,True
1164,False
1166,False
1166,False
1167,True
1168,True
1170,True
1170,True
1170,False
1171,False
1171,False
1172,True
1172,False
1174,False
1175,False
1176,True
1177,False
1178,False
1179,True
1179,True
1179,False
1180,False
1181,True
1183,False
1183,True
1183,True
1184,False
1186,False
1187,False
1188,False
1193,False
1193,True
1195,True
1196,False
1198,False
1201,False
1202,True
1203,False
1203,False
1206,True
1208,True
1209,False
1209,False
1209,False
1209,False
1212,False
1212,True
1214,True
1216,False
1216,False
1217,False
1220,True
1221,True
1224,False
1224,False
1225,False
1226,False
1226,True
1227,True
1227,True
1228,False
1231,True
1232,False
1233,False
1233,False
1234,False
1236,False
1236,True
1237,False
1238,False
1240,False
1241,True
1241,True
1242,False
1244,False
1248,True
1250,True
1251,False
1253,False
1256,False
1258,True
1261,True
1264,True
1265,True
1265,True
1266,False
1272,True
1272,True
1274,False
1275,False
1276,True
1283,False
1285,False
1286,True
1286,True
1292,False
1292,False
1293,True
1294,False
1295,True
1295,False
1299,True
1299,False
1302,True
1303,False
1304,True
1306,True
1308,False
1310,True
1310,False
1311,True
1311,False
1311,False
1312,True
1314,True
1319,False
1321,True
1322,False
1322,True
1324,False
1325,True
1325,True
1329,True
1335,False
1335,False
1336,True
1339,False
1342,False
1343,False
1345,True
1345,False
1346,True
1346,False
1349,True
1349,False
1350,True
1352,True
1356,True
1356,False
1357,False
1358,True
1358,False
1359,True
1360,False
1362,False
1364,True
1367,False
1369,True
1372,True
1372,False
1372,False
1374,True
1375,True
1377,False
1379,False
1379,False
1381,False
1382,False
1383,False
1383,True
1387,True
1391,True
1391,False
1393,False
1395,False
1397,False
1397,False
1398,False
1399,True
1402,True
1402,False
1402,False
1402,True
1404,False
1404,False
1406,True
1407,False
1407,True
1407,False
1408,False
1408,True
1408,False
1411,True
1413,False
1414,False
1415,True
1417,False
1419,True
1419,True
1419,False
1420,False
1422,False
1427,False
1427,False
1427,False
1427,False
1429,False
1429,False
1431,False
1432,False
1432,False
1432,True
1432,False
1433,True
1434,False
1435,True
1435,False
1437,False
1437,True
1438,False
1439,False
1442,True
1444,True
1447,False
1450,True
1451,False
1451,True
1452,True
1453,True
1453,False
1454,True
1454,False
1455,True
1456,False
1457,True
1458,True
1460,False
1461,True
1462,False
1465,True
1465,True
1466,True
1468,False
1469,False
1470,True
1471,True
1472,True
1472,True
1473,True
1474,True
1474,False
1474,True
1475,False
1476,False
1476,False
1476,True
1478,True
1479,False
1482,True
1485,True
1486,False
1487,True
1490,False
1491,True
1492,True
1494,True
1496,False
1497,True
1497,False
1501,False
1501,True
1502,False
1505,True
1505,False
1507,False
1509,False
1511,False
1511,False
1512,False
1515,False
1515,False
1517,True
1518,True
1522,False
1522,False
1525,True
1530,False
1532,True
1532,False
1533,True
1539,True
1542,True
1542,True
1544,False
1546,True
1546,True
1546,False
1547,True
1547,True
1549,False
1549,False
1551,False
1552,True
1554,True
1555,False
1556,False
1557,True
1559,False
1561,True
1564,True
1565,True
1566,True
1567,False
1569,True
1570,True
1575,True
1575,True
1577,True
1578,True
1579,True
1580,False
1583,False
1584,False
1585,False
1586,False
1590,False
1591,True
1592,False
1595,False
1596,False
1597,False
1598,False
1599,False
1602,False
1602,False
1604,True
1604,True
1606,False
1607,False
1609,False
1610,False
1612,False
1613,True
1617,False
1618,False
1619,False
1619,False
1620,False
1621,False
1621,True
1622,False
1623,True
1623,True
1624,True
1625,False
1627,False
1629,False
1630,False
1631,False
1632,False
1633,False
1633,True
1636,False
1637,False
1637,True
1637,False
1639,False
1641,False
1648,False
1648,True
1650,False
1650,True
1650,False
1659,False
1660,False
1662,False
1667,False
1667,False
