total_streams,explicit
1001,False
1005,False
1007,False
1010,False
1010,True
1011,False
1011,True
1017,False
1023,False
1024,False
1025,False
1026,False
1034,False
1036,False
1038,False
1040,False
1040,False
1040,False
1048,True
1051,False
1051,False
1056,False
1061,False
1072,False
1076,False
1076,True
1083,False
1085,False
1086,False
1090,False
1091,False
1094,False
1096,False
1097,True
1099,False
1103,False
1108,False
1108,False
1111,False
1114,False
1116,False
1116,False
1116,False
1117,False
1117,False
1118,True
1121,True
1121,False
1129,False
1134,True
1136,False
1140,True
1142,False
1142,True
1143,True
1145,False
1147,True
1153,False
1160,False
1162,False
1163,False
1164,True
1168,False
1169,False
1171,True
1185,True
1185,False
1189,True
1189,False
1193,True
1193,False
1194,False
1194,False
1198,False
1200,False
1200,True
1201,True
1202,True
1205,False
1206,False
1207,False
1212,False
1212,False
1214,False
1215,False
1217,False
1217,True
1221,False
1222,True
1225,False
1227,True
1227,False
1231,True
1231,False
1235,False
1235,True
1236,False
1239,False
1241,False
1245,True
1246,False
1247,False
1249,False
1250,False
1251,False
1252,False
1252,False
1254,False
1254,False
1256,False
1257,False
1258,False
1259,True
1259,False
1259,True
1261,False
1264,False
1265,False
1265,True
1266,False
1267,False
1268,False
1269,False
1269,False
1269,False
1270,False
1271,True
1271,False
1274,False
1276,False
1279,False
1279,False
1280,False
1280,False
1281,False
1282,True
1286,False
1286,False
1286,False
1289,False
1290,False
1291,False
1294,False
1298,False
1304,False
1305,False
1310,False
1310,False
1313,False
1315,False
1317,False
1321,True
1323,False
1324,False
1328,False
1334,True
1338,False
1345,False
1347,False
1349,True
1351,False
1356,False
1356,False
1359,False
1359,True
1360,True
1364,False
1368,False
1373,False
1375,False
1377,False
1378,False
1378,False
1383,False
1383,True
1387,False
1389,False
1406,False
1408,False
1413,False
1416,True
1419,False
1421,True
1422,False
1423,False
1425,False
1426,True
1427,True
1435,True
1435,False
1440,True
1440,False
1442,False
1445,True
1445,False
1446,True
1451,False
1458,False
1458,False
1463,False
1467,False
1467,False
1467,False
1469,False
1471,True
1472,True
1475,False
1475,True
1479,False
1494,True
1495,True
1495,True
1497,True
1497,False
1498,True
1499,False
1499,False
1507,False
1507,False
1507,True
1507,False
1508,True
1509,False
1511,True
1511,False
1511,False
1513,False
1519,True
1520,False
1521,False
1528,True
1533,True
1537,False
1545,False
1546,False
1549,False
1550,False
1550,True
1553,False
1555,False
1555,False
1556,False
1558,True
1558,True
1559,True
1559,False
1559,False
1562,False
1563,False
1564,False
1566,False
1566,False
1571,False
1573,False
1576,False
1580,False
1582,False
1589,False
1591,False
1591,True
1595,False
1595,False
1596,False
1598,True
1601,False
1602,False
1605,True
1608,False
1614,False
1621,True
1625,True
1626,True
1627,False
1627,False
1630,False
1630,False
1638,False
1638,False
1641,False
1641,False
1643,False
1643,True
1644,False
1645,False
1646,False
1646,False
1647,True
1650,False
1653,False
1655,False
1656,False
1663,False
1669,False
1669,False
1671,False
1673,False
1673,False
1676,False
1676,True
1677,False
1679,False
1683,False
1684,False
1684,False
1691,False
1692,False
1693,False
1695,False
1696,False
1699,True
1699,False
1700,False
1702,False
1705,False
1707,False
1707,False
1713,False
1716,False
1718,True
1726,True
1733,False
1741,True
1741,False
1748,True
1750,False
1754,False
1755,False
1763,False
1764,False
1769,False
1770,False
1771,True
1772,False
1772,True
1780,False
1780,True
1782,True
1782,True
1782,True
1792,True
1795,True
1796,False
1796,False
1800,True
1804,False
1804,False
1804,False
1804,False
1816,False
1819,False
1826,False
1833,False
1842,True
1843,False
1845,False
1855,False
1856,False
1860,False
1864,False
1865,True
1871,False
1873,False
1874,False
1875,False
1875,False
1878,False
1882,False
1882,True
1886,False
1889,False
1894,True
1895,True
1897,False
1898,False
1898,True
1898,True
1899,True
1901,False
1904,False
1905,False
1908,False
1909,True
1914,True
1923,False
1926,False
1926,True
1928,True
1936,False
1939,True
1942,False
1943,False
1944,False
1944,False
1945,True
1950,False
1951,False
1952,True
1954,False
1955,False
1958,False
1961,False
1964,False
1967,True
1969,False
1970,False
1976,False
1981,False
1981,False
1984,False
1990,False
1990,False
1991,False
1993,True
1995,True
2000,False
2002,True
2005,False
2010,False
2011,False
2014,True
2018,False
2019,False
2022,False
2024,False
2032,False
2033,True
2034,True
2035,False
2039,False
2040,False
2043,False
2043,False
2044,False
2046,False
2049,False
2052,False
2052,True
2059,False
2059,False
2068,True
2069,False
2077,False
2080,True
2081,False
2082,False
2084,True
2086,True
2090,False
2091,False
2091,False
2093,False
2093,False
2094,True
2096,False
2098,True
2099,False
2101,True
2103,False
2104,True
2109,False
2109,True
2112,False
2113,True
2114,True
2116,False
2118,False
2119,False
2122,True
2126,False
2127,False
2128,False
2135,True
2135,True
2136,False
2137,False
2141,False
2142,False
2155,False
2155,True
2155,False
2156,False
2157,True
2159,False
2159,True
2160,False
2164,False
2168,False
2171,True
2172,False
2176,False
2177,True
2180,False
2181,True
2183,False
2184,False
2185,False
2187,True
2194,False
2196,False
2198,False
