total_streams,explicit
1001,False
1001,False
1001,False
1002,True
1002,False
1003,False
1003,False
1005,False
1005,False
1006,False
1006,False
1007,True
1009,False
1010,True
1010,False
1011,False
1011,False
1011,True
1012,False
1012,False
1012,False
1013,True
1013,False
1014,False
1014,False
1015,False
1015,False
1016,True
1016,True
1016,True
1017,False
1019,False
1019,False
1019,False
1020,False
1020,False
1020,False
1020,False
1023,True
1023,True
1024,False
1024,False
1024,False
1024,False
1025,False
1025,False
1027,True
1029,False
1030,False
1031,False
1033,True
1035,False
1035,False
1036,False
1037,True
1038,False
1038,False
1039,False
1040,True
1044,False
1044,False
1045,False
1046,False
1046,False
1048,False
1049,False
1049,False
1050,False
1053,True
1054,False
1054,False
1055,False
1058,False
1058,False
1060,False
1060,False
1061,False
1063,False
1070,True
1071,False
1072,True
1072,True
1074,False
1074,False
1077,True
1078,False
1078,True
1080,False
1080,False
1081,False
1081,False
1082,False
1084,False
1084,False
1086,False
1089,False
1093,False
1094,False
1094,False
1095,False
1096,False
1097,False
1100,True
1101,False
1103,True
1108,False
1116,False
1118,False
1123,True
1125,False
1127,False
1127,False
1131,False
1133,True
1136,False
1140,True
1141,False
1141,False
1142,True
1143,True
1145,False
1146,True
1147,False
1149,False
1150,False
1153,False
1158,False
1162,False
1164,False
1167,False
1167,True
1169,False
1173,True
1174,False
1174,False
1180,False
1180,True
1188,False
1188,True
1188,False
1190,False
1191,False
1191,True
1192,False
1193,False
1193,False
1198,False
1200,False
1206,False
1209,False
1211,False
1213,False
1214,True
1222,False
1222,False
1223,False
1228,False
1228,False
1228,False
1230,False
1231,False
1231,False
1233,True
1234,False
1235,False
1239,False
1241,False
1251,False
1254,False
1257,False
1263,False
1271,False
1275,False
1275,False
1276,False
1279,False
1285,False
1288,False
1294,False
1302,False
1303,False
1312,False
1313,False
1315,False
1318,False
1328,False
1330,False
1337,False
1343,False
1346,False
1347,False
1352,False
1354,False
1354,False
1358,False
1361,False
1365,True
1372,False
1372,False
1374,False
1383,True
1388,False
1393,False
1396,False
1397,False
1401,False
1402,False
1405,False
1408,False
1409,False
1413,False
1417,False
1423,False
1423,False
1425,True
1441,False
1443,False
1444,False
1446,True
1451,False
1464,False
1476,True
1481,True
1483,False
1484,False
1485,False
1486,False
1488,False
1489,False
1491,False
1493,True
1500,False
1501,False
1501,True
1504,True
1507,True
1517,False
1521,False
1522,False
1524,False
1533,False
1544,False
1550,False
1557,False
1560,False
1561,False
1572,False
1577,False
1577,False
1578,False
1582,False
1587,False
1592,False
1594,False
1600,False
1604,False
1611,False
1611,False
1611,False
1613,False
1614,True
1614,False
1631,False
1633,True
1633,False
1639,False
1639,False
1640,False
1646,False
1646,False
1648,False
1649,False
1650,False
1650,False
1652,False
1656,False
1658,False
1658,False
1663,False
1673,False
1674,True
1679,False
1681,True
1681,False
1687,False
1690,False
1691,False
1700,False
1704,False
1706,False
1713,True
1715,True
1719,False
1723,False
1723,False
1730,False
1733,True
1739,False
1748,False
1751,False
1754,False
1755,True
1759,False
1767,True
1771,False
1772,False
1778,False
1780,False
1781,False
1792,True
1796,True
1797,False
1799,True
1800,False
1802,False
1808,False
1815,False
1816,True
1820,False
1820,True
1825,False
1826,False
1826,False
1830,False
1831,False
1833,True
1840,False
1846,False
1847,True
1851,True
1854,False
1856,False
1862,True
1864,False
1867,False
1872,False
1872,False
1878,False
1883,False
1887,False
1889,False
1903,False
1906,False
1907,False
1915,False
1924,False
1929,True
1934,True
1936,False
1937,True
1938,False
1939,False
1948,False
1949,False
1949,False
1952,True
1954,True
1957,False
1957,False
1959,False
1959,False
1960,False
1964,False
1966,False
1966,False
1968,True
1979,False
1981,False
1982,False
1982,False
1983,True
1988,False
1989,False
1994,False
2003,False
2009,True
2009,True
2014,True
2014,True
2017,False
2018,False
2020,False
2021,False
2031,False
2033,True
2034,False
2037,False
2038,False
2039,False
2040,True
2042,False
2043,False
2043,False
2044,True
2048,False
2049,False
2052,True
2054,False
2056,True
2060,False
2061,True
2065,True
2068,False
2069,False
2069,True
2069,True
2070,True
2071,False
2073,False
2074,False
2077,False
2078,False
2079,False
2081,False
2083,False
2085,False
2086,True
2088,False
2090,False
2093,True
2097,False
2099,True
2103,False
2110,False
2113,False
2116,True
2116,True
2116,True
2116,False
2121,False
2122,False
2128,False
2128,False
2129,False
2136,False
2139,False
2141,False
2144,False
2145,False
2148,False
2148,False
2148,False
2156,False
2159,False
2163,False
2170,False
2173,False
2173,True
2173,True
2174,True
2178,False
2178,False
2180,False
2187,False
2189,False
2194,False
2194,False
2199,False
2199,False
2199,False
2200,False
2205,False
2208,True
2208,False
2222,False
2224,False
2227,True
2230,False
2236,False
2242,False
2245,False
2246,False
2248,False
2248,True
2251,False
2253,False
2257,False
2261,False
2273,False
2276,False
2277,True
2277,False
2278,False
2284,False
2285,False
2288,False
2293,True
2293,True
2298,False
2303,False
2309,True
2309,False
2309,True
2311,False
2312,False
2312,False
2313,False
2314,False
2318,False
2319,False
2322,False
2323,True
2326,False
2327,False
2327,True
2334,False
2338,False
2338,False
2344,False
2348,True
2350,True
2352,True
2356,False
2358,False
2359,False
2361,False
2364,False
2366,True
2367,False
2369,False
2371,False
2373,False
2382,False
2384,False
2390,False
2395,False
2396,False
2409,True
2411,False
2416,False
2417,False
2417,False
2421,False
2421,False
2421,False
2422,False
2430,True
2432,False
2435,True
2435,False
2435,False
2437,False
2438,False
2439,True
2439,False
2443,False
2448,False
2449,False
2449,True
2455,False
2457,False
2463,False
2464,False
2467,False
2467,False
2468,False
2469,False
2471,False
