total_streams,explicit
1001,False
1002,True
1003,False
1003,True
1003,False
1004,False
1004,False
1005,False
1005,False
1006,True
1006,False
1007,True
1007,True
1008,False
1009,True
1009,True
1009,False
1010,True
1010,True
1011,False
1011,True
1012,False
1014,False
1015,True
1016,True
1017,False
1019,True
1020,True
1021,True
1022,True
1022,False
1022,False
1024,False
1024,False
1024,False
1024,True
1025,True
1026,True
1027,False
1027,True
1029,True
1031,True
1032,False
1034,True
1034,True
1034,False
1034,True
1036,True
1036,True
1037,True
1039,True
1041,False
1042,False
1043,False
1046,True
1047,True
1047,False
1048,True
1049,False
1049,True
1050,False
1050,True
1051,True
1052,False
1053,True
1053,False
1054,False
1055,False
1055,False
1056,False
1056,False
1056,False
1056,True
1057,False
1058,False
1058,True
1062,False
1063,True
1063,True
1063,True
1064,False
1065,True
1067,False
1067,True
1068,False
1068,True
1071,False
1073,False
1074,False
1075,False
1076,True
1076,False
1077,False
1078,False
1078,True
1080,False
1081,False
1081,True
1081,False
1083,False
1085,False
1085,False
1086,False
1086,False
1086,True
1088,True
1090,True
1091,True
1092,True
1092,False
1092,True
1093,False
1095,False
1096,False
1096,True
1096,True
1097,True
1097,True
1098,True
1100,True
1100,True
1101,False
1102,False
1103,False
1104,False
1105,True
1106,False
1107,True
1107,False
1109,True
1110,False
1110,True
1111,True
1113,True
1114,False
1114,True
1116,False
1116,False
1118,False
1120,False
1121,False
1123,False
1123,False
1123,False
1124,True
1124,False
1125,False
1125,False
1125,True
1126,True
1126,True
1128,True
1128,False
1128,True
1128,False
1130,True
1131,False
1131,True
1132,False
1133,True
1134,False
1135,True
1135,False
1138,True
1138,True
1139,False
1139,False
1140,True
1141,False
1141,False
1143,False
1144,True
1144,True
1145,False
1145,False
1145,True
1145,True
1146,False
1146,True
1146,False
1147,True
1149,True
1150,False
1150,False
1151,False
1151,False
1153,False
1154,False
1155,True
1156,True
1156,False
1157,False
1160,True
1161,True
1161,True
1162,False
1162,False
1163,True
1164,False
1165,False
1165,False
1167,False
1167,True
1168,False
1168,False
1169,True
1170,False
1170,False
1171,False
1171,True
1172,False
1172,True
1173,False
1174,False
1174,False
1174,True
1175,False
1176,True
1176,False
1177,True
1177,True
1177,False
1177,False
1178,False
1180,False
1180,True
1180,True
1181,True
1183,False
1185,True
1185,False
1185,True
1186,True
1186,True
1187,True
1187,False
1187,False
1187,False
1188,False
1188,True
1189,True
1191,False
1192,False
1193,True
1193,True
1195,True
1195,True
1195,True
1196,True
1198,False
1200,False
1202,True
1202,True
1202,True
1205,True
1205,True
1206,True
1206,True
1207,False
1208,False
1208,True
1209,False
1211,False
1212,True
1212,False
1213,True
1213,False
1213,True
1214,True
1214,False
1215,False
1215,False
1215,False
1215,True
1218,False
1219,True
1222,True
1224,True
1225,True
1226,True
1226,True
1226,True
1227,False
1227,False
1227,False
1227,True
1228,True
1228,False
1229,False
1230,False
1230,True
1231,False
1232,True
1233,False
1233,True
1233,False
1234,False
1234,False
1234,False
1234,True
1236,False
1237,False
1238,False
1238,False
1240,False
1240,False
1241,True
1243,False
1244,True
1245,False
1245,True
1245,True
1246,True
1248,True
1249,False
1249,True
1250,True
1251,False
1252,False
1252,False
1252,False
1252,True
1253,False
1254,False
1255,False
1255,False
1256,True
1256,False
1259,True
1259,False
1260,True
1262,True
1263,True
1266,True
1266,True
1269,True
1269,False
1269,True
1270,False
1270,False
1274,True
1276,True
1277,False
1280,True
1280,False
1284,True
1285,False
1285,True
1289,False
1290,False
1291,False
1292,False
1295,True
1295,False
1297,True
1298,True
1298,True
1299,True
1300,False
1300,False
1302,True
1303,True
1303,False
1306,True
1306,False
1308,False
1310,True
1311,False
1311,False
1312,True
1313,False
1314,False
1315,True
1318,True
1319,False
1320,True
1320,False
1322,False
1323,False
1323,False
1325,True
1327,True
1332,True
1332,True
1334,False
1335,False
1336,True
1337,True
1338,False
1341,True
1341,False
1342,True
1342,False
1342,True
1343,False
1344,False
1345,True
1347,True
1347,False
1349,False
1351,True
1353,False
1354,True
1354,False
1355,False
1357,False
1357,False
1359,False
1360,True
1361,True
1361,True
1362,True
1362,True
1368,True
1368,False
1368,True
1369,False
1369,True
1369,True
1369,False
1371,False
1371,False
1372,True
1374,True
1374,True
1374,False
1375,True
1375,True
1377,True
1378,True
1378,True
1379,False
1381,True
1381,False
1381,True
1382,False
1382,True
1385,False
1385,False
1386,False
1386,False
1391,True
1391,True
1392,True
1395,False
1395,True
1396,True
1401,False
1403,False
1405,False
1406,True
1407,False
1409,False
1409,True
1409,True
1410,False
1414,False
1415,True
1417,False
1418,False
1420,True
1420,True
1420,False
1423,False
1423,True
1424,False
1425,False
1426,False
1427,True
1428,False
1429,False
1429,True
1430,True
1430,True
1431,False
1431,False
1433,True
1434,False
1434,False
1434,False
1435,False
1435,True
1436,True
1438,False
1439,False
1442,False
1444,True
1449,False
1450,True
1452,False
1452,True
1453,True
1453,False
1457,False
1458,False
1459,False
1461,False
1462,True
1465,False
1468,False
1472,True
1473,False
1474,False
1475,False
1475,True
1476,False
1476,True
1477,False
1479,False
1480,False
1480,False
1481,True
1482,True
1483,False
1489,False
1489,True
1489,False
1490,False
1492,False
1492,False
1493,False
1493,False
1493,True
1497,False
1499,False
1500,False
1502,False
1502,False
1504,True
1505,False
1507,True
1507,False
1507,False
1508,True
1509,False
1512,True
1512,False
1513,False
1515,True
1515,True
1518,False
1518,False
1519,False
1519,True
1522,False
1524,True
1526,True
1527,True
1527,True
1529,False
1530,True
1534,False
1535,False
1537,False
1538,False
1539,False
1540,True
1541,False
1542,False
1543,False
1546,False
1548,False
1551,True
1555,True
1557,False
1560,False
1563,False
1565,True
1568,True
1569,False
1570,False
1570,True
1570,True
1570,True
1570,False
1573,False
1574,True
1574,True
1575,False
1577,True
1579,False
1582,False
1583,False
1586,True
1589,True
1590,True
1592,False
1592,False
1592,False
1592,False
1593,False
1593,True
1594,True
1594,True
1597,False
1597,False
1598,False
1600,True
1602,True
1604,True
1606,False
1607,True
1607,True
1609,False
1612,False
1614,True
1616,True
1616,False
1617,False
1621,True
1623,True
1624,False
1626,True
1630,False
1630,True
1631,False
1632,False
1636,False
1637,True
1637,False
1639,True
1639,False
1641,True
1641,True
1642,False
1643,True
1645,False
1646,True
1649,True
1653,True
1654,False
1654,False
1655,False
1655,True
1656,False
1656,False
1657,True
1657,False
1657,False
1659,True
1668,False
1670,False
1671,False
1673,True
1674,True
1676,True
1676,False
1676,False
1677,True
1690,True
1691,True
1697,False
1697,False
1702,False
1703,False
1704,False
1704,False
1706,False
1707,False
1711,False
1711,True
1712,True
1715,True
1721,False
1722,True
1725,False
1726,False
1732,False
1732,False
1734,True
1734,False
1736,True
1739,False
1739,False
1740,False
1740,False
1741,True
1744,False
1745,False
1746,False
1747,False
1747,False
1749,True
1749,False
1756,True
1758,True
1762,True
1763,True
1763,True
1767,False
1767,True
1768,True
1771,True
1772,False
1773,False
1777,False
1778,False
1779,True
1785,False
1785,True
1785,True
1788,False
1790,False
1791,False
1791,True
1793,False
1795,True
1796,True
1796,True
1796,False
1797,False
1799,True
1800,False
1800,False
1804,True
1804,True
1807,True
1807,True
1808,False
1808,False
1809,False
1809,False
1810,False
1816,False
1816,True
1816,False
1817,False
1817,True
1819,True
1820,False
1820,False
1823,False
1826,False
1828,False
1828,True
1830,True
1831,False
1833,False
1833,True
1833,False
1834,True
1835,False
1836,True
1836,True
1839,False
1841,False
1842,False
1845,True
1845,True
1846,True
1848,False
1848,True
1848,False
1848,True
1848,True
1848,True
1853,True
1853,True
1853,False
1853,True
1855,True
1856,True
1857,True
1864,True
1865,False
1866,False
1866,True
1868,False
1869,False
1873,True
1875,False
1875,False
1876,True
1877,False
1884,False
1885,True
1885,True
1885,False
1887,True
1891,False
1893,True
1895,False
1899,True
1902,True
1902,True
1903,True
1905,False
1905,False
1907,False
1907,False
1908,True
1912,False
1912,True
1913,False
1917,False
1923,False
1924,True
1925,True
1930,False
1931,False
1931,False
1932,True
1933,False
1934,False
1935,True
1936,True
1937,True
1939,True
1939,True
1940,True
1940,False
1943,True
1943,False
1945,True
1945,False
1949,True
1950,True
1950,True
1952,True
1957,False
1959,True
1960,False
1963,True
1964,False
1964,False
1970,True
1971,False
1971,True
1973,False
1979,False
1979,False
1982,False
1983,False
1987,False
1989,False
1994,True
1996,False
1997,False
1997,False
1998,True
1999,False
2000,False
2008,False
2008,True
2011,False
2013,False
2014,False
2018,False
2018,False
2020,True
2020,False
2021,True
2022,True
2025,True
2026,False
2027,True
2027,True
2027,True
2030,True
2032,False
2033,False
2033,True
2034,False
2036,True
2037,True
2037,True
2040,True
2045,True
2045,False
2046,True
2046,False
2048,False
2050,False
2051,True
2052,False
2054,True
2057,False
2064,False
2065,True
2067,True
2067,False
2067,False
2068,False
2070,True
2073,True
2074,False
2074,False
2081,True
2081,False
2082,False
2083,True
2083,False
2086,True
2090,False
2090,False
2092,False
2095,True
2097,False
2097,True
2098,False
2099,True
2099,False
2102,True
2104,False
2109,True
2113,False
2115,False
2118,True
2118,False
2121,False
2123,False
2134,False
2137,False
2138,False
2139,False
2142,False
2143,False
2146,False
2152,True
2153,True
2153,False
2155,False
2158,False
2158,False
2160,False
2166,False
2166,True
2169,False
2172,True
2173,False
2175,True
2176,False
2178,False
2180,False
2181,True
2183,False
2187,True
2188,True
2191,False
2192,True
2198,False
2205,False
2207,True
2207,True
2210,False
2210,False
2211,True
2214,False
2217,False
2218,True
2220,True
2221,True
2222,True
2223,False
2224,False
2226,True
2226,True
2227,False
2228,False
2232,False
2232,True
2234,False
2236,False
2237,False
2237,True
2238,False
2240,True
2242,False
2246,False
2247,True
2248,True
2249,True
2251,True
2255,True
2255,True
2258,False
2259,False
2260,True
2261,True
2262,True
2263,False
2266,False
2267,True
2267,False
2267,True
2268,False
2269,True
2275,False
2277,False
2277,True
2280,False
2284,True
2285,True
2285,True
2288,False
2289,False
2290,True
2292,False
2292,True
2292,False
2297,False
2297,False
2300,True
2302,False
2302,True
2303,False
2307,False
2307,False
2307,True
2309,False
2311,False
2312,False
2315,False
2317,True
2317,False
2318,False
2319,True
2322,False
2323,False
2323,True
2324,False
2330,False
2335,False
2339,False
2345,False
2346,True
2346,True
2349,True
2351,True
2353,True
2353,False
2354,False
2355,True
2356,True
2359,True
2360,True
2360,False
2363,True
2364,False
2365,True
2369,False
2370,False
2370,True
2373,True
2373,True
2374,False
2375,False
2377,True
2377,False
2378,False
2381,True
2382,False
2383,False
2384,False
2384,False
2384,True
2390,True
2391,True
2392,True
2392,True
2398,False
2399,False
2403,False
2404,False
2404,True
2408,False
2409,True
2409,True
2410,False
2410,False
2411,False
2417,True
2424,False
2424,True
2427,True
2429,True
2430,False
2433,True
2433,True
2436,False
2438,True
2438,True
2439,False
2439,False
2440,True
2440,True
2440,False
2442,False
2444,False
2445,False
2445,False
2447,True
2452,False
2456,False
2458,False
2459,True
2461,False
2465,True
2467,True
2471,True
2472,True
2472,False
2474,False
2474,True
2477,True
2478,True
2479,True
2480,True
2486,True
2489,True
2490,True
2492,False
2493,False
2493,False
2498,True
2504,True
2505,False
2506,True
2508,False
2508,False
2509,False
2512,False
2515,True
2515,False
2516,False
2518,True
2518,True
2518,False
2523,True
2527,False
2528,False
2530,True
