date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name,streams_agg
23-06-2016,Brazil,126,200360,000xYdQfIZ4pDmBGzQalKU,['Luan Santana'],"['sertanejo', 'sertanejo universitario', 'arrocha', 'sertanejo pop']",187118,False,"Eu, Você, O Mar e Ela",32557728
23-03-2023,Luxembourg,15,11436,0041QJFD2EWfKWdAZpX2RB,['Duncan Daniels'],[],142875,False,Diaspora Night,38168
23-11-2017,Dominican Republic,160,7502,004q4eDxR33ci4f8m4flwl,['Vicente Garcia'],"['dominican pop', 'bachata', 'latin alternative', 'latin pop']",171626,False,El Yeyo,7502
01-04-2021,Japan,101,273079,006u4CXVO2cusq08RrMElQ,['あたらよ'],"['japanese teen pop', 'j-pop']",332285,False,10月無口な君を忘れる,12036193
02-02-2023,Sweden,22,438648,0078peqORcMMXbcYEfeLkk,['Hanna Ferm'],"['swedish pop', 'swedish idol pop']",184773,False,Vet Hon Om?,2427434
07-06-2018,Philippines,179,154520,0087fDVeNhuyMtST91RMjv,['Silent Sanctuary'],"['pinoy rock', 'opm']",339053,False,Kundiman,22804573
30-06-2016,"Taiwan, Province of China",158,16805,009j4tQyJC53rmgTuXil9E,['Eve Ai'],"['taiwan pop', 'taiwan singer-songwriter', 'mandopop']",274960,False,愛是這樣,150063
12-11-2020,Honduras,119,11397,00A08eyEOT11lVaR0yBQKv,['Angie Flores'],[],205632,False,Rewind,11397
07-01-2016,,197,1526593,00AoRZ8103mVeOVfpTfGuR,"['Luny Tunes', 'Daddy Yankee', 'Wisin', 'Don Omar', 'Yandel']","['latin hip hop', 'reggaeton', 'puerto rican pop', 'reggaeton flow', 'trap latino']",304746,False,Mayor Que Yo 3,58593280
12-04-2018,,75,7241438,00B7TZ0Xawar6NZ00JFomN,"['Cardi B', 'Chance the Rapper']","['pop rap', 'chicago rap', 'pop', 'conscious hip hop', 'dance pop', 'hip hop', 'rap']",284855,True,Best Life (feat. Chance The Rapper),27986779
02-12-2021,Finland,22,131498,00Bi0CSRgw04OgrhWU4hj1,['Etta'],"['finnish hip hop', 'finnish dance pop', 'finnish pop']",208500,False,Koditon,539985
22-04-2021,Russian Federation,188,81204,00Dy9idE7FOsG4dbeRo1Pi,['Канги'],"['russian pop', 'russian hip hop']",163964,False,Жить не запретишь,81204
26-07-2018,,138,4720155,00EPIEnX1JFjff8sC6bccd,"['Thalia', 'Natti Natasha']","['dance pop', 'latin hip hop', 'reggaeton', 'latin pop', 'rap latina', 'mexican pop', 'trap latino']",217653,False,No Me Acuerdo,270890136
12-03-2020,South Africa,83,18921,00FmWWD8FpB1Ph6nPPw1bC,"['Jhené Aiko', 'Ab-Soul']","['conscious hip hop', 'urban contemporary', 'hip hop', 'r&b', 'pop', 'escape room', 'alternative hip hop', 'rap', 'underground hip hop', 'southern hip hop']",174333,True,One Way St. (feat. Ab-Soul),18921
16-03-2023,United States,119,2421207,00Ga884hbpVvCNyeQdle1U,['Miley Cyrus'],['pop'],246306,False,Violet Chemistry,2722540
04-01-2018,Thailand,200,8443,00Hj710RrsLX5s9bothwlW,['Max Jenmana'],"['thai pop', 'thai indie pop']",230524,False,ไวน์,2774203
01-04-2021,Hong Kong,111,30271,00HtMpRg1Tu1CDFcMHn4DS,['Karen Mok'],"['mandopop', 'cantopop', 'c-pop']",287160,False,因一個人而流出一滴淚,179986
13-02-2020,Italy,128,415673,00JISwCHE4ZTWejgmT4TFU,['Michele Zarrillo'],"['classic italian pop', 'italian adult pop']",225327,False,Nell'estasi o nel fango,415673
23-02-2014,Italy,43,35864,00JbznfNVCiSSqLXI7wd5B,['Arisa'],['italian adult pop'],219200,False,Controvento,604183
29-12-2022,Pakistan,169,22344,00KoecK1MTjqUamcy5Tm0l,['Bilal Saeed'],"['desi hip hop', 'pakistani pop', 'punjabi pop', 'desi pop']",193810,False,12 Saal,64696
29-07-2021,Saudi Arabia,171,16965,00LX4aUgpDFG4zZO1H3Lx8,['Yasser Abd El Wahab'],[],239655,False,Kalby Jobarny - Live,3230010
02-05-2019,Slovakia,125,8827,00MGSxcYzJb7hyeWRISbAs,['Radikal Chef'],['czsk hip hop'],214000,True,Drop Lord,26620
02-07-2020,Mexico,164,535649,00PVGsjnTVMQJQlxV4puoa,"['Natanael Cano', 'RobGz', 'Ovi']","['corrido', 'musica mexicana', 'sierreno', 'trap latino', 'sad sierreno', 'reggaeton flow', 'corridos tumbados', 'nueva musica mexicana']",147913,True,Yo Vengo De Barrio,535649
04-03-2021,Italy,27,804637,00QN58Gx571pB1MEuBAcmL,"['Fasma', 'GG']","['italian pop', 'pop virale italiano', 'italian hip hop', 'emo rap italiano']",169181,False,Parlami,29907888
05-11-2020,United States,125,1798987,00R0fEFZGb5hyTgF1nrRCq,"['Busta Rhymes', 'Kendrick Lamar']","['pop rap', 'conscious hip hop', 'hip pop', 'hardcore hip hop', 'hip hop', 'west coast rap', 'rap', 'east coast hip hop']",248810,True,Look Over Your Shoulder (feat. Kendrick Lamar),2055399
23-11-2017,United Kingdom,186,291516,00TVmX9spquyg0UKuN57l3,['Fall Out Boy'],"['emo', 'modern rock']",210346,False,HOLD ME TIGHT OR DON’T,805239
12-11-2015,United Kingdom,178,134135,00WAVv6mwCtAQQEgjuajKm,['Little Mix'],"['pop', 'dance pop', 'post-teen pop', 'talent show', 'girl group', 'uk pop']",202080,False,A.D.I.D.A.S.,145505
29-11-2018,Thailand,182,19749,00WGY67rwGi8IRmHn32oYZ,['Wanna One'],"['k-pop boy group', 'k-pop']",242967,False,Beautiful (Part ll),19749
12-04-2018,France,134,240945,00YUNap0MFncqzzuvwzUlS,"['Lefa', 'Lomepal']","['pop urbaine', 'francoton', 'rap conscient', 'rap calme', 'french hip hop', 'rap francais']",157506,True,Paradise (feat. Lomepal),14994933
18-03-2021,Egypt,150,11423,00a4bcXAaRiMMs1Wuu5PK1,['Lege-Cy'],"['egyptian trap', 'egyptian hip hop']",173020,False,وسع,176589
29-10-2020,Romania,164,17681,00b3LCRrgW7c1WBgbBBM9V,"['Amuly', 'Bocaseca']","['romanian rap', 'romanian trap']",176509,True,Raman De Cartier,17681
30-04-2015,Netherlands,59,111698,00b50UtOuCsj4VFoX6vIZx,"['Lil Kleine', 'Ronnie Flex']","['dutch hip hop', 'dutch rap pop', 'dutch pop']",208272,True,Zeg Dat Niet,3295174
02-01-2020,Israel,162,20287,00bv4cnO0crfZDrLHSCw5d,['Mor'],['israeli pop'],214599,False,מחזיק לי את היד,20287
01-07-2021,Poland,101,229317,00e674SEUik7Wf9bxaQ8uO,['Ekipa'],['polish pop'],185192,False,Uśmiech,229317
14-06-2018,Netherlands,171,156818,00efU9s1tVptQB3SUabGvu,['Bridde Boys'],"['dutch hip hop', 'dutch rap pop']",253544,False,Pit Stop,466018
13-07-2017,Netherlands,119,208898,00f0LfcR6wAFwYSJsdBNRD,"['Kosso', 'Lijpe']","['dutch hip hop', 'dutch rap pop']",226051,True,Laat Mij,333110
28-10-2021,Dominican Republic,139,15647,00gBdY8XmRwC7vkapUymQI,['Invandra'],[],164475,True,Kotumo,31321
26-09-2019,Italy,12,1594605,00hy8cpfdBAXPcgWpsCtyk,"['Gemitaiz', 'MadMan']",['italian hip hop'],185600,True,Californication,3143621
05-11-2015,Sweden,199,83338,00lG51QDAAOhbDF5jhhAsQ,['Miriam Bryant'],"['swedish pop rap', 'swedish idol pop', 'swedish pop']",223124,False,Push Play - Filip Jenven & Mike Perry Remix - Radio Edit,83338
16-02-2023,Slovakia,181,19081,00m53t4Z0Lf2SdVcsuGwg1,"['AstralKid22', 'SIMILIVINLIFE', 'Porsche Boy']","['slovak hip hop', 'czsk hip hop', 'czech hip hop', 'czsk hyperpop', 'slovak trap']",207286,True,Dirty Vans,38294
11-06-2020,Iceland,16,24968,00mRvwkXYhHlojimfeC6Xh,['Séra Bjössi'],"['icelandic hip hop', 'icelandic pop']",106884,True,Guð Blessi Séra Bjössa,49617
19-11-2015,France,83,100690,00rKXZwgzFSgIvliePgd9t,['SCH'],"['pop urbaine', 'rap marseille', 'french hip hop']",129800,True,John Lennon,1609494
24-11-2022,Türkiye,127,463443,00so78c246FBc701TDys54,['Reckol'],['turkce drill'],147653,True,Partiledim,463443
22-09-2016,,159,2615327,00srofA71Pj1LAUGLMBppp,['Emeli Sandé'],"['pop', 'uk pop', 'neo soul', 'r&b', 'dance pop']",238352,True,Hurts,12989561
23-12-2021,Romania,173,21278,00tnXAltVLyIWok9sCWdjL,['Dani Mocanu'],['manele'],176248,False,Afaceri Ilegale,171215
30-04-2015,Netherlands,144,43888,00wNUmB4MzvMHlAt1hSLzL,"['Bokoesam', 'Lil Kleine', 'D-Double']","['dutch hip hop', 'dutch trap', 'dutch pop', 'nederreggae', 'dutch rap pop']",204593,True,43,496039
28-10-2021,Greece,123,36188,00x2d2mKSaUrCNTNxH7CYN,"['Sigma', 'ObieDaz']",['greek hip hop'],167619,True,ALYX,414167
16-11-2017,Denmark,82,107175,00xE0XQaGE9ScphTFr0PJM,['Mads Langer'],"['danish pop', 'danish pop rock']",208642,False,Flawless,4702617
02-03-2023,United States,166,2095391,00zk0uua6s2ifh0Nc3ppfW,['Yeat'],['pluggnb'],211253,True,Nun id change,2333445
