Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,296,62.657407407407405,85237.62037037036
rap,rap,207,64.56666666666666,110865.49166666667
hip hop,rap,187,65.15555555555555,98076.64444444445
melodic rap,rap,138,62.59756097560975,99768.93902439025
hip hop,trap,125,62.857142857142854,86177.14285714286
atl hip hop,rap,111,63.41538461538462,70455.9076923077
pop rap,rap,110,65.73529411764706,137236.08823529413
trap,trap,105,62.225806451612904,66564.67741935483
rap,southern hip hop,98,61.26315789473684,50912.57894736842
melodic rap,trap,94,60.54838709677419,76523.7741935484
pop rap,trap,84,63.91304347826087,119849.39130434782
pop,pop,80,59.62162162162162,132006.8918918919
atl hip hop,trap,76,61.895833333333336,40629.875
southern hip hop,trap,71,57.19047619047619,27165.0
gangster rap,rap,59,62.18181818181818,85224.13636363637
pop,rap,59,60.78,131467.1
hip hop,melodic rap,52,65.5,100154.45238095238
hip hop,southern hip hop,52,61.07142857142857,80838.78571428571
hip hop,pop rap,51,62.529411764705884,153859.9411764706
rap,toronto rap,45,67.1875,130580.59375
atl hip hop,hip hop,45,65.1470588235294,78128.11764705883
atl hip hop,melodic rap,44,61.51428571428571,43746.171428571426
canadian hip hop,rap,44,67.1875,130580.59375
hip hop,hip hop,44,64.73333333333333,129709.03333333334
pop rap,southern hip hop,41,50.666666666666664,12457.666666666666
gangster rap,trap,39,60.45454545454545,38871.90909090909
gangster rap,hip hop,37,65.57142857142857,64594.0
dirty south rap,rap,36,51.5,57376.25
dance pop,pop,35,65.61538461538461,88562.23076923077
canadian hip hop,trap,33,65.11538461538461,120448.03846153847
toronto rap,trap,33,65.11538461538461,120448.03846153847
r&b,rap,32,61.95,94873.15
dirty south rap,trap,31,42.0,11942.666666666666
atl trap,rap,29,65.63636363636364,95339.22727272728
melodic rap,melodic rap,28,56.041666666666664,80385.08333333333
melodic rap,pop rap,27,66.45,144834.45
canadian trap,rap,26,62.9375,91419.5
canadian pop,rap,26,67.83333333333333,189875.83333333334
gangster rap,southern hip hop,26,42.5,3750.0
rap,slap house,24,67.61111111111111,97615.11111111111
hip hop,pop,24,68.38095238095238,105193.61904761905
pop,trap,24,64.77272727272727,152419.04545454544
north carolina hip hop,rap,24,65.15384615384616,186068.15384615384
pop rap,pop rap,24,65.0,60499.125
dirty south rap,hip hop,24,51.0,97366.0
dirty south rap,pop rap,24,22.0,1055.0
dirty south rap,southern hip hop,24,22.0,1055.0
melodic rap,pop,23,51.04347826086956,135762.95652173914
gangster rap,pop rap,23,50.5,223914.0
pop,reggaeton,22,69.73333333333333,52199.066666666666
pop,urbano latino,22,69.73333333333333,52199.066666666666
rage rap,rap,21,60.26315789473684,4511.789473684211
pop,trap latino,21,69.5,44740.5
southern hip hop,southern hip hop,21,22.0,1055.0
canadian trap,trap,20,62.93333333333333,97432.06666666667
slap house,trap,20,66.8,60300.666666666664
hip hop,toronto rap,20,68.44444444444444,167666.11111111112
dance pop,rap,20,63.75,80481.0
hip hop,r&b,20,57.38461538461539,71909.53846153847
melodic rap,slap house,19,64.53333333333333,122922.33333333333
canadian hip hop,hip hop,19,71.88235294117646,177467.11764705883
atl trap,trap,19,67.88235294117646,48928.117647058825
pop,r&b,19,55.53333333333333,62953.333333333336
philly rap,rap,18,59.25,2314.5625
edm,pop,18,72.76470588235294,110591.35294117648
rage rap,trap,17,58.0,2123.125
atl hip hop,canadian hip hop,17,66.625,125325.5
atl hip hop,toronto rap,17,66.625,125325.5
atl trap,hip hop,17,68.0,107775.0
chicago rap,rap,17,54.76923076923077,144842.76923076922
brooklyn drill,rap,17,69.27272727272727,161404.0909090909
canadian pop,pop,17,68.0,157275.06666666668
pop,pop rap,17,64.5,77281.0
hip hop,rage rap,16,61.25,5146.0625
melodic rap,southern hip hop,16,61.5625,44237.75
philly rap,trap,16,57.666666666666664,2125.5333333333333
canadian pop,trap,16,64.28571428571429,188819.2857142857
dance pop,trap,15,61.75,98945.0
detroit hip hop,hip hop,15,61.125,6638.125
pop,uk pop,15,67.85714285714286,109982.5
north carolina hip hop,trap,15,65.75,201375.0
r&b,trap,15,64.71428571428571,136447.57142857142
atl hip hop,rage rap,14,58.07692307692308,2138.846153846154
atl hip hop,slap house,14,67.5,73815.66666666667
chicago rap,pop,14,48.583333333333336,119386.08333333333
uk hip hop,uk hip hop,14,50.333333333333336,24659.5
