Source,Target,Weight,Avg_Popularity,Avg_Streams
trap latino,urbano latino,703,64.32432432432432,8432962.77027027
reggaeton,urbano latino,703,64.91111111111111,7663877.4592592595
reggaeton,trap latino,576,64.928,7603586.304
urbano latino,urbano latino,436,63.83225806451613,8364047.3161290325
reggaeton,reggaeton,311,64.88181818181818,7436854.445454545
trap latino,trap latino,289,65.4453781512605,8935265.74789916
reggaeton colombiano,urbano latino,166,63.42307692307692,6766818.269230769
trap argentino,urbano latino,150,60.38461538461539,8479231.123076923
trap argentino,trap latino,134,61.52542372881356,9163539.423728814
reggaeton,reggaeton colombiano,120,64.25531914893617,6905858.382978723
reggaeton flow,urbano latino,117,65.89655172413794,7501293.0344827585
reggaeton colombiano,trap latino,113,64.95652173913044,6793125.260869565
reggaeton,reggaeton flow,104,66.53846153846153,7914467.807692308
reggaeton flow,trap latino,99,65.67857142857143,6686819.464285715
argentine hip hop,trap argentino,91,52.644444444444446,8219153.311111111
trap argentino,trap argentino,84,52.9,8036751.42
latin pop,urbano latino,75,59.183673469387756,5493616.551020408
cumbia villera,cumbia villera,73,58.875,3642233.75
argentine hip hop,urbano latino,72,59.08888888888889,9833476.177777778
latin hip hop,urbano latino,69,64.15384615384616,6398341.153846154
trap argentino,trap triste,67,56.125,9629633.75
argentine hip hop,trap latino,65,60.666666666666664,11083122.102564102
latin pop,reggaeton,62,60.372093023255815,6100410.953488372
puerto rican pop,urbano latino,61,68.62962962962963,5762614.592592592
cumbia 420,cumbia 420,60,31.076923076923077,8220487.230769231
puerto rican pop,reggaeton,57,68.52,5798690.76
latin hip hop,reggaeton,57,63.88,5376550.68
puerto rican pop,trap latino,56,68.62962962962963,5762614.592592592
reggaeton,trap argentino,55,63.25925925925926,7178923.703703703
latin hip hop,trap latino,54,64.56,6653109.12
latin pop,trap latino,50,59.388888888888886,5621368.777777778
cuarteto,cumbia villera,45,56.5,7226478.0
trap triste,urbano latino,44,57.13636363636363,10930392.136363637
trap latino,trap triste,43,57.42857142857143,10929694.19047619
