Source,Target,Weight,Avg_Popularity,Avg_Streams
german hip hop,german hip hop,379,19.41850220264317,304751.1629955947
german hip hop,hamburg hip hop,164,30.87323943661972,424449.05633802817
rap,trap,157,51.53947368421053,218473.1052631579
hip hop,rap,139,48.92307692307692,216257.20512820513
pop,pop,125,49.48571428571429,464619.54285714286
rap,rap,116,48.55696202531646,208610.79746835443
pop,rap,102,43.66216216216216,302243.4324324324
pop,pop dance,92,45.39393939393939,363946.3484848485
edm,pop,88,50.30769230769231,472331.8769230769
hip hop,trap,79,56.54545454545455,183865.97727272726
pop rap,rap,66,56.24324324324324,297095.97297297296
reggaeton,urbano latino,65,63.857142857142854,568192.7142857143
melodic rap,rap,64,50.3,213957.25
dance pop,pop,63,53.372093023255815,373133.23255813954
albanian hip hop,german hip hop,61,20.805555555555557,349004.80555555556
melodic rap,trap,59,48.39473684210526,252044.26315789475
trap latino,urbano latino,59,60.6,662710.0
deep german hip hop,german hip hop,58,20.607142857142858,399979.10714285716
german cloud rap,german hip hop,58,15.242424242424242,326541.6060606061
atl hip hop,rap,57,50.10526315789474,218440.84210526315
reggaeton,trap latino,56,62.666666666666664,628235.0
hip hop,pop,55,44.19047619047619,284244.9761904762
pop,trap,55,45.733333333333334,279205.5111111111
trap,trap,52,53.888888888888886,140295.63888888888
edm,pop dance,48,46.5,267624.3181818182
electro house,pop,44,41.6,310792.1142857143
german drill,german hip hop,43,28.54054054054054,248026.45945945947
hip hop,pop rap,43,52.40909090909091,194080.4090909091
hip hop,hip hop,41,51.107142857142854,139397.57142857142
pop,uk pop,40,47.333333333333336,340160.8333333333
rap,southern hip hop,39,56.407407407407405,161357.33333333334
pop rap,trap,39,62.63636363636363,221535.5
pop,pop rap,37,54.892857142857146,398614.1785714286
hip hop,melodic rap,36,51.93333333333333,265764.73333333334
urbano latino,urbano latino,34,62.333333333333336,586914.8333333334
atl hip hop,hip hop,33,55.69565217391305,191642.1739130435
reggaeton,reggaeton,31,63.857142857142854,568192.7142857143
hamburg hip hop,hamburg hip hop,30,21.45,517591.65
dance pop,edm,29,57.791666666666664,363723.2083333333
dance pop,pop dance,29,56.416666666666664,254686.375
r&b,rap,29,31.90909090909091,186984.36363636365
pop dance,pop dance,27,45.19047619047619,266469.2380952381
atl hip hop,trap,27,55.15,170220.65
hip hop,southern hip hop,27,51.07692307692308,64144.692307692305
atl hip hop,pop,26,44.91304347826087,324125.60869565216
trap latino,trap latino,26,60.6,662710.0
miami hip hop,rap,25,66.47058823529412,242113.23529411765
hip hop,r&b,24,32.266666666666666,112954.06666666667
electro house,pop dance,24,39.9,309270.7
pop,uk dance,24,54.27272727272727,702671.3636363636
german cloud rap,hamburg hip hop,23,7.642857142857143,335688.5714285714
big room,pop,23,53.77777777777778,492397.1111111111
emo rap,rap,23,33.26315789473684,241191.63157894736
southern hip hop,trap,23,60.06666666666667,83138.93333333333
pop dance,uk pop,23,49.0,368442.5263157895
canadian pop,rap,22,45.5,219706.875
pop,r&b,22,42.166666666666664,381303.0
pop,southern hip hop,22,52.470588235294116,228617.76470588235
pop,progressive electro house,22,55.611111111111114,739620.1111111111
electropop,pop,22,49.55555555555556,285523.77777777775
edm,edm,21,46.294117647058826,332210.9411764706
edm,electro house,21,42.55555555555556,350035.27777777775
